08年12月28日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年12月28日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 7R  ダ2300m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,矢作川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａポｰトムテキ, 74,古川吉,, 69,  -1,*  6, 1,  1.7,⑤⑥③, 1, 6,Ｂカネコメリッチ, 62,芹沢純,, 72,* 10,  -6, 2,  2.6, ①①, 1,15,Ｅメジロアルタイス, 71,小野次,, 72,*  3,  12, 7, 10.8,⑩⑤③, 1, 2,Ｃナムラハンタｰ, 82,和田竜,, 83,  13,* 10, 1,  2.9,⑥⑥⑤
 2,11,Ｆグリッタｰエルフ, 69,和田竜, 0.2, 66,*  1,   2, 5, 15.6,①①①, 2, 3,Ｄキリコンサｰト, 60,上野翔, 0.2, 68,*  6,  -4, 4, 14.5, ③③, 2, 1,Ａタキオンバッハ, 78,中舘英, 0.0, 71,*  4,  10, 1,  2.8,①①①, 2,10,Ｄアドマイヤミラクル, 78,藤岡康, 0.4, 81,  11,* 11, 8, 25.9,⑭⑪⑨
 3, 8,Ｂアドマイヤミスティ, 74,藤岡康, 0.3, 65,  -2,*  5, 4,  8.7,⑧⑦⑦, 3, 7,Ｅヨシインゾｰン, 58,丸田恭, 0.3, 63,   2,* -2, 8, 26.7, ⑦⑤, 3, 7,Ｃゲバルトステイヤｰ, 72,上村洋, 0.1, 72,*  4,  11, 2,  4.9,③③④, 3, 5,Ａトｰホウアタック, 84,柴山雄, 0.4, 82,* 16,   3, 3,  5.3,②②②
 4, 5,Ｅワキノキルシェ, 69,長谷川, 0.4, 72,  -2,* 10, 3,  8.5,⑮⑫⑪, 4,12,Ｆレｰシングレデイｰ, 56,池崎祐, 0.5, 60,  -1,* -2, 7, 26.6, ⑨⑨, 4,12,Ｇトｰセンコックス, 68,丸田恭, 0.3, 72,   0,* 17, 8, 30.7,⑫⑪⑩, 4, 4,Ｂポｰカｰフェイス, 83,中舘英, 1.4, 72,  13,  -2, 2,  4.9,⑦⑦⑥
 5,15,Ｉシャフツレディ, 65,丸田恭, 0.4, 63,*  0,   0, 6, 18.2,②②②, 5,14,Ａシゲルクラマヤマ, 67,和田竜, 0.7, 64,* 10, -14, 1,  2.6, ②②, 5, 8,Ｊチャイコフスキｰ, 65,青木芳, 0.4, 70,   2,  11, 5, 10.1,⑤⑥⑥, 5,11,Ｅウエスタンリジ, 76,小野次, 1.4, 73,   7,*  7,11, 97.9,⑯⑭⑬
 6, 4,Ｄタイセイフレイヤ, 70,中舘英, 0.8, 60,*  0,  -2, 2,  6.1,③③④, 6,10,Ｃブルｰライジング, 61,藤岡康, 1.0, 53,  -5,  -4, 3,  9.6, ⑫⑪, 6,10,Ｄフェイクスパ, 71,宮崎北, 0.6, 69,   2,  12, 4,  7.4,⑧⑨⑧, 6,15,Ｈウィッシュビｰワン, 76,田中博, 1.5, 73,* 15,  -6, 6, 13.0,③③③
 7,16,Ｎドリｰムプレイ, 57,木幡初, 0.8, 61,*  0,  -1,11, 66.3,④④⑥, 7, 2,Ｉカムイリング, 52,宮崎北, 1.1, 51,  -4,  -7, 5, 18.5, ⑩⑧, 7, 2,Ｂウインク, 72,和田竜, 1.0, 65,*  3,   2, 3,  6.6,⑥②②, 7,12,Ｆセイカアレグロ, 76,池田鉄, 1.6, 72,  11,   1,10, 77.2,⑩⑩⑩
 8, 3,Ｃマｰブルダンサｰ, 71,渡辺薫, 0.9, 62,  -1,  -1,13,106.2,⑦⑤⑤, 8, 8,Ｋファンドリカップ, 48,熊沢重, 1.1, 51,  -9,* -2,10, 38.7, ⑯⑮, 8, 4,Ｈアグネスヨジゲン, 68,渡辺薫, 1.4, 65,   1,   6, 9, 35.2,⑦⑧⑦, 8, 9,Ｇシｰアクロス, 76,長谷川, 1.6, 74,* 15,  -8, 4,  8.8,①①①
 9, 1,Ｊアルファメガハｰト, 64,宮崎北, 1.0, 58,  -3,   1,14,108.9,⑬⑨⑨, 9,18,Ｐムｰンパラダイス, 38,木幡初, 1.2, 51,  -2,  -9,12, 79.4, ⑪⑫, 9, 5,Ｉパパノエル, 66,柴山雄, 1.5, 66,   0,   7,13,162.3,⑭⑫⑬, 9,13,Ｏフレンチムスメ, 68,田辺裕, 1.6, 70,   9,   3,13,117.1,⑬⑫⑫
10, 7,Ｏテイエムセッペトベ, 52,田嶋翔, 1.5, 58,  -2,  -3, 9, 44.3,⑥⑩⑩,10,17,Ｌラガｰゴｰルデン, 48,渡辺薫, 1.2, 51,  -6,  -5,15,112.2, ⑭⑭,10, 6,Ｆシルクエンデバｰ, 70,田中博, 1.7, 63,   2,   2, 6, 10.1,⑮⑩⑪,10, 1,Ｉアクセルファイヤｰ, 75,中村将, 1.7, 72,* 16,  -7, 5, 12.6,⑪④④
11, 9,Ｈアイスボックス, 68,津村明, 1.6, 56,  -2,  -4,10, 61.2,⑩⑧⑧,11,13,Ｏクリノビャクダン, 43,上村洋, 1.3, 50,  -5,  -8, 6, 26.3, ⑬⑬,11,13,Ｎホｰクウィンザｰ, 57,古川吉, 1.8, 64,   1,   5,12,128.0,⑪⑬⑫,11,16,Ｋニホンピロコナユキ, 74,熊沢重, 1.7, 72,  14,  -6, 9, 33.6,⑤⑤⑦
12,13,Ｍスプリングボｰロ, 60,的場勇, 1.6, 59,  -7,   3,12, 79.5,⑯⑯⑯,12, 5,Ｈメイケイファルコン, 53,太宰啓, 1.5, 52,*  6, -21,11, 39.4, ④④,12,14,Ｏヒメアウトランダｰ, 54,梶晃啓, 1.9, 63,   0,   5,14,171.8,⑯⑮⑭,12, 6,Ｎロｰランラムズ, 71,的場勇, 1.9, 72,   9,   3,14,150.1,⑨⑬⑭
13,10,Ｋマダムビジュｰ, 63,丹内祐, 1.6, 57,  -5,  -1,16,404.7,⑭⑮⑬,13, 4,Ｊカシノレオン, 49,宇田登, 1.9, 42,  -9, -12, 9, 29.9, ⑮⑯,13,16,Ｋハツカリ, 64,的場勇, 1.9, 62,   2,   0,11, 73.0,⑨⑦⑨,13, 3,Ｌトシナギサ, 72,生野賢, 1.9, 69,  12,  -5, 7, 16.8,④⑧⑧
14,12,Ｌワキノドライバｰ, 63,熊沢重, 2.9, 49,  -3, -15, 7, 27.7,⑨⑪⑫,14,16,Ｎキチロクレナン, 44,二本柳, 1.9, 44,   4, -23,18,238.8, ⑥⑦,14,11,Ｌホッカイルオｰ, 63,津村明, 3.5, 54,  -1,  -4,15,217.4,⑬⑯⑯,14,14,Ｊスプリングザスパ, 74,大野拓, 2.2, 68,  12,  -7,12,101.7,⑧⑨⑪
15, 2,Ｐマサノマイルズ, 32,黛弘人, 3.0, 48,  -5, -12,15,286.4,⑪⑭⑮,15,11,Ｍタマモビｰト, 46,古川吉, 1.9, 45,   4, -25,17,181.6, ⑤⑥,15, 9,Ｐドマｰニ, 48,藤岡康, 3.6, 49,*  3, -19,10, 54.6,④④⑤,15, 8,Ｍハｰドムｰン, 72,松田大, 2.2, 70,   8,   2,15,164.6,⑫⑮⑮
16,14,Ｇロｰズオットｰ, 68,上村洋, 3.4, 46,  -4, -17, 8, 28.0,⑫⑬⑭,16, 1,Ｇメイストｰム, 54,丹内祐, 1.9, 47, -21,*  2,16,132.5, ⑱⑱,16, 3,Ｍカｰデナルポイント, 60,二本柳, 7.6, 33,   0, -44,16,224.7,②⑭⑮,16, 7,Ｐロンドンウィング, 55,丹内祐, 4.5, 54,   3, -10,16,209.6,⑮⑯⑯
,,,,,,,,,,,,17,15,Ｑフェザｰズビｰン, 34,小野次, 2.5, 36,   1, -28,13, 91.7, ⑧⑩,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18, 9,Ｒタイトｰキャップ, 24,中舘英, 2.6, 38, -18, -11,14, 92.0, ⑰⑰,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:5),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:0),,,,,,,,,,,
単勝:170円 複勝:06=110円 11=330円 08=200円 枠連:550円,,,,,,,,,,,,"単勝:260円 複勝:06=140円 03=290円 07=430円 枠連:1,210円",,,,,,,,,,,,"単勝:1,080円 複勝:15=230円 01=140円 07=180円 枠連:840円",,,,,,,,,,,,単勝:290円 複勝:02=130円 10=440円 05=200円 枠連:940円,,,,,,,,,,,
"馬連:1,510円 ワイド:06-11=640円 06-08=290円 08-11=1,610円",,,,,,,,,,,,"馬連:1,460円 ワイド:03-06=650円 06-07=1,070円 03-07=2,730円",,,,,,,,,,,,"馬連:1,340円 ワイド:01-15=600円 07-15=1,160円 01-07=390円",,,,,,,,,,,,"馬連:3,180円 ワイド:02-10=990円 02-05=330円 05-10=1,530円",,,,,,,,,,,
"馬単:2,060円 3連複:2,510円 3連単:11,290円",,,,,,,,,,,,"馬単:2,340円 3連複:7,950円 3連単:33,000円",,,,,,,,,,,,"馬単:3,520円 3連複:2,670円 3連単:21,750円",,,,,,,,,,,,"馬単:4,680円 3連複:4,780円 3連単:27,530円",,,,,,,,,,,
■ 2R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 5R  芝1800m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 8R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■11R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,名古屋日刊ｽﾎﾟｰﾂ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｅボストンカラｰズ, 67,飯田祐,, 70,* 11,   2, 4,  7.8, ②②, 1,15,Ｇトゥザハッスル, 47,千葉直,, 60, -12,*  9, 9, 42.7,⑮⑮⑫, 1, 5,Ｆアグネストカチ, 68,藤岡康,, 74,   4,*  9, 4,  7.9, ⑨⑩, 1,14,Ｇエｰティｰボス, 77,太宰啓,, 88,  -4,* 23, 6, 17.8,⑧⑧⑧
 2, 1,Ｏルｰジュアルダン, 54,太宰啓, 0.1, 68,   6,   4, 6, 22.7, ③③, 2,12,Ｂジュモｰ, 60,和田竜, 0.2, 56,* -6,  -5, 2,  4.3,⑤⑥⑥, 2,14,Ａマイネルプルｰト, 73,丸田恭, 0.0, 73,  -2,* 15, 3,  5.7, ⑮⑭, 2, 6,Ｍミスズオペラ, 66,中舘英, 0.1, 82,* -1,  15, 1,  3.7,②③③
