08年 2月 2日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 2月 2日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 4R  芝1200m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2600m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝1200m 3 歳500万 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,萌黄賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｄナスザン, 58,的場勇,, 60,  -9,*  3, 1,  2.0, ③②, 1,18, スプリングソング,---,中舘英,, 68,*  3,  -1, 1,  2.4, ③②, 1, 8,Ｈドリｰムフライト, 68,西田雄,, 78,* 12,* -5, 5, 23.1,①①①, 1,15,Ｂパッションロｰズ, 65,長谷川,, 70,*  6,  -4, 3,  6.8, ②②
 2, 7,Ａクレバｰグレイス, 70,浜中俊, 0.1, 58,* -6,   1, 2,  4.0, ①①, 2, 2, サワヤカラスカル,---,浜中俊, 0.3, 64, -10,*  8, 6, 19.8, ⑨⑦, 2, 7,Ｂメイショウアンドレ, 75,浜中俊, 0.6, 73,  10,* -8, 2,  5.9,⑥④⑤, 2, 5,Ａアイリッシュカフェ, 67,赤木高, 0.1, 63,  -9,*  9, 2,  3.4, ⑭⑫
 3, 3,Ｃフジマサルビｰ, 59,池崎祐, 0.2, 56, -14,*  5, 3,  4.6, ⑦⑤, 3, 7, エｰシンプリファｰ,---,田中健, 0.6, 60, -16,*  9, 8, 33.8, ⑬⑪, 3,11,Ｄメルシｰゴｰルド, 72,北村友, 0.9, 72,  10,  -9, 4, 12.0,⑬⑦②, 3, 7,Ｃバロンダンス, 65,穂苅寿, 0.2, 69,*  7,  -6, 4,  9.4, ①①
 4, 2,Ｂメイショウアｰチャ, 59,藤岡康, 0.3, 56, -10,   2, 4,  6.2, ③②, 4,12, コロナドリリｰ,---,長谷川, 0.6, 61,*  6, -11, 9, 37.4, ②①, 4, 9,Ｉマｰブルワンダｰ, 65,安藤光, 0.9, 72,* 12, -13,10, 56.5,②②②, 4,14,Ｄサクライダテン, 62,中舘英, 0.3, 65,   3,  -5, 1,  2.7, ④④
 5, 5,Ｅパｰプルコランダム, 56,宮崎北, 1.2, 46, -15,  -3, 7, 46.1, ⑦⑧, 5,13, スズカタイホｰ,---,中村将, 0.8, 58,  -3,  -5,10, 45.8, ⑥⑥, 5,14,Ｃヤマノフェロｰ, 75,松田大, 1.0, 71,   9,  -9, 8, 27.8,⑦⑧⑧, 5,10,Ｏスタｰオブジャンプ, 45,真島正, 0.4, 62,   2,  -5,12,101.0, ⑤⑥
 6, 9,Ｆアスｰルグロリオ, 43,熊沢重, 1.3, 48,* -6,  -9, 5, 31.9, ②②, 6, 4, チョコフィオｰレ,---,荻野琢, 0.9, 56,  -8,  -2, 7, 24.3, ⑧⑦, 6, 6,Ｇキングタキオン, 70,高山太, 1.0, 71,   9,  -9, 3, 11.4,⑦⑧⑧, 6, 3,Ｅミティｰク, 62,上村洋, 0.5, 59,  -4,  -1, 6, 12.5, ⑫⑫
 7,12,Ｈキングセンプｰ, 41,武英智, 1.5, 44, -11,  -8,11,113.3, ⑤⑥, 7,15, ディマンシュ,---,赤木高, 1.0, 55,*  4, -15, 2,  4.0, ③②, 7, 1,Ａグレｰトキャンドル, 78,野元昭, 1.4, 69,  11, -17, 1,  1.5,④④②, 7,12,Ｇギンザグリングラス, 61,菊沢隆, 0.6, 60,   2,  -7, 9, 34.0, ⑤④
 8,10,Ｊシゲルサンキム, 36,中村将, 1.9, 38, -31,   1, 9, 91.6, ⑫⑫, 8, 3, グラマラスシチｰ,---,藤岡康, 1.4, 49, -15,  -3,11, 81.1, ⑪⑩, 8, 3,Ｋサクラキセキ, 61,藤岡康, 1.7, 65,  10, -23,12, 76.0,④④⑤, 8,11,Ｈリｰヴタイム, 60,芹沢純, 0.7, 58,  -1,  -6, 5,  9.9, ⑧⑧
 9, 6,Ｌギンザセシボン, 34,丸田恭, 1.9, 39, -12, -11,12,117.0, ⑥⑦, 9,14, ケイエスラック,---,難波剛, 1.5, 49, -13,  -5,16,241.9, ⑩⑪, 9,12,Ｌミスズエリコン, 59,中村将, 2.0, 65,   5,* -6,11, 72.6,⑭⑭⑬, 9, 9,Ｉフラミニアンウェイ, 57,安藤光, 0.9, 55,  -2,  -7, 7, 28.8, ⑪⑩
10, 8,Ｋコウエイルビｰ, 35,赤木高, 2.0, 37, -23,  -4, 8, 78.2, ⑩⑩,10,10, エプソムカフェ,---,安藤光, 1.9, 44, -20,  -4,15,168.8, ⑮⑬,10, 5,Ｊダイワバイロン, 65,長谷川, 2.1, 64,* 12, -31, 7, 24.7,②②⑤,10, 6,Ｆフィｰルドグランデ, 61,武英智, 1.1, 51,  -3,  -9,11, 58.7, ⑫⑫
11,11,Ｉメッサｰジェット, 37,二本柳, 2.7, 30, -15, -16,10, 99.2, ⑦⑨,11, 9, ユメモノガタリ,---,河北通, 1.9, 44,  -1, -22, 4,  6.8, ⑤⑤,11, 4,Ｅエプソムブラスト, 72,田中健, 2.3, 62,   8, -23, 6, 23.5,⑩⑩⑩,11,13,Ｊコウユｰココロコロ, 56,北村友, 1.3, 50,  -1, -14, 8, 33.9, ⑧⑥
12, 4,Ｇコウエイダイナ, 43,田中健, 3.7, 21, -28, -17, 6, 42.6, ⑪⑪,12, 8, ミッシェルシチｰ,---,川島信, 2.1, 41, -30,*  4,12, 91.1, ⑰⑯,12, 2,Ｍグロｰリアスゲスト, 58,嘉藤貴, 2.3, 62,   7, -17,13, 85.5,⑩⑬⑬,12, 4,Ｌネイチャｰグロウ, 50,高山太, 2.1, 40,   1, -25,14,221.4, ⑧⑩
,,,,,,,,,,,,13, 1, スズカビｰナス,---,丸田恭, 2.2, 40,  -5, -21,13, 96.4, ⑥⑨,13,10,Ｆスタｰダストボｰイ, 71,太宰啓, 2.4, 63,   8, -23, 9, 41.9,⑩⑩⑫,13, 8,Ｍパシコジャスティス, 46,的場勇, 2.1, 42,*  6, -31,13,194.0, ②②
,,,,,,,,,,,,14, 6, ギンザマスタング,---,的場勇, 2.2, 40,*  6, -32, 3,  6.4, ①②,14,13,Ｎシルクトラベラｰ, 54,小島太, 2.4, 61,   8, -24,14,132.0,⑦⑩⑩,14, 2,Ｎシゲルクシエラ, 45,熊沢重, 2.5, 36,   2, -32,10, 57.1, ⑤⑧
,,,,,,,,,,,,15, 5, フェアリｰラグｰン,---,二本柳, 2.8, 32, -22, -12,17,276.9, ⑯⑮,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16,16, ハリケｰンラグｰン,---,菊沢隆, 3.6, 22, -14, -30, 5, 19.3, ⑪⑬,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17,11, テイエムブロッサム,---,芹沢純, 4.2, 14, -47,  -8,14,112.1, ⑱⑱,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18,17, ヒロノミクル,---,小島太, 4.7,  9, -16, -42,18,294.4, ⑭⑯,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:稍重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:2),,,,,,,,,,,
単勝:200円 複勝:01=110円 07=130円 03=120円 枠連:410円,,,,,,,,,,,,"単勝:240円 複勝:18=140円 02=390円 07=400円 枠連:1,280円",,,,,,,,,,,,"単勝:2,310円 複勝:08=1,080円 07=290円 11=320円 枠連:7,530円",,,,,,,,,,,,単勝:680円 複勝:15=230円 05=160円 07=250円 枠連:370円,,,,,,,,,,,
馬連:430円 ワイド:01-07=190円 01-03=200円 03-07=270円,,,,,,,,,,,,"馬連:2,010円 ワイド:02-18=1,060円 07-18=1,190円 02-07=4,050円",,,,,,,,,,,,"馬連:6,850円 ワイド:07-08=1,510円 08-11=2,140円 07-11=700円",,,,,,,,,,,,"馬連:1,760円 ワイド:05-15=710円 07-15=1,070円 05-07=510円",,,,,,,,,,,
馬単:710円 3連複:510円,,,,,,,,,,,,"馬単:3,120円 3連複:9,990円",,,,,,,,,,,,"馬単:16,620円 3連複:16,920円",,,,,,,,,,,,"馬単:4,110円 3連複:4,720円 3連単:29,770円",,,,,,,,,,,
■ 2R  芝1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 5R  ダ1000m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 8R  ダ1700m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■11R  ダ1700m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,和布刈特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ａユキノハボタン, 63,浜中俊,, 61,  -4,*  1, 1,  2.0, ⑨⑦, 1, 2,Ｇアサヒカレンダｰ, 63,梶晃啓,, 73,   0,*  9,11, 99.5, ④④, 1, 3,Ｄフライデイフライト, 72,中舘英,, 74,*  4,  11, 1,  2.8,①①①, 1, 8,Ｈパントマイミスト, 79,上村洋,, 86,   6,* 16, 8, 23.2,⑦⑤③
 2, 9,Ｃサンライトマリｰ, 57,上村洋, 0.2, 63,*  3,  -7, 2,  3.8, ②②, 2, 9,Ｄブラックシチｰ, 69,西田雄, 0.1, 72,*  8,   3, 5, 11.1, ②②, 2, 2,Ｊセイウンロデム, 68,古川吉, 0.4, 72,   1,  11, 3,  6.5,④⑤④, 2, 6,Ａタカオセンチュリｰ, 84,鮫島良, 0.0, 82,*  7,  14, 3,  4.5,③②①
 3, 7,Ｊトｰホウベルサイユ, 46,赤木高, 0.3, 58,  -5,* -1, 8, 43.2, ⑩⑩, 3, 4,Ｂカリスマダンディｰ, 71,中舘英, 0.4, 67,  -3,*  7, 2,  3.2, ⑧⑥, 3,12,Ａシルクスタｰシップ, 74,二本柳, 0.5, 69,   0,* 13, 2,  2.9,⑨⑥⑥, 3,15,Ｅトシセント, 81,北村友, 0.2, 80,   5,* 17, 1,  3.4,⑫⑨⑧
 4,10,Ｇクリノモンブラン, 52,川島信, 0.7, 54,   1, -11,12,122.9, ⑤⑤, 4, 1,Ａトキノムテキ, 75,浜中俊, 0.6, 67,*  9,  -2, 1,  2.4, ①①, 4, 7,Ｈギブソンガｰル, 69,田中健, 0.8, 74,  -2,* 13,11, 73.2,⑩⑩⑪, 4, 7,Ｃスプリングザスパ, 81,二本柳, 0.5, 77,   5,* 16, 5, 18.8,⑭⑬⑪
 5,11,Ｂビジュアルクイｰン, 58,中舘英, 1.1, 50,   0, -15, 3,  5.4, ⑤⑦, 5, 6,Ｈジョウノナンシｰ, 62,荻野琢, 0.8, 65,   3,   0, 4, 10.0, ③③, 5, 4,Ｃゲットクｰル, 72,北村友, 0.8, 69,  -1,  11,10, 68.1,⑦⑧⑧, 5,10,Ｌチェリｰロビン, 77,高橋亮, 0.6, 78,   5,  13, 7, 22.1,⑪⑨⑤
 6, 6,Ｆホッカイシｰラ, 52,松田大, 1.3, 48,   1, -19, 5, 16.7, ⑤⑤, 6, 8,Ｍキタサンコンバット, 48,上村洋, 0.8, 66,   0,   2, 9, 81.3, ④④, 6, 6,Ｆミラキュラス, 71,中村将, 0.8, 70,*  2,   7, 6, 13.8,④②②, 6, 4,Ｎアンクルピｰス, 75,川島信, 0.7, 78,   6,  10,13, 42.1,③⑤④
 7,12,Ｅセレナジャスミン, 54,的場勇, 1.4, 47,*  3, -23, 4, 10.8, ②④, 7, 5,Ｃレイゴｰルド, 69,田辺裕, 0.9, 59, -11,*  8, 7, 21.8, ⑬⑫, 7,13,Ｍスリｰスピリット, 62,荻野琢, 0.8, 71,  -2,* 13,12,115.5,⑪⑩⑧, 7,12,Ｉアグネスハッピｰ, 79,松田大, 0.7, 78,   6,  11,11, 33.6,⑦⑧⑧
 8, 8,Ｋツルマルクリス, 43,中村将, 1.4, 43, -13,  -8,11,121.5, ⑫⑫, 8, 7,Ｊカシノダンク, 58,熊沢重, 1.0, 62,  -7,   4, 8, 40.7, ⑩⑩, 8,14,Ｉチアズグロｰリｰ, 69,浜中俊, 0.9, 67,*  2,   6, 5, 13.2,②②②, 8, 3,Ｏスナｰクエベレスト, 73,熊沢重, 1.0, 78,   3,  14,12, 40.4,⑭⑯⑮
