08年11月22日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年11月22日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 4R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■10R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,ﾒｲｸﾃﾞﾋﾞｭｰ福島,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,岩谷特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12, 1, アロウィｰ,---,宮崎北, 5.6, 23, -19, -18,11, 78.5,⑫⑫⑫,12,14,Ｋホｰザンアテナ, 41,西田雄, 2.4, 40,*  2, -24,10, 37.6, ③③,12,15,Ｉニシノマルス, 65,田中博, 3.2, 57,   1,  -4, 8, 88.7,⑩⑪⑬,12, 4,Ｍエｰスデヨバン, 63,太宰啓, 0.7, 68,  -2,   5,11, 44.3, ⑫⑫
,,,,,,,,,,,,13, 7,Ｈパピオンライン, 47,津村明, 2.5, 38,  -1, -23, 6, 23.2, ⑧⑦,13, 9,Ｍエスデイブレイク, 56,郷原洋, 3.3, 56,   3,  -8,14,445.2,⑭⑩⑪,13,10,Ｆシアトルナカヤマ, 68,的場勇, 0.8, 64,*  8,  -7,10, 40.1, ③③
,,,,,,,,,,,,14, 6,Ｉケｰジｰフジ, 45,石橋脩, 2.5, 38,   0, -24,12, 67.0, ⑦⑩,14, 7,Ｎタマモラッシュ, 50,黛弘人, 3.9, 50,*  6, -20,11,213.8,②②⑦,14, 3,Ｂタイキブリリアント, 73,北村友, 0.9, 64,*  9,  -9, 1,  2.2, ①①
,,,,,,,,,,,,15, 5,Ｂエｰシンウォｰマン, 57,藤岡康, 2.6, 36,   0, -26, 2,  3.7, ⑥⑥,15, 2,Ｏエプソムラヴソング, 42,太宰啓, 8.9, 21,  -4, -40,12,384.0,⑧⑮⑮,15, 1,Ｎコウエイバッカス, 62,田中健, 1.2, 60,  -4,   0,16,297.4, ⑭⑮
,,,,,,,,,,,,16, 9,Ｐインモｰタルロｰズ, 18,郷原洋, 2.7, 33, -11, -15,16,295.7, ⑮⑮,,,,,,,,,,,,,16, 8,Ｌシルクストレングス, 63,中舘英, 2.0, 51,*  8, -22, 9, 23.4, ②②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:稍重(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:稍重(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:稍重(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:稍重(指数:4),,,,,,,,,,,
"単勝:1,080円 複勝:04=270円 09=140円 12=160円 枠連:1,450円",,,,,,,,,,,,単勝:670円 複勝:10=230円 15=130円 12=790円 枠連:890円,,,,,,,,,,,,"単勝:890円 複勝:10=440円 11=680円 04=490円 枠連:5,240円",,,,,,,,,,,,"単勝:690円 複勝:11=270円 05=280円 14=530円 枠連:1,550円",,,,,,,,,,,
"馬連:1,450円 ワイド:04-09=650円 04-12=730円 09-12=310円",,,,,,,,,,,,"馬連:1,000円 ワイド:10-15=510円 10-12=3,870円 12-15=1,750円",,,,,,,,,,,,"馬連:4,520円 ワイド:10-11=1,170円 04-10=630円 04-11=1,230円",,,,,,,,,,,,"馬連:2,670円 ワイド:05-11=940円 11-14=2,050円 05-14=1,880円",,,,,,,,,,,
"馬単:4,060円 3連複:2,280円 3連単:20,090円",,,,,,,,,,,,"馬単:2,700円 3連複:12,120円 3連単:60,090円",,,,,,,,,,,,"馬単:10,390円 3連複:11,590円 3連単:69,740円",,,,,,,,,,,,"馬単:6,640円 3連複:17,940円 3連単:92,780円",,,,,,,,,,,
■ 2R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 5R  ダ1150m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 8R  芝2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■11R  芝1800m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,三春駒特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｅトキノムテキ, 71,赤木高,, 71,* 14,   3, 3,  6.3, ①①, 1, 5,Ａブルｰカｰディナル, 78,木幡初,, 67,*  5,   3, 1,  1.6, ③③, 1,10,Ａニシノレイチェル, 77,長谷川,, 85,  11,* 13, 2,  4.2,⑮⑮⑦, 1,10,Ｅチェレブリタ, 77,藤岡康,, 84,   1,* 18, 4,  7.7,⑧⑧⑧
 2, 1,Ｈラスカルシチｰ, 68,丸田恭, 0.1, 69,   3,* 10, 5, 12.4, ⑤⑤, 2, 4,Ｉラスカルデュｰク, 64,古川吉, 0.1, 69,   0,*  8, 4, 17.6, ⑩⑥, 2,11,Ｈサクセスアｰチ, 72,松田大, 0.4, 81,  11,*  6, 4, 11.7,⑭⑭⑪, 2,14,Ｄブラボｰデイジｰ, 77,生野賢, 0.2, 78,   3,   8, 5,  9.1,④④④
 3,12,Ｊヤマニンブリオン, 65,田中健, 0.3, 68,   6,   6, 9, 28.2, ④④, 3,11,Ｂラオムフェｰレ, 76,田中博, 0.3, 65,   1,   4, 3,  6.8, ⑦⑦, 3, 4,Ｍエイシンフレンチ, 63,和田竜, 0.5, 78,  15,  -4,12, 70.8,⑨⑦⑤, 3,11,Ｈセラフィックロンプ, 76,中舘英, 0.5, 75,*  5,   2, 1,  2.0,③③③
 4, 4,Ｇベルモントバジル, 69,安藤光, 0.4, 66,   0,* 10,10, 28.7, ⑧⑧, 4, 9,Ｆテイエムカイブツ, 70,田嶋翔, 0.5, 64,   3,   1, 9, 53.2, ⑤⑤, 4, 1,Ｉカゼノユクエ, 72,安藤光, 0.6, 78,  14,  -2,11, 66.0,⑬⑪⑩, 4, 3,Ｋパｰプルカフェ, 70,吉永護, 0.5, 73,*  5,   1,11, 81.8,②②②
 5,11,Ｆソロタｰン, 69,黛弘人, 0.5, 67,* 14,  -1, 6, 19.3, ②②, 5, 3,Ｃパワｰクルセダｰ, 74,郷原洋, 0.7, 60,  -6,*  6, 5, 18.2, ⑭⑭, 5, 5,Ｊシンボリロｰレンス, 72,木幡初, 0.7, 76,* 17, -10,10, 27.7,⑥④③, 5, 7,Ｂアクティブアクト, 80,大野拓, 0.6, 78,   0,* 12, 6, 20.5,⑪⑫⑩
 6, 7,Ｂピエナワイルド, 73,三浦皇, 0.6, 63,   3,   5, 1,  2.5, ⑥⑥, 6,14,Ｈタキオンシチｰ, 64,藤岡康, 0.7, 61,*  7,  -5, 8, 52.0, ①①, 6, 7,Ｆスズカジェット, 73,藤岡康, 1.0, 73,  14,  -9, 3,  6.2,⑩⑩⑨, 6, 5,Ｆハバネロキャット, 77,草野太, 0.7, 77,   0,  11, 8, 31.0,⑬⑬⑬
 7, 2,Ａブラックシチｰ, 73,西田雄, 0.7, 62,   8,   2, 4, 10.4, ③③, 7,12,Ｊサルバドｰルボス, 64,石橋脩, 0.7, 60,  -7,*  6,13,142.6, ⑮⑮, 7, 9,Ｇカツヨカムトゥルｰ, 73,黛弘人, 1.0, 74,  14,  -7, 8, 22.0,⑪⑫⑭, 7, 4,Ｇイチゴイチエ, 76,菊沢隆, 0.8, 69,*  6,  -4, 3,  7.5,①①①
 8, 5,Ｌチョウカイラッキｰ, 39,藤岡康, 0.9, 60,  -1,   5,11, 96.2, ⑨⑨, 8, 8,Ｇコアレスナイナｰ, 69,宮崎北, 0.8, 59,   3,  -3, 7, 27.3, ④④, 8, 2,Ｋケｰプタウンシチｰ, 69,田中博, 1.1, 73,  15, -12, 6, 14.5,⑧⑥⑧, 8,12,Ａキクカラヴリイ, 81,太宰啓, 0.8, 73,   2,   2, 2,  6.4,⑥⑤⑤
 9, 8,Ｉバリバリセレブ, 67,佐藤哲, 0.9, 61,   2,   4, 8, 23.4, ⑦⑦, 9, 1,Ｏイｰグルホｰラｰ, 46,飯田祐, 1.1, 57,  -5,   1,15,283.3, ⑫⑫, 9,12,Ｅショウナンサヴァン, 73,丸田恭, 1.2, 69,  14, -11, 9, 24.2,⑫⑬⑬, 9,13,Ｃリネンフィｰルド, 77,村田一, 0.8, 73,   2,   4, 7, 21.3,⑦⑥⑥
10,10,Ｄテイエムデスカイ, 71,佐久間, 1.2, 58,  -2,   4, 7, 22.2, ⑪⑪,10,15,Ｄサンライズバクシン, 72,北村友, 1.1, 56,*  7,  -9, 6, 24.4, ②②,10,14,Ｂレッズフィｰルド, 77,三浦皇, 1.4, 69,* 17, -20, 1,  2.6,③③②,10, 8,Ｍヤマニンスプラウト, 64,田中博, 1.0, 72,  -1,   5,14,189.1,⑩⑨⑪
11, 6,Ｋスズカアルペン, 55,芹沢純, 1.9, 51,  -2,  -2,12,242.2, ⑩⑩,11,10,Ｌセイカカリンバ, 52,長谷川, 1.2, 58,   1,  -4,11,116.2, ⑥⑪,11,13,Ｐサムライ, 59,大野拓, 1.4, 68,* 20, -25,14,147.2,①①①,11, 6,Ｉライフブリｰズ, 72,丸田恭, 1.0, 71,   0,   7,10, 49.4,⑨⑪⑫
12, 3,Ｃケイティマイヒメ, 72,太宰啓, 2.2, 47,  -3,  -4, 2,  3.4, ⑫⑫,12, 6,Ｍキクノジュピタｰ, 49,和田竜, 1.2, 57,  -4,   0,12,117.7, ⑬⑩,12, 6,Ｎフロントダッシュ, 61,田嶋翔, 1.8, 65,  15, -23,16,362.7,⑦⑨⑥,12, 9,Ｊクイックセイコｰ, 71,石橋脩, 1.1, 71,  -1,   4, 9, 35.1,⑭⑩⑨
,,,,,,,,,,,,13, 2,Ｐタマモヴィグラス, 44,田中健, 1.3, 56,  -1,  -3,10,104.2, ⑧⑧,13,15,Ｃマイネルモデルノ, 76,津村明, 3.7, 50,* 18, -54, 5, 13.9,②②④,13, 1,Ｌケンエンデバｰ, 69,北村友, 1.3, 66,   1,  -2,12, 87.9,⑤⑦⑦
