08年 9月21日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 9月21日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1800m 3 歳ｵｰﾌﾟﾝ(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,関西TVﾛｰｽﾞS ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
14, 8,Ｆクリノビャクダン, 45,上村洋, 4.7, 29,  -6, -43, 4,  7.6,③③⑦,,,,,,,,,,,,,,,,,,,,,,,,,14,12,Ｈダイワスピリット, 76,鮫島良, 1.9, 69,* 21, -35, 6, 22.0, ②②
15,10,Ｄマンカイノハナ, 48,太宰啓, 5.0, 27,  -5, -44, 9, 40.4,③⑤⑤,,,,,,,,,,,,,,,,,,,,,,,,,15, 7,Ｉブラックエンブレム, 75,岩田康, 2.1, 65,* 18, -34, 4,  7.2, ③③
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,14,Ｍウォｰタｰリメイン, 69,佐久間, 2.9, 61,   7, -19,15,129.6, ⑱⑱
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,13,Ｑジョｰイロンデル, 55,太宰啓, 2.9, 60,* 18, -45,17,253.4, ③③
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18, 3,Ｐブライティアカペラ, 57,上村洋, 4.9, 45,   8, -49,18,294.0, ⑦⑰
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-18 馬場:稍重(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:稍重(指数:5),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:稍重(指数:5),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:重(指数:5),,,,,,,,,,,
"単勝:1,020円 複勝:12=320円 07=140円 03=170円 枠連:850円",,,,,,,,,,,,単勝:140円 複勝:04=110円 03=180円 02=120円 枠連:0円,,,,,,,,,,,,"単勝:1,060円 複勝:02=250円 06=170円 05=380円 枠連:2,260円",,,,,,,,,,,,"単勝:2,320円 複勝:18=570円 10=640円 11=130円 枠連:7,470円",,,,,,,,,,,
"馬連:1,590円 ワイド:07-12=620円 03-12=1,060円 03-07=310円",,,,,,,,,,,,馬連:540円 ワイド:03-04=230円 02-04=150円 02-03=320円,,,,,,,,,,,,"馬連:2,020円 ワイド:02-06=750円 02-05=1,520円 05-06=970円",,,,,,,,,,,,"馬連:23,040円 ワイド:10-18=5,190円 11-18=1,070円 10-11=1,100円",,,,,,,,,,,
"馬単:4,810円 3連複:2,210円 3連単:18,960円",,,,,,,,,,,,"馬単:650円 3連複:450円 3連単:1,420円",,,,,,,,,,,,"馬単:5,650円 3連複:7,970円 3連単:60,590円",,,,,,,,,,,,"馬単:46,910円 3連複:15,920円 3連単:151,600円",,,,,,,,,,,
■ 2R  芝1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 5R  ダ1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 8R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■11R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,美作特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ａシゲルエボシダケ, 62,角田晃,, 58,  -5,*  8, 2,  5.0, ⑨⑩, 1, 7,Ｃアグネスシャイン, 61,浜中俊,, 72,* 10,  -2, 1,  2.8, ①①, 1, 6,Ａタニノジュレップ, 74,鮫島良,, 70,* 11,   6, 3,  5.0, ①①, 1, 6,Ｅナイアガラ, 71,幸英明,, 73,* -1,   3, 3,  5.6,②②②
 2,11,Ｃババロア, 52,四位洋, 0.0, 57,  -1,   1, 5, 13.6, ③③, 2, 9,Ｅユウキアックン, 57,橋本美, 0.2, 71,*  7,  -1, 5,  7.9, ③②, 2,14,Ｏニシノヴァネッサ, 63,酒井学, 0.0, 69,   2,  14, 6, 15.8, ⑦⑦, 2, 2,Ｂマルカハンニバル, 77,角田晃, 0.0, 71,* -1,   3, 2,  4.3,①①①
 3,10,Ｊサザンウィスパｰ, 41,幸英明, 0.0, 57,*  2,  -5, 7, 30.7, ①①, 3, 4,Ａテイエムセレス, 62,和田竜, 0.2, 72,   7,   1, 2,  5.0, ⑤④, 3, 5,Ｈテイエムフルパワｰ, 65,太宰啓, 0.2, 68,   2,  13,11, 43.0, ⑨⑦, 3, 1,Ｃアヴェンティｰノ, 75,浜中俊, 0.1, 77,  -5,* 11, 4,  6.2,③④④
