08年11月 2日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年11月 2日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1150m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  ダ1150m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 7R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■10R  芝2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12, 7,Ｐケｰジｰヤマユリ, 19,黛弘人, 3.2, 37,  -3, -18,11, 99.2, ⑥⑥,12,16,Ｍマホロバ, 54,小林慎, 2.1, 59,   0,   2,15,199.7, ⑫⑬,12, 7,Ｊヒデフジ, 63,田辺裕, 1.0, 57,  -8,   1,13, 52.5, ⑩⑫,12,10,Ｎステラカデンテ, 61,嘉藤貴, 0.8, 66,  -7,  12, 9, 21.6,⑥⑩⑦
13, 1,Ｋマルサンアツヒメ, 42,草野太, 3.2, 35,  -4, -19,14,155.5, ⑥⑥,13, 6,Ｉサンクスヘヴン, 66,丸田恭, 2.2, 57,   2,  -2,10, 80.0, ⑨⑧,13,10,Ｏガイアヴァンテ, 52,菅原勲, 1.1, 56,  -6,  -1,15,139.1, ⑧⑧,13, 5,Ｌダイワアンリ, 62,津村明, 0.9, 67,  -7,  12,16,181.2,⑥⑩⑦
14,11,Ｍルビｰマダム, 37,丸田恭, 3.3, 33,  -9, -14,15,241.4, ⑭⑮,14, 4,Ｏスナｰクコンコルド, 48,高橋智, 2.4, 53,  -7,   3,16,248.7, ⑯⑬,14,12,Ｍカシノカスケｰド, 58,野元昭, 1.3, 53,  -9,  -2,16,198.1, ⑪⑬,14,12,Ｇオウシュウヘイロｰ, 70,二本柳, 1.0, 65,  -8,  13, 8, 20.1,⑭⑭⑭
15,12,Ｏコスモアムｰル, 24,津村明, 3.3, 35,  -2, -20, 9, 53.2, ⑥⑧,15,15,Ｐエｰシンエｰユｰ, 43,大下智, 2.7, 53,  -4,  -2,11,157.3, ⑮⑬,15, 9,Ｂキングオブザベスト, 74,横山義, 1.3, 53,*  2, -12, 8, 20.8, ②⑥,15, 6,Ｋエバｰブライト, 63,田中博, 1.2, 64,  -9,  10,11, 50.3,⑬⑭⑭
16, 2,Ｆプリティオｰドリｰ, 52,石橋脩, 3.4, 38,*  5, -27, 4, 17.2, ②②,16, 2,Ｌティｰビスティｰ, 57,田中博, 4.7, 35,  -1, -21,13,169.2, ⑫⑬,16,14,Ｐリワｰドファントム, 49,大野拓, 1.5, 51,  -2, -10,14,106.0, ④⑥,16, 4,Ｐチキリボｰイ, 58,赤木高, 1.2, 58,* -5,  -1,12, 66.1,①①②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-3),,,,,,,,,,,
単勝:140円 複勝:13=110円 10=420円 16=380円 枠連:320円,,,,,,,,,,,,単勝:250円 複勝:01=140円 07=250円 05=210円 枠連:300円,,,,,,,,,,,,"単勝:1,870円 複勝:16=400円 01=150円 06=130円 枠連:870円",,,,,,,,,,,,"単勝:380円 複勝:01=180円 02=360円 13=390円 枠連:2,060円",,,,,,,,,,,
"馬連:1,100円 ワイド:10-13=540円 13-16=560円 10-16=3,070円",,,,,,,,,,,,"馬連:1,140円 ワイド:01-07=540円 01-05=630円 05-07=660円",,,,,,,,,,,,"馬連:3,120円 ワイド:01-16=970円 06-16=990円 01-06=330円",,,,,,,,,,,,"馬連:1,930円 ワイド:01-02=800円 01-13=1,430円 02-13=2,280円",,,,,,,,,,,
