08年 2月11日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 2月11日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  芝3000m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1400m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1400m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,雲雀ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｂデスロｰル, 59,勝浦正,, 61,  -4,*  4, 4,  8.8, ⑭⑫, 1, 8, ラドランデンジャｰ,,横山義,,,,, 3,  7.4,①①①, 1,10,Ｃセッカチセｰジ, 68,田中勝,, 78,   5,*  8, 4,  8.3, ⑦⑦, 1,12,Ｋハイソサエティｰ, 80,柴田善,, 83,  11,   2, 1,  3.5, ⑩⑦
 2,12,Ｅバイヨン, 55,横山典, 0.2, 61,   3,  -5, 1,  2.2, ⑥⑤, 2, 2, ヒシバトル,,山本康,200.7,,,, 5, 11.9,⑥⑥④, 2,12,Ｈアバレダイコ, 62,安藤勝, 0.9, 69,   3,*  4, 1,  3.2, ⑨⑨, 2,11,Ｌハネダテンシ, 79,蛯名正, 0.0, 82,  10,   4, 5,  9.9, ⑨⑩
 3, 2,Ｎシルクファラオ, 30,柴田善, 0.6, 55,   0,  -7, 6, 17.4, ⑤⑦, 3,10, オｰプンガｰデン,,江田勇,200.7,,,, 4, 11.3,④②②, 3, 7,Ｅアポロラムセス, 68,勝浦正, 1.0, 70,   5,  -1, 3,  4.7, ⑥⑥, 3,16,Ｈチョウカイキセキ, 81,横山典, 0.1, 79,  -3,* 20, 8, 20.6, ⑯⑯
 4, 1,Ｄヴァンリュミエｰル, 57,郷原洋, 0.6, 56,  -3,* -2, 9, 23.4, ⑩⑪, 4, 3, スリｰエリシオ,,佐久間,201.5,,,, 7, 16.0,⑧③③, 4,14,Ｍナンヨｰリバｰ, 57,柴田善, 1.4, 66,*  7,  -7, 5, 11.5, ④④, 4, 9,Ｎヒシハイグレｰド, 77,小林淳, 0.1, 80,   7,   5,14, 62.3, ⑫⑪
 5,16,Ｇストロングマリオン, 51,木幡初, 0.9, 54,   2, -11, 8, 18.7, ⑦⑥, 5, 6, ハイタイド,,北沢伸,202.0,,,, 2,  5.5,⑪⑪⑫, 5,11,Ｇエイシンキャップ, 66,津村明, 1.5, 65,   4,  -3,10, 37.5, ⑧⑧, 5, 7,Ａウインディグニティ, 84,ペリエ, 0.1, 79,   6,   8, 7, 19.3, ⑭⑬
 6, 3,Ｌエプソムスティｰヴ, 36,大庭和, 1.6, 48,   0, -15,14,120.6, ⑧⑧, 6, 1, ユウタｰビスケット,,水出大,202.2,,,,10, 70.6,⑨⑨⑧, 6, 6,Ｂステディｰラブ, 69,田中博, 1.6, 63,  -2,*  3, 6, 19.8, ⑬⑬, 6, 8,Ｆタイキシルバｰ, 82,大庭和, 0.1, 80,   5,*  9, 9, 21.1, ⑮⑭
 7, 7,Ａペプチドラヴ, 62,田中博, 1.7, 47,  -2, -13, 2,  5.2, ⑨⑨, 7, 9, スガノロイヤル,,平沢健,202.8,,,,14,204.9,⑫⑩⑨, 7,16,Ｏライムライトシチｰ, 53,柴山雄, 2.1, 58,  -4,   2,13, 67.3, ⑭⑭, 7,15,Ｊアドマイヤカリブ, 80,村田一, 0.2, 82,* 14,  -4, 3,  5.2, ④④
 8,10,Ｃエフティメガミ, 58,大野拓, 1.7, 47,  -3, -13, 7, 17.9, ⑪⑩, 8, 5, プラチナブラック,,柴田大,202.9,,,,13,138.8,⑬⑫⑪, 8, 3,Ｆエイワイエヤス, 67,横山典, 2.3, 57,   0,  -6, 7, 20.0, ⑩⑩, 8, 4,Ｄグランプリオｰロラ, 83,戸崎圭, 0.3, 79,   9,   2,10, 27.0, ⑧⑨
