08年 1月26日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 1月26日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 7R  芝2600m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝1200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,かささぎ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｂチャｰムキャップ, 63,的場勇,, 67,  -1,*  4, 1,  2.1, ⑤④, 1, 8,Ｂコパノジングｰ, 62,鮫島良,, 65,  -4,*  5, 5,  9.1,⑧⑤⑤, 1, 3,Ｆメイショウイチバン, 69,中舘英,, 77,  19,*-23, 6, 26.2,⑤⑤④, 1,14,Ｄマチカネハヤテ, 68,渡辺薫,, 67,  -1,   0, 4, 18.3, ④②
 2, 9,Ｈフジマサルビｰ, 51,池崎祐, 0.4, 61,  -7,*  4, 6, 21.0, ⑨⑩, 2,10,Ａキングオブカルト, 67,ペリエ, 0.0, 62,* -1,  -1, 1,  2.5,②②①, 2, 5,Ａハギノジョイフル, 77,ペリエ, 0.1, 75,* 20, -28, 1,  1.6,②②②, 2, 4,Ｈリｰヴタイム, 59,芹沢純, 0.2, 63, -10,*  7,12,125.0, ⑭⑭
 3,12,Ａマイネアクトナイン, 63,浜中俊, 0.5, 61,*  4,  -3, 2,  3.7, ②②, 3, 4,Ｅメインストリｰム, 58,鮫島克, 0.2, 62,  -3,   0, 3,  4.2,⑥④②, 3, 9,Ｇレイトスプリング, 67,的場勇, 0.6, 73,* 20, -35, 4, 14.9,⑤①①, 3,13,Ｉアグネスクリスタル, 59,北村友, 0.3, 62,  -4,  -1, 5, 23.7, ⑦⑥
 4, 4,Ｆレディマハロ, 53,太宰啓, 0.6, 58, -10,*  5, 3,  5.7, ⑪⑩, 4, 3,Ｃフィッツロイ, 59,中舘英, 0.4, 60,* -1,  -6, 2,  4.1,③②②, 4,10,Ｄイブキレボルシオン, 73,赤木高, 0.8, 71,  19, -32, 3, 11.9,⑪⑥②, 4, 1,Ａサクライダテン, 76,ペリエ, 0.3, 60,*  2,  -6, 1,  1.8, ②②
 5, 5,Ｉマキハタハンタｰ, 50,芹沢純, 0.7, 60,*  4,  -5,10, 69.0, ①①, 5, 5,Ｈゴｰルデンストｰム, 46,荻野琢, 1.0, 54,  -3, -10, 7, 70.5,⑤⑤⑥, 5, 1,Ｉメルシｰゴｰルド, 63,北村友, 0.8, 72,  13,*-16, 8, 52.3,⑪⑪⑩, 5, 8,Ｎナリタスレンダｰ, 54,田中健, 0.4, 61,  -7,*  1,11, 99.4, ⑩⑥
 6, 3,Ｅシゲルスペランツァ, 54,鮫島克, 1.0, 56,  -1,  -4, 8, 46.6, ⑥⑥, 6, 7,Ｄロｰドインペリアル, 59,松田大, 1.3, 50,*  0, -21, 4,  5.0,①①②, 6,11,Ｋキンショｰハヤテ, 63,丸田恭, 1.2, 70,  16, -30,12,134.5,⑨⑨⑨, 6, 9,Ｃデビルズコｰナｰ, 71,中舘英, 0.6, 58,*  4, -13, 2,  4.1, ①①
 7, 1,Ｋウォｰタｰルフラン, 47,藤岡康, 1.1, 55,  -3,  -5, 5, 17.0, ⑦⑥, 7, 6,Ｊチョウスタｰ, 28,太宰啓, 2.0, 47,  -7, -15, 9,181.5,⑩⑨⑨, 7, 7,Ｈサチノマックイｰン, 66,安藤光, 1.3, 70,  18, -33,11, 86.4,⑦⑧⑥, 7, 5,Ｍマルブツキング, 54,太宰啓, 0.7, 57,  -8,  -3, 9, 50.1, ⑩⑩
 8, 2,Ｍパｰプルコランダム, 35,宮崎北, 1.1, 53,  -7,  -2,11,195.9, ⑨⑧, 8, 9,Ｆダンスワイズ, 48,渡辺薫, 2.1, 45,  -3, -25, 6, 54.7,⑥⑤⑥, 8, 2,Ｃエプソムプライマリ, 74,二本柳, 1.9, 66,  15, -36, 5, 17.8,⑨⑩⑪, 8,15,Ｇバクシンミノル, 61,古川吉, 0.9, 54,  -2, -10,10, 79.5, ⑤⑤
