08年 8月10日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 8月10日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1700m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,KBC杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12, 4,Ｉエｰシンクライン, 36,川田将, 2.9, 27, -10, -24,10,120.7, ⑩⑩,12, 3, ナショナルキッド,---,熊沢重, 3.4,  9, -22, -22, 9, 39.7, ⑬⑬,12,10,Ａハイアベレｰジ, 69,吉田隼, 2.8, 38,*  3, -56, 2,  4.2,②②⑤,12, 2,Ｍセトノシェｰバｰ, 80,酒井学, 3.5, 71,   4,   6,15,186.8,⑬⑮⑬
13, 7,Ｊオモイノママニ, 32,小坂忠, 2.9, 29,*  8, -42,11,125.7, ②③,13, 6, ニシノアクエリオン,---,川田将, 3.4, 21,  -4, -41, 4, 10.8, ④⑥,13,18,Ｒバトルユｰタロｰ, 33,太宰啓, 3.0, 37,  -1, -48,18,221.9,⑦⑪⑫,13, 1,Ｎフレンドシップ, 76,熊沢重, 3.8, 68,   5,   0,13,103.1,⑮⑪⑪
,,,,,,,,,,,,,,,,,,,,,,,,14, 8,Ｎメイショウクレスタ, 43,飯田祐, 3.0, 36,  -1, -49,13, 82.7,⑥⑧⑫,14, 9,Ｋナリタプレリュｰド, 82,佐藤哲, 7.6, 41,   4, -31,11, 49.2,⑪⑭⑭
,,,,,,,,,,,,,,,,,,,,,,,,15, 5,Ｏダイレクトシチｰ, 40,船曳文, 3.2, 34,  -2, -50,17,176.0,⑨⑯⑮,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16,17,Ｑトミｰラヴ, 36,岩田康, 3.9, 29,  -4, -54, 7, 21.1,⑫⑰⑰,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17, 2,Ｐオｰスミクレｰバｰ, 39,田中健, 4.5,  7,*  4, -83,12, 55.4,①①⑤,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18,14,Ｅネオフリｰダム, 57,田中克, 4.8,  6,   0, -76, 8, 25.1,④⑧⑯,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-17 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:88 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-2),,,,,,,,,,,
"単勝:1,000円 複勝:11=210円 09=140円 13=110円 枠連:900円",,,,,,,,,,,,"単勝:260円 複勝:12=110円 08=300円 01=120円 枠連:1,590円",,,,,,,,,,,,"単勝:320円 複勝:15=150円 11=220円 13=2,140円 枠連:630円",,,,,,,,,,,,単勝:330円 複勝:14=160円 12=460円 13=150円 枠連:380円,,,,,,,,,,,
"馬連:2,220円 ワイド:09-11=630円 11-13=350円 09-13=200円",,,,,,,,,,,,"馬連:2,570円 ワイド:08-12=690円 01-12=150円 01-08=740円",,,,,,,,,,,,"馬連:1,050円 ワイド:11-15=480円 13-15=3,950円 11-13=7,590円",,,,,,,,,,,,"馬連:5,260円 ワイド:12-14=1,560円 13-14=330円 12-13=1,410円",,,,,,,,,,,
"馬単:5,280円 3連複:1,170円 3連単:12,620円",,,,,,,,,,,,"馬単:3,210円 3連複:1,430円 3連単:9,190円",,,,,,,,,,,,"馬単:1,720円 3連複:26,360円 3連単:108,470円",,,,,,,,,,,,"馬単:7,800円 3連複:6,160円 3連単:39,910円",,,,,,,,,,,
■ 2R  ダ1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 5R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 8R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■11R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,秋吉台特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
