08年 8月17日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 8月17日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝1800m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝1500m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ札幌,,,,,,,,,,,,,,,,,,,,,,,,小樽特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12,11,Ｅアンクレットブｰツ, 55,丸田恭, 4.7, 22,   0, -33, 7, 29.4, ⑥⑦,,,,,,,,,,,,,12, 8,Ｍクレｰプシュゼット, 54,田中勝, 2.8, 58,  -1,  -1, 7, 42.9,⑪⑫⑫,12, 3,Ｎライセンシｰ, 48,北村友, 0.8, 63,  10, -11, 6, 15.4,③⑤⑦
,,,,,,,,,,,,,,,,,,,,,,,,13,11,Ｊエフティメガミ, 66,蛯名正, 3.1, 55,   5, -14, 8, 43.6,⑨⑧⑨,13,11,Ｆショウナンタイトル, 65,武幸四, 1.2, 59,  10, -17, 9, 24.8,③②④
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-15 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-2),,,,,,,,,,,
単勝:180円 複勝:07=110円 08=230円 02=630円 枠連:700円,,,,,,,,,,,,単勝:240円 複勝:03=130円 05=160円 09=200円 枠連:650円,,,,,,,,,,,,単勝:480円 複勝:06=190円 05=250円 01=180円 枠連:960円,,,,,,,,,,,,単勝:370円 複勝:12=160円 14=210円 13=380円 枠連:690円,,,,,,,,,,,
"馬連:810円 ワイド:07-08=390円 02-07=1,250円 02-08=3,120円",,,,,,,,,,,,馬連:650円 ワイド:03-05=250円 03-09=380円 05-09=610円,,,,,,,,,,,,"馬連:2,050円 ワイド:05-06=530円 01-06=420円 01-05=580円",,,,,,,,,,,,"馬連:1,140円 ワイド:12-14=500円 12-13=1,050円 13-14=1,220円",,,,,,,,,,,
"馬単:1,080円 3連複:6,910円 3連単:19,280円",,,,,,,,,,,,"馬単:1,270円 3連複:1,840円 3連単:6,080円",,,,,,,,,,,,"馬単:3,900円 3連複:2,360円 3連単:16,060円",,,,,,,,,,,,"馬単:1,790円 3連複:4,050円 3連単:17,330円",,,,,,,,,,,
■ 2R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 5R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 8R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■11R  芝1800m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大倉山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｃカズノブライアン, 58,荻野琢,, 68,  -3,* 10, 5,  7.5,⑨⑤②, 1, 3,Ｂグロッケンライン, 58,柴山雄,, 69,*  5,*  1, 3,  5.1,④③②, 1, 1,Ｉジェントルフォｰク, 70,安藤勝,, 76,   8,*  5, 1,  3.4,④④③, 1, 4,Ｆダイワスピリット, 70,武幸四,, 79,*  2,  13, 2,  3.6,①①②
 2,10,Ｊケイエムチャンス, 52,小牧太, 1.0, 59,* -1,  -1, 2,  4.8,②②②, 2, 9,Ｃレオアヴァロン, 58,蛯名正, 0.2, 66,*  5,* -4, 1,  2.3,②①①, 2, 5,Ｄマッシヴエンペラｰ, 73,小牧太, 0.1, 75,* 10,   1, 4,  7.6,①①①, 2, 5,Ｃケンブリッジマイア, 77,小牧太, 0.0, 79,*  1,  14, 7, 18.6,②②①
 3, 3,Ｈアドマイヤシック, 53,田中勝, 1.2, 60,  -3,   0, 1,  3.4,⑦⑤④, 3, 2,Ａショウナンマライア, 59,藤田伸, 1.1, 60,   2,  -4, 4, 11.7,⑧⑥④, 3, 7,Ｅナムラマハラジャ, 73,長谷川, 0.3, 77,   5,*  8,10, 74.1,⑨⑨⑧, 3, 3,Ａマイネヴェロナ, 84,津村明, 0.0, 81,   0,  18, 1,  2.4,③④④
