08年 8月16日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 8月16日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1500m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-11,,,,,■ 4R  芝1500m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ2400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝2600m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ札幌,,,,,,,,,,,,,,,,,,,,,,,,支笏湖特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12, 4,Ｈヨシインゾｰン, 41,武幸四, 1.7, 41, -10, -15, 9, 46.9,④⑦⑧,12,11, プロウスト,---,北村友, 2.1, 40,  -8, -21,10, 34.8,⑬⑫⑨,12, 7,Ｅティグフォルテ, 71,千田輝, 7.3, 43,   8, -63, 8, 29.1,①⑥⑨,,,,,,,,,,,,
13, 8,Ｌコｰド, 29,荻野琢, 1.9, 39, -12, -15,13,163.7,⑦⑨⑫,13, 8, テイクフライト,---,松田大, 4.3, 19,* -3, -58, 6, 19.3,②②④,,,,,,,,,,,,,,,,,,,,,,,,
14,12,Ｋマイネルヘリオス, 31,津村明, 2.4, 33,* -6, -29,14,227.4,②②②,14, 6, ピエナマックス,---,大野拓, 5.0,  3,* -3, -67,12, 61.7,②②⑫,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-22 馬場:稍重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:81 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:0),,,,,,,,,,,
単勝:430円 複勝:06=140円 14=170円 01=140円 枠連:780円,,,,,,,,,,,,"単勝:360円 複勝:12=160円 01=1,850円 04=280円 枠連:11,690円",,,,,,,,,,,,"単勝:330円 複勝:05=130円 04=180円 10=120円 枠連:1,570円",,,,,,,,,,,,単勝:250円 複勝:05=130円 03=140円 04=140円 枠連:660円,,,,,,,,,,,
"馬連:1,120円 ワイド:06-14=410円 01-06=260円 01-14=440円",,,,,,,,,,,,"馬連:22,890円 ワイド:01-12=5,840円 04-12=790円 01-04=8,620円",,,,,,,,,,,,"馬連:1,650円 ワイド:04-05=440円 05-10=230円 04-10=540円",,,,,,,,,,,,馬連:700円 ワイド:03-05=280円 04-05=250円 03-04=260円,,,,,,,,,,,
"馬単:2,030円 3連複:1,190円 3連単:7,100円",,,,,,,,,,,,"馬単:33,290円 3連複:74,010円 3連単:441,670円",,,,,,,,,,,,"馬単:2,420円 3連複:1,430円 3連単:8,980円",,,,,,,,,,,,"馬単:1,050円 3連複:780円 3連単:3,190円",,,,,,,,,,,
■ 2R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 5R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 8R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■11R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,白鳥大橋特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｃテイクザスカイ, 60,三浦皇,, 61,   4,*  6, 2,  3.7, ③③, 1, 3,Ｅニシノシャア, 58,武幸四,, 64,   2,*  2, 5, 12.1,⑤③③, 1, 9,Ｇココシュニック, 67,四位洋,, 70,*  8,  -2, 1,  3.2,①①①, 1, 2,Ａブルｰレパｰド, 80,安藤勝,, 78,* 13,   2, 1,  3.9,①①①
 2, 3,Ｊコアレスカポｰテ, 43,池添謙, 0.4, 56,  -6,*  9, 6, 58.9, ⑩⑦, 2, 7,Ｈエナｰジバイオ, 52,丸田恭, 0.2, 64,  -1,*  5, 7, 15.5,⑪⑩⑨, 2, 7,Ａイノチノアカリ, 75,武幸四, 0.6, 67,   4,*  2, 2,  4.8,⑪⑩③, 2, 9,Ｈトウショウアタック, 75,松田大, 0.2, 79,  10,*  5, 8, 47.6,⑥④④
 3, 7,Ａバｰドダムｰル, 64,鈴来直, 0.4, 59,*  8,   0, 3,  7.8, ①①, 3,11,Ｆヨシクリスエス, 58,菊沢隆, 0.6, 62,  -2,*  3, 9, 35.4,⑪⑫⑩, 3, 8,Ｂコパノタイマネ, 74,的場勇, 0.7, 67,   4,  -1, 3,  5.4,⑧⑥③, 3,10,Ｉマドンナブラボｰ, 73,柴原央, 0.5, 75,* 12,  -2,13, 85.3,②②②
 4, 8,Ｂファジｰネｰブル, 62,津村明, 0.5, 57,*  7,   0, 5, 17.8, ②②, 4, 5,Ｄアドマイヤジョイ, 59,的場勇, 1.0, 58,   2,  -7, 1,  3.5,⑨③④, 4, 5,Ｄブリズデロｰトンヌ, 71,菊沢隆, 1.0, 64,   4,  -4, 6, 14.0,⑥⑥⑦, 4, 5,Ｋウォｰタｰクルｰズ, 71,古川吉, 0.5, 79,   8,*  7,11, 57.2,⑨⑨⑥
 5, 9,Ｄアスタｰヘイロｰ, 58,秋山真, 0.5, 57,   2,   4, 4,  9.6, ⑤④, 5,10,Ｃヴォイジャｰ, 61,津村明, 1.0, 57,*  3, -10, 2,  3.7,①①①, 5, 4,Ｊマルサンサイレンス, 64,丸田恭, 1.0, 65,   1,*  3,11, 46.4,⑫⑫⑪, 5, 1,Ｃストｰムタイガｰ, 78,池添謙, 0.8, 73,* 11,  -2, 3,  4.9,④③③
 6, 1,Ｅアドマイヤアモｰレ, 57,安藤勝, 1.2, 47,  -9,   4, 1,  1.6, ⑪⑩, 6, 1,Ｉツルギライジング, 50,郷原洋, 1.2, 56,   1,  -6,12,106.5,⑤⑧⑦, 6,12,Ｈタガノレイヤｰド, 66,北村友, 1.3, 60,*  8, -11, 5, 12.3,②②②, 6,11,Ｇマルブツブラボｰ, 77,秋山真, 1.1, 75,   6,*  7, 7, 16.2,⑩⑪⑦
 7, 5,Ｆヤマサエレガント, 55,北村友, 1.2, 48,   3,  -4, 9, 97.9, ⑤④, 7, 8,Ａビクタｰズレイ, 66,安藤勝, 1.4, 54,*  2, -11, 3,  3.7,⑤③④, 7,11,Ｃオｰクヒルズ, 72,三浦皇, 1.4, 60,   5,  -8, 4,  5.4,⑥⑥⑨, 7, 4,Ｊオｰキッドコｰト, 72,小林徹, 1.2, 72,   8,   0, 9, 51.7,⑦⑦⑤
 8, 2,Ｇキングセンプｰ, 52,武英智, 1.4, 47,  -4,  -1, 8, 74.6, ⑦⑦, 8,12,Ｌドｰンオンザケｰプ, 37,三浦皇, 1.5, 52,*  2, -13, 8, 22.9,②②②, 8, 1,Ｋボルガ, 64,荻野琢, 1.8, 60,   6, -12,12,114.5,③③⑥, 8, 7,Ｅエプソムボス, 77,大野拓, 2.0, 67,   4,   0,10, 53.9,⑫⑫⑨
 9, 6,Ｉアラクネベガ, 47,大野拓, 1.5, 47,  -3,  -2, 7, 70.0, ⑦⑦, 9, 4,Ｂタペストリｰ, 62,古川吉, 2.1, 52,   2, -16, 6, 15.1,③③⑦, 9,10,Ｅベルテッセン, 69,長谷川, 1.8, 61,   6, -13,10, 36.0,⑧③③, 9, 3,Ｂヘイアンルモンド, 80,四位洋, 2.1, 64,   6,  -5, 4,  5.5,⑩⑩⑨
10, 4,Ｈマイディアダｰリン, 47,河北通, 2.0, 40,  -3,  -7,11,196.5, ⑦⑩,10, 6,Ｋシルクアステｰル, 46,梶晃啓, 2.9, 44,   0, -20,11, 95.2,⑤⑧⑩,10, 6,Ｉスズカゲラン, 64,河北通, 2.3, 56,   3, -12, 9, 29.3,⑧⑩⑨,10, 8,Ｆランキング, 77,藤田伸, 3.2, 56,   8, -17, 2,  4.9,⑦⑦⑦
11,11,Ｋマンテンテイオｰ, 37,芹沢純, 2.1, 41,   4, -13,10,143.5, ③④,11, 9,Ｊプリティアリエル, 49,池添謙, 3.0, 44,*  3, -24,10, 50.6,③③④,11,13,Ｌフィフスアベニュｰ, 60,小林徹, 2.8, 52,   6, -22, 7, 14.3,⑤③⑦,11,13,Ｍアウトオブサイト, 56,長谷川, 4.3, 52,   9, -28,12, 65.1,②⑥⑨
,,,,,,,,,,,,12, 2,Ｇディアプリマ, 56,藤田伸, 3.3, 41,  -1, -22, 4,  9.6,⑨⑩⑫,12, 2,Ｍディｰズテンダｰ, 52,横山典, 2.8, 50,   5, -20, 8, 21.3,③⑥⑫,12,12,Ｌフェラｰリセブン, 68,三浦皇, 5.1, 43,  10, -36, 6, 11.7,④④⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:稍重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:稍重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:稍重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:稍重(指数:-3),,,,,,,,,,,
"単勝:370円 複勝:10=220円 03=1,530円 07=230円 枠連:7,720円",,,,,,,,,,,,"単勝:1,210円 複勝:03=380円 07=470円 11=650円 枠連:2,080円",,,,,,,,,,,,単勝:320円 複勝:09=140円 07=150円 08=160円 枠連:380円,,,,,,,,,,,,"単勝:390円 複勝:02=190円 09=1,140円 10=2,050円 枠連:810円",,,,,,,,,,,
"馬連:6,310円 ワイド:03-10=1,470円 07-10=400円 03-07=2,590円",,,,,,,,,,,,"馬連:6,700円 ワイド:03-07=2,080円 03-11=2,340円 07-11=3,040円",,,,,,,,,,,,馬連:770円 ワイド:07-09=280円 08-09=400円 07-08=310円,,,,,,,,,,,,"馬連:8,630円 ワイド:02-09=2,640円 02-10=4,760円 09-10=19,030円",,,,,,,,,,,
"馬単:10,650円 3連複:10,770円 3連単:63,510円",,,,,,,,,,,,"馬単:16,150円 3連複:40,240円 3連単:231,300円",,,,,,,,,,,,"馬単:1,360円 3連複:1,150円 3連単:4,750円",,,,,,,,,,,,"馬単:13,990円 3連複:163,380円 3連単:619,490円",,,,,,,,,,,
