08年 7月26日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 7月26日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 7R  ダ1200m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■10R  ダ1800m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,麒麟山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｂショウナンサミット, 47,吉田豊,, 52,  -8,*  7, 4,  8.1, ⑥⑥, 1, 4,Ｂフジベガ, 69,黛弘人,, 66,  -1,*  8, 7, 20.5,⑤⑦⑦, 1, 2,Ａマハｰバリプラム, 88,武豊  ,, 79,*  5,* 11, 1,  1.5, ②①, 1,14,Ｌケイアイスイジン, 76,田中勝,, 84,   6,* 18, 4,  7.6,⑤⑤③
 2, 7,Ｊフォｰジドスチｰル, 30,高山太, 0.3, 48, -12,*  9,10, 67.5, ⑨⑧, 2, 3,Ａメイスンファｰスト, 70,田中勝, 0.0, 66,*  2,   1, 1,  2.1,①①①, 2, 1,Ｇグレｰスエポナ, 71,蛯名正, 0.5, 75,   3,*  9, 5,  9.8, ③③, 2,12,Ａクリｰン, 86,武豊  , 0.0, 82,   5,* 19, 1,  2.5,⑤⑥⑥
 3,11,Ｄキュｰバンエイト, 44,福永祐, 0.6, 46,*  3, -14, 3,  6.0, ①①, 3, 6,Ｅラグｰナヒルズ, 60,内田博, 0.3, 62,  -1,*  4, 2,  4.9,⑦⑥⑤, 3, 6,Ｃタイセイハニｰ, 76,中舘英, 1.0, 69,*  6,   2, 3,  9.4, ①②, 3, 1,Ｂハイオン, 84,田中博, 0.2, 83,   7,  16, 3,  7.0,③③③
 4, 4,Ｇボンジュｰルボン, 36,田中博, 0.6, 45, -10,   3, 7, 32.8, ⑦⑦, 4, 8,Ｍショウカク, 46,千葉直, 0.7, 59,*  1,  -4, 3,  6.9,④③②, 4,11,Ｅヒカリマｰガレット, 72,内田博, 1.2, 68,   2,   4, 2,  7.6, ④③, 4, 5,Ｈベルグミサイル, 79,菅原勲, 0.4, 81,   4,* 18, 6, 12.4,⑦⑩⑨
 5, 2,Ｈサマｰセレブリティ, 34,石橋脩, 0.8, 44,  -1, -11, 6, 12.7, ④④, 5, 1,Ｇイクセルカントリｰ, 58,高山太, 1.5, 56,  -3,  -3,10, 76.4,⑫⑩⑩, 5, 7,Ｂステラｰホｰプ, 78,勝浦正, 1.3, 68,  -2,   6, 4,  9.7, ⑧⑦, 5, 9,Ｆウインクルセイド, 79,吉田豊, 0.6, 80,   5,  15, 8, 23.8,⑨⑥⑥
 6, 3,Ｅラヴリｰドリｰム, 43,蛯名正, 0.8, 44,   0, -14, 1,  2.0, ②②, 6,10,Ｄツクバプリティ, 61,田中博, 1.6, 58,  -2,  -2, 5, 10.2,⑩⑩⑪, 6,14,Ｆヤマニンプロロｰグ, 72,後藤浩, 1.4, 66,  -3,   6, 7, 28.3, ⑨⑨, 6, 8,Ｅメイショウゲンスイ, 80,後藤浩, 0.9, 75,   7,   9, 5,  8.9,④③③
 7,10,Ａチキｰタマダム, 48,内田博, 1.2, 39,   0, -18, 5, 11.8, ②②, 7, 7,Ｆパｰプルコランダム, 59,宮崎北, 1.6, 52,*  1, -12, 6, 17.7,②②②, 7, 8,Ｋイエロｰプリマ, 64,菅原勲, 1.6, 66,  -4,   7,10,100.2, ⑫⑨, 7, 4,Ｋロｰタスシチｰ, 76,中舘英, 1.1, 73,*  9,   4,10, 37.5,①①①
 8, 6,Ｉヴィｰヴァコルサ, 33,柴山雄, 1.5, 34, -13,  -5, 9, 59.7, ⑩⑩, 8,15,Ｌクイックステップ, 47,嘉藤貴, 1.8, 55,  -4,  -3,13,214.9,⑮⑫⑪, 8, 9,Ｄタケデンヴィｰナス, 73,二本柳, 1.7, 63,  -1,   2, 9, 93.6, ⑦⑦, 8, 2,Ｊトｰセンベルボｰイ, 79,勝浦正, 1.2, 76,   3,  14,12, 70.7,⑫⑫⑫
