08年 8月24日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 8月24日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 4R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 7R  芝1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,飯豊特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ａドリｰムゼニス, 58,内田博,, 58,   7,*-10, 1,  1.7, ④⑤, 1, 4,Ａサンワｰドハｰレｰ, 66,内田博,, 67,  -8,* 17, 1,  1.8,③④③, 1,11,Ｅクレイジｰラブ, 59,石橋脩,, 66,*  2,* -6, 1,  2.6,   , 1,12,Ｄシベリアンクラシカ, 74,田中勝,, 84,   0,* 15, 1,  3.1, ③②
 2, 5,Ｆヒュｰゴライダｰ, 51,後藤浩, 0.2, 56,   7, -15,11, 62.5, ④③, 2,15,Ｂモリトパラダイス, 65,吉田豊, 0.0, 67,* -7,* 14, 2,  3.7,②②②, 2, 9,Ｃスウェプトワｰルド, 62,吉田豊, 0.2, 59,  -6,* -2, 2,  4.2,   , 2,13,Ｊノｰモアクライ, 69,石橋脩, 0.4, 78,*  6,   5, 9, 21.9, ①①
 3, 7,Ｄトｰセンボンヌマル, 53,吉田豊, 0.2, 57,   4,* -9, 4,  9.9, ⑨⑧, 3, 9,Ｃカチキナムスメ, 61,勝浦正, 0.9, 61,* -7,   7, 7, 28.3,③③③, 3, 6,Ｆドレストウショウ, 57,黛弘人, 0.3, 60,*  1,  -8, 8, 22.7,   , 3, 7,Ｌシャペロンルｰジュ, 66,嘉藤貴, 0.4, 79,  -4,  14, 5,  9.3, ⑤⑥
 4,10,Ｈラブミラｰ, 47,千葉直, 0.7, 52,   3,*-13,10, 45.7, ⑨⑭, 4,11,Ｊハチノヨウニサス, 50,中舘英, 1.1, 57,* -6,   3, 4, 10.3,①①①, 4, 2,Ａシチリアｰナ, 64,江田照, 0.3, 60,*  1,  -8, 3,  8.0,   , 4,11,Ａラドランファｰマ, 76,吉田豊, 0.6, 77,  -6,  14, 7, 15.1, ⑧⑧
 5, 1,Ｏマイネルサｰブル, 30,江田照, 0.8, 49,   7, -22,17,216.6, ⑨⑤, 5, 8,Ｅサマｰアンサンブル, 58,池崎祐, 1.1, 60,  -8,   8,12,142.9,⑤⑥⑤, 5,15,Ｈコスモドリｰミン, 54,内田博, 0.4, 54,  -9,* -2, 6, 20.0,   , 5, 8,Ｉゴｰルドクラウン, 69,後藤浩, 0.6, 76,  -3,  12,11, 28.6, ⑤④
 6,13,Ｎドリｰムルシｰド, 32,津村明, 1.0, 50,   4, -17, 9, 42.6, ⑮⑮, 6, 6,Ｆジャスティス, 58,千葉直, 1.5, 55, -10,   7, 3,  9.3,⑪⑩⑩, 6, 4,Ｇロングナイト, 56,津村明, 0.4, 60,*  1,  -9,10, 27.4,   , 6,10,Ｇセレスダイナミック, 72,内田博, 0.7, 73,   0,   6, 3,  6.2, ③④
 7, 8,Ｃプラｰジュ, 54,柴田善, 1.2, 47,   5, -23, 6, 20.2, ⑦⑧, 7, 7,Ｄタｰフドラゴン, 60,黛弘人, 1.5, 56,  -9,   5, 8, 44.6,⑦⑥⑦, 7,14,Ｎスズカランデブｰ, 49,勝浦正, 0.4, 58,  -3,  -7, 9, 22.8,   , 7, 9,Ｅアドマイヤフッキｰ, 73,村田一, 0.8, 73,*  3,   2, 6, 13.3, ②②
 8, 3,Ｂリｰチマイドリｰム, 56,柴山雄, 1.3, 44,*  9, -32, 2,  6.9, ②②, 8, 2,Ｇスズカクリエｰト, 57,田中勝, 1.6, 58, -11,   8, 5, 17.4,⑩⑫⑫, 8,13,Ｍヨシブレイクアウト, 49,柴山雄, 0.5, 55,  -3,  -8,15,132.9,   , 8, 3,Ｆスマｰトエッジ, 72,石神深, 0.8, 74,  -4,  11,12, 40.2, ⑧⑧
 9, 2,Ｍマイヨｰル, 36,田中博, 1.3, 46,* 10, -35, 7, 30.4, ①①, 9, 5,Ｎマイネルエｰス, 44,福永祐, 1.8, 55,  -9,   4, 6, 18.3,⑦⑨⑦, 9, 5,Ｂタイキルナ, 63,後藤浩, 0.8, 54,*  2, -16, 5, 14.6,   , 9, 1,Ｃスプリングタピアン, 75,福永祐, 0.9, 72,  -5,   9, 2,  5.0, ⑧⑩
10,17,Ｌリアルストロンガｰ, 40,中舘英, 1.4, 46,   5, -25, 5, 12.2, ⑦⑧,10,10,Ｈバイロンシチｰ, 56,津村明, 2.8, 45,  -8,  -7,10, 86.4,⑤④⑤,10,17,Ｐキョウエイノｰブル, 46,村田一, 0.9, 50,  -2, -15, 4,  8.2,   ,10, 6,Ｈゴｰルデンリング, 70,柴田善, 0.9, 75, -14,* 18, 4,  9.3, ⑬⑬
11, 6,Ｐザグ, 30,鷹野宏, 1.4, 45,   5, -24,15,172.0, ⑮⑧,11,14,Ｍヒロノキョウシュウ, 46,木幡初, 2.8, 46, -10,  -4, 9, 78.3,⑭⑩⑩,11, 8,Ｄティアップタイガｰ, 61,木幡初, 1.0, 46,  -7, -12,11, 30.6,   ,11, 4,Ｂホワイトリｰベ, 75,柴山雄, 1.0, 70,  -5,   8,10, 26.5, ⑧⑪
12,15,Ｇフェイスマナジェス, 47,田中勝, 1.4, 46,   3, -23,12, 80.1, ⑨⑫,12,12,Ｉミスチバスイブ, 52,石橋脩, 3.1, 43,  -9,  -9,15,305.7,⑨⑥⑦,12, 7,Ｉトライアルシチｰ, 52,田中勝, 1.0, 45, -11, -10, 7, 21.5,   ,12, 2,Ｍチアフルワｰルド, 64,勝浦正, 1.1, 71,  -8,   9,13, 88.2, ⑫⑫
13, 4,Ｑイルボッロ, 28,勝浦正, 1.6, 45,   5, -29,14,143.0, ⑭⑫,13, 3,Ｌトヨサンヨッシャｰ, 49,柴山雄, 3.6, 44, -13,  -6,13,193.8,⑭⑮⑬,13,18,Ｏバクシンウイナｰ, 47,小林淳, 1.3, 42,  -7, -16,14, 91.4,   ,13, 5,Ｋボムシェル, 69,中舘英, 1.1, 70,  -4,   5, 8, 15.4, ⑤⑥
14,14,Ｋニシノヴァンガｰド, 41,村田一, 1.6, 44,   3, -25,16,181.8, ⑮⑮,14, 1,Ｋグラスグルｰプ, 50,高山太, 4.9, 33, -12, -18,14,240.7,⑪⑬⑬,14, 1,Ｊヴィクトリアブルｰ, 50,田中博, 1.4, 39, -11, -15,13, 60.6,   ,,,,,,,,,,,,
15,11,Ｊサマｰセレブリティ, 45,石橋脩, 1.8, 42,   8, -38, 8, 30.9, ③③,15,13,Ｏスペシャルウェｰブ, 39,田中博, 6.6, 22, -12, -32,11,139.6,⑪⑬⑮,15, 3,Ｌハギノサフィラ, 50,宮崎北, 1.6, 36, -11, -18,18,282.8,   ,,,,,,,,,,,,
16,12,Ｅジャストルｰラｰ, 53,福永祐, 1.9, 40,   6, -36, 3,  9.8, ④⑤,,,,,,,,,,,,,16,12,Ｋジェネスサンライズ, 50,千葉直, 1.6, 36, -11, -18,16,144.4,   ,,,,,,,,,,,,
17,16,Ｉコスモダッシュ, 46,木幡初, 2.6, 35,   4, -39,13,126.2, ⑨⑮,,,,,,,,,,,,,17,16,Ｑサユリ, 45,福永祐, 1.8, 34, -13, -19,12, 46.3,   ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18,10,Ｒナモンアンブリｰ, 40,中舘英, 2.5, 13, -22, -23,17,228.2,   ,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-11 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:稍重(指数:-8),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:81 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:稍重(指数:1),,,,,,,,,,,
"単勝:170円 複勝:09=110円 05=1,040円 07=210円 枠連:3,830円",,,,,,,,,,,,単勝:180円 複勝:04=110円 15=130円 09=310円 枠連:270円,,,,,,,,,,,,単勝:260円 複勝:11=140円 09=150円 06=570円 枠連:650円,,,,,,,,,,,,"単勝:310円 複勝:12=160円 13=510円 07=250円 枠連:2,750円",,,,,,,,,,,
"馬連:5,240円 ワイド:05-09=1,930円 07-09=360円 05-07=3,940円",,,,,,,,,,,,馬連:270円 ワイド:04-15=140円 04-09=530円 09-15=790円,,,,,,,,,,,,"馬連:630円 ワイド:09-11=300円 06-11=1,450円 06-09=2,740円",,,,,,,,,,,,"馬連:2,980円 ワイド:12-13=1,130円 07-12=620円 07-13=3,090円",,,,,,,,,,,
"馬単:6,740円 3連複:10,600円 3連単:73,280円",,,,,,,,,,,,"馬単:440円 3連複:1,370円 3連単:3,330円",,,,,,,,,,,,"馬単:1,100円 3連複:8,140円 3連単:29,590円",,,,,,,,,,,,"馬単:4,750円 3連複:9,590円 3連単:45,440円",,,,,,,,,,,
■ 2R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 5R  芝2850m 3歳上未勝利 定量,,,,,,,,,,,,■ 8R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■11R  芝1400m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NSTｵｰﾌﾟﾝ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｂムラマサノメイトｰ, 56,小林淳,, 56,*  0,   0, 4,  8.4, ①①, 1,12, クリノダイマオｰ,,水出大,,,,, 8, 24.9,⑤③⑤, 1, 8,Ｆトウカイカントリｰ, 71,宮崎北,, 76,*  4,* 13, 7, 18.4, ②①, 1, 7,Ｅヤマニンエマイユ, 78,田中勝,, 83,   6,  12, 4,  8.3, ⑥⑥
 2,15,Ｇラヴリｰドリｰム, 46,木幡初, 0.0, 56,  -3,*  3, 3,  6.9, ④③, 2, 6, ツルガオカハヤテ,,横山義,187.6,,,, 1,  2.2,④③④, 2, 9,Ｅトｰセンマキシマム, 72,柴山雄, 0.5, 74,  -7,* 19, 1,  3.6, ⑫⑦, 2, 5,Ｃマイネルフォｰグ, 86,津村明, 0.1, 82,   9,   7, 3,  4.0, ⑤⑤
 3,13,Ｆコスモパイレット, 51,内田博, 0.5, 51,* -3,  -3, 1,  1.6, ③③, 3, 1, マイネルグリッツァ,,平沢健,187.7,,,, 2,  3.4,③③②, 3, 4,Ｄゴｰルドステイブル, 72,津村明, 0.5, 73,*  4,   8, 9, 22.6, ①②, 3, 1,Ｂロｰブデコルテ, 86,福永祐, 0.1, 80,   4,* 14, 2,  3.0, ⑦⑦
 4, 2,Ｄロトスカイブルｰ, 52,千葉直, 0.6, 50,  -8,*  2, 7, 31.6, ⑦⑦, 4, 5, シェイクマイハｰト,,宗像徹,188.1,,,, 3,  7.0,①①①, 4, 2,Ａパワｰクルセダｰ, 76,千葉直, 0.5, 73,   1,  11, 5, 12.0, ④③, 4, 2,Ｇロイヤルキャンサｰ, 76,柴田善, 0.5, 79,  12,  -1, 8, 41.3, ④③
 5,10,Ａイルドロｰル, 61,柴田善, 0.6, 51,* -1,  -4, 2,  6.4, ②②, 5,13, コウヨウウェｰブ,,五十嵐,188.2,,,, 6, 18.6,②②②, 5,11,Ｂティティボス, 73,内田博, 1.1, 67,*  2,   5, 3,  4.3, ③③, 5, 8,Ａマイネルレｰニア, 90,石橋脩, 0.8, 76,  13,  -6, 1,  3.0, ③③
 6,11,Ｉヴィｰヴァコルサ, 34,石橋脩, 0.9, 47, -12,*  3, 9, 72.1, ⑨⑧, 6,10, カズノダンシング,,穂苅寿,188.2,,,, 4,  9.9,⑤⑥⑥, 6, 5,Ｉテイエムヨカドｰ, 66,勝浦正, 1.2, 68,  -3,  10, 6, 18.3, ⑥⑥, 6, 4,Ｄマイネルハｰティｰ, 82,吉田豊, 0.8, 71,  -3,* 14, 6, 14.8, ⑩⑩
 7, 3,Ｌアバトルフジザクラ, 26,黛弘人, 0.9, 48, -11,*  2,15,226.9, ⑧⑧, 7, 7, スズカウエスト,,柴田未,189.1,,,, 5, 16.5,⑧⑦⑦, 7,10,Ｇロングフォｰド, 70,後藤浩, 1.7, 61,  -8,   9, 4,  6.3, ⑭⑪, 7, 3,Ｆスパイン, 78,江田照, 1.2, 72,* 17, -16, 7, 35.0, ①①
 8, 4,Ｃシブン, 53,後藤浩, 1.2, 45,  -4,  -7, 5, 18.9, ④⑤, 8, 3, グランドアムｰル,,金子光,189.5,,,, 9, 63.3,⑨⑪⑩, 8,14,Ｃサマｰミッドナイト, 72,黛弘人, 1.8, 61,  -7,   7, 8, 21.6, ⑫⑬, 8, 6,Ｈストｰミｰカフェ, 74,内田博, 1.6, 67,* 16, -20, 5, 12.4, ②②
 9,12,Ｈステルススキャン, 40,田中勝, 1.7, 41, -17,   0, 6, 19.9, ⑫⑪, 9,14, サンベルナｰル,,高野和,189.9,,,,10, 86.2,⑨⑧⑧, 9,15,Ｊテイエムゲンキボ, 64,武士沢, 1.8, 62,  -6,   7,10, 53.2, ⑨⑬, 9,10,Ｊメイショウディオ, 70,難波剛, 1.7, 62,  -2,   0, 9,114.2, ⑧⑧
10, 9,Ｅマイネルテｰベ, 52,津村明, 1.7, 41,  -5, -10, 8, 52.8, ⑥⑤,10, 4, キラｰパンサｰ,,山本康,191.1,,,,12,142.9,⑤⑧⑨,10, 3,Ｍパルティｰタ, 59,江田照, 2.0, 60,   2,  -2,12, 94.6, ④⑤,10, 9,Ｉセルリアングルｰヴ, 70,石神深, 2.4, 55,  -1,  -9,10,174.5, ⑧⑧
11, 1,Ｊエメラルドパラオ, 30,穂苅寿, 1.8, 40, -15,  -2,10,128.8, ⑪⑩,11, 8, グロリアスヴュｰ,,浜野谷,191.4,,,,13,147.2,⑪⑩⑩,11, 6,Ｌクリテリウム, 64,吉田豊, 2.4, 58,  -5,   1,14,225.2, ⑨⑦,,,,,,,,,,,,
