08年 9月28日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 9月28日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  ダ1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,茨城新聞杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｂグラスキング, 63,勝浦正,, 64,  -3,*  4, 3,  4.2, ⑦⑦, 1, 1, オメガユリシス,---,北村宏,, 58, -13,*  5, 2,  3.5, ⑤②, 1, 5,Ｄエｰシンドゥベタｰ, 72,松岡正,, 74,   8,   3, 3,  5.2, ⑤③, 1, 8,Ｄミッキｰフォルテ, 79,松岡正,, 76,   2,  12, 5,  7.9, ⑦⑥
 2, 5,Ｇロトスカイブルｰ, 52,吉田豊, 0.2, 64,   2,  -2, 6, 18.7, ④④, 2, 8, ウインバンディエラ,---,柴田善, 0.4, 54, -10,  -2, 1,  1.4, ④②, 2,11,Ｂスコルピオンキッス, 74,蛯名正, 0.0, 72,   0,* 10, 2,  3.9, ⑪⑩, 2, 4,Ｅマッチレスバロｰ, 78,柴田善, 0.0, 77,   5,  10, 1,  4.8, ⑤⑤
 3, 7,Ａシンフォニｰライツ, 71,松岡正, 0.2, 65,*  3,  -3, 2,  3.5, ③③, 3, 4, プリズムドウル,---,木幡初, 1.4, 40, -17,  -9, 5, 18.8, ⑥⑥, 3,14,Ａフロイデタンツェン, 79,勝浦正, 0.1, 71,   2,   7, 1,  3.3, ⑨⑧, 3, 2,Ｏトｰホウヘレン, 65,大庭和, 0.2, 76,*  8,   5,11, 53.1, ③③
 4,13,Ｈワスラフ, 52,石橋脩, 0.8, 58,   1,  -6,11,102.3, ⑥④, 4, 6, リュウポｰト,---,伊藤直, 1.7, 39,  -8, -22, 4, 13.4, ②⑤, 4,13,Ｈライトオブピｰス, 68,柴田善, 0.1, 69,  -4,* 12, 6, 13.0, ⑮⑫, 4, 6,Ｉスパｰブスピリット, 73,北村宏, 0.4, 73,  -2,  12, 6,  8.0, ⑩⑩
 5, 4,Ｃツクバハピネ, 62,柴田善, 1.1, 57,*  4, -11, 5, 13.1, ②②, 5, 3, キャプテンボｰイ,---,丹内祐, 2.5, 28,* -6, -34, 6, 35.5, ①②, 5,16,Ｃロイヤルタバスコ, 72,横山典, 0.3, 69,   3,   5, 4,  5.7, ⑧⑧, 5, 9,Ｆゴｰルドクラウン, 76,田中勝, 0.4, 74,   5,   6, 7, 18.3, ⑤⑥
 6, 6,Ｉヨイチラブソング, 47,江田照, 1.2, 53,  -6,  -3, 7, 19.8, ⑨⑦, 6, 5, ラレｰヌデュバル,---,宮崎北, 3.2, 19, -17, -32, 7, 60.8, ⑥⑦, 6,12,Ｊカｰリアンダンス, 66,石橋脩, 0.8, 67,* 10,  -6,13,127.1, ③③, 6,11,Ｃアルヴィス, 80,蛯名正, 0.5, 72,  -3,  12, 2,  5.1, ⑪⑫
 7, 3,Ｊアイティムサシ, 47,丹内祐, 1.2, 55,   2, -10, 1,  2.5, ④④, 7, 2, トｰセンメロディ,---,小野次, 3.6, 15,* -6, -48, 3, 12.8, ②①, 7, 6,Ｍハナムケ, 66,伊藤工, 0.8, 63,  -2,   4,11, 65.8, ⑫⑫, 7, 3,Ｈジェイケイボストン, 74,江田照, 0.6, 71,  -3,  11,10, 27.0, ⑪⑨
 8,11,Ｅハニｰインチｰフ, 54,宮崎北, 1.3, 52,  -4,  -6,13,168.7, ⑧⑩, 8, 7, トシテンマ,---,西田雄, 3.9, -4, -36, -23, 8,100.4, ⑧⑧, 8, 8,Ｎタツタイコウ, 66,大庭和, 0.9, 64,   1,   1, 8, 35.3, ⑨⑩, 8,12,Ｂミキノモナコ, 81,西田雄, 0.6, 71,* 10,   0, 3,  5.3, ②②
 9,12,Ｄフライトマイル, 58,西田雄, 1.3, 55,*  5, -14, 4, 12.7, ①①,,,,,,,,,,,,, 9, 4,Ｅフォレストジャガｰ, 70,吉田豊, 0.9, 68,* 11,  -7,10, 54.4, ②②, 9,15,Ｎアレクシオス, 68,千葉直, 0.8, 69, -12,* 19,15,150.1, ⑯⑯
10, 2,Ｋエメラルドパラオ, 40,穂苅寿, 1.5, 49, -12,*  0,14,260.4, ⑪⑪,,,,,,,,,,,,,10,15,Ｋテルミヌス, 66,吉田隼, 1.3, 59,  -2,   0, 9, 40.8, ⑫⑭,10, 1,Ｊラドランファｰマ, 71,吉田豊, 0.8, 70,   2,   5, 8, 20.3, ⑦⑧
11,14,Ｎステップアンドゴｰ, 19,大庭和, 1.7, 49,  -6,  -8, 8, 65.3, ⑨⑨,,,,,,,,,,,,,11, 9,Ｉドンアドヴァイタ, 68,北村宏, 1.5, 61,* 10, -12,12, 80.0, ③③,11,14,Ｍブイチャレンジ, 69,小野次, 0.8, 68,  -8,* 14,12, 69.8, ⑭⑬
12, 8,Ｌシルクエスポワｰル, 36,黛弘人, 2.6, 39, -11, -10,10, 88.0, ⑪⑪,,,,,,,,,,,,,12, 3,Ｏパルティｰタ, 63,丹内祐, 1.7, 56,  -2,  -3,14,163.2, ⑫⑭,12, 5,Ａインプルｰヴ, 85,石橋脩, 0.9, 67,* 10,  -3, 4,  5.8, ①①
13, 1,Ｍメイビｰノｰ, 35,北村宏, 2.7, 39, -21,  -2,12,109.2, ⑭⑬,,,,,,,,,,,,,13, 1,Ｆソロタｰン, 70,黛弘人, 1.8, 59,* 11, -16, 5, 11.2, ①①,13, 7,Ｇファインセンテンス, 75,木幡初, 0.9, 67,   7,   0, 9, 23.8, ③③
14, 9,Ｆエイコオミリオン, 53,田中勝,10.8,-36, -13, -79, 9, 66.2, ⑬⑭,,,,,,,,,,,,,14, 2,Ｌアルファトリリオン, 66,宮崎北, 1.9, 56,   7, -13,15,255.0, ⑤⑦,14,16,Ｋトレトレジョリ, 71,勝浦正, 1.3, 65,   0,   3,13,107.4, ⑨⑩
,,,,,,,,,,,,,,,,,,,,,,,,15, 7,Ｇジェイケイクリｰク, 69,後藤浩, 2.0, 55,   7, -14, 7, 22.3, ⑤⑥,15,10,Ｐマンダレｰ, 65,南田雅, 1.4, 63,  -8,   9,14,143.9, ⑭⑬
,,,,,,,,,,,,,,,,,,,,,,,,16,10,Ｐロｰズヒップティｰ, 53,土谷智, 2.6, 47,  -5,  -8,16,393.7, ⑮⑯,16,13,Ｌレオベルリン, 70,佐藤聖, 1.5, 62,  -5,   5,16,279.6, ⑬⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-3),,,,,,,,,,,
"単勝:420円 複勝:10=150円 05=320円 07=170円 枠連:1,360円",,,,,,,,,,,,単勝:350円 複勝:01=120円 08=110円 04=200円 枠連:0円,,,,,,,,,,,,単勝:520円 複勝:05=170円 11=150円 14=130円 枠連:890円,,,,,,,,,,,,"単勝:790円 複勝:08=280円 04=210円 02=1,600円 枠連:1,310円",,,,,,,,,,,
"馬連:2,760円 ワイド:05-10=700円 07-10=340円 05-07=770円",,,,,,,,,,,,馬連:180円 ワイド:01-08=130円 01-04=400円 04-08=300円,,,,,,,,,,,,"馬連:1,000円 ワイド:05-11=400円 05-14=300円 11-14=270円",,,,,,,,,,,,"馬連:2,270円 ワイド:04-08=910円 02-08=5,670円 02-04=5,660円",,,,,,,,,,,
"馬単:4,670円 3連複:3,350円 3連単:22,600円",,,,,,,,,,,,"馬単:600円 3連複:620円 3連単:2,840円",,,,,,,,,,,,"馬単:2,420円 3連複:1,020円 3連単:7,760円",,,,,,,,,,,,"馬単:4,930円 3連複:49,300円 3連単:253,580円",,,,,,,,,,,
■ 2R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 5R  芝2880m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 8R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■11R  芝2200m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,産経賞ｵｰﾙｶﾏｰ ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ａメジロワｰロック, 59,蛯名正,, 48,  -3,* -7, 1,  1.4,⑩⑧⑥, 1, 3, ファストソニック,,浜野谷,,,,, 3,  8.0,①①①, 1, 8,Ｇフランコフォニｰ, 71,吉田豊,, 73,*  5,   4, 4,  7.9,①①①, 1,11,Ａマツリダゴッホ, 97,蛯名正,, 93,* 13,* 17, 1,  1.4,②⑥③
 2, 3,Ｃコスモプリズム, 48,松岡正, 0.3, 46,  -4,* -7, 2,  8.1,⑫⑪⑥, 2, 8, トミケンクラｰジュ,,宗像徹,193.4,,,, 8, 13.8,②②②, 2, 5,Ｉロｰンウルフ, 68,木幡初, 0.0, 72,*  4,*  7, 3,  7.9,③②④, 2,10,Ｆキングストレイル, 88,横山典, 0.3, 88,* 13,   9, 6, 18.2,①①①
 3, 8,Ｄリアルストロンガｰ, 47,加藤士, 0.4, 43,*  4, -26, 3,  8.1,①①①, 3, 7, メジロトンキニｰズ,,蓑島靖,194.0,,,, 1,  2.5,④③③, 3,13,Ｈテンジンニチオｰ, 71,勝浦正, 0.2, 74,   3,*  9, 6, 11.4,⑪⑨⑦, 3, 4,Ｈトウショウシロッコ, 86,吉田豊, 0.4, 89,  12,  14, 8, 31.6,⑨⑦⑦
 4, 2,Ｂクリノメダリスト, 51,大庭和, 0.5, 41,  -1, -15, 5, 15.4,⑥⑤⑧, 4, 2, クロタラリア,,石神深,195.3,,,, 7, 13.6,⑥⑤③, 4, 9,Ｃウインスラッシュ, 72,田中勝, 0.6, 71,   2,*  7, 7, 13.5,⑫⑫⑨, 4, 7,Ｅマイネルキッツ, 89,松岡正, 0.6, 87,  12,  11, 5, 16.1,⑧⑦④
 5, 7,Ｉマイネルジｰク, 31,黛弘人, 0.7, 41,  -1, -20, 7, 28.0,⑤⑤③, 5, 4, カイシュウリバｰ,,穂苅寿,195.6,,,,13,102.5,⑪⑨⑨, 5,12,Ｅボナパルト, 72,蛯名正, 0.6, 70,   2,   5, 8, 19.9,⑨⑨⑦, 5, 6,Ｃエアシェイディ, 90,後藤浩, 0.8, 83,* 13,   4, 2,  8.4,③③④
 6, 6,Ｊカンファｰリｰド, 30,吉田隼, 0.7, 40,   2, -24, 4, 13.5,③③③, 6,12, サンベルナｰル,,高野和,195.6,,,, 5,  8.7,⑧⑦⑦, 6, 6,Ｌホクセツカントリｰ, 64,佐藤聖, 0.7, 67,   1,   6,16,226.2,⑫⑫⑨, 6, 1,Ｊエリモハリアｰ, 82,北村宏, 0.8, 85,  12,  10,10, 89.2,⑫⑨⑨
 7, 1,Ｆジョウテンキッズ, 39,千葉直, 0.7, 40,   2, -24, 6, 27.9,④③②, 7, 5, トｰセンジュビリｰ,,横山義,195.6,,,, 4,  8.1,④④⑤, 7, 7,Ｆジョイザラス, 72,北村宏, 0.8, 67,   3,   1, 5,  9.5,⑥④⑤, 7, 3,Ｂスウィフトカレント, 91,勝浦正, 0.9, 86,  11,  11, 9, 55.7,⑨⑪⑩
 8, 5,Ｅマイネルサｰブル, 46,江田照, 0.8, 41,  -4, -14, 8, 41.9,⑩⑪⑧, 8,14, コウヨウウェｰブ,,五十嵐,195.9,,,, 6, 11.6,⑦⑦⑦, 8, 4,Ｎツルギライジング, 63,小林淳, 1.0, 67,   0,   4,14,175.1,⑮⑮⑫, 8, 2,Ｋシャドウゲイト, 81,田中勝, 0.9, 84,* 13,   2, 4, 16.0,⑦③②
 9,11,Ｈヒルノコスタリカ, 33,木幡初, 1.6, 34,  -2, -28,10, 99.3,⑦⑩⑫, 9,13, マイネルガッチャ,,大庭和,195.9,,,, 2,  7.7,③⑤⑥, 9,16,Ｄシンボリプロキオン, 72,柴田善, 1.0, 66,   3,  -1, 9, 28.6,⑨④②, 9, 9,Ｄミストラルクルｰズ, 89,柴田善, 0.9, 83,* 13,   2, 7, 29.2,③③④
10,10,Ｌジョｰベルスタｰ, 20,吉田豊, 1.8, 30,  -3, -33,12,132.6,⑦⑧⑩,10,10, サファリタイガｰ,,柴田大,196.1,,,,14,141.9,⑩⑩⑩,10,11,Ｂクラッカｰジャック, 73,松岡正, 1.6, 63,   3,  -5, 2,  5.8,⑥④⑤,10,14,Ｇアドマイヤタイトル, 87,安藤勝, 1.0, 84,   8,* 16, 3, 11.4,⑫⑬⑬
11,12,Ｋコスモハイライフ, 24,丹内祐, 2.2, 27,  -1, -40,11,114.8,⑦⑤⑩,11, 6, トｰアラストペニｰ,,江田勇,196.6,,,,12, 88.7,⑧⑪⑪,11, 2,Ａエアシャムス, 74,後藤浩, 1.8, 59,*  4,  -9, 1,  2.4,③②②,11, 5,Ｍスクｰルボｰイ, 80,木幡初, 1.1, 83,  12,   5,14,256.2,③⑨⑩
12, 9,Ｇコスモゲｰタイト, 35,石橋脩, 4.4, -4,*  3, -79, 9, 46.1,②②③,12, 1, エイトゴｰオン,,平沢健,199.4,,,, 9, 18.1,⑫⑫⑫,12,14,Ｐトップオブボス, 53,小野次, 2.0, 59,  -2,   2,13,158.9,⑯⑯⑮,12, 8,Ｎコスモプロデュｰス, 78,石橋脩, 1.3, 82,   8,  12,12,201.2,⑭⑬⑭
,,,,,,,,,,,,13, 9, サウスグロｰリｰ,,山本康,205.0,,,,11, 60.1,⑬⑬⑬,13,10,Ｋパワｰサム, 64,千葉直, 2.8, 54,   3, -15,11,104.5,③④⑨,13,13,Ｉブラックアルタイル, 82,吉田隼, 1.3, 80,  11,   5,11, 94.6,⑨⑪⑩
,,,,,,,,,,,,,,,,,,,,,,,,14, 3,Ｍブラックスレンダｰ, 63,江田照, 4.0, 47,   1, -21,15,224.0,⑫⑫⑭,14,12,Ｌゴｰウィズウィンド, 80,江田照, 2.2, 70,* 13, -17,13,230.7,③②⑦
,,,,,,,,,,,,,,,,,,,,,,,,15, 1,Ｊオンワｰドオウガ, 65,西田雄, 4.7, 42,   2, -27,12,107.8,⑧⑪⑬,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16,15,Ｏサムライ, 56,丹内祐, 9.5,  8,   3, -71,10, 36.2,②④⑮,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:-2),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:93 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-2),,,,,,,,,,,
単勝:140円 複勝:04=110円 03=150円 08=170円 枠連:370円,,,,,,,,,,,,単勝:800円 複勝:03=210円 08=350円 07=130円 枠連:820円,,,,,,,,,,,,"単勝:790円 複勝:08=260円 05=250円 13=330円 枠連:1,800円",,,,,,,,,,,,単勝:140円 複勝:11=110円 10=380円 04=410円 枠連:550円,,,,,,,,,,,
馬連:370円 ワイド:03-04=210円 04-08=220円 03-08=580円,,,,,,,,,,,,"馬連:4,050円 ワイド:03-08=1,440円 03-07=460円 07-08=690円",,,,,,,,,,,,"馬連:2,660円 ワイド:05-08=960円 08-13=1,210円 05-13=1,400円",,,,,,,,,,,,"馬連:980円 ワイド:10-11=490円 04-11=610円 04-10=2,540円",,,,,,,,,,,
"馬単:500円 3連複:750円 3連単:1,980円",,,,,,,,,,,,"馬単:8,960円 3連複:3,550円 3連単:33,500円",,,,,,,,,,,,"馬単:5,700円 3連複:9,410円 3連単:55,080円",,,,,,,,,,,,"馬単:1,320円 3連複:5,330円 3連単:13,780円",,,,,,,,,,,
■ 3R  芝1600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 6R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 9R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■12R  芝2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,勝浦特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ａウェスタリｰズ, 65,田中勝,, 62,   5,  -1, 1,  3.8,⑤③③, 1,14, ミヤビリュウオｰ,---,吉田豊,, 56,* -2, -11, 3,  5.4,③②①, 1,11,Ｂハッピｰビｰチ, 77,後藤浩,, 78,   0,  10, 4, 10.8, ⑨⑧, 1, 9,Ｅエッセイスト, 70,蛯名正,, 78,   0,* 13, 2,  3.5,⑦⑧⑦
 2,15,Ｃフェアｰムｰラン, 63,吉田隼, 0.1, 58,* 10, -11,10, 22.4,②①①, 2, 4, ロイヤルロｰド,---,後藤浩, 0.0, 55,* -4,  -9,10, 34.5,④③③, 2, 8,Ｆロックオブサリサ, 75,横山典, 0.0, 79,  -6,* 17, 3,  5.8, ⑬⑫, 2,10,Ｂクリノアドベンチャ, 74,松岡正, 0.0, 77,   2,*  9, 7, 15.5,⑤⑥③
 3,10,Ｄスペシャルシｰズン, 63,木幡初, 0.2, 60,   2,   1, 6,  9.3,⑩⑦⑥, 3,11, レッドシャドウ,---,田中勝, 0.1, 59,  -9,*  2, 4,  8.8,⑩⑨⑦, 3,12,Ｃマイネアルデュｰル, 77,松岡正, 0.1, 77,   3,   6, 1,  2.4, ⑦⑥, 3, 6,Ｄヴェルトマイスタｰ, 73,横山典, 0.1, 73,*  3,   3, 5, 10.9,②②②
 4,12,Ｆタイセイルンバ, 60,江田照, 0.3, 58,   1,   1, 2,  4.9,⑦⑦⑥, 9, 6, ホワイトライクミｰ,---,江田照, 0.3, 54,* -4, -11, 8, 20.5,⑧④③, 4,14,Ａダイワシｰクレット, 78,北村宏, 0.1, 77,*  7,   3, 2,  4.3, ②②, 4, 4,Ｃコスモスパロウ, 73,吉田隼, 0.1, 73,*  5,   1, 6, 12.6,①①①
 5,14,Ｅワンダフルスイｰト, 62,柴田善, 0.3, 57,   4,  -4, 8, 16.9,③④④, 4, 8, ベストライアｰ,---,吉田隼, 0.5, 51,* -4, -14, 1,  2.8,②④⑤, 5, 7,Ｋシゲルダイハッカイ, 70,村田一, 0.1, 78,  -2,  12,12, 67.5, ⑪⑧, 5, 7,Ｆムｰビｰハウス, 70,後藤浩, 0.3, 72,   2,   5, 1,  2.6,⑦⑦⑦
