08年10月 4日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年10月 4日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 4R  芝1200m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  芝2200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■10R  芝1600m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,外房特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａザグ, 55,後藤浩,, 57,   1,* -3, 6, 12.5,⑥⑤②, 1,12, アッシュケｰク,---,内田博,, 65,* -3,*  0, 2,  3.8, ③②, 1, 1,Ｂショウナンラヴァｰ, 77,吉田豊,, 81,   6,* 18, 4,  5.8,⑪⑪⑦, 1,13,Ｃサララ, 78,木幡初,, 85, -10,* 26, 4,  8.1,⑪⑪⑧
 2, 1,Ｇボストンレッド, 48,内田博, 0.2, 55,*  1,  -8, 3,  7.7,①①①, 2, 7, オメガリトルスタｰ,---,北村宏, 0.4, 60,*  0,  -8, 3,  6.0, ②①, 8, 6,Ａイケトップガン, 78,田中勝, 0.1, 79,   8,  11, 3,  5.0,⑤⑥③, 2,10,Ｌセプタｰレイン, 72,田中勝, 0.2, 83, -12,* 25, 9, 24.2,⑬⑪⑩
 3,10,Ｈヤンキｰジｰタｰ, 45,吉田豊, 1.2, 49,*  1, -15, 5, 12.5,②②②, 3,11, ボスオブザリンド,---,吉田豊, 1.0, 53,  -9,  -6, 9, 45.5, ④④, 2, 8,Ｃミヤビベガ, 77,吉田隼, 0.1, 79,   8,  12, 1,  3.5,⑨⑧⑥, 3,14,Ｅケイアイケイマン, 77,内田博, 0.2, 79,* -6,  16, 2,  4.8,②④②
 4, 8,Ｉロｰドアイアン, 45,勝浦正, 1.3, 49,   0, -15, 2,  6.7,⑧⑤⑤, 4, 8, コスモハｰト,---,柴山雄, 1.0, 52, -13,* -3, 1,  2.4, ⑦⑧, 3,10,Ｆマルタカシャトル, 71,大庭和, 0.3, 73,*  9,   3, 5,  7.8,②②②, 4, 2,Ａラフィナｰル, 83,蛯名正, 0.2, 80,  -8,  17, 1,  2.9,⑤④⑤
 5, 2,Ｅマイネルレクシス, 48,吉田隼, 1.5, 46,*  1, -18, 1,  2.0,②②④, 5, 4, アポロハピネス,---,勝浦正, 1.2, 51, -20,*  1, 5, 14.5, ⑪⑧, 4, 9,Ｄマイネルグラナｰテ, 76,蛯名正, 0.4, 76,   8,   6, 6,  8.0,⑦⑥③, 5, 6,Ｊスｰパｰウｰマン, 74,吉田隼, 0.4, 74,* -5,  10, 5,  9.6,①①①
 6,13,Ｏハバナシガｰ, 31,黛弘人, 1.6, 47,  -6,  -6,14, 88.8,⑫⑫⑫, 6, 9, マイネブルｰム,---,石橋脩, 1.4, 50, -11,  -8, 8, 36.8, ⑥⑥, 5, 5,Ｅサムデイシュアｰ, 74,武士沢, 0.8, 71,   7,   4, 7, 14.4,⑨⑨⑦, 6, 5,Ｄウエスタンヒｰト, 78,石橋脩, 0.5, 75,* -6,  11, 3,  4.8,②②②
 7, 5,Ｎキャッツテイル, 34,嘉藤貴, 1.8, 46,  -3, -12,15,127.5,⑧⑧⑧, 7, 5, スズノプロスタｰ,---,和田竜, 1.5, 46, -13,  -9,10, 59.1, ⑦⑥, 6, 7,Ｉマイサンシャイン, 60,二本柳, 1.4, 63,* 10, -15, 9, 44.8,①①①, 7, 8,Ｇキングオザｰ, 76,土谷智, 0.5, 76,  -9,  16,10, 40.9,⑤⑧⑧
 8,16,Ｍフナベンケイ, 35,大庭和, 2.0, 46,  -8,* -4,11, 51.1,⑫⑬⑬, 8, 1, テオｰリア,---,吉田隼, 2.2, 36, -24,  -8, 7, 23.9, ⑫⑪, 7, 4,Ｊハイアベレｰジ, 56,後藤浩, 1.5, 64,*  9, -12, 2,  4.8,②③③, 8, 4,Ｋエアムｰトン, 72,後藤浩, 0.6, 77, -13,  21, 8, 23.7,⑬⑭⑬
 9, 9,Ｄカントリｰドｰタｰ, 50,石橋脩, 2.2, 41,  -1, -21, 7, 20.1,⑥⑦⑤, 9,10, ツキノテンシ,---,石神深, 2.3, 36,  -9, -23, 4,  6.7, ④④, 9, 3,Ｈヨシウォｰリア, 63,和田竜, 1.5, 66,   7,  -5,10,106.8,⑧⑨⑩, 9,15,Ｍエイワジョリｰ, 71,吉田豊, 0.6, 73,  -8,  12,13, 88.3,⑤④⑤
10, 3,Ｌキングオブザカラｰ, 36,木幡初, 2.4, 42,  -7,  -8,16,150.4,⑯⑬⑬,10, 6, ナイトムｰン,---,丹内祐, 2.5, 33, -17, -18,11, 59.3, ⑨⑩,10,11,Ｇマイネルコレドｰル, 63,千葉直, 2.1, 59,*  9, -19,11,160.3,⑤③⑦,10, 7,Ｉチェルカ, 75,千葉直, 0.8, 72, -11,  13,11, 47.8,⑫⑨⑩
11, 7,Ｊニシノヴァンガｰド, 42,和田竜, 2.4, 42,  -4, -15,10, 49.1,⑪⑨⑨,11, 2, ピュアブラボｰ,---,田中勝, 3.1, 26,*  0, -43, 6, 16.8, ①②,11, 2,Ｋステラポラリス, 54,黛弘人, 2.2, 58,*  9, -21, 8, 44.8,②③⑩,11, 1,Ｈエイミングポイント, 75,柴山雄, 0.8, 70,  -8,   9,12, 88.1,⑤④⑤
12,15,Ｂプラチナタイム, 52,吉永護, 2.5, 41,   1, -25, 4, 10.0,②④⑤,12, 3, スズノヴァｰジニア,---,千葉直, 4.4,  9, -19, -42,12,132.9, ⑩⑪,,,,,,,,,,,,,12, 9,Ｂムラマサノヨｰトｰ, 79,小林淳, 0.8, 74, -10,  15, 7, 19.6,⑨⑪⑩
13, 4,Ｃエフロレス, 50,田中勝, 2.6, 43, -11,* -4, 9, 46.7,⑭⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,,13, 3,Ｆロットオブカクテル, 77,勝浦正, 0.8, 71,* -6,   6, 6, 18.2,②②②
14,11,Ｐメジロフュｰチャｰ, -1,柴山雄, 2.9, 40,  -4, -21, 8, 25.9,⑭⑨⑨,,,,,,,,,,,,,,,,,,,,,,,,,14,11,Ｏテントゥワン, 68,二本柳, 1.0, 70, -15,  18,14,118.4,⑮⑮⑮
15,12,Ｋトｰセンミュジニｰ, 36,丹内祐, 3.8, 33,  -4, -28,13, 84.6,⑩⑨⑪,,,,,,,,,,,,,,,,,,,,,,,,,15,12,Ｎヤマニンパルファン, 70,中谷雄, 1.6, 61, -10,   2,15,186.5,⑨⑨⑬
16,14,Ｆフジマサキャプテン, 48,北村宏,12.7,-30, -12, -87,12, 67.6,⑤⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:81 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-1),,,,,,,,,,,
"単勝:1,250円 複勝:06=310円 01=310円 10=330円 枠連:930円",,,,,,,,,,,,単勝:380円 複勝:12=170円 07=240円 11=800円 枠連:310円,,,,,,,,,,,,単勝:580円 複勝:01=150円 08=140円 10=200円 枠連:550円,,,,,,,,,,,,"単勝:810円 複勝:13=220円 10=470円 14=170円 枠連:6,940円",,,,,,,,,,,
"馬連:4,210円 ワイド:01-06=1,050円 06-10=1,520円 01-10=1,050円",,,,,,,,,,,,"馬連:1,110円 ワイド:07-12=500円 11-12=1,660円 07-11=2,570円",,,,,,,,,,,,馬連:830円 ワイド:01-08=310円 01-10=560円 08-10=480円,,,,,,,,,,,,"馬連:7,040円 ワイド:10-13=1,850円 13-14=510円 10-14=1,450円",,,,,,,,,,,
"馬単:8,480円 3連複:15,380円 3連単:78,560円",,,,,,,,,,,,"馬単:1,730円 3連複:8,280円 3連単:25,720円",,,,,,,,,,,,"馬単:1,770円 3連複:1,660円 3連単:7,830円",,,,,,,,,,,,"馬単:13,810円 3連複:8,550円 3連単:66,250円",,,,,,,,,,,
■ 2R  芝1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■ 5R  芝2880m 3歳上未勝利 定量,,,,,,,,,,,,■ 8R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■11R  ダ1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,内房ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
