08年 9月21日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 9月21日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  ダ1200m 3歳上1000万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,葛飾特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 8, 2,Ｂウィザｰドブラスト, 64,内田博, 0.6, 53,*  4, -19, 3,  4.6,①①②, 8, 7,Ｍダイワジェラｰト, 55,北村宏, 0.7, 64,   0,   2,10, 50.9, ⑧⑧, 8, 5,Ｋアンテリオｰル, 60,鷹野宏, 0.7, 71,   8,   0,11,168.8,⑨⑩⑨, 8,14,Ｎヒシシャトル, 59,中舘英, 1.1, 61,* 10, -19,10, 36.4, ②③
 9,16,Ｋタイキインスパイア, 45,柴田善, 0.6, 54,*  4, -18, 7, 19.7,⑦②②, 9, 6,Ｉシｰサンメイ, 66,小野次, 1.3, 58,   3,  -7,11, 51.7, ⑥⑥, 9, 9,Ｅコスモミｰル, 74,内田博, 0.8, 69,   8,  -3, 8, 20.2,⑧⑨⑦, 9, 2,Ｅスピｰディセイコｰ, 66,柴田善, 1.2, 57,   5, -15, 7, 13.7, ⑩⑧
10,12,Ｊアイノアラムシャｰ, 46,柴山雄, 1.8, 50,  -3, -15,11,170.6,⑫⑪⑪,10, 8,Ｎオｰドリｰロｰズ, 54,黛弘人, 1.4, 57,  -1,  -4,13,144.0, ⑨⑪,10, 4,Ｉメスナｰ, 68,松岡正, 0.8, 69,* 13, -11, 5, 13.1,④③②,10, 3,Ｌシュウザンゴｰルド, 62,伊藤工, 1.4, 52,   0, -12,15,103.9, ⑭⑯
11, 1,Ｈシルクブレイカｰ, 50,吉田隼, 2.1, 46,  -3, -16, 8, 85.9,⑫⑪⑫,11, 4,Ｐスマｰトルｰプ, 44,中舘英, 1.8, 52,  -3,  -6,12, 71.6, ⑪⑨,11,11,Ｊゲイリｰスティング, 68,二本柳, 1.1, 64,   9,  -8,10, 57.8,⑦⑦⑨,11,16,Ｂデスコベルタ, 69,木幡初, 1.4, 56,   9, -21, 8, 20.4, ④④
12, 3,Ｎティゾナ, 37,中舘英, 2.4, 43,  -4, -17, 9,109.8,⑮⑬⑬,12,11,Ｇオカｰルノキセキ, 67,小林淳, 2.3, 48,  -4,  -9, 9, 46.1, ⑬⑬,,,,,,,,,,,,,12, 7,Ｉセレスマン, 64,石橋脩, 1.5, 57,* 13, -26,11, 47.0, ①①
13,10,Ｉロｰランバウアｰ, 50,黛弘人, 2.7, 41,   1, -30,15,278.9,⑤⑦⑨,13, 1,Ｆアポロアパッチ, 67,勝浦正, 2.4, 52,*  7, -20, 8, 27.6, ③④,,,,,,,,,,,,,13, 9,Ｍスイｰトグラｰツ, 62,千葉直, 1.5, 53,   5, -19,13, 74.1, ⑩⑩
14,13,Ｍアスリｰトモア, 37,吉田豊, 3.3, 39,  -4, -25,12,198.3,⑫⑬⑭,14,10,Ｌジョｰネンボｰ, 58,石橋脩, 2.5, 45,  -7,  -8,14,152.1, ⑭⑮,,,,,,,,,,,,,14, 6,Ｆスカｰレットダイヤ, 65,蛯名正, 1.7, 52,   8, -24, 6, 12.5, ⑤④
15, 6,Ｏアンクルスマッシュ, 32,嘉藤貴, 6.3, 23,  -7, -45,10,159.1,⑪⑮⑮,15,15,Ｏスタｰダム, 53,宮崎北, 2.7, 43,  -2, -15,15,224.4, ⑪⑬,,,,,,,,,,,,,15,15,Ｃトシザコジｰン, 69,内田博, 2.1, 45,   6, -28, 2,  4.1, ⑨⑬
16,15,Ｌヤマニンバベル, 39,伊藤工, 8.4,  2, -11, -56,16,280.6,⑮⑯⑯,16,13,Ｋケンコウランハｰト, 60,千葉直, 3.8, 35, -10, -17,16,237.3, ⑯⑯,,,,,,,,,,,,,16,12,Ｄシアトルナカヤマ, 69,宮崎北, 2.2, 45,   8, -30, 5,  9.6, ⑤⑧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-14 馬場:稍重(指数:-8),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:稍重(指数:-8),,,,,,,,,,,,ｸﾗｽ上位平均:81 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-12 馬場:稍重(指数:0),,,,,,,,,,,
"単勝:270円 複勝:11=160円 05=350円 09=5,000円 枠連:2,010円",,,,,,,,,,,,"単勝:800円 複勝:02=340円 14=490円 12=360円 枠連:4,790円",,,,,,,,,,,,単勝:790円 複勝:01=200円 06=130円 10=290円 枠連:830円,,,,,,,,,,,,"単勝:930円 複勝:01=260円 10=190円 08=980円 枠連:1,340円",,,,,,,,,,,
"馬連:2,200円 ワイド:05-11=840円 09-11=12,030円 05-09=19,000円",,,,,,,,,,,,"馬連:8,000円 ワイド:02-14=2,530円 02-12=1,450円 12-14=2,030円",,,,,,,,,,,,"馬連:960円 ワイド:01-06=390円 01-10=1,070円 06-10=490円",,,,,,,,,,,,"馬連:1,960円 ワイド:01-10=750円 01-08=3,660円 08-10=2,940円",,,,,,,,,,,
"馬単:2,950円 3連複:127,370円 3連単:396,290円",,,,,,,,,,,,"馬単:15,160円 3連複:23,750円 3連単:167,880円",,,,,,,,,,,,"馬単:2,610円 3連複:3,690円 3連単:19,130円",,,,,,,,,,,,"馬単:4,220円 3連複:24,860円 3連単:148,210円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
