08年 5月 4日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 5月 4日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 7R  芝1600m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  ダ1800m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,上賀茂ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａタｰトルベイ, 70,幸英明,, 60,*  6,*  5, 1,  2.4,⑥③②, 1, 1, ストリｰトスタイル,---,福永祐,, 72, -10,* 14, 2,  3.5, ⑤③, 1, 7,Ａベルフィｰチャｰ, 75,川田将,, 73,* -2,  13, 1,  1.6, ②③, 1, 7,Ａトｰセンアｰチャｰ, 84,四位洋,, 86,   7,* 21, 2,  3.8,⑦⑤④
 2, 7,Ｂホッコｰキングオｰ, 67,内田博, 0.3, 57,*  6,   1, 2,  2.9,②①①, 2,16,Ａアグネスシャイン, 56,武豊  , 0.3, 64,* -4,   3, 1,  2.5, ②②, 2, 8,Ｄアジアンホｰプ, 65,秋山真, 0.2, 71,  -4,  13,11, 33.1, ⑤④, 2,10,Ｋナムラスピｰド, 79,岩田康, 0.3, 82,*  8,  16, 3,  6.9,②②①
 3, 8,Ｃニシノハドウホウ, 66,小牧太, 0.8, 55,   5,   0, 3,  4.5,⑧④④, 3, 3, マルカレガｰト,---,秋山真, 0.8, 61, -17,* 10, 8, 58.9, ⑨⑦, 3, 3,Ｂショウリュウアクト, 72,佐藤哲, 0.3, 72,  -7,* 17, 2,  9.4, ⑧⑧, 3,11,Ｄクリｰン, 82,武豊  , 0.5, 82,   6,  18, 4,  8.7,⑪⑨⑧
 4, 4,Ｈペプチドトップガン, 49,下原理, 1.2, 54,   2,   2, 8, 56.3,⑥⑦⑤, 4, 5,Ｅエｰシンエイホｰプ, 45,松岡正, 1.1, 57, -13,   2, 6, 21.0, ⑦⑥, 4,13,Ｊウインハンズダウン, 62,小牧太, 0.3, 70,* -1,   8, 8, 26.5, ②②, 4, 6,Ｇプログレスエバｰ, 81,菊地昇, 0.5, 81,   7,  17, 6, 12.1,④⑤⑥
 5, 3,Ｉウォｰタｰルｰク, 38,船曳文, 1.5, 51,   3,  -2, 9, 61.7,③⑥⑦, 5,11,Ｈマハｰバリプラム, 41,川田将, 1.1, 56, -17,   5, 4,  7.2, ⑨⑩, 5,11,Ｌマチカネエベッサン, 61,角田晃, 0.4, 69,  -4,  10, 9, 28.3, ⑤④, 5, 3,Ｎスプリングヘッド, 77,松岡正, 0.7, 81,   7,  17, 7, 20.2,⑨⑨⑧
 6, 2,Ｅジャングルゼット, 55,田中克, 3.1, 42,*  5, -22, 7, 37.8,①②③, 6, 8,Ｂマックスバリハイ, 55,内田博, 1.2, 54, -10,  -2, 3,  5.1, ⑥③, 6, 2,Ｅマヤラブハｰト, 65,小林徹, 0.5, 71,  -9,* 17, 7, 26.2, ⑪⑩, 6, 8,Ｂケアレスウィスパｰ, 84,福永祐, 0.8, 81,   5,* 19,10, 29.2,⑬⑬⑫
 7, 1,Ｆトｰホウミラクル, 53,和田竜, 3.6, 40,   4, -20, 6, 23.3,③⑤⑤, 7,15,Ｃメイショウアレグロ, 50,角田晃, 1.2, 56, -22,*  9,10, 94.7, ⑪⑪, 7, 1,Ｇエイシンチョｰテン, 65,四位洋, 0.5, 74, -14,* 26, 4, 16.1, ⑰⑰, 7,14,Ｏナムラクック, 76,武幸四, 0.9, 82,   3,* 22,13, 55.8,⑭⑮⑮
 8, 9,Ｄブラックストｰム, 57,秋山真, 4.0, 38,   2, -22, 4, 11.0,③⑦⑧, 8, 4,Ｄドリｰムジャンボ, 48,高野容, 1.3, 51,  -9,  -5, 7, 22.1, ③③, 8,16,Ｆタガノマスタング, 65,小原義, 0.7, 65,  -5,   7, 6, 19.1, ⑤⑦, 8, 9,Ｌパントマイミスト, 79,上村洋, 1.0, 82,   7,  14,14, 92.8,⑦⑧⑧
