08年 3月15日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 3月15日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 4R  芝1600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 7R  ダ1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■10R  芝1400m 4歳上1600万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,うずしおｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ａクリスタルドア, 62,幸英明,, 67,*  2,* 11, 1,  2.9, ②②, 1,14,Ａケンセイフライト, 68,池添謙,, 68,*  2,*  4, 1,  2.8, ③③, 1, 4,Ｂツルマルシルバｰ, 74,川田将,, 75,  -1,* 16, 1,  1.9,⑦⑤④, 1,14,Ｇピクシｰダスト, 77,川島信,, 90,* 16,   4,10, 40.7, ①①
 2, 2,Ｃレディオｰロラ, 55,田中克, 0.5, 65,*  3,   5, 2,  3.0, ①①, 2,16,Ｂエｰシンプリファｰ, 65,川田将, 0.2, 66,*  2,   0, 3,  5.4, ②②, 2,10,Ｃハｰドシｰキング, 71,渡辺薫, 0.4, 72,   1,  10, 4,  9.8,④③②, 2, 4,Ｈアクロスザヘイブン, 77,鮫島良, 0.1, 88,* 13,   5, 6, 16.0, ③②
 3, 3,Ｄアグネスアンフィニ, 54,田村太, 0.8, 58, -10,* 15, 8, 43.8, ⑭⑩, 3, 5,Ｃコｰニングストｰン, 62,佐藤哲, 0.2, 66,*  2,   2, 5, 11.6, ③③, 3, 7,Ｅイノチノアカリ, 71,池添謙, 0.5, 73,  -2,* 15, 3,  8.0,⑦⑧⑦, 3, 1,Ｏタニノハイクレア, 64,生野賢, 0.3, 85,  10,*  8,12, 64.3, ⑥⑦
 4, 5,Ｅメリトゥム, 53,鮫島良, 1.4, 56,  -1,   1, 3,  4.6, ③⑤, 4,12,Ｄアグネスムｰン, 62,四位洋, 0.4, 65,  -2,*  6, 4,  6.6, ⑭⑨, 4, 8,Ｆダイナミックタｰン, 69,田村太, 0.9, 66,  -1,   9, 7, 27.9,④⑤⑤, 4,11,Ａサンクスアロット, 83,佐藤哲, 0.3, 81,   0,* 19, 5,  7.9, ⑮⑮
 5,12,Ｆワｰルドマスタｰ, 50,熊沢重, 1.8, 52,   0,  -3, 6, 26.8, ③③, 5, 9,Ｅプロフェッショナル, 61,幸英明, 0.4, 65,   1,   0, 2,  3.5, ⑥⑤, 5, 9,Ａオｰキッドコｰト, 76,田中克, 0.9, 71,*  2,   4, 2,  3.3,②②①, 5, 2,Ｂミルクトｰレル, 83,松田大, 0.7, 80,   8,   5, 4,  6.2, ⑪⑩
 6, 7,Ｈウイニングヒロオｰ, 46,小牧太, 1.8, 52,   1,  -3, 5, 11.5, ③⑥, 6, 8,Ｆエｰケｰサンライズ, 58,小牧太, 0.7, 64,  -3,*  3, 8, 30.3, ⑪⑫, 6, 3,Ｇラジョリｰ, 65,橋本美, 1.5, 66,  -4,   9, 8, 70.0,⑩⑩⑨, 6, 6,Ｃラッシュライフ, 80,四位洋, 0.8, 79,  12,  -1, 3,  4.8, ⑤④
 7, 6,Ｇクリノモンブラン, 47,川島信, 1.9, 51,  -1,  -2, 9, 51.9, ⑦⑦, 7,15,Ｉヤマニンファンシｰ, 53,藤岡佑, 0.9, 58,*  4, -11, 7, 25.8, ①①, 7, 5,Ｄニシオハンセル, 71,高橋亮, 1.6, 65,  -2,   5, 5, 12.1,④⑤⑦, 7, 9,Ｎシュガｰヴァイン, 69,渡辺薫, 0.9, 77,   8,   1, 1,  3.9, ⑨⑦
 8,10, アグレマン,---,芹沢純, 2.0, 51,  -3,  -1, 7, 29.1, ⑧⑧, 8, 3,Ｊニコラシカ, 51,飯田祐, 1.0, 59,  -2,  -3,13,219.0, ⑧⑨, 8, 2,Ｉシンゲキ, 60,黒岩悠, 2.0, 62,  -3,   3,10,200.4,⑦⑧⑨, 8,12,Ｍダンスオブサロメ, 71,長谷川, 1.2, 73,   4,   3,16,222.0, ⑭⑬
