08年 1月20日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 1月20日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 7R  芝2600m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝2000m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,あすなろ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｃアグネスボンバｰ, 60,的場勇,, 68,*  5,  -1, 3,  6.2,①①①, 1, 5,Ｂセイカアニマｰト, 61,中村将,, 61, -19,* 14, 4,  7.7,⑩⑩⑥, 1,13,Ａビクトリｰフラッグ, 84,藤岡康,, 78,* 17,*-14, 2,  4.2,⑩⑤④, 1,11,Ａノットアロｰン, 73,上村洋,, 70,   1,*  2, 1,  2.0,⑤⑥②
 2, 7,Ｆハエヌキ, 59,丸田恭, 0.3, 64,*  5,  -3, 7, 22.4,②②②, 2, 9,Ａフィッツロイ, 63,中舘英, 0.0, 57, -16,*  8, 1,  2.4,④④⑥, 2, 3,Ｃグレｰトキャンドル, 81,野元昭, 0.1, 77,* 17,*-18, 1,  3.3,④③①, 2, 8,Ｉキングバｰド, 65,菊沢隆, 0.2, 68,  -2,*  8, 5, 15.8,⑪⑫⑧
 3, 3,Ｂタムロチェスト, 60,中舘英, 0.4, 64,*  4,  -2, 1,  2.5,⑦③③, 3,10,Ｉドリｰムドリｰマｰ, 46,上村洋, 0.0, 55,*-15,   4, 7, 28.5,②②①, 3,10,Ｊマイネジャｰダ, 68,的場勇, 0.4, 74,* 18, -27, 5, 10.2,①①②, 3,13,Ｃシゲルエスペレ, 71,中村将, 0.3, 65,*  4,  -7,11, 28.5,①①①
 4, 1,Ｏメイショウオオマ, 36,浜中俊, 0.5, 63,   3,  -2,11, 54.1,③⑤③, 4, 4,Ｅダｰクジャケット, 57,浜中俊, 0.2, 54, -16,   6, 5,  8.9,⑩⑥③, 4,15,Ｏショウナンラヴァｰ, 60,高橋智, 0.7, 72,* 17, -27, 8, 21.6,⑥③③, 4, 3,Ｅクリｰルトルネｰド, 68,鮫島良, 0.3, 67,   1,   0, 2,  6.7,⑪⑦④
 5, 4,Ｇマッキｰサマンサ, 58,野元昭, 0.6, 64,   2,   0,10, 33.2,⑨⑦⑦, 5,13,Ｇリノｰンランプ, 50,鮫島克, 0.3, 51,*-14,   0, 3,  7.6,①①②, 5, 2,Ｈキングタキオン, 69,高山太, 1.1, 70,  15, -28, 9, 25.2,⑨⑦⑥, 5, 1,Ｄドリｰムアビｰム, 70,赤木高, 0.5, 64,   0,   0, 6, 17.4,⑦⑨⑩
 6, 2,Ｍクリノコブオｰ, 44,古川吉, 0.7, 65,   0,*  5,12, 59.5,⑮⑬⑬, 6, 2,Ｃナムラアルマダ, 59,渡辺薫, 0.7, 49, -16,  -2, 2,  3.6,④④③, 6,12,Ｌエプソムブラスト, 67,渡辺薫, 1.1, 72,  13,*-18,13, 89.1,⑬⑭⑪, 6, 4,Ｈセンノカゼ, 66,野元昭, 0.6, 62,   1,  -7, 7, 20.1,⑤③④
 7,11,Ｌハｰドギムレット, 46,渡辺薫, 0.7, 64,   1,*  2,14,154.8,⑪⑩⑧, 7, 3,Ｈスｰパｰプライド, 49,宮崎北, 0.7, 50, -19,   5,10, 63.7,⑩⑩⑨, 7, 5,Ｍドリｰムフライト, 67,西田雄, 1.3, 69,* 17, -33,10, 39.8,②⑤⑥, 7, 6,Ｆグラｰフ, 67,川島信, 0.6, 61,   0,  -3, 9, 21.0,⑩⑨⑧
 8,10,Ｅペプチドアトム, 59,和田竜, 0.9, 62,*  4,  -7, 2,  4.0,③③③, 8,11,Ｊジェネロｰゾ, 41,川島信, 0.8, 45, -17,   0,11, 73.5,⑦⑦⑧, 8, 4,Ｇケイジｰウォリア, 70,二本柳, 1.5, 68,  16, -30,12, 62.9,⑬⑩⑩, 8, 2,Ｋマイサイドキック, 62,和田竜, 1.6, 54,   1, -18,10, 26.0,⑦⑦⑩
