08年10月 5日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年10月 5日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-13,,,,,■ 4R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1600m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,秋風ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12,13,Ｉコｰド, 35,田面木, 1.4, 42,*  0, -21,12,129.5, ③②,,,,,,,,,,,,,12, 7,Ｉパンコｰルデイズ, 66,三浦皇, 1.3, 58,  11, -20,10, 52.3,⑥⑦⑥,12, 5,Ｊシュリクン, 79,田面木, 1.1, 77,  -1,  10,13, 82.6,⑨⑩⑪
13, 9,Ｍカシノノｰマｰシｰ, 32,伊藤工, 1.7, 38, -16,  -9,16,365.6, ⑫⑬,,,,,,,,,,,,,13, 6,Ｈユメノツヅキヲ, 66,黛弘人, 1.4, 58,   8, -16,12, 69.1,⑧⑬⑫,13,13,Ｇクラクエンスキｰ, 80,岩田康, 1.2, 74,   1,   7,12, 79.9,⑨⑩⑪
14, 1,Ｇサラスヴァティｰ, 36,北村宏, 2.0, 34, -16, -13, 9, 80.1, ⑫⑬,,,,,,,,,,,,,14,12,Ｌトｰセンバサラ, 65,幸英明, 1.4, 59,  11, -21,13,124.4,⑪⑦⑥,14,16,Ｍバルバレスコ, 75,幸英明, 1.2, 79,  -3,  14,15, 99.6,⑯⑭⑭
15,14,Ｈオｰスチンエブリン, 35,高山太, 2.2, 32, -16, -16,13,218.4, ⑫⑬,,,,,,,,,,,,,,,,,,,,,,,,,15,14,Ｏダイワティグリス, 74,木幡初, 1.9, 64,*  9, -17,14, 85.2,①①①
16,10,Ｌフリュｰゲルシチｰ, 32,武士沢, 2.7, 26, -20, -18,10, 80.5, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,,16, 6,Ｐモリノミヤコ, 68,嘉藤貴, 2.0, 64,   2,  -7,16,259.0,⑥⑧⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-27 ﾚｰｽｱｶﾞﾘ指数:+14 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:0),,,,,,,,,,,
"単勝:450円 複勝:16=140円 04=110円 05=1,250円 枠連:270円",,,,,,,,,,,,単勝:450円 複勝:08=160円 06=170円 07=140円 枠連:330円,,,,,,,,,,,,"単勝:250円 複勝:11=130円 01=240円 09=510円 枠連:1,220円",,,,,,,,,,,,"単勝:870円 複勝:11=260円 12=190円 15=370円 枠連:2,100円",,,,,,,,,,,
"馬連:270円 ワイド:04-16=160円 05-16=3,360円 04-05=1,560円",,,,,,,,,,,,"馬連:1,230円 ワイド:06-08=460円 07-08=330円 06-07=460円",,,,,,,,,,,,"馬連:1,150円 ワイド:01-11=480円 09-11=1,030円 01-09=2,770円",,,,,,,,,,,,"馬連:1,920円 ワイド:11-12=700円 11-15=1,500円 12-15=1,040円",,,,,,,,,,,
"馬単:810円 3連複:6,130円 3連単:25,150円",,,,,,,,,,,,"馬単:2,490円 3連複:1,410円 3連単:8,390円",,,,,,,,,,,,"馬単:2,040円 3連複:8,430円 3連単:37,340円",,,,,,,,,,,,"馬単:3,960円 3連複:5,800円 3連単:34,550円",,,,,,,,,,,
■ 2R  芝1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 5R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■11R  芝1200m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,ｽﾌﾟﾘﾝﾀｰｽﾞS ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｂマジックシアタｰ, 55,蛯名正,, 56, -12,   8, 2,  3.0,④④③, 1, 5, ブラストクロノス,---,岩田康,, 53, -26,* 12, 3,  7.5,⑥⑤④, 1,10,Ａウォｰタｰマｰク, 78,後藤浩,, 72,* -5,* 25, 1,  1.4,①①①, 1,14,Ｇスリｰプレスナイト, 92,上村洋,, 90,   1,* 19, 1,  2.4, ⑤④
 2, 3,Ｃアルストリスタン, 54,三浦皇, 0.2, 56, -15,  11, 3, 10.1,⑧⑥⑤, 2, 9, ハギノバロンドｰル,---,後藤浩, 0.3, 49, -26,   7, 4,  8.8,⑧⑤⑦, 2, 7,Ｉニシノウェｰブ, 63,岩田康, 0.1, 73,  -7,* 27, 4, 17.7,②③③, 2,15,Ｃキンシャサノキセキ, 95,岩田康, 0.2, 87,   0,  18, 2,  5.9, ⑦⑦
 3, 1,Ｈヒシセンチュリｰ, 41,内田博, 0.2, 58, -18,* 17, 6, 25.8,⑨⑪⑨, 3,10, ニシノラムセス,---,内田博, 0.5, 50, -30,* 13, 6, 18.1,⑨⑪⑪, 3, 3,Ｂビッグスワン, 77,内田博, 0.7, 68,* -7,  20, 2,  4.9,③②②, 3,13,Ｅビｰビｰガルダン, 93,安藤勝, 0.2, 87,   3,  15, 6, 11.1, ③④
 4, 2,Ｅバイタルシチｰ, 43,安藤勝, 0.4, 53, -15,   8, 4, 10.1,⑥⑥⑤, 4, 4, ニシノアララギ,---,柴田善, 0.6, 47, -28,   6, 9, 38.7,⑨⑧⑥, 4, 4,Ｄサンダｰアロング, 68,吉田豊, 1.4, 64,  -8,  17, 3,  6.2,④⑥⑥, 4,11,Ｂスズカフェニックス, 95,横山典, 0.3, 87,  -2,* 19, 4,  8.5, ⑬⑩
 5,11,Ａヒカルプリンス, 62,横山典, 0.4, 50, -12,   3, 1,  2.1,④④③, 5, 3, ヒシソロモン,---,北村宏, 0.7, 40,*-22,  -4, 2,  7.3,②②②, 5, 1,Ｃエルブランコ, 69,幸英明, 1.7, 62, -10,  19, 5, 24.1,⑩⑨⑥, 5, 1,Ｌアポロドルチェ, 83,勝浦正, 0.3, 87,   3,  14,12, 59.1, ③②
