08年 3月 2日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 3月 2日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝2970m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  ダ1200m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,なにわｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ａメイショウボンハオ, 74,武豊  ,, 68,* -4,* 11, 1,  1.4, ②②, 1,10, ウォｰタｰトリトン,,佐久間,,,,, 1,  2.8,⑥⑥⑤, 1, 9,Ａインプルｰヴ, 78,武豊  ,, 80,*  9,*  9, 2,  4.0, ①①, 1, 9,Ａサイボｰグ, 89,藤岡佑,, 89,   8,* 18, 4,  6.0, ④④
 2, 2,Ｅマｰムｰドイモン, 56,幸英明, 0.6, 64,  -5,*  8, 4, 12.4, ④③, 2,11, ラダマンテス,,出津孝,201.5,,,, 2,  4.3,⑨⑦⑤, 2,15,Ｂミッキｰフォルテ, 74,福永祐, 0.6, 75,*  7,   5, 1,  2.2, ④②, 2, 8,Ｌビッグジェム, 76,上村洋, 0.7, 85,*  9,  11, 7, 16.3, ②②
 3,15,Ｇヴォレハクユウ, 52,渡辺薫, 1.0, 58,  -9,*  6, 6, 29.8, ⑥⑦, 3, 3, インカム,,菊地昇,201.5,,,, 8, 30.1,⑤⑤③, 3, 5,Ｃドリｰムクラウン, 72,安藤勝, 0.7, 73,   4,*  7, 3,  7.2, ④⑥, 3, 2,Ｃゴッドヘイロｰ, 86,小林徹, 1.0, 80,   6,  11,10, 36.5, ⑥⑥
 4,11,Ｃピエナワイルド, 64,和田竜, 1.1, 59,* -4,   1, 2,  5.3, ①①, 4, 1, シルクギャロップ,,金折知,201.8,,,, 4,  7.1,⑧⑧⑦, 4, 7,Ｆペプチドアトム, 68,和田竜, 0.7, 75,   5,   6, 8, 30.9, ④③, 4,11,Ｍカシノエスケイプ, 75,石橋守, 1.2, 78,  -1,  16, 3,  5.6, ⑪⑩
 5,14,Ｄマイネルスカｰル, 57,柴山雄, 1.5, 54,  -7,   0, 5, 21.9, ④⑤, 5, 8, ハストラング,,西谷誠,202.3,,,, 3,  5.3,⑥⑧⑦, 5,11,Ｅディアアゲイン, 68,田村太, 0.8, 72,   2,*  8, 9, 36.7, ⑨⑧, 5,14,Ｇウォｰタｰバロン, 83,武幸四, 1.2, 79,   5,  10, 6, 12.2, ⑦⑦
 6, 8,Ｈワｰルドマスタｰ, 49,熊沢重, 1.6, 54,  -9,   1, 7, 58.8, ⑥⑤, 6, 9, スズカジョリｰズ,,北沢伸,202.7,,,, 5,  9.5,③④⑨, 6, 4,Ｌアトラスシｰダｰ, 58,川田将, 1.3, 69,*  7,  -1, 5, 12.4, ②③, 6,10,Ｐアドマイヤディｰノ, 73,村田一, 1.2, 79,  -1,* 17,12, 49.9, ⑬⑪
 7, 1,Ｉパラダイスイズヒア, 48,福永祐, 2.2, 48, -15,   2, 3,  7.4, ⑪⑩, 7,14, マルタカテンビｰ,,高野容,202.9,,,,12, 91.0,②②①, 7, 6, リュウケン,---,岡部誠, 1.3, 69,   6,   0,13,211.3, ②③, 7, 1,Ｆナリタジュｰン, 83,安藤勝, 1.2, 79,   7,   9, 1,  4.0, ④④
 8, 4,Ｏロｰランセルバ, 33,川田将, 2.4, 47, -17,   2,12,310.8, ⑫⑫, 8, 4, スリｰエリシオ,,小坂忠,203.0,,,, 7, 20.5,④③③, 8, 2,Ｄクイックリｰプ, 70,柴山雄, 1.4, 69,  -1,   7,14,320.4, ⑩⑪, 8,16,Ｅルミナスポイント, 85,福永祐, 1.3, 78,  -2,* 17, 2,  4.6, ⑬⑭
