08年 9月14日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 9月14日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-9,,,,,■ 4R  芝1800m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝2000m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,ﾚｲﾝﾎﾞｰｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
15, 4,Ｍテンエイキャロット, 47,江田照, 9.2,  1, -12, -55,15,208.8,⑧⑮⑮,15, 1,Ｂステラｰホｰプ, 71,横山典, 4.3, 42,*  1, -26, 1,  3.0,②②②,,,,,,,,,,,,,15, 9,Ｉコアレスナイナｰ, 67,宮崎北, 2.1, 55,   0,  -5,13, 80.3, ⑨⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,11,Ｌロドリｰバニヤン, 63,石橋脩, 2.2, 55,  -6,   0, 8, 26.6, ⑬⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:81 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-4),,,,,,,,,,,
"単勝:1,150円 複勝:13=260円 07=180円 12=170円 枠連:730円",,,,,,,,,,,,"単勝:640円 複勝:11=250円 15=490円 09=290円 枠連:2,090円",,,,,,,,,,,,"単勝:870円 複勝:06=260円 04=140円 02=3,170円 枠連:490円",,,,,,,,,,,,単勝:340円 複勝:13=170円 04=180円 05=510円 枠連:470円,,,,,,,,,,,
"馬連:2,580円 ワイド:07-13=840円 12-13=690円 07-12=490円",,,,,,,,,,,,"馬連:7,790円 ワイド:11-15=2,170円 09-11=1,140円 09-15=2,280円",,,,,,,,,,,,"馬連:1,290円 ワイド:04-06=530円 02-06=16,090円 02-04=7,080円",,,,,,,,,,,,"馬連:970円 ワイド:04-13=430円 05-13=1,320円 04-05=1,420円",,,,,,,,,,,
"馬単:5,910円 3連複:3,090円 3連単:24,600円",,,,,,,,,,,,"馬単:12,320円 3連複:18,700円 3連単:123,220円",,,,,,,,,,,,"馬単:3,520円 3連複:65,310円 3連単:380,480円",,,,,,,,,,,,"馬単:1,650円 3連複:6,080円 3連単:21,670円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
