08年 9月14日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 9月14日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-9,,,,,■ 4R  芝1800m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝2000m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,ﾚｲﾝﾎﾞｰｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,,13,14,Ｎコｰリンスピアｰズ, 45,佐藤聖, 3.8, 41,  -5, -24,13,190.8,⑬⑬⑬,13,12,Ｅアップルサイダｰ, 81,柴山雄, 1.3, 70,   0,  -1, 5, 13.9,⑥⑥⑦
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,10,Ｍエｰルスタンス, 72,田中博, 1.4, 78,  -6,  13,12,112.6,⑬⑭⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-13 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-3),,,,,,,,,,,
単勝:150円 複勝:09=110円 06=390円 11=310円 枠連:540円,,,,,,,,,,,,単勝:150円 複勝:03=100円 02=120円 08=150円 枠連:0円,,,,,,,,,,,,単勝:240円 複勝:11=130円 07=190円 04=200円 枠連:700円,,,,,,,,,,,,単勝:630円 複勝:11=200円 14=140円 03=760円 枠連:590円,,,,,,,,,,,
"馬連:1,700円 ワイド:06-09=630円 09-11=460円 06-11=1,940円",,,,,,,,,,,,馬連:190円 ワイド:02-03=130円 03-08=190円 02-08=280円,,,,,,,,,,,,馬連:790円 ワイド:07-11=390円 04-11=430円 04-07=710円,,,,,,,,,,,,"馬連:1,000円 ワイド:11-14=470円 03-11=3,260円 03-14=1,830円",,,,,,,,,,,
"馬単:2,030円 3連複:4,210円 3連単:15,520円",,,,,,,,,,,,馬単:280円 3連複:350円 3連単:750円,,,,,,,,,,,,"馬単:1,340円 3連複:1,720円 3連単:6,370円",,,,,,,,,,,,"馬単:2,510円 3連複:11,870円 3連単:54,970円",,,,,,,,,,,
■ 2R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 5R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■11R  芝1600m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,京成杯ｵｰﾀﾑﾊﾝﾃﾞ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｃドリｰムヘリテｰジ, 52,松岡正,, 58,   3,* -6, 3,  4.2,⑥⑤⑤, 1, 5, パｰフェクトケン,---,内田博,, 69,* -1,*  7, 1,  2.1, ①①, 1, 4,Ａマルブツフラッシュ, 75,藤田伸,, 76,*  6,*  8, 3,  4.7,②②②, 1,16,Ａキストゥヘヴン, 93,藤田伸,, 92,  19,*  5, 3,  6.8,⑪⑫⑧
 2, 4,Ｅマイネルアウストロ, 41,蛯名正, 0.2, 56,*  8, -16, 4,  5.2,④③③, 2, 7, ムｰンストｰン,---,松岡正, 0.5, 65,  -6,*  7, 9, 49.3, ④③, 2, 1,Ｄロｰンジャスティス, 73,後藤浩, 0.3, 73,*  6,*  6, 1,  3.5,③③③, 2, 3,Ｇレッツゴｰキリシマ, 84,北村宏, 0.2, 88,  25,  -7,10, 16.5,④③④
 3, 1,Ａタイフｰンルビｰ, 54,吉田豊, 0.4, 52,*  9, -23, 1,  2.5,①①①, 3, 2, グラスキング,---,吉田豊, 1.2, 59,  -9,   3, 3,  5.8, ⑤⑤, 3, 5,Ｅマイネルビスタ, 72,木幡初, 0.6, 72,   3,*  9, 6, 11.9,⑩⑦⑥, 3, 4,Ｄステキシンスケクン, 85,後藤浩, 0.3, 88,  18,*  3, 2,  6.7,⑬⑭⑩
 4, 2,Ｂロジゴｰルド, 53,村田一, 0.5, 52,*  8, -22, 2,  3.4,②②②, 4,15, ツクバハピネ,---,柴田善, 1.3, 58,* -4,  -2, 2,  3.5, ②②, 4,12,Ｂフォｰミュラｰワン, 75,内田博, 0.8, 72,*  7,   1, 2,  3.6,①①①, 4, 1,Ｊヤマニンエマイユ, 82,田中勝, 0.4, 88,  23,  -9, 9, 15.9,⑤⑤②
 5, 5,Ｄマイネルテｰベ, 47,吉田隼, 0.8, 48,   6, -23, 6, 23.9,③③③, 5,13, クラッチシュｰタｰ,---,田中勝, 1.7, 55, -12,   3, 4, 11.1, ⑨⑧, 5,11,Ｉベルモントパッシオ, 65,西田雄, 1.4, 65,   4,  -1, 8, 24.2,⑤⑤⑤, 5,14,Ｌジｰンハンタｰ, 81,吉田豊, 0.7, 84,  16,*  0,15,103.8,⑮⑮⑭
 6, 3,Ｇインタｰメディア, 37,宮崎北, 1.8, 38,  -8, -14, 8,139.4,⑧⑨⑨, 6,11, ワガミチヲイク,---,後藤浩, 2.4, 48,  -8,  -8, 5, 22.9, ⑤⑤, 6, 9,Ｃパンプアップ, 74,横山典, 1.7, 65,   3,   0, 4,  6.4,⑫⑨⑥, 6, 8,Ｂリザｰブカｰド, 90,蛯名正, 0.8, 82,  22, -13, 1,  3.7,⑦⑦④
 7, 6,Ｈアイアムランボｰ, 37,後藤浩, 1.9, 36,  -2, -24, 5, 16.9,⑦⑦⑦, 7,14, ドリｰムエンジェル,---,鷹野宏, 2.5, 48, -26,*  9, 7, 32.3, ⑭⑬, 7, 8,Ｋシルクイｰグル, 59,吉田豊, 1.8, 64,*  5,  -6, 5, 11.5,④③③, 7, 2,Ｃトウショウヴォイス, 87,小林淳, 0.8, 83,  20, -10,12, 46.1,⑬⑨⑩
 8, 9,Ｉサイレントボス, 16,千葉直, 2.0, 35,  -4, -24, 9,182.5,④⑦⑧, 8, 1, トゥルｰボｰン,---,村田一, 2.7, 46, -11,  -8,13,130.7, ⑧⑦, 8, 3,Ｌツルギライジング, 59,小林淳, 2.3, 61,   3,  -5,11,147.0,⑦⑨⑩, 8, 9,Ｆマイケルバロｰズ, 84,内田博, 0.8, 82,  20, -10, 6, 12.1,⑪⑨⑧
 9, 8,Ｆコスモダッシュ, 39,柴山雄, 2.6, 30,   0, -37, 7, 60.4,⑧⑥⑥, 9, 6, ガリレオシチｰ,---,武士沢, 3.1, 42, -13, -10, 6, 29.9, ⑨⑪, 9, 7,Ｆデｰワンハｰト, 70,柄崎将, 2.3, 61,   3,  -5,10, 61.8,⑦⑨⑩, 9,15,Ｉマイネルフォｰグ, 82,松岡正, 1.0, 80,  21, -13, 7, 12.9,⑨⑨⑩
,,,,,,,,,,,,10,10, カワキタラブポップ,---,柴山雄, 3.3, 41, -17,  -7,14,139.0, ⑪⑪,10,10,Ｊガッツパワｰ, 62,石橋脩, 2.4, 59,   4,  -8, 9, 43.0,⑥⑤⑧,10,13,Ｎフジサイレンス, 77,五十嵐, 1.1, 79,  12,*  0,16,109.1,⑯⑯⑯
,,,,,,,,,,,,11,12, コスモエコロジｰ,---,蛯名正, 3.3, 40, -20,  -5, 8, 48.6, ⑬⑬,11, 6,Ｇエクロジオン, 70,蛯名正, 2.4, 61,   3,  -7, 7, 16.5,⑨⑦⑨,11, 7,Ｍテンイムホウ, 79,柄崎将, 1.5, 74,  22, -22,14, 81.7,⑦⑦⑬
,,,,,,,,,,,,12, 3, ムｰンパラダイス,---,木幡初, 3.4, 38, -31,   5,10, 64.9, ⑮⑮,12, 2,Ｈインザムｰンライト, 65,二本柳, 3.2, 54,   2,  -9,12,164.5,⑩⑫⑫,12,10,Ｏサトノプログレス, 76,横山典, 1.5, 73,  19, -17, 5,  8.8,⑨⑫⑭
