08年 8月 9日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 8月 9日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1000m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-10,,,,,■ 4R  ダ1000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,西部日刊ｽﾎﾟｰﾂ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,13,11, バイオレットコイン,---,小坂忠, 3.5,  3, -32, -17,11, 91.9, ⑬⑬,12, 1,Ｋスナｰクキャプテン, 50,田中克, 2.5, 39,  -9, -21,12,135.8,⑨⑬⑫,13, 2,Ｋシゲルダイハッカイ, 68,渡辺薫, 0.7, 68,   0,   1, 5,  9.6, ⑦⑦
,,,,,,,,,,,,14, 7, カシノヒバリ,---,大下智, 4.6, -4, -32, -25,14,232.4, ⑭⑭,13,11,Ｊエｰシンベロシティ, 50,芹沢純, 3.4, 30, -11, -29,11, 90.6,⑬⑯⑮,14,16,Ｊエイシンラビアン, 69,酒井学, 0.7, 66,  -6,   6,10, 19.9, ⑩⑪
,,,,,,,,,,,,,,,,,,,,,,,,14, 2,Ｏバブルシンフォニｰ, 42,太宰啓, 3.5, 30,  -7, -40,15,174.1,④⑩⑬,15, 7,Ｎハッピｰムｰド, 67,田中克, 0.7, 67,   2,  -1,14, 82.2, ④④
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,10,Ｒウイングビｰト, 61,鮫島良, 0.7, 67, -10,  10, 8, 17.1, ⑮⑰
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,14,Ｑベリｰベリナイス, 64,芹沢純, 0.8, 65, -11,  10,15,116.2, ⑯⑰
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,13,Ｌロマンスオｰラ, 67,上野翔, 0.9, 64,  -7,   5,18,265.4, ⑬⑬
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-11 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:81 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-3),,,,,,,,,,,
"単勝:670円 複勝:05=170円 01=140円 03=110円 枠連:1,520円",,,,,,,,,,,,単勝:220円 複勝:03=110円 14=150円 01=130円 枠連:670円,,,,,,,,,,,,"単勝:1,000円 複勝:03=870円 12=380円 16=2,500円 枠連:5,670円",,,,,,,,,,,,"単勝:2,700円 複勝:11=710円 17=720円 04=270円 枠連:1,370円",,,,,,,,,,,
"馬連:1,580円 ワイド:01-05=420円 03-05=240円 01-03=190円",,,,,,,,,,,,馬連:790円 ワイド:03-14=280円 01-03=190円 01-14=430円,,,,,,,,,,,,"馬連:6,450円 ワイド:03-12=1,170円 03-16=9,900円 12-16=3,220円",,,,,,,,,,,,"馬連:47,540円 ワイド:11-17=7,820円 04-11=3,720円 04-17=3,650円",,,,,,,,,,,
"馬単:3,410円 3連複:770円 3連単:7,700円",,,,,,,,,,,,"馬単:1,270円 3連複:820円 3連単:3,990円",,,,,,,,,,,,"馬単:13,420円 3連複:79,090円 3連単:416,110円",,,,,,,,,,,,"馬単:80,900円 3連複:102,840円 3連単:679,070円",,,,,,,,,,,
■ 2R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 5R  芝2000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 8R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■11R  芝1200m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾌｪﾆｯｸｽ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｇシゲルキボウ, 57,小牧太,, 63,   0,*  6, 4, 13.1,⑬⑥③, 1,12,Ｋウォｰタｰセレネ, 52,酒井学,, 66,   6,*-10,10, 52.0,⑤④②, 1, 6,Ｂアウトクラトｰル, 75,小牧太,, 73,* 10,   1, 3,  5.6, ②②, 1, 9,Ｅデグラｰティア, 46,浜中俊,, 65,  -6,*  3, 2,  3.2, ④③
 2,11,Ａメイショウユウシャ, 68,石橋守, 0.0, 62,*  2,   1, 2,  3.3,⑩②②, 2, 9,Ｃパｰルグレイピアス, 61,岩田康, 0.0, 65,   6,* -9, 1,  2.7,⑤⑥④, 2,10,Ｄワンダｰポデリオ, 73,石橋守, 0.2, 66,  -4,*  9, 5, 10.7, ⑫⑪, 2, 5,Ａイセノスバル, 57,芹沢純, 0.1, 62,* -1,  -4, 3,  4.1, ①①
 3, 2,Ｈカシノシンケン, 56,田中克, 0.3, 61,*  2,  -1,10, 39.2,①①①, 3, 3,Ｄメイショウキｰル, 61,赤木高, 0.1, 64,   6,*-11, 4, 10.4,④④④, 3, 3,Ｈカシノカスケｰド, 66,鮫島克, 0.4, 66,   4,   1,11, 88.5, ⑦⑦, 3, 4,Ｂホッコｰタキオン, 57,飯田祐, 0.3, 60,  -5,  -3, 1,  2.4, ④③
 4, 4,Ｄミスタｰマンデラ, 64,和田竜, 0.7, 59,  -3,*  3,12, 63.7,⑦⑩⑨, 4,17,Ｅアンリミテッドラヴ, 61,小牧太, 0.8, 58,*  7, -24, 3,  9.2,③②②, 4,12,Ｃパレスルビｰ, 75,太宰啓, 0.6, 66,   9,  -3, 6, 11.9, ③③, 4, 7,Ｃパレスシュガｰ, 49,太宰啓, 0.7, 56,* -2, -10, 4,  7.2, ②②
 5, 1, キャトルマン,---,幸英明, 0.8, 56,  -1,  -1, 3,  8.3,④⑥⑧, 5,15,Ｌスズカスタイル, 51,田中健, 1.1, 55,   6, -24,13, 84.9,⑧⑥④, 5, 4,Ａマイネラロンハ, 95,野元昭, 0.7, 68,* 12,  -6, 1,  2.2, ①①, 5, 1,Ｄサマｰラグｰン, 47,吉田隼, 1.0, 51, -10,  -6, 5, 21.4, ⑥⑦
 6,16,Ｎオンワｰドネス, 46,太宰啓, 0.8, 56,*  1,  -3,11, 54.2,②③③, 6, 5,Ｈリリイメイド, 55,田辺裕, 1.2, 56,   2, -18,14,106.1,⑫⑬⑪, 6, 5,Ｆトキノムテキ, 70,浜中俊, 0.8, 63,   7,  -4, 4,  9.3, ③⑤, 6, 8, トップオブピｰコイ,---,鮫島克, 1.1, 50,  -8,  -9, 6, 33.8, ⑥⑦
 7, 7,Ｂプリンチパｰレ, 68,浜中俊, 1.0, 54,*  1,  -5, 1,  2.5,⑦③⑥, 7, 6,Ｐピサノグレｰス, 43,吉田隼, 1.2, 54,   4, -23,11, 56.6,⑭⑨⑧, 7, 2,Ｊオｰメドック, 63,佐藤哲, 1.2, 57,  -1,  -2, 9, 47.5, ⑨⑧, 7, 3, エンジェルアリス,---,村島俊, 1.2, 49, -10,  -9, 7, 38.7, ⑥⑤
 8, 5,Ｃスリｰマｰチャン, 64,田中健, 1.1, 58,  -2,   0, 6, 15.3,⑦⑩⑨, 8,16,Ｉツルマルサイト, 55,田中克, 1.2, 55,   3, -20,12, 67.4,⑫⑪⑨, 8, 7,Ｌサンレイアイシング, 56,岩崎祐, 1.3, 60,   9, -10,12,143.9, ③③, 8, 2,Ｆアスカノユタカ, 39,和田竜, 1.6, 44, -13, -12, 8, 59.1, ⑨⑨
 9,13,Ｆウォｰタｰルフラン, 59,酒井学, 1.2, 56,  -2,  -3, 9, 34.8,⑥⑨⑨, 9, 4,Ｏホシノクレオパトラ, 44,太宰啓, 1.3, 55,  -1,*-13,17,328.1,⑰⑮⑮, 9,13,Ｅスリｰベイダｰ, 72,幸英明, 1.4, 56,   4,  -7, 7, 15.7, ⑦⑨, 9, 6, デンタルジェンヌ,---,山口勲, 3.7, 16,* -2, -49, 9, 76.1, ②⑤
10, 8,Ｋルイジアナボｰイ, 52,吉田隼, 1.2, 54,   0,  -5, 7, 20.4,⑪⑥⑥,10,14,Ｂシザｰズトウショウ, 64,佐藤哲, 1.3, 52,   6, -27, 2,  3.2,⑦⑥④,10, 1,Ｇエンジェルフェザｰ, 67,熊沢重, 1.5, 57,   7, -11,10, 65.5, ③⑤,,,,,,,,,,,,
11,15,Ｅシゲルレスポワｰル, 60,角田晃, 1.5, 53,*  1,  -8, 5, 14.5,②③③,11,10,Ｎフレッシュホｰラｰ, 45,飯田祐, 1.4, 54,   2, -20,15,133.2,⑪⑬⑨,11, 9,Ｍドロシｰビコｰ, 32,酒井学, 1.7, 51,  -2,  -6, 2,  5.2, ⑩⑩,,,,,,,,,,,,
12,10,Ｊチェリｰバッハ, 54,高橋亮, 1.6, 52,  -5,  -2,14,153.4,⑭⑬⑫,12, 2,Ｆコマノラミア, 57,鮫島良, 1.4, 53,   4, -26, 5, 11.7,⑨⑨⑪,12,11,Ｉキシュウラパン, 64,船曳文, 2.1, 46,  -3, -10, 8, 37.1, ⑩⑫,,,,,,,,,,,,
13, 6,Ｍウイントゥルｰス, 50,赤木高, 1.9, 51,  -7,*  3,15,171.9,⑮⑭⑭,13, 8,Ａサンバステップ, 64,田村太, 1.4, 51,*  7, -34, 7, 17.8,①①①,,,,,,,,,,,,,,,,,,,,,,,,
14, 9,Ｏスズカワイルド, 43,芹沢純, 2.0, 49,  -3,  -7,13, 83.8,④⑩⑫,14,13,Ｇグリｰンラヴィン, 55,浜中俊, 1.5, 54,   3, -25, 8, 32.2,⑨⑪⑭,,,,,,,,,,,,,,,,,,,,,,,,
15,12,Ｉアリオンシチｰ, 56,船曳文, 2.4, 49,  -8,   1,16,173.9,⑮⑮⑮,15, 1,Ｍリュウセイペガサス, 47,熊沢重, 2.3, 45,  -1, -27,16,224.1,⑭⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16,11, ケイティｰズベスト,---,幸英明, 3.1, 41,*  7, -57, 6, 11.8,②②⑪,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17, 7,Ｊスマｰトディｰバ, 53,上村洋, 7.7,-11, -14, -72, 9, 47.6,⑯⑰⑰,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-12 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:68 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-3),,,,,,,,,,,
"単勝:1,310円 複勝:03=360円 11=140円 02=560円 枠連:1,610円",,,,,,,,,,,,"単勝:5,200円 複勝:12=950円 09=140円 03=300円 枠連:1,630円",,,,,,,,,,,,"単勝:560円 複勝:06=230円 10=270円 03=1,880円 枠連:2,010円",,,,,,,,,,,,単勝:320円 複勝:09=110円 05=110円 04=110円 枠連:680円,,,,,,,,,,,
"馬連:1,850円 ワイド:03-11=730円 02-03=3,920円 02-11=1,740円",,,,,,,,,,,,"馬連:10,810円 ワイド:09-12=3,060円 03-12=5,740円 03-09=610円",,,,,,,,,,,,"馬連:2,220円 ワイド:06-10=720円 03-06=5,790円 03-10=6,250円",,,,,,,,,,,,馬連:640円 ワイド:05-09=190円 04-09=150円 04-05=150円,,,,,,,,,,,
"馬単:4,520円 3連複:19,850円 3連単:125,850円",,,,,,,,,,,,"馬単:31,150円 3連複:32,130円 3連単:293,140円",,,,,,,,,,,,"馬単:4,060円 3連複:53,480円 3連単:227,690円",,,,,,,,,,,,"馬単:1,060円 3連複:260円 3連単:2,050円",,,,,,,,,,,
■ 3R  芝2900m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 6R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 9R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■12R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,都井岬特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10, ロングアキレス,,植野貴,,,,, 3,  4.2,⑥①①, 1, 9,Ａラッキｰバニヤン, 66,岩田康,, 75,   4,*  5, 1,  2.0, ④④, 1,11,Ｅアンノルｰチェ, 70,和田竜,, 76,*  0,  11, 1,  3.7,③②②, 1,13,Ｃペルルノワｰル, 74,鮫島良,, 75,   3,* 13, 5,  7.2,⑦⑤③
 2, 7, エイシンボストン,,西谷誠,187.6,,,, 2,  3.0,⑥④④, 2, 2,Ｆダノンタイガｰ, 54,太宰啓, 1.0, 62,   2,  -7, 5, 14.6, ⑦⑤, 2, 5,Ｃシゲルフセルト, 72,川島信, 0.0, 76,  -5,* 18, 5,  8.2,⑥⑥④, 2,16,Ｅレゾリュｰション, 73,渡辺薫, 0.1, 73,*  4,  10, 6,  8.4,④②②
 3, 2, マイビッグドリｰム,,小坂忠,189.7,,,, 7, 18.4,④②②, 3,17,Ｅメイブ, 54,幸英明, 1.1, 63,*  7, -12, 6, 17.0, ③③, 3, 3,Ｊデュｰン, 66,上村洋, 0.2, 71,* -1,   6, 6,  9.5,①①①, 3,11,Ｂアドマイヤミスティ, 74,岩田康, 0.4, 72,   2,* 12, 1,  5.5,⑪⑧⑤
 4, 6, ウォｰタｰトリトン,,佐久間,191.7,,,,10, 63.2,⑩⑧⑧, 4, 1,Ｋタイキディザイア, 50,吉田隼, 1.3, 58,   4, -12,15,123.9, ④⑤, 4,12,Ａタンホイザｰ, 76,小牧太, 0.4, 77,  -9,* 22, 2,  3.8,⑯⑬⑪, 4, 2,Ｇヒカルアモｰレ, 72,浜中俊, 0.4, 70,*  5,   5, 2,  5.7,①①①
 5, 1, マンテンフラワｰ,,高野容,192.1,,,, 9, 46.9,②⑤⑤, 5, 8,Ｄスナｰクマイハｰト, 55,川田将, 1.4, 53,  -7,* -3, 2,  3.8, ⑬⑪, 5, 2,Ｋモンサンミシェル, 65,幸英明, 0.5, 74,  -6,  14, 3,  7.8,⑫⑨⑥, 5, 8,Ｉペルネティアナ, 71,幸英明, 0.7, 71,   0,* 13,15, 97.2,⑬⑪⑪
 6, 3, マルブツトップ,,熊沢重,192.6,,,, 5, 14.0,②⑥⑥, 6,11,Ｇマストコントロｰル, 52,浜中俊, 1.5, 59,*  8, -18, 3, 12.3, ①①, 6, 7,Ｂゼンノベリル, 74,岩田康, 0.7, 70,  -6,  13, 4,  8.2,⑪⑨⑥, 6, 9,Ｆオｰミチェリッシュ, 72,大下智, 0.8, 73,   0,* 12,12, 42.6,⑭⑪⑧
 7, 5, スリｰブラボｰ,,林満明,192.6,,,, 8, 32.0,①②②, 7, 4,Ｈエイシングラスゴｰ, 52,和田竜, 1.7, 51,  -2, -12, 4, 13.0, ⑨⑧, 7, 4,Ｌサフランキセキ, 65,熊沢重, 0.9, 63,* -2,   1,16,271.8,④④④, 7, 3,Ａメイショウコレット, 76,田中健, 1.0, 70,   2,   7, 4,  6.1,⑩⑧⑧
 8, 8, コアレスプレジャｰ,,仲田雅,192.9,,,, 4, 10.9,⑧⑦⑦, 8,12,Ｂマッキｰケインズ, 59,川島信, 1.7, 50,  -8,  -5, 9, 42.6, ⑮⑯, 8,15,Ｆチョウサンデイ, 68,佐藤哲, 0.9, 66,  -6,   9, 8, 13.8,⑩⑨⑥, 8,14,Ｌブｰケフレグランス, 64,川田将, 1.3, 65,*  4,  -1, 3,  5.8,②②③
