08年12月28日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年12月28日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝3110m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  芝1600m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  芝2400m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｵﾘｵﾝｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ｄメイショウカガリビ, 52,小牧太,, 59,* -5,*  3, 2,  3.3,②②②, 1,11, マｰブルジｰン,,小坂忠,,,,, 2,  3.3,⑧③③, 1, 5,Ａミクロコスモス, 75,鮫島良,, 73,  -3,*  8, 2,  2.3, ⑫⑫, 1, 4,Ｅドリｰムフライト, 81,西田雄,, 80,* 11,  -2, 6, 16.0,③③②
 2,11,Ｇウルトライエロｰ, 49,小林徹, 0.1, 58,* -4,   1, 7, 32.9,①①①, 2, 3, ニホンピロザプラウ,,黒岩悠,208.5,,,, 5, 11.1,⑪⑪④, 2,12,Ｊサトノエクスプレス, 58,北村宏, 0.2, 67,*  4,  -7, 3,  7.2, ②②, 2, 9,Ｄメトロシュタイン, 82,福永祐, 0.0, 80,   8,*  4, 4,  6.4,④④④
 3, 8,Ｃクリスザドｰル, 53,幸英明, 0.6, 54,  -6,   1, 1,  2.6,⑥⑤⑤, 3, 2, モモタロサン,,高野和,208.7,,,, 4,  9.9,③②②, 3,10,Ｇコパノマユチャン, 65,武幸四, 0.4, 70,   0,* -2, 5, 22.8, ⑪⑪, 3, 6,Ｂシゲルタック, 86,藤岡佑, 0.1, 80,   8,*  5, 2,  4.9,⑧⑦⑦
 4, 1,Ｋミリアム, 46,佐藤哲, 0.8, 55,  -6,   1, 9, 50.8,⑤⑥⑥, 4, 1, ファストソニック,,浜野谷,208.8,,,,10, 39.1,①①①, 4,11,Ｂワイドサファイア, 74,福永祐, 0.4, 67,*  5, -11, 1,  2.1, ①①, 4, 1,Ａタニノディキディキ, 86,秋山真, 0.3, 78,   8,   1, 8, 20.7,⑦⑤⑤
 5, 3,Ｅインバラトゥｰラ, 51,鮫島良, 0.9, 57,  -7,*  3,13,101.2,⑩⑦⑧, 5, 7, ホットビスティｰ,,五十嵐,208.8,,,, 6, 11.7,⑩⑨⑩, 5, 6,Ｆドリｰムゼニス, 66,石橋脩, 0.8, 64,   0,  -7, 6, 49.0, ⑩⑩, 5, 8,Ｉアグネススタｰチ, 78,赤木高, 0.3, 76,* 11,  -9, 3,  5.4,①①①
 6, 4,Ｊアンディｰフロイデ, 47,武幸四, 1.1, 54,  -8,*  3, 4,  8.6,⑪⑫⑪, 6, 8, タガノデンジャラス,,高田潤,209.0,,,, 1,  3.1,⑥⑤⑦, 6, 1,Ｉウインザモチ, 63,幸英明, 0.8, 64,*  4, -14,10, 86.5, ④③, 6, 2,Ｈネヴァキングダム, 79,北村宏, 0.3, 76,   8,   1, 1,  3.0,⑤⑥⑥
 7,10,Ａフレｰバｰティｰ, 57,浜中俊, 1.2, 51,* -5,  -5, 3,  7.3,④③④, 7, 5, パルティアシチｰ,,北村浩,209.0,,,, 3,  6.2,⑦⑩⑧, 7, 2,Ｄラインブラッド, 68,藤岡佑, 0.9, 61,   2, -14, 4, 14.0, ⑤④, 7,11,Ｋラッキｰリップス, 66,浜中俊, 0.4, 79,   7,*  4,11, 96.4,⑥⑧⑨
 8,15,Ｂジョｰセレス, 56,石橋脩, 1.3, 50,  -7,  -2, 8, 33.2,⑫⑨⑦, 8, 6, スリｰエリシオ,,南井大,209.4,,,, 9, 36.7,⑨⑧⑨, 8, 3,Ｃシルクブリッツ, 69,野元昭, 1.0, 60,   1, -12, 9, 82.8, ⑥⑦, 8, 5,Ｇロックスピリッツ, 79,佐藤哲, 0.9, 73,   7,  -2,10, 50.7,⑪⑪⑪
 9, 2,Ｈファストストリｰム, 48,田中克, 1.4, 51,* -5,  -7, 6, 13.0,③④③, 9,10, ワイズタイクｰン,,林満明,209.6,,,,11, 64.6,⑤⑦⑤, 9, 4,Ｋビスカヤ, 57,浜中俊, 1.1, 62,   0, -12, 8, 78.5, ⑨⑨, 9, 3,Ｆエプソムアルテマ, 81,武士沢, 1.0, 73,   7,  -5, 7, 20.6,⑨⑨⑧
10, 5,Ｐナタｰシャ, 37,田村太, 1.7, 50, -10,   1,15,147.4,⑬⑭⑭,10, 9, スズカジョリｰズ,,北沢伸,210.2,,,, 8, 17.8,④④⑥,10, 9,Ｅコルサｰジュ, 67,川島信, 1.1, 60,   1, -13, 7, 50.6, ⑦⑧,10, 7,Ｊキングオブカルト, 75,幸英明, 1.1, 72,  10, -13, 5,  9.6,②②③
11, 9,Ｉトップスタイリスト, 47,船曳文, 2.4, 47,  -9,  -8,10, 52.1,⑨⑬⑬,11, 4, シルクギャロップ,,金折知,211.9,,,, 7, 14.7,②⑥⑪,11, 7,Ｈシュウホｰサンデｰ, 65,田中健, 2.3, 45,   2, -34,11,105.6, ⑧⑥,11,10,Ｃアメジストリング, 83,武幸四, 1.5, 69,   5,  -9, 9, 34.5,⑩⑩⑩
12, 7,Ｌシルクヴィオレット, 46,赤木高, 2.6, 41,  -8, -12, 5, 12.0,⑭⑪⑩,,,,,,,,,,,,,12, 8, クリプトン,---,下原理, 2.9, 40,*  4, -44,12,195.8, ③⑤,,,,,,,,,,,,
13,13,Ｎクリノアツヒメ, 39,北村宏, 2.9, 41,  -6, -15,12, 88.9,⑦⑧⑨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,12,Ｏバサラプリンセス, 37,佐久間, 4.6, 30, -10, -23,14,125.6,⑮⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,16,Ｍムｰヴトゥゴｰル, 40,藤岡佑, 4.8, 28,  -9, -28,11, 68.2,⑧⑩⑫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:1),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:4),,,,,,,,,,,
"単勝:330円 複勝:14=130円 11=560円 08=120円 枠連:3,860円",,,,,,,,,,,,"単勝:330円 複勝:11=150円 03=270円 02=330円 枠連:1,940円",,,,,,,,,,,,単勝:230円 複勝:05=130円 12=230円 10=480円 枠連:170円,,,,,,,,,,,,"単勝:1,600円 複勝:04=520円 09=220円 06=180円 枠連:2,080円",,,,,,,,,,,
"馬連:4,740円 ワイド:11-14=1,260円 08-14=180円 08-11=1,450円",,,,,,,,,,,,"馬連:1,730円 ワイド:03-11=680円 02-11=840円 02-03=1,690円",,,,,,,,,,,,"馬連:940円 ワイド:05-12=320円 05-10=590円 10-12=1,490円",,,,,,,,,,,,"馬連:4,960円 ワイド:04-09=1,520円 04-06=1,390円 06-09=440円",,,,,,,,,,,
"馬単:6,890円 3連複:3,230円 3連単:25,500円",,,,,,,,,,,,"馬単:3,000円 3連複:6,640円 3連単:30,500円",,,,,,,,,,,,"馬単:1,450円 3連複:4,280円 3連単:11,650円",,,,,,,,,,,,"馬単:11,670円 3連複:7,280円 3連単:57,080円",,,,,,,,,,,
■ 2R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 5R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 8R  ダ1800m 3歳上1000万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■11R  ダ1400m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｷﾞｬﾗｸｼｰS,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ｉピエナマックス, 50,小牧太,, 64,*  8,  -6, 9, 29.0, ②①, 1,13,Ｃナショナルヒｰロｰ, 61,藤岡佑,, 66,*  5,   0, 2,  3.4, ①①, 1, 8,Ａユウキタイティ, 83,幸英明,, 78,*  6,* 13, 2,  2.8,②②②, 1, 5,Ｅオフィサｰ, 89,小牧太,, 85,   9,* 15, 4, 15.2, ⑩⑪
 2, 7,Ｈメジロブラボｰ, 50,北村宏, 0.2, 63,  -1,*  1, 8, 18.9, ⑧⑧, 2, 8,Ａメイショウオｰラ, 74,武幸四, 0.1, 63,   2,*  2, 1,  2.0, ⑤④, 2, 2,Ｃピイラニハイウェイ, 81,藤岡佑, 0.3, 78,   5,* 13, 1,  2.8,③③④, 2,14,Ｄクィｰンオブキネマ, 89,浜中俊, 0.4, 84,* 17,   1, 6, 18.1, ③③
 3,13,Ａヤマノマリンブルｰ, 68,藤岡佑, 0.2, 62,   2,  -2, 2,  5.2, ⑤④, 3, 3,Ｂベルモントラスタｰ, 62,小牧太, 0.2, 62,   0,*  4, 3,  4.8, ⑪⑦, 3, 9,Ｂアドマイヤレグルス, 82,福永祐, 0.5, 76,   5,  11, 3,  4.4,④④③, 3,13,Ｈヒシカツリｰダｰ, 87,小林徹, 0.4, 82,   8,* 13, 3, 12.8, ⑬⑭
 4, 2,Ｄキタサンエンペラｰ, 58,佐藤哲, 0.4, 61,   1,  -3, 5,  6.9, ⑥⑤, 4,12,Ｎカツヨグラッチェ, 39,北村宏, 0.4, 62,*  4,  -2,14,210.6, ③③, 4, 5,Ｇワンダｰムシャ, 75,野元昭, 0.6, 75,*  6,   8, 5, 12.2,①①①, 4, 8,Ａペプチドルビｰ, 96,武英智, 0.5, 82,  15,   4, 2,  6.6, ⑥⑤
 5,15,Ｃピサノプレミアム, 58,浜中俊, 0.6, 59,  -4,   0, 4,  6.8, ⑨⑩, 5, 6,Ｌメテオストリｰム, 44,田村太, 1.2, 53,  -2,  -2,12,115.0, ⑭⑬, 5, 1,Ｆホｰマンラフィット, 77,金折知, 0.9, 74,   3,* 13,10, 98.9,⑧⑨⑨, 5, 9,Ｏダンツキッスイ, 80,武幸四, 0.7, 80,  11,   7, 8, 22.5, ⑨⑨
 6, 1,Ｆアスタｰクリス, 55,石橋脩, 0.6, 60,*  8, -10,11, 76.8, ①②, 6, 1,Ｆカバｰドブリッジ, 51,川島信, 1.8, 49,  -1,  -8,13,181.2, ⑫⑪, 6, 3,Ｊモチ, 67,浜中俊, 1.0, 74,   2,* 12, 4, 10.7,⑩⑩⑩, 6,10,Ｉブイチャレンジ, 86,武士沢, 0.7, 79,   4,* 17, 7, 21.9, ⑯⑯
 7, 5,Ｅタガノバッチグｰ, 57,福永祐, 0.7, 59,*  5,  -8, 1,  3.5, ③③, 7, 4,Ｐテンシノザｰル, 36,下原理, 1.8, 48,  -4,  -4,10, 87.0, ⑮⑮, 7, 6,Ｄハニｰフラッグ, 80,秋山真, 1.1, 72,   5,   7, 6, 12.8,⑥⑤⑤, 7,12,Ｇハギノトリオンフォ, 87,幸英明, 0.8, 79,   9,   9,14,170.4, ⑭⑫
