08年 3月 2日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 3月 2日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-9,,,,,■ 4R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 7R  ダ1700m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝2000m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,美濃特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｂディマンシュ, 58,赤木高,, 66,*  7,*  1, 2,  3.7, ②②, 1, 5,Ｉナリタアタッカｰ, 46,的場勇,, 62,   1,  -3,14,147.5, ⑤④, 1, 4,Ａパｰプルアカデミｰ, 78,赤木高,, 75,   2,* 17, 1,  2.0,③⑥⑤, 1, 8,Ｂヒカリシャトル, 75,中舘英,, 79,*  9,*  6, 1,  3.4,③②②
 2,11,Ａミステリアスバイオ, 65,中舘英, 0.2, 64,*  8,* -1, 1,  2.1, ①①, 2, 3,Ｂチャｰルストン, 65,鮫島良, 0.0, 64,*  5,  -7, 1,  2.4, ②②, 2, 6,Ｃナパリコｰスト, 71,鮫島良, 0.1, 73,*  3,  13, 2,  4.8,②②①, 2, 5,Ａフュｰチャｰボｰイ, 77,北村友, 0.7, 74,   5,*  6, 2,  4.5,⑦⑨⑩
 3, 1,Ｄグルｰビｰアイズ, 57,北村友, 1.2, 51,  -9,*  0, 3,  5.0, ⑩⑩, 3, 1,Ａヴィオレットステラ, 67,浜中俊, 0.0, 64,*  5,  -7, 2,  4.2, ①①, 3,13,Ｄマイネルハヤト, 70,田辺裕, 0.1, 70,   2,* 14, 5, 11.5,⑪④③, 3, 2,Ｄナイスヴァレｰ, 71,田中健, 0.8, 70,*  8,  -4, 6, 14.9,②②③
 4, 6,Ｇシゲルスペランツァ, 50,浜中俊, 1.3, 52,   0,  -6, 7, 25.7, ④⑤, 4, 7,Ｌシナノザクラ, 41,田辺裕, 0.3, 56,  -7,*  1, 7, 23.3, ⑫⑫, 4, 1,Ｆゴｰルディｰロック, 69,的場勇, 0.8, 71,   0,  13, 4,  8.3,⑧⑩⑧, 4,13,Ｉマジカルスタｰ, 68,嘉藤貴, 0.8, 72,   5,   4,12, 48.5,⑪⑨⑨
 5, 4,Ｋリルティングソング, 42,石橋脩, 1.5, 50,  -1,  -6, 8, 43.5, ⑤③, 5,15,Ｄアドマイヤワイド, 55,藤岡康, 0.4, 55,  -3,  -4, 4,  7.9, ⑧⑦, 5, 3,Ｂマイニングゴｰルド, 73,中舘英, 0.8, 68,   2,  10, 3,  7.6,③⑥⑤, 5,14,Ｅカゼノユクエ, 70,安藤光, 0.9, 71,   4,*  6, 4,  6.7,⑪⑫⑩
 6, 8,Ｌライングロリア, 40,松田大, 1.7, 47,  -8,  -4,12,177.0, ⑩⑪, 6,12,Ｃスズカタイホｰ, 57,中村将, 0.4, 56,  -4,  -3, 6, 17.6, ⑩⑩, 6, 2,Ｅタンゴノセック, 69,荻野琢, 0.9, 70,  -1,* 15, 9, 59.9,⑪⑬⑪, 6, 3,Ｆステイトリｰデイズ, 70,石橋脩, 1.0, 70,   6,  -1, 3,  5.9,⑦⑥⑦
 7, 5,Ｃメイショウフェｰヴ, 58,藤岡康, 1.7, 49,  -3,  -7, 6, 18.7, ⑥⑤, 7,10,Ｏワイルドパンチ, 16,菊沢隆, 0.6, 52,  -4,  -6, 9, 35.6, ⑩⑩, 7, 7,Ｈサｰユウジｰン, 68,藤岡康, 1.0, 68,*  3,   5, 6, 18.1,③②③, 7, 4,Ｏシｰコンチェルト, 63,赤木高, 1.1, 70,  -1,* 11,15,113.5,⑰⑰⑰
 8, 2,Ｆスズモナリザ, 51,梶晃啓, 1.8, 46,  -6,  -7, 9, 53.6, ⑦⑤, 8, 6,Ｍアネクスペクティド, 36,二本柳, 0.7, 51,  -9,* -1,16,349.7, ⑭⑮, 8, 9,Ｊショウナンサリｰレ, 67,北村友, 1.0, 65,*  3,   5, 7, 20.7,①①②, 8,11,Ｇコアレスウィｰク, 68,川島信, 1.2, 64,* 10, -12, 9, 24.8,①①①
 9,10,Ｅマキマキトップ, 53,鮫島良, 1.8, 45, -13,  -2, 5, 17.2, ⑫⑫, 9,13, マチカネモンスｰン,---,古川吉, 0.8, 53,*  4, -16,10, 42.8, ②③, 9, 8,Ｎデンコウニンジャ, 65,古川吉, 1.3, 70,   2,   9,13,114.9,⑬⑧⑧, 9, 6,Ｈスｰパｰレインボｰ, 68,太宰啓, 1.2, 67,*  8,  -8, 7, 15.9,④④⑤
