08年 8月10日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 8月10日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:14,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 7R  芝2600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,噴火湾特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ａマイネルエルフ, 58,津村明,, 61,*  2,  -3, 3,  4.4,①①①, 1, 7,Ｄマチカネニホンバレ, 60,ホワイ,, 69,*  0,* 13, 1,  3.6,③③②, 1, 2,Ｋマスラタケヲ, 61,丸田恭,, 71,*  0,*  1,11, 94.1,⑤④⑤, 1,10,Ｃアドマイヤスワット, 79,安藤勝,, 79,* 11,*  6, 1,  2.0,③③②
 2, 5,Ｂクｰデグレイス, 55,横山典, 0.2, 58,*  1,  -2, 2,  3.5,④③②, 2, 9,Ａジョｰキｰマン, 71,長谷川, 0.9, 67,*  0,*  7, 4,  5.6,⑤④④, 2, 1,Ｊキｰプユアアイズ, 62,秋山真, 0.1, 68,*  1,  -4,10, 67.9,①①①, 2, 7,Ｆブレイバｰ, 78,横山典, 0.5, 76,  10,   3, 3,  6.5,⑧③③
 3,14,Ｃサトノエンペラｰ, 54,ホワイ, 0.6, 54,*  0,  -9, 1,  2.9,⑨③②, 3,11,Ｃバイヨン, 61,横山典, 1.5, 58,*  1,   0, 2,  4.2,②②②, 3, 8,Ｅメジロスパイダｰ, 68,菊沢隆, 0.2, 69,  -2,*  4, 6, 13.2,⑩⑨⑥, 3,11,Ｇビッグクラウン, 76,津村明, 0.6, 76,   9,*  4,11, 80.2,⑨⑥⑤
 4, 3,Ｉブリッツェン, 43,藤田伸, 0.7, 53,  -1,  -8, 6, 15.3,④⑤⑤, 4, 4,Ｌサクラシザｰズ, 21,荻野琢, 2.0, 57,*  0,  -3,11,129.5,④④⑤, 4, 4,Ｂマヒオレ, 72,藤岡佑, 0.3, 67,*  0,  -3, 1,  3.4,⑤④②, 4, 8,Ｂウグイスジョウ, 82,長谷川, 0.6, 79,   9,*  5, 4, 10.8,⑥⑥⑤
 5, 6,Ｌアドバンスヘイロｰ, 41,三浦皇, 0.7, 53,*  2, -12, 5, 11.5,②②②, 5, 5,Ｆタイセイボナンザ, 56,木幡初, 2.1, 54,  -1,  -2, 6, 13.8,⑦⑥⑥, 5, 9,Ｄロイバｰブリング, 69,大野拓, 0.7, 66,  -2,  -1, 8, 27.7,⑪⑩⑪, 5, 5,Ａメイショウカルド, 83,藤岡佑, 0.8, 75,* 12,  -2, 2,  3.7,②①①
 6, 2,Ｈコスモルマン, 44,北村友, 0.9, 52,  -2,  -8,12,102.2,⑦⑦⑥, 6, 3,Ｂリモｰネシチｰ, 62,丸田恭, 2.2, 53,*  1,  -7, 3,  5.4,①①①, 6, 3,Ｇディｰプウイング, 66,松田大, 0.7, 66,  -1,  -4, 7, 13.3,⑧⑦⑥, 6, 1,Ｄナムラハｰン, 79,武英智, 0.9, 75,   8,*  4, 6, 23.0,⑨⑨⑦
 7, 4,Ｇテンシノマズル, 47,大江原, 1.1, 50,  -6,  -2,13,147.5,⑫⑩⑧, 7,12,Ｅマウイジャカランダ, 56,藤田伸, 2.4, 53,  -2,  -3, 7, 17.7,⑨⑥⑧, 7,10,Ａグレｰトキャンドル, 75,荻野琢, 0.8, 62,*  0, -10, 3,  5.0,④④②, 7, 6,Ｈバリオン, 74,菊沢隆, 1.1, 74,   7,*  5, 9, 55.5,⑫⑫⑪
 8, 1,Ｋロｰズバンク, 43,池添謙, 1.1, 51,  -7,*  2, 4,  8.3,⑪⑫⑬, 8, 1,Ｇザスタｰキング, 55,三浦皇, 2.4, 52,  -1,  -5, 9, 30.1,⑥⑥⑥, 8, 6,Ｃスマｰトファントム, 71,武幸四, 0.9, 63,  -2,  -4, 2,  3.5,⑪⑩⑨, 8, 9,Ｉインスパイアリング, 70,小林徹, 1.5, 72,   6,   2,12, 96.7,⑬⑬⑪
 9,11,Ｅクリノマックス, 50,古川吉, 2.2, 39,  -2, -26, 9, 72.3,⑦⑦⑦, 9,13,Ｉアドマイヤミサイル, 52,藤岡佑, 3.1, 49,  -6,  -2, 8, 29.3,⑬⑫⑫, 9,12,Ｌスタｰルｰセント, 56,勝浦正, 1.3, 59,  -1, -12, 9, 50.0,⑤⑦⑨, 9,13,Ｅブルｰフェアプレｰ, 78,古川吉, 1.6, 71,   7,  -2, 7, 32.2,⑨⑨⑩
10,10,Ｄティフィン, 50,藤岡佑, 2.4, 38,  -7, -17, 7, 17.7,⑭⑫⑪,10, 8,Ｊノリリスク, 43,松田大, 3.1, 52,  -3,  -6,12,149.5,⑪⑩⑩,10,11,Ｆエイシンフレンチ, 68,藤田伸, 1.4, 58,  -3,  -8, 5,  9.9,⑧⑫⑫,10,12,Ｊダイワレヴアップ, 69,的場勇, 2.7, 62,* 11, -18,10, 77.0,①②③
11, 7,Ｎヤマイチタイキ, 35,田嶋翔, 2.6, 35,  -6, -22,14,181.6,⑬⑩⑪,11, 2,Ｈシアトルシｰフェア, 54,千田輝, 4.1, 41,  -2, -18,10,126.9,⑩⑥⑨,11, 5,Ｉテイエムモモタロｰ, 64,池添謙, 1.4, 55,*  0, -19, 4,  7.6,③③②,11, 3,Ｌアサクササンジャ, 68,三浦皇, 3.0, 58,   9, -17, 8, 36.1,③⑤⑦
12, 9,Ｆモアナパキピカ, 48,荻野琢, 3.4, 27,  -2, -41, 8, 68.8,⑥⑦⑧,12,10, ダノンマｰチャン,---,安藤勝, 4.2, 40,  -5, -15, 5,  6.6,⑫⑩⑪,12, 7,Ｈヤマカツマドンナ, 64,大江原, 2.0, 50,*  0, -29,12,119.6,②②⑥,12, 2,Ｍランチボックス, 66,武幸四, 3.3, 57,   8, -18, 5, 14.6,⑥⑧⑨
13, 8,Ｊメダリアビｰト, 43,四位洋, 4.0, 23,  -7, -38,10, 73.9,⑨⑫⑬,13, 6,Ｋバラドｰズ, 34,梶晃啓, 9.0, 14,  -6, -51,13,225.3,⑦⑬⑬,,,,,,,,,,,,,13, 4,Ｋダンシングタイガｰ, 69,秋山真, 3.5, 58,   7, -16,13,105.4,③⑨⑪
14,13,Ｍエンクｰ, 38,秋山真, 5.4,  0,  -1, -71,11, 79.5,②⑤⑩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:-1),,,,,,,,,,,
単勝:440円 複勝:12=140円 05=130円 14=120円 枠連:570円,,,,,,,,,,,,単勝:360円 複勝:07=170円 09=160円 11=150円 枠連:980円,,,,,,,,,,,,"単勝:9,410円 複勝:02=4,320円 01=1,440円 08=380円 枠連:22,150円",,,,,,,,,,,,"単勝:200円 複勝:10=120円 07=170円 11=1,180円 枠連:470円",,,,,,,,,,,
馬連:780円 ワイド:05-12=280円 12-14=270円 05-14=210円,,,,,,,,,,,,"馬連:1,180円 ワイド:07-09=390円 07-11=440円 09-11=350円",,,,,,,,,,,,"馬連:102,750円 ワイド:01-02=18,740円 02-08=11,940円 01-08=5,320円",,,,,,,,,,,,"馬連:540円 ワイド:07-10=250円 10-11=1,890円 07-11=3,790円",,,,,,,,,,,
