08年 7月19日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 7月19日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■ 4R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-17,,,,,■ 7R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,五頭連峰特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ａハクバドウジ, 70,内田博,, 58,*  1,  -3, 1,  1.4, ②②, 1, 4,Ｂティｰマックス, 61,松岡正,, 66,  -1,*  5, 2,  3.3,③④②, 1,11,Ｆショウナンサヴァン, 55,福永祐,, 64,*  4, -10,11, 55.8,①①①, 1,18,Ｂオペラブラｰボ, 85,蛯名正,, 84,  12,*  7, 2,  3.2, ⑨⑩
 2,15,Ｅサルラ, 54,福永祐, 0.1, 58,  -3,* -1, 5, 24.8, ⑤⑤, 2, 3,Ｅエレガントフラッグ, 58,田中勝, 0.0, 67,*  0,*  4, 6, 13.5,①①①, 2,10,Ａサクセスアｰチ, 63,坂井英, 0.2, 64,   2,* -5, 1,  3.3,④④⑤, 2,11,Ｐホウショウルｰプ, 68,村田一, 0.1, 83,  11,*  4, 3,  7.3, ⑪⑩
 3, 6,Ｄスズモンスタｰ, 57,後藤浩, 0.2, 57,  -2,  -2, 2,  4.4, ⑤③, 3, 9, ポンテディリアルト,---,内田博, 0.7, 60,*  0,  -1, 1,  2.7,⑩②②, 3, 3,Ｃスペシャルシｰズン, 59,石橋脩, 0.4, 63,  -2,* -1, 2,  3.4,⑮⑨⑧, 3, 4,Ｄダイワルビア, 83,武士沢, 0.2, 79,  13,   0, 8, 26.8, ⑥⑥
 4, 8,Ｈデルマリゲル, 47,伊藤直, 0.5, 55,  -3,  -3, 6, 26.4, ⑦⑦, 4, 8,Ａシルクパルティｰタ, 64,吉田豊, 1.4, 59,  -7,*  5, 5,  9.5,⑧⑪⑨, 4, 4,Ｍスウィｰプザシｰズ, 41,松岡正, 0.5, 60,   0,* -6, 6, 15.2,⑧⑦⑥, 4, 3,Ｃキョウエイストｰム, 84,坂井英, 0.4, 78,* 15,  -5,10, 37.5, ⑤④
 5, 7,Ｊフジマサエｰス, 46,石神深, 0.6, 54,  -7,*  0,10,117.7, ⑨⑧, 5,12,Ｃサブマリンスカウト, 59,武士沢, 1.6, 55,  -1,  -7, 8, 29.2,⑥④⑤, 5, 6,Ｈゴｰルデンストｰム, 53,柴田善, 0.6, 62,  -1,* -4, 5, 12.8,⑨⑨⑩, 5,16,Ｊフェイムロバリｰ, 75,福永祐, 0.5, 77,   9,*  3, 7, 26.6, ⑫⑫
 6,11,Ｋコロネット, 45,鷹野宏, 0.6, 55,  -6,  -1,12,150.1, ⑨⑧, 6, 2,Ｄサマｰアンサンブル, 58,黛弘人, 1.9, 55,  -7,   1,13,116.4,⑪⑪⑪, 6, 8,Ｋアポロシアタｰ, 43,蛯名正, 1.2, 54,  -3, -11,12, 59.1,⑫⑨⑩, 6, 6,Ｒホクレレ, 60,吉田隼, 0.5, 75,  13,  -6,17,183.6, ③④
 7, 3,Ｆナスノアタック, 54,吉田隼, 1.0, 51,*  1, -12, 7, 35.0, ②③, 7,14,Ｋスプライトダンス, 20,柴田善, 1.9, 53,  -4,  -6,11, 66.7,⑧⑥⑥, 7, 2,Ｇコスモザグレｰト, 54,池田鉄, 1.2, 54,   2, -19,10, 48.7,②④④, 7,14,Ｍシュヴァルドｰル, 72,江田照, 0.6, 77,   8,*  5,14, 91.1, ⑭⑯
 8, 2,Ｉツウカイヤスナム, 46,田中勝, 1.0, 50, -13,*  1, 4, 22.0, ⑭⑭, 8,15,Ｇレッドウッド, 55,後藤浩, 2.3, 49,* -1, -15, 4,  9.4,②②②, 8,13,Ｅフェスティヴココ, 57,江田照, 1.3, 53,  -4,  -9, 9, 37.2,⑨⑬⑬, 8, 1,Ｏアミュレット, 69,小野次, 0.7, 77,  12,  -4,13, 66.7, ⑨⑧
 9,12,Ｇパッサｰジュ, 53,村田一, 1.1, 51, -10,  -1, 9, 39.1, ⑬⑬, 9,10,Ｆスマｰトラヴ, 56,蛯名正, 3.2, 45,  -5, -15, 3,  8.4,⑥⑦⑧, 9, 9,Ｄアイアムジョｰカｰ, 57,後藤浩, 1.3, 51,   1, -23, 4,  6.5,④③②, 9, 2,Ｇニシノコンドコソ, 81,内田博, 0.7, 75,   7,*  3, 1,  2.7, ⑰⑯
10, 4,Ｌキセキドパシコム, 39,嘉藤貴, 1.3, 48,*  3, -16,14,228.3, ①①,10, 1,Ｈプティフｰル, 52,坂井英, 3.5, 43,  -6, -15, 9, 56.1,⑤⑨⑨,10,14,Ｂタイセイボナンザ, 59,吉田隼, 1.3, 51,*  3, -24, 3,  5.8,②②②,10,12,Ｉトップオブサンデｰ, 76,田中博, 0.9, 73,   9,  -3, 6, 21.4, ⑭⑫
11, 5,Ｃトｰセンビスタ, 59,小林淳, 1.4, 48, -15,*  2, 8, 35.9, ⑮⑮,11,11,Ｍライヴリｰデイズ,  2,吉田隼, 3.5, 43,  -5, -18, 7, 18.0,⑭⑦⑦,11,12,Ｊリバｰブレイブ, 47,小林淳, 1.5, 53,  -6,  -8,16,204.0,⑪⑭⑭,11,15,Ｆゴｰルドアグリ, 81,勝浦正, 1.0, 74,   9,  -3, 4, 10.1, ⑫⑫
12, 9,Ｂイングヴェイ, 65,池崎祐, 1.5, 46,  -8,  -7, 3, 19.0, ⑪⑪,12,13,Ｌトロワショセット,  6,千葉直, 3.8, 41,  -8, -13,12, 92.5,⑬⑭⑬,12,16,Ｌアイアムラヴィング, 42,柴山雄, 1.6, 49,   0, -22,13, 75.4,⑦⑦⑥,12, 7,Ａセプタｰレイン, 85,柴田善, 1.1, 71,* 15, -16, 5, 17.2, ③③
13,13,Ｏタイムトゥブギ, 25,吉永護, 1.9, 42,  -1, -18,15,243.2, ④⑤,13, 7, セレブテンエイ,---,福永祐, 4.6, 38, -10, -16,10, 65.8,⑮⑮⑮,13, 5,Ｉヨシブレイクアウト, 49,内田博, 1.7, 49,  -1, -19, 7, 27.1,⑬⑨⑩,13,17,Ｅプジュリ, 82,松岡正, 1.2, 69,  10, -10,12, 40.9, ⑦⑧
14,10,Ｎグラスクエスト, 37,勝浦正, 2.2, 41,  -9, -11,11,147.6, ⑫⑪,14, 6,Ｉブライティアハニｰ, 45,柴山雄, 4.9, 36,  -7, -24,14,122.4,⑫⑪⑪,14, 7, ダイワギャラント,---,武士沢, 1.8, 48,  -7, -10,15,128.3,⑮⑰⑰,14,10,Ｑマチカネオオバン, 66,吉田豊, 1.2, 70,   9,  -6,18,275.6, ⑭⑮
15,14,Ｍアｰチストダンス, 39,中舘英, 2.9, 32,  -6, -23,13,181.9, ⑧⑩,15, 5,Ｊクリスビｰナス, 30,村田一, 7.9, 22,  -7, -52,15,173.2,③⑨⑬,15, 1, エグザルト,---,千葉直, 1.8, 49,  -5, -12,14, 94.9,⑭⑭⑭,15, 8,Ｌエスユｰグランド, 74,中舘英, 1.4, 67,* 14, -22,11, 40.1, ②②
,,,,,,,,,,,,,,,,,,,,,,,,16,15, スペシャルウェｰブ,---,田中博, 3.0, 38,  -6, -30, 8, 31.3,⑰⑭⑯,16, 9,Ｋエプソムメサイア, 75,後藤浩, 1.6, 64,  12, -18,15,115.4, ⑦⑦
,,,,,,,,,,,,,,,,,,,,,,,,17,17,Ｎコアレスイメｰジ, 26,横山義, 3.4, 36,   1, -51,17,204.3,④④⑧,17, 5,Ｎコアレスウィｰク, 70,田中勝, 1.7, 65,* 16, -27, 9, 33.6, ①①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,13,Ｈダｰクフラッシュ, 77,石橋脩, 2.4, 58,   6, -19,16,175.1, ⑰⑯
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:81 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-4),,,,,,,,,,,
"単勝:140円 複勝:01=110円 15=330円 06=130円 枠連:1,080円",,,,,,,,,,,,"単勝:330円 複勝:04=140円 03=240円 09=150円 枠連:1,470円",,,,,,,,,,,,"単勝:5,580円 複勝:11=830円 10=130円 03=150円 枠連:4,220円",,,,,,,,,,,,単勝:320円 複勝:18=150円 11=210円 04=570円 枠連:720円,,,,,,,,,,,
"馬連:1,440円 ワイド:01-15=540円 01-06=160円 06-15=910円",,,,,,,,,,,,"馬連:1,650円 ワイド:03-04=590円 04-09=230円 03-09=690円",,,,,,,,,,,,"馬連:8,090円 ワイド:10-11=2,150円 03-11=2,790円 03-10=250円",,,,,,,,,,,,"馬連:1,120円 ワイド:11-18=510円 04-18=2,180円 04-11=3,440円",,,,,,,,,,,
"馬単:1,770円 3連複:1,390円 3連単:6,720円",,,,,,,,,,,,"馬単:2,890円 3連複:1,870円 3連単:12,450円",,,,,,,,,,,,"馬単:26,090円 3連複:9,100円 3連単:98,390円",,,,,,,,,,,,"馬単:2,170円 3連複:12,260円 3連単:47,900円",,,,,,,,,,,
■ 2R  芝1600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 5R  芝2850m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 8R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■11R  ダ1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,越後ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7, ロックバルｰン,---,内田博,, 65, -10,*  5, 3,  5.6, ⑥⑤, 1, 6, ロランラムｰル,,柴田未,,,,, 6, 22.3,④④④, 1,10,Ｂバロンビスティｰ, 76,勝浦正,, 79,* 11,* 10, 2,  4.4,②②②, 1, 6,Ａダイワエンパイア, 86,後藤浩,, 84,* 11,  10, 1,  1.4, ②①
 2, 6,Ｄタイキトライアンフ, 56,吉田豊, 0.0, 63,* -6,  -1, 1,  4.3, ①①, 2, 8, リバルドボｰイ,,浜野谷,185.3,,,, 1,  2.9,①①①, 2, 7,Ｃナイスラッキｰ, 76,吉田豊, 0.7, 77,   5,* 15, 4,  7.8,⑫⑩⑨, 2, 4,Ｅチャレンジシチｰ, 82,中舘英, 0.0, 83,* 11,  10, 7, 25.4, ①②
 3, 9,Ｆガイアマンイｰタｰ, 53,柴山雄, 0.2, 61, -10,   2, 8, 22.3, ⑤⑤, 3, 3, ミスタｰアタゴ,,平沢健,186.2,,,,12, 88.0,②②②, 3,11,Ｄマルブツフラッシュ, 74,中舘英, 0.7, 73,* 12,   3, 3,  5.0,①①①, 3, 2,Ｂダイイチミラクル, 84,柴田未, 0.5, 79,  -4,* 19,12, 82.9, ⑥⑥
 4, 2,Ｅプログレッシブ, 54,柴田善, 0.2, 65, -10,   4, 5,  8.8, ⑥⑤, 4,12, ロｰドフラッグ,,横山義,186.5,,,, 3,  5.0,④⑤⑤, 4, 4,Ａマルブツセンタｰ, 80,後藤浩, 0.8, 74,* 10,   5, 1,  2.3,③③③, 4,11,Ｌマルカジｰク, 72,田中博, 0.9, 76,  -9,* 21,11, 81.8, ⑧⑧
 5,12,Ｃヤマショウゴｰルド, 56,福永祐, 0.5, 62, -14,*  7, 7, 10.0, ⑭⑬, 5, 4, クリノダイマオｰ,,水出大,187.1,,,,10, 48.1,⑨⑥⑥, 5, 5,Ｇライトオブピｰス, 71,柴田善, 1.2, 72,   9,   4, 6, 16.5,⑧④④, 5, 8,Ｋコレデイイノダ, 76,村田一, 1.2, 74,  -3,  13,10, 70.5, ⑥⑥
 6, 1,Ｊトラストシャイン, 42,後藤浩, 0.6, 55,* -9,  -6,10, 74.4, ③③, 6, 5, マイネルジュネス,,田中剛,187.1,,,, 2,  3.2,③②②, 6, 9,Ｆレオソリスト, 72,江田照, 1.6, 69,   9,   0, 9, 49.2,⑤④④, 6,14,Ｃホウショウルビｰ, 83,福永祐, 1.3, 72,   2,   6, 4, 20.3, ⑤④
 6,15,Ｉサッチャリズム, 45,田中勝, 0.6, 59, -15,   3, 9, 42.3, ⑪⑩, 7,14, グランドアムｰル,,石神深,187.4,,,, 9, 35.8,⑩⑥⑥, 7, 6,Ｅレイズミｰアップ, 72,田中博, 1.7, 70,   7,   3,14,141.7,⑧⑦⑦, 7, 1,Ｄグリｰンアラモｰド, 82,吉田隼, 1.3, 72,   5,   4, 3,  8.3, ③③
 8, 3,Ｍマリンスノｰ, 38,伊藤工, 0.8, 59, -17,*  7,13, 98.2, ⑯⑯, 8,10, シルクプロフェット,,仲田雅,187.8,,,,11, 75.8,⑫⑫⑫, 8, 8,Ｉシルクマンハッタン, 70,福永祐, 2.0, 67,   7,   0, 7, 38.3,⑥⑦⑦, 8,12,Ｆマジックボンバｰ, 81,柴山雄, 1.3, 73,   5,   4, 2,  6.7, ③④
 9,14,Ｇソアヴェクラシコ, 48,蛯名正, 0.8, 52,* -8, -10, 2,  4.8, ②②, 9, 1, ヤクモオｰカン,,穂苅寿,188.1,,,, 8, 28.9,⑦⑧⑧, 9,15,Ｎヒシロシオ, 57,柴山雄, 2.1, 67,   5,   4,15,266.9,⑩⑩⑩, 9,15,Ｇスタｰボイジャｰ, 81,内田博, 1.6, 70,  -8,  14, 6, 23.0, ⑧⑩
10, 5,Ｋオｰバｰザレンジ, 42,中舘英, 0.9, 55, -13,  -3,16,169.8, ⑬⑬,10, 9, タイキスピリッツ,,山本康,188.6,,,, 5, 15.9,⑥⑩⑪,10,12,Ｍシルクエンデバｰ, 60,吉田隼, 2.2, 65,   8,  -4,11, 67.1,③④④,10, 7,Ｊボｰナスフィｰバｰ, 78,柴田善, 1.6, 70, -13,* 18, 5, 22.9, ⑬⑫
11,16,Ａウィザｰドブラスト, 64,吉田隼, 1.0, 49,* -9, -12, 4,  5.7, ③③,11,13, シャドウパルマン,,高野和,188.7,,,,13, 96.3,⑬⑩⑧,11, 2,Ｌシベリアントム, 63,千葉直, 2.4, 64,   4,   4,10, 58.4,⑩⑫⑫,11, 9,Ｎセルリアングルｰヴ, 68,石神深, 2.2, 64,  -8,   8,15,344.1, ⑧⑨
12, 4,Ｌトウショウメビウス, 42,武士沢, 1.1, 50, -12,  -7,12, 90.3, ⑨⑧,12, 2, マイネルブリス,,宗像徹,189.2,,,, 7, 26.4,⑪⑬⑬,12,14,Ｈストロングバサラ, 70,蛯名正, 2.4, 64,   6,  -2, 5, 16.0,⑥⑦⑩,12, 3,Ｉアグネスボゾン, 79,小野次, 2.3, 62, -10,   9,13,135.4, ⑪⑪
13, 8,Ｈタックスペイヤｰ, 47,黛弘人, 1.4, 51, -19,  -1,15,138.4, ⑯⑯,13, 7, トラベルシチｰ,,白浜雄,190.2,,,, 4,  8.0,⑦⑨⑧,13,13,Ｊシルクアルバス, 69,石橋脩, 2.5, 63,   2,   6, 8, 45.8,⑭⑬⑬,13,10,Ｍレッドビｰムシチｰ, 70,武士沢, 2.4, 62, -11,   9,14,144.9, ⑫⑫
14,10,Ｂマイネルバイタル, 56,松岡正, 1.4, 47, -13, -10, 6,  9.4, ⑪⑩,14,11, キラｰパンサｰ,,蓑島靖,197.2,,,,14,154.1,⑭⑭⑭,14, 3,Ｋプッシュハｰト, 66,坂井英, 4.0, 55,   1,  -5,13,119.5,⑮⑭⑭,14, 5,Ｈツタンカｰメン, 80,江田照, 2.6, 60, -18,  13, 9, 56.6, ⑮⑮
15,17,Ｎエモア, 33,二本柳, 2.3, 33, -16, -19,17,238.7, ⑮⑮,,,,,,,,,,,,,15, 1,Ｏベイジュ, 57,伊藤工, 4.4, 52,   0,  -8,12,100.9,⑬⑮⑮,15,13,Ｏアルカライズ, 66,田中勝, 2.8, 59, -14,   8, 8, 53.5, ⑬⑭
16,11, ウルトラマシｰン,---,坂井英, 2.8, 29, -16, -25,14,104.1, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,13,Ｏケイジｰインパクト, 31,江田照, 3.0, 25, -12, -35,18,283.7, ⑥⑧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18, ニシノレコｰド,---,村田一, 3.6, 20, -15, -42,11, 89.5, ⑨⑩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-4),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:86 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-5),,,,,,,,,,,
"単勝:560円 複勝:07=270円 06=160円 09=580円 枠連:1,320円",,,,,,,,,,,,"単勝:2,230円 複勝:06=500円 08=140円 03=1,930円 枠連:350円",,,,,,,,,,,,単勝:440円 複勝:10=160円 07=200円 11=180円 枠連:940円,,,,,,,,,,,,"単勝:140円 複勝:06=110円 04=350円 02=1,050円 枠連:1,010円",,,,,,,,,,,
"馬連:1,350円 ワイド:06-07=540円 07-09=4,120円 06-09=1,950円",,,,,,,,,,,,"馬連:3,810円 ワイド:06-08=1,450円 03-06=11,320円 03-08=3,130円",,,,,,,,,,,,"馬連:1,510円 ワイド:07-10=400円 10-11=450円 07-11=630円",,,,,,,,,,,,"馬連:1,470円 ワイド:04-06=670円 02-06=2,110円 02-04=9,800円",,,,,,,,,,,
"馬単:3,080円 3連複:24,220円 3連単:127,350円",,,,,,,,,,,,"馬単:10,080円 3連複:76,340円 3連単:481,480円",,,,,,,,,,,,"馬単:2,990円 3連複:2,770円 3連単:15,730円",,,,,,,,,,,,"馬単:1,790円 3連複:25,460円 3連単:67,260円",,,,,,,,,,,
■ 3R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 6R  芝1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 9R  芝1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■12R  芝1600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,ﾒｲｸﾃﾞﾋﾞｭｰ新潟,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ新潟,,,,,,,,,,,,閃光特別,,,,,,,,,,,,,,,,,,,,,,
