08年 3月 9日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 3月 9日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 7R  ダ1000m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■10R  芝2000m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,熊野特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｆフィｰユ, 50,赤木高,, 59, -10,* 14, 7, 44.4,⑤③③, 1, 2,Ａサンマルハッピｰ, 67,安藤光,, 64,*  0,* -3, 1,  2.4, ①①, 1,10,Ａマルタｰズコッパｰ, 76,中舘英,, 75,*  9,   5, 1,  2.9, ②②, 1,12,Ａタイカｰリアン, 78,角田晃,, 79,   6,* 12, 2,  3.6,⑫⑦④
 2, 1,Ｂワスレナグサ, 57,的場勇, 0.0, 60,* -8,* 10, 1,  1.2,①①①, 2,10,Ｂパンコｰルデイズ, 62,菊沢隆, 0.2, 62,* -2,  -4, 5,  9.7, ②②, 2, 6,Ｂスリｰフォｰトラン, 70,安藤光, 0.3, 72,*  9,   2, 2,  3.3, ①①, 2,15,Ｍロｰドキャニオン, 65,二本柳, 0.1, 80,   5,* 13,16,103.8,⑭⑪⑩
 3, 2,Ａベルアミイ, 57,角田晃, 0.8, 52,* -8,   5, 2, 10.1,②②②, 3, 1,Ｉマイネルカルナバル, 50,柴山雄, 0.5, 57,  -7,* -3, 4,  7.3, ⑤⑤, 3, 4,Ｃエイワショウグン, 69,的場勇, 0.8, 66,   0,   2, 3,  6.1, ④④, 3, 4,Ｊアサティスボｰイ, 68,菊沢隆, 0.2, 79,   4,* 15,11, 64.4,⑫⑮⑬
 4,11,Ｃムｰンストリｰト, 55,二本柳, 1.5, 48, -13,   8, 3, 12.9,⑫⑧⑦, 4, 4,Ｐテラノチェリｰ, 29,野元昭, 0.5, 58,* -4,  -6, 7, 20.2, ③③, 4, 7,Ｈニシノヴァネッサ, 65,浜中俊, 1.2, 60,  -3,   1, 7, 20.6, ⑦⑥, 4, 1,Ｂショウナンラヴァｰ, 76,柴山雄, 0.3, 76,   5,  10, 3,  6.8,⑭⑪⑩
 5, 5,Ｇノｰザンジュン, 50,藤岡康, 1.7, 47, -11,  -1, 5, 21.5,③③④, 5, 7,Ｅアグネススキャッブ, 56,小牧太, 0.7, 56, -12,*  0, 2,  4.3, ⑩⑩, 5,15,Ｊコアレススイフト, 60,丹内祐, 1.2, 61,  -4,   2,10, 70.9, ⑧⑨, 5, 8,Ｉニキティス, 69,川島信, 0.5, 71,*  7,   0,12, 65.2,⑥④④
 6, 8,Ｄヒマワリスマイル, 54,浜中俊, 1.7, 44,* -9,  -1, 4, 13.5,③③④, 6,17,Ｇマヤノプディｰナ, 52,中舘英, 0.7, 56,  -8,  -4, 8, 29.5, ⑦⑤, 6, 3,Ｍニホンピロコテツ, 54,和田竜, 1.3, 61,  -6,   2,15,209.3, ⑧⑥, 6,14,Ｃタガノアッシュ, 75,浜中俊, 0.5, 74,   5,   6, 1,  3.4,⑦⑩⑩
 7, 3,Ｉアマゾンノハナ, 45,小牧太, 1.8, 47, -13,   4, 6, 34.3,⑥⑦⑦, 7, 3,Ｆエリモラフィｰネ, 52,北村友, 1.0, 52,* -3, -13, 6, 17.2, ③③, 7, 2,Ｄオリオンワンサイド, 67,佐藤聖, 1.3, 58, -11,*  5, 5, 11.3, ⑪⑩, 7, 2,Ｑウィッシングデュｰ, 59,小牧太, 0.6, 71,*  9,  -4,13, 74.6,②①②
 8,10,Ｌカイピリｰニャ, 24,北村浩, 1.9, 47, -11,   3,11,289.0,⑪⑥⑥, 8,14,Ｍハッピｰギフト, 39,佐久間, 1.0, 52,  -8,  -8,13,131.8, ⑦⑧, 8,12,Ｏロッキｰノホウセキ, 42,丸田恭, 1.3, 60,   0,  -2, 9, 47.7, ④⑤, 8, 5,Ｋクリティカルライト, 67,藤岡佑, 0.7, 69,*  8,  -4, 7, 21.0,③②②
