08年 4月 5日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 4月 5日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝2970m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1600m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■10R  芝1800m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,難波ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ａハッピｰドロップ, 66,藤岡佑,, 62,  -3,* 10, 2,  4.0,⑤⑤③, 1, 1, ユウカｰジナル,,金折知,,,,, 2,  4.1,①①①, 1,12,Ａスプリングソング, 71,池添謙,, 65,   7, -13, 1,  2.5, ⑧④, 1,10,Ａキングトップガン, 89,川田将,, 88,   4,  19, 3,  5.7, ⑧⑧
 2,11,Ｅミヤジマッドレｰ, 53,和田竜, 0.4, 60,* -2,*  4, 6, 28.9,②②②, 2,10, インカム,,菊地昇,198.6,,,, 3,  4.4,④⑤④, 2, 9,Ｏアグネスミヌエット, 52,四位洋, 0.0, 68,   3,* -5, 2,  4.7, ⑫⑪, 2, 1,Ｃアグネストレジャｰ, 82,武豊  , 0.1, 90,  -1,* 29, 2,  4.8, ⑮⑮
 3, 3,Ｃハッピｰプレゼント, 60,武豊  , 0.6, 57,* -1,   0, 1,  1.5,①①①, 3,11, ハウルサンダｰ,,浜野谷,199.3,,,, 7, 18.2,⑤②②, 3,11,Ｊアドマイヤフォｰス, 57,福永祐, 0.1, 65,*  8, -17, 3,  6.3, ③②, 3,15,Ｂアキノレッドスタｰ, 85,四位洋, 0.2, 84,   7,  10, 1,  3.9, ④④
 4,12,Ｇフラワｰネックレス, 50,幸英明, 1.4, 53,  -5,   2, 4, 15.3,⑪⑩⑩, 4,13, ブルｰゲッタウェイ,,熊沢重,199.7,,,, 8, 22.5,⑤②②, 4,13,Ｂマイネルレギメント, 67,幸英明, 0.1, 66,   5, -11, 7, 15.1, ⑩⑦, 4, 6,Ｊホッコｰパドゥシャ, 79,渡辺薫, 0.2, 86,   7,  12, 6,  9.8, ④⑤
 5, 2,Ｆシゲルハラパン, 50,中村将, 1.6, 51,  -4,  -2, 7, 49.3,⑦⑧⑧, 5,12, トミケンクラｰジュ,,小坂忠,201.2,,,, 4,  9.5,⑦⑥⑥, 5,15,Ｋハンタｰキリシマ, 56,野元昭, 0.3, 66,   2,* -6,15,248.8, ⑮⑭, 5,12,Ｇミルクトｰレル, 80,松田大, 0.3, 87,   3,  19, 9, 23.9, ⑪⑩
 6, 8,Ｂコナフェット, 62,渡辺薫, 1.6, 51,  -2,  -5, 5, 17.0,⑦⑤③, 6, 2, エイシンラｰジヒル,,西谷誠,201.2,,,, 1,  2.7,②④⑤, 6, 6,Ｄゼットスピｰル, 67,岩田康, 0.5, 61,  -2,* -5, 5, 13.3, ⑮⑯, 6, 4,Ｉアドマイヤディｰノ, 80,安藤勝, 0.4, 85,   1,* 20, 5,  8.8, ⑭⑬
 7, 4,Ｌムｰンアウェイク, 38,田中健, 1.9, 51,  -5,  -2,12,167.1,⑩⑩⑩, 7, 5, ロングアキレス,,植野貴,203.8,,,,11, 91.8,⑪⑨⑦, 7, 2,Ｉフィｰルドグランデ, 59,川田将, 0.6, 59,   7, -21,11,160.1, ⑤④, 7,11,Ｌサクラオリオン, 79,幸英明, 0.4, 84,   6,  10, 8, 23.5, ⑥⑤
 8, 1,Ｉワンダｰギャルｰ, 45,田中学, 2.0, 50,  -6,   0, 9,107.1,⑫⑬⑬, 8, 3, フサイチオｰパス,,仲田雅,206.2,,,,12,100.2,③⑦⑦, 8, 3,Ｆバｰキングウルフ, 65,武豊  , 0.6, 60,   3, -14, 4,  8.9, ⑫⑪, 7, 7,Ｅロｰドアンセム, 81,北村宏, 0.4, 82,   4,  13,10, 25.9, ⑧⑧
 9, 6,Ｋクｰルサンドラ, 39,小林徹, 2.2, 46,  -4,  -7,11,156.0,⑦⑧⑧, 9,14, ヒミノホシ,,高野容,207.5,,,,13,115.5,⑧⑧⑨, 9,16,Ｐテイケイプリオｰル, 47,小牧太, 0.6, 62,   1, -11,14,229.7, ⑭⑭, 9,13,Ｍタイセイファイタｰ, 77,芹沢純, 0.8, 77,   8,  -2, 4,  8.4, ③③
10,10,Ｈアマゾンノハナ, 45,太宰啓, 2.3, 46,  -6,  -4, 8, 62.2,⑫⑫⑫,10, 4, マイネルアンセム,,白浜雄,210.2,,,, 5, 14.4,⑪⑩⑩,10, 4,Ｍロコミラクル, 55,田中学, 0.8, 58,   5, -21,12,196.3, ⑤⑦,10, 8,Ｈエリモファイナル, 80,藤岡佑, 1.0, 77,   5,   3,11, 33.6, ⑥⑦
