08年 7月20日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 7月20日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■10R  芝1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,博多ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12,10,Ｇバンブｰバルサ, 42,船曳文, 4.0, -8, -17, -40, 9, 65.5, ⑪⑫,12, 9, ツルマルミライ,---,上村洋, 3.9,  6, -21, -41, 8, 23.1, ⑩⑫,12, 3,Ｉシルクウォリアｰ, 53,大下智, 1.1, 43,* -2, -28,12,161.1,②④⑥,12, 2,Ｄラッキｰリップス, 85,上村洋, 5.5, 36,* 14, -78, 9, 36.7,②②⑧
,,,,,,,,,,,,,,,,,,,,,,,,13,14,Ｌリュウシンガｰル, 39,太宰啓, 2.6, 31, -11, -32,13,163.4,⑭⑮⑬,13,13,Ｌサウスティｰダ, 70,鮫島良, 5.8, 14,* 16, -85, 7, 23.9,①①⑤
,,,,,,,,,,,,,,,,,,,,,,,,14,13,Ｏアグネスマンリｰ, 33,野元昭, 3.4, 25,  -8, -50,15,277.6,⑪⑬⑮,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15, 2,Ｋエミリオン, 42,藤岡康, 4.7,  0,  -6, -70,11,120.6,⑨⑩⑬,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:稍重(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-6),,,,,,,,,,,
"単勝:920円 複勝:09=300円 01=140円 03=180円 枠連:1,760円",,,,,,,,,,,,"単勝:430円 複勝:06=170円 10=780円 03=190円 枠連:2,740円",,,,,,,,,,,,"単勝:380円 複勝:05=210円 11=700円 01=740円 枠連:1,090円",,,,,,,,,,,,単勝:260円 複勝:07=140円 11=180円 01=280円 枠連:580円,,,,,,,,,,,
"馬連:1,850円 ワイド:01-09=700円 03-09=770円 01-03=340円",,,,,,,,,,,,"馬連:9,780円 ワイド:06-10=2,690円 03-06=490円 03-10=2,510円",,,,,,,,,,,,"馬連:3,730円 ワイド:05-11=810円 01-05=770円 01-11=3,140円",,,,,,,,,,,,"馬連:940円 ワイド:07-11=390円 01-07=710円 01-11=1,080円",,,,,,,,,,,
"馬単:4,020円 3連複:2,980円 3連単:23,220円",,,,,,,,,,,,"馬単:17,860円 3連複:15,660円 3連単:110,680円",,,,,,,,,,,,"馬単:5,350円 3連複:12,490円 3連単:54,250円",,,,,,,,,,,,"馬単:1,480円 3連複:3,250円 3連単:12,790円",,,,,,,,,,,
■ 2R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 5R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 8R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■11R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,英彦山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｊリバｰキャッスル, 49,田中健,, 57,* -1,   0,12, 58.1,②②①, 1,16,Ｂウイニングコウイチ, 65,太宰啓,, 62,* -1,   7, 6, 10.0,③②②, 1, 1,Ｇウエスタンダンサｰ, 74,岩田康,, 77,*  4,* 10, 2,  3.4, ①①, 1, 4,Ａシゲルタック, 79,岩田康,, 79,  -3,* 18, 1,  1.2,④③③
 2, 4,Ｈメイショウフェｰヴ, 52,石橋守, 0.0, 58,* -1,   3,11, 46.3,④③④, 2,14,Ｈジエクストリｰム, 57,川田将, 0.0, 63,*  0,   6, 8, 20.6,①①①, 2, 7,Ａレッドキャタピラｰ, 83,幸英明, 0.4, 72,   0,*  9, 1,  2.0, ③②, 2, 1,Ｄマルサンリタｰン, 69,高野容, 0.0, 76,*  0,  11, 6, 37.2,②②②
 3, 8,Ｉインタｰレｰス, 52,川田将, 0.1, 57,* -1,   2, 5, 10.6,②③③, 3, 5, メイショウグッド,---,上野翔, 0.3, 61,  -2,   5, 4,  7.6,⑤④④, 3,10,Ｅシュウボンバｰ, 77,田中健, 1.0, 66,  -3,   6, 3,  6.7, ⑦⑥, 3, 8,Ｅテイエムチｰタｰ, 68,橋本美, 0.8, 66,*  0,   0, 3,  9.6,①①①
 4,12,Ｂグランチャｰム, 60,田村太, 0.1, 55,  -3,*  3, 2,  5.5,⑫⑦⑥, 4,13,Ｄグランカナリア, 61,鮫島良, 0.6, 59,  -2,   3, 7, 13.8,⑦④④, 4,14,Ｃビｰチブリｰズ, 80,船曳文, 1.0, 66,   0,   4, 4,  9.0, ③③, 4, 5,Ｂマヤノバルトｰク, 73,浜中俊, 0.8, 70,  -3,   5, 2,  5.8,④③③
 5, 9,Ｆアｰラ, 58,安藤光, 0.2, 55,  -5,*  5, 9, 42.3,⑪⑨⑩, 5,10,Ａインテグラル, 67,佐藤哲, 0.6, 59,  -4,   5, 3,  4.9,⑦⑦⑥, 5, 2,Ｄアンジェロバンダム, 79,川田将, 1.1, 64,  -5,   6, 6, 23.5, ⑨⑥, 5, 3,Ｃカネトシソレイユ, 72,中村将, 1.0, 69,  -5,   8, 4, 19.0,⑧⑥⑥
 6, 1,Ｇパイナップルスノｰ, 56,上村洋, 0.4, 55,* -1,  -3, 3,  5.8,①①②, 6, 6,Ｅウォルトンコクカ, 60,川島信, 0.6, 60,  -5,*  9, 9, 22.1,⑪⑩⑧, 6,12,Ｍハナムケ, 55,岩部純, 1.2, 63,  -2,   3,12,128.9, ⑥⑤, 6, 2,Ｇゴｰルデンカイザｰ, 58,赤木高, 1.5, 61,  -5,   0, 8, 55.8,⑥⑥⑥
 7,11,Ｃジョウノグレｰス, 60,藤岡康, 0.4, 54,  -4,   2, 6, 11.3,⑨⑨⑧, 7, 2,Ｆヤッパリグランプリ, 58,赤木高, 0.7, 58,  -4,   6, 1,  4.4,⑦⑧⑧, 7, 3,Ｉオｰメドック, 69,武豊  , 1.6, 59,  -8,   4, 8, 36.2, ⑬⑫, 7, 6,Ｆホッコｰサンライズ, 63,幸英明, 1.8, 60,  -4,  -4, 5, 35.3,⑥⑥⑧
 8,13,Ａエイシンジャガｰ, 65,岩田康, 0.7, 51,  -3,  -2, 4,  9.2,⑥⑦⑤, 8,15,Ｃカレンミラバッシ, 62,岩田康, 0.8, 57,*  0,  -1, 2,  4.5,②②②, 8, 6,Ｆパレスルビｰ, 75,太宰啓, 1.6, 58,  -3,   0, 5, 19.2, ⑦⑩, 8, 7,Ｈフィｰルドグランデ, 56,田中克, 1.8, 55,  -3,  -9, 7, 53.2,③③⑤
 9, 5,Ｄグランドツインクル, 59,中村将, 0.8, 51,  -5,   0, 7, 12.5,⑨⑫⑩, 9, 8,Ｊツルマルカフェ, 53,中村将, 0.8, 59,  -5,*  8,14,110.5,⑩⑪⑪, 9, 5,Ｂウォｰタｰショｰン, 80,高橋亮, 1.8, 56,  -8,   1, 7, 35.5, ⑪⑩,,,,,,,,,,,,
10, 2,Ｌリバルドガルダ, 42,川島信, 1.1, 47,  -4,  -4,14,237.8,⑥⑨⑥,10,12,Ｌトップビｰト, 48,小坂忠, 1.6, 54,  -2,  -3,12, 64.4,③⑥⑦,10,13,Ｊアルｰリングライン, 65,芹沢純, 2.1, 54,  -5,  -3,10, 67.7, ⑨⑥,,,,,,,,,,,,
11, 6,Ｋカスタｰニャ, 44,芹沢純, 1.1, 51,  -7,   2,13, 84.0,⑭⑭⑭,11, 9,Ｇトｰワヒヨシマル, 57,田中健, 1.7, 53,  -5,  -2,11, 61.2,⑥⑨⑩,11, 4,Ｌエクストラシチｰ, 58,川島信, 2.3, 53,  -7,  -2, 9, 53.4, ⑪⑬,,,,,,,,,,,,
12, 3, ミスズラスカル,---,幸英明, 1.5, 47,  -4,  -5,10, 46.3,⑬⑫⑬,12, 7, ピサノフジ,---,武豊  , 2.1, 49,  -9,   1, 5,  8.4,⑮⑬⑬,12, 9,Ｋサンレイアイシング, 59,岩崎祐, 2.5, 50,*  1, -11,13,157.1, ②③,,,,,,,,,,,,
13,14,Ｅアンクルウォｰタｰ, 59,佐藤哲, 2.5, 39,  -2, -18, 8, 34.7,⑥⑤⑩,13, 1,Ｉサンマルロｰド, 55,田村太, 2.7, 47, -12,   2,16,195.6,⑯⑯⑮,13, 8,Ｎシゲルダンヤバｰド, 53,河北通, 2.7, 49,   0, -12,11,116.8, ③⑥,,,,,,,,,,,,
14,10, ツｰソックス,---,浜中俊, 3.2, 32,  -3, -25, 1,  2.5,④⑤⑧,14, 4,Ｋフォティディクタｰ, 53,角田晃, 3.0, 43,  -6, -10,10, 38.1,⑪⑫⑫,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15, 3, マンダリンテンテン,---,幸英明, 4.6, 32,  -8, -20,15,165.3,⑬⑬⑭,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16,11, メイショウタカモリ,---,藤岡康, 5.7, 25, -10, -27,13,101.3,⑭⑮⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:稍重(指数:-11),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:稍重(指数:-11),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:稍重(指数:-11),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-6),,,,,,,,,,,
"単勝:5,810円 複勝:07=1,550円 04=940円 08=340円 枠連:6,390円",,,,,,,,,,,,"単勝:1,000円 複勝:16=300円 14=430円 05=310円 枠連:850円",,,,,,,,,,,,単勝:340円 複勝:01=120円 07=110円 10=140円 枠連:420円,,,,,,,,,,,,単勝:120円 複勝:04=100円 01=410円 08=170円 枠連:0円,,,,,,,,,,,
"馬連:48,460円 ワイド:04-07=9,330円 07-08=4,430円 04-08=2,750円",,,,,,,,,,,,"馬連:7,290円 ワイド:14-16=1,780円 05-16=1,980円 05-14=2,280円",,,,,,,,,,,,馬連:380円 ワイド:01-07=190円 01-10=370円 07-10=240円,,,,,,,,,,,,"馬連:1,320円 ワイド:01-04=450円 04-08=200円 01-08=1,060円",,,,,,,,,,,
"馬単:106,990円 3連複:123,430円 3連単:691,700円",,,,,,,,,,,,"馬単:13,090円 3連複:26,300円 3連単:168,650円",,,,,,,,,,,,"馬単:810円 3連複:770円 3連単:3,150円",,,,,,,,,,,,"馬単:1,560円 3連複:2,090円 3連単:6,360円",,,,,,,,,,,
