08年12月27日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年12月27日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝2000m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 7R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■10R  芝4100m 3歳上ｵｰﾌﾟﾝ(混) 定量,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中山大障害,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｃピエナリリｰ, 56,江田照,, 60,*  3,* -4, 5, 11.3,⑥④④, 1,18,Ｌフサイチナガラガワ, 45,後藤浩,, 65,*  2,*  4, 4,  8.2,②②②, 1,15,Ｄラオムフェｰレ, 70,勝浦正,, 74,   4,* 11, 3,  6.5, ⑥④, 1, 8, キングジョイ,,高田潤,,,,, 2,  6.6,⑤⑤⑤
 2,14,Ｊゴｰルドラプソディ, 44,津村明, 0.7, 54,  -1,* -2,11, 91.7,⑫⑪⑨, 2, 1,Ａネオレボルｰション, 65,北村宏, 0.3, 60,   1,*  3, 1,  2.0,③④③, 2,12,Ａトｰセンセイント, 80,吉田豊, 0.3, 71,*  7,   5, 1,  1.9, ①①, 2,13, メルシｰエイタイム,,横山義,285.1,,,, 3,  7.0,④④②
 3, 1,Ａメジロミッション, 59,伊藤工, 0.7, 55,   1,* -5, 6, 18.6,⑨⑧⑧, 3, 5,Ｃライドザウインド, 63,吉田豊, 0.6, 61,   1,*  2, 2,  4.4,⑥⑪⑦, 3, 5,Ｆドリｰムシャドウ, 69,藤田伸, 0.5, 68,  -2,* 12, 5, 14.3, ⑬⑪, 3,14, テイエムトッパズレ,,佐久間,285.5,,,,11,145.8,③②④
 4, 8,Ｅミラクルフルｰツ, 51,吉田隼, 0.8, 52,*  4, -13, 1,  2.4,①①①, 4, 4,Ｂコロンバスサｰクル, 65,柴田善, 0.8, 59,  -2,*  4, 3,  5.1,⑮⑰⑫, 4,13,Ｃライカｰト, 75,津村明, 0.6, 68,*  6,   4, 2,  6.0, ②②, 4,10, スプリングゲント,,白浜雄,285.5,,,, 4, 16.3,②③③
 5,11,Ｉカントリｰドｰタｰ, 44,小林淳, 1.3, 50,*  4, -17, 9, 74.2,②②②, 5,16,Ｇホワイトライクミｰ, 53,大庭和, 1.0, 53,   1,  -6, 8, 64.0,⑫⑨⑩, 5,11,Ｇマッシュアップ, 67,三浦皇, 0.7, 67,   2,   7, 7, 18.8, ⑨⑧, 5, 2, マルカラスカル,,西谷誠,285.7,,,, 1,  1.4,①①①
 6, 5,Ｆスｰパｰオアシス, 48,大庭和, 1.4, 50,  -2,  -6,12, 94.5,⑪⑫⑩, 6, 8,Ｊヤマチョウサン, 46,勝浦正, 1.1, 55,   1,  -8,12,241.4,④⑤④, 6,10,Ｅモエレジンダイコ, 70,江田照, 0.7, 68,   3,   6, 8, 19.4, ⑦⑦, 6,12, オｰプンガｰデン,,江田勇,287.1,,,,10,142.2,⑨⑧⑦
 7, 2,Ｌケイズパステル, 42,勝浦正, 1.7, 48,   2, -15, 7, 33.8,⑤⑥⑤, 7,10,Ｎバンダムサピエンス, 42,吉田隼, 1.3, 52,  -1,  -6, 9, 97.0,⑬⑬⑭, 7, 3,Ｂティティボス, 75,内田博, 1.2, 63,   2,   3, 4, 11.2, ⑧⑩, 7,15, テイエムエｰス,,菊地昇,287.4,,,, 6, 19.7,⑪⑩⑨
 8, 6,Ｂペイントカフェ, 57,吉永護, 2.1, 44,*  3, -22, 4,  6.5,③③③, 8, 7,Ｄマイネルアリオン, 57,三浦皇, 1.5, 51,   1, -13, 5, 10.4,⑩⑧⑧, 8, 7,Ｉルルドウォｰタｰ, 66,大庭和, 1.3, 62,   5,  -1,11, 98.9, ③⑤, 8, 7, ペネトレｰタｰ,,金子光,287.9,,,, 7, 54.7,⑧⑥⑥
