08年11月16日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年11月16日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝1600m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  芝1400m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  芝2400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,比叡ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｂカシノヘラクレス, 57,小坂忠,, 59,  -8,*  5, 5, 15.3, ⑦⑦, 1,10, ホｰカｰハリケｰン,---,蛯名正,, 59, -14,*  4, 2,  3.2, ⑨⑧, 1, 9,Ｃマイネエスポワｰル, 77,蛯名正,, 81,   3,* 10, 4,  7.9, ⑧⑧, 1, 7,Ｋナイアガラ, 73,幸英明,, 91,* -4,  26, 5, 12.3,①②①
 2, 8,Ａスマイルミッキｰ, 65,藤岡佑, 0.2, 57,  -5,   0, 3,  3.6, ④④, 2,18, エリザベスムｰン,---,ルメｰ, 0.2, 58, -16,*  4, 1,  2.5, ⑬⑪, 2,10,Ｇシャトルタテヤマ, 73,小牧太, 0.0, 80,   6,   5, 7, 15.7, ⑤⑤, 2,11,Ｅミッキｰチアフル, 81,ペリエ, 0.0, 89,* -3,  25, 4,  5.6,②①②
 3, 6,Ｄガッチリガッチリ, 53,安藤勝, 0.4, 55, -12,*  5, 4,  6.5, ⑩⑧, 3,17, ニシノアンクレット,---,池添謙, 0.5, 50, -13,  -5,13, 88.7, ⑥⑥, 3,13,Ｂストリｰトスタイル, 78,浜中俊, 0.1, 81,   0,* 13, 2,  3.4, ⑪⑪, 3, 2,Ｂシゲルタック, 89,岩田康, 0.2, 91,  -6,* 29, 3,  4.3,③③③
 4,13,Ｅタムロウイング, 49,佐藤哲, 0.4, 56,* -2,  -5, 1,  3.3, ①①, 4, 6, スイｰトマトルｰフ,---,岩田康, 0.6, 50, -16,* -2,10, 35.6, ⑫⑬, 4, 4,Ａアスドゥクｰル, 80,安藤勝, 0.2, 77,*  8,   1, 1,  3.1, ③②, 4, 5,Ｈシルバｰブレイズ, 80,安藤勝, 0.4, 90,  -6,  28, 1,  3.4,⑤④④
 5, 4,Ｇメイショウタカチホ, 46,田中克, 0.5, 55,* -3,  -5,13,209.3, ②②, 5, 7, トラストコマチ,---,三浦皇, 0.8, 47,* -9, -14, 5, 22.0, ②②, 5, 6,Ｄフミノバラｰド, 76,岩田康, 0.3, 76,   1,   8, 6, 12.6, ⑨⑩, 5, 4,Ｃアメジストリング, 87,武豊  , 0.9, 86,  -7,  25, 7, 20.2,⑥⑥⑥
 6, 2,Ｆシンゼンライク, 48,飯田祐, 1.3, 47,  -6,  -8, 2,  3.6, ⑥⑥, 6,14, ビｰビｰハナビ,---,四位洋, 1.1, 48, -19,  -2,11, 44.4, ⑮⑭, 6, 3,Ｉオリオンオンサイト, 71,三浦皇, 0.4, 75,*  9,  -4, 8, 23.5, ①①, 6, 8,Ａメトロシュタイン, 90,福永祐, 1.1, 83,  -9,  23, 2,  3.6,⑧⑧⑧
 7,15,Ｈアスカノユタカ, 46,田中健, 1.5, 46,  -4, -13,12,135.8, ⑤⑤, 7,12, パボ,---,和田竜, 1.2, 42,*-11, -18,12, 55.9, ④④, 7, 5,Ｅキングスベリｰ, 74,佐藤哲, 0.5, 74,   5,   0, 3,  5.7, ④④, 7, 9,Ｇハギノプリンセス, 80,三浦皇, 1.1, 83,  -7,  21, 9, 41.1,⑦⑦⑦
 8, 7,Ｍキセキサイチャン, 38,川田将, 1.6, 44,* -3, -15, 7, 23.5, ③③, 8, 4, カシノスフィンクス,---,藤田伸, 1.2, 40,*-11, -17,16,111.9, ⑤⑤, 8,12,Ｆラベ, 74,藤岡佑, 0.5, 75,   3,   4, 5, 10.2, ⑩⑨, 8, 1,Ｊフサイチジャンク, 77,池添謙, 1.3, 78,  -7,  18, 8, 29.7,④⑤⑤
 9, 1,Ｌフラワｰアンジェラ, 39,武幸四, 1.9, 42, -14,  -7, 9, 70.7, ⑨⑩, 9,15, アンロｰランサン,---,幸英明, 1.5, 38,*-11, -23, 8, 32.3, ③③, 9, 2,Ｌベレッツァ, 66,長谷川, 0.7, 72,   7,  -4,11, 75.8, ②③, 9, 6,Ｉタニノディキディキ, 78,四位洋, 1.3, 87, -11,* 29,10, 53.5,⑪⑪⑪
10,14,Ｏゴキゲンサン, 25,池添謙, 1.9, 42, -10, -10,11, 91.4, ⑧⑨,10, 1, ブルｰパフュｰム,---,浜中俊, 1.7, 40, -20, -11,15,100.6, ⑭⑮,10, 7,Ｊエタｰナルサｰガ, 69,和田竜, 0.9, 71,  -2,   5,12, 87.1, ⑫⑫,10,10,Ｆドリｰムパｰトナｰ, 81,武士沢, 1.4, 82,  -8,  22,11, 92.8,⑨⑨⑨
11,12,Ｉロｰレルファイアｰ, 46,浜中俊, 2.1, 41, -17,  -5,10, 86.4, ⑬⑫,11, 2, マルフクギガ,---,秋山真, 1.8, 33, -13, -24, 6, 24.0, ⑦⑦,11, 8,Ｈボムシェル, 72,福永祐, 1.3, 65,   4,  -8, 9, 57.7, ⑥⑦,11, 3,Ｄアラタマサモンズ, 84,小牧太, 1.4, 84, -10,  26, 6, 17.2,⑩⑩⑩
12,11,Ｋキシュウガイア, 41,秋山真, 2.8, 34, -28,  -1, 8, 29.8, ⑮⑮,12, 9, ロングアイドル,---,渡辺薫, 1.9, 34, -14, -23, 7, 26.2, ⑧⑨,12,11,Ｍサマｰエタニティ, 63,石橋脩, 1.4, 64,   5, -11,10, 72.4, ⑦⑥,,,,,,,,,,,,
13, 9,Ｎニホンピロジｰル, 29,酒井学, 3.2, 31, -17, -14,15,310.6, ⑫⑪,13,11, スルｰジエアｰ,---,鮫島良, 2.0, 37, -23, -10, 9, 32.7, ⑰⑯,,,,,,,,,,,,,,,,,,,,,,,,
14, 5,Ｊシゲルアオバサン, 44,角田晃, 3.2, 32, -17, -14,14,210.6, ⑪⑬,14,16, マネｰジャｰ,---,飯田祐, 2.4, 27,* -9, -40,14, 95.3, ①①,,,,,,,,,,,,,,,,,,,,,,,,
15,10,Ｃシャトｰラム, 54,蛯名正, 3.4, 29, -20, -14, 6, 22.9, ⑭⑭,15, 3, サンマルリｰフ,---,長谷川, 2.6, 25, -16, -30,18,299.6, ⑩⑫,,,,,,,,,,,,,,,,,,,,,,,,
