08年12月13日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年12月13日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-14,,,,,■ 4R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 7R  ダ2500m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  ダ1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,南総特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｃエレガントステｰジ, 56,田中勝,, 55,* -5,  -1, 6, 18.0, ①①, 1,13,Ａハギノバロンドｰル, 63,横山典,, 63,  -7,*  8, 1,  2.5,③⑥⑥, 1,13,Ａシビルウォｰ, 83,吉田豊,, 78,   2,* 16, 1,  1.5,⑨⑥⑥, 1, 8,Ａダイワディライト, 84,北村宏,, 84,   8,* 16, 1,  1.7, ⑤④
 2, 7,Ｅニシノロイポス, 51,柴山雄, 0.0, 55,* -6,  -1, 5, 12.3, ②②, 2,15,Ｃレッドシャドウ, 60,田中勝, 0.3, 63,  -9,*  6, 2,  4.8,⑧⑨⑧, 2, 4,Ｉエｰシンカメンシズ, 63,内田博, 0.7, 71,*  3,   8, 5, 15.4,①①①, 2,10,Ｌアポロラムセス, 71,柴田善, 0.7, 78,   6,  12, 2,  5.0, ⑥⑥
 3,11,Ａスマｰトダズル, 63,江田照, 0.0, 54,  -7,*  0, 1,  2.5, ④③, 3, 5,Ｋヒカルマイステｰジ, 46,内田博, 0.3, 60,* -6,   2, 3,  5.2,⑭⑤⑤, 3, 3,Ｂタキオンバッハ, 77,三浦皇, 0.8, 72,*  3,   8, 2,  4.3,⑤③③, 3,12,Ｆオオヒメ, 76,柄崎将, 0.7, 78,   7,  11, 5, 16.3, ④⑤
 4, 6,Ｄハｰトアイビｰ, 54,内田博, 0.1, 52, -11,*  3, 4,  9.0, ⑨⑥, 4, 2,Ｌダノニｰ, 45,伊藤工, 0.4, 59,* -5,  -2, 8, 29.6,①①①, 4,10,Ｆシｰレイダｰス, 71,横山典, 1.1, 70,   2,   7, 8, 42.9,⑪⑤④, 4, 6,Ｄウエスタンビｰバｰ, 79,田中勝, 0.7, 78,  -1,* 18, 4,  8.0, ⑧⑨
 5,12,Ｈグロｰリアスクイン, 38,村田一, 0.4, 51, -13,*  1,15,226.3, ⑫⑪, 5, 3,Ｄロイヤルレジェンド, 60,三浦皇, 0.5, 58,* -6,  -3, 6, 18.2,②②②, 5, 8,Ｅメジロアルタイス, 71,小野次, 1.3, 70,   1,   8, 3, 12.0,⑫⑨⑧, 5, 1,Ｅホワイトヴェｰル, 77,三浦皇, 1.0, 75,   2,  13, 7, 42.6, ⑦⑦
 6, 2,Ｂジェットスパｰクル, 63,三浦皇, 0.5, 49,  -9,  -3, 2,  3.5, ⑥⑦, 6, 1,Ｇドリｰムスナイパｰ, 53,津村明, 0.8, 57,  -9,   1,10, 36.9,⑩⑪⑨, 6, 7,Ｇコスモコマンダ, 69,柴山雄, 1.8, 68,   1,   3, 4, 15.3,⑦⑧⑦, 6, 9,Ｋエイワナギ, 72,柴山雄, 1.4, 72,  -7,* 17, 8, 48.5, ⑫⑫
 7,15,Ｇオペラシュｰズ, 41,鷹野宏, 1.1, 45,  -7,  -9, 8, 40.3, ⑤⑤, 7, 6,Ｅコスモエルベン, 57,柴山雄, 0.8, 55,  -7,  -2, 7, 21.8,⑥⑦⑦, 7,11,Ｄマイネルコレドｰル, 72,木幡初, 1.8, 65,*  3,  -1, 6, 34.2,⑥④⑤, 7, 5,Ｉファインセンテンス, 74,吉田隼, 1.5, 71,* 12,  -1,10,115.6, ③③
 8, 5,Ｋニｰナ, 33,木幡初, 1.2, 43, -10,  -8,14,211.5, ⑦⑧, 8,10,Ｈグリッドマトリクス, 50,木幡初, 1.1, 52,  -9,  -5, 5,  9.5,⑨⑩⑪, 8, 9,Ｋスガノゴｰルド, 62,伊藤工, 1.9, 68,   0,   7,11,182.6,⑩⑩⑩, 8, 7,Ｊクリアエンデバｰ, 73,吉田豊, 1.6, 70,  -2,  11,12,217.2, ⑨⑧
