08年 7月27日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 7月27日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 4R  ダ1000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■10R  芝1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,北九州短距離S,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｇフォｰマルモｰド, 60,武豊  ,, 65,*  3,   4, 2,  3.5,①①①, 1, 1, ヒットヒットヒット,---,飯田祐,, 62,*  2,* -1, 7, 20.9, ①①, 1,17,Ｌミュｰズマジック, 44,小牧太,, 67,*  4,*  5, 5, 13.8, ②②, 1,14,Ｃクｰルシャロｰン, 81,芹沢純,, 79,   3,* 17, 3,  8.6, ⑬⑪
 2,11,Ａニホンピロルブラ, 69,幸英明, 0.4, 63,*  3,   2, 1,  2.9,②②②, 2, 5, ウインザモチ,---,小坂忠, 0.2, 59,  -3,* -1, 9, 31.7, ③③, 2,16,Ｄトシアツキ, 54,川島信, 0.2, 64,*  6,   1,13, 58.6, ①①, 2,12,Ｉホエｰルシャｰク, 77,赤木高, 0.0, 80,   6,* 15, 9, 39.5, ⑩⑪
 3,15,Ｉノｰブルプレッジ, 57,川田将, 1.0, 61,  -3,*  7, 8, 31.4,⑯⑫⑪, 3, 9, エムオｰハゴロモ,---,橋本美, 0.3, 58,*  0,  -4, 4,  5.4, ②②, 3, 5,Ｅラヴファンタジスタ, 53,武豊  , 0.4, 61,   0,*  3, 1,  2.3, ④⑤, 3,17,Ｄコスモベル, 81,佐藤哲, 0.0, 79,   3,* 18, 4, 10.7, ⑬⑭
 4, 2,Ｃオンワｰドファイン, 63,太宰啓, 1.1, 59,  -1,   4,10, 40.5,⑪⑩⑩, 4, 8, ハイロｰラｰ,---,幸英明, 1.2, 47,  -9,  -7, 3,  5.1, ⑥⑥, 4, 3,Ｆニシノイノｰマス, 51,幸英明, 0.5, 61,  -4,*  6, 2,  5.0, ⑨⑧, 4,15,Ｅエアニックス, 81,小牧太, 0.1, 79,   6,* 14, 8, 18.6, ⑩⑧
 5, 3,Ｅキｰホウシンマル, 61,赤木高, 1.1, 58,*  2,  -2, 5, 18.4,⑩③③, 5, 4, デンコウヨシキ,---,石橋守, 1.6, 44, -11,  -8, 5,  7.4, ⑦⑤, 5,14,Ｎダノンタイガｰ, 43,太宰啓, 0.8, 57,  -1,  -1,15, 75.6, ④⑦, 5,16,Ｍヤマニンエマイユ, 72,田中健, 0.1, 79,   7,  12,15, 84.7, ⑧⑤
 6, 6,Ｈブライティアカイト, 57,小牧太, 1.2, 60,  -4,*  8,11, 60.8,⑭⑭⑬, 6, 2, マンカイノハナ,---,太宰啓, 2.1, 39,  -7, -15, 8, 26.3, ④④, 6, 9,Ａゲイリｰリバイバル, 57,藤岡康, 0.8, 55,  -6,*  5, 6, 16.0, ⑫⑪, 6, 6,Ａマンテンハット, 84,菊地昇, 0.3, 76,* 14,   4, 5, 13.5, ②②
 7,12,Ｂベイサイドパｰク, 65,藤岡康, 1.3, 58,   0,  -1, 3,  3.8,⑥⑥⑦, 7, 6, シゲルセンガミネ,---,中村将, 2.3, 34, -22,  -8, 6, 20.4, ⑨⑦, 7,11,Ｈハッピｰギフト, 50,田村太, 1.1, 52,  -4,  -2,14, 63.7, ⑨⑧, 7, 1,Ｆリキサンファイタｰ, 80,吉田隼, 0.3, 76,   9,   9, 7, 16.0, ⑤⑤
 8,10,Ｊメイショウオオマ, 56,浜中俊, 1.3, 57,   1,  -3, 4, 10.7,②③③, 9, 3, ナリタシリカ,---,武豊  , 2.7, 33,  -7, -21, 1,  2.9, ④⑧, 8, 7,Ｊアネクスペクティド, 46,赤木高, 1.2, 52,  -6,   0, 7, 35.7, ⑫⑪, 8,10,Ｂマルカフェニックス, 82,武豊  , 0.4, 74,* 12,   3, 1,  2.8, ③③
 9, 4,Ｆメイショウメモリア, 60,鮫島良, 1.3, 59,   1,  -1, 7, 30.9,⑥⑥⑥, 8, 7, キリコンサｰト,---,赤木高, 2.7, 32, -11, -18, 2,  4.4, ⑦⑧, 9,15,Ｇトウカイプライム, 51,鮫島良, 1.5, 47,  -4,  -7, 4,  9.0, ⑨⑬, 9, 3,Ｌエネルマオｰ, 74,幸英明, 0.5, 74,   9,   6,10, 48.9, ⑤⑤
10,13,Ｄオｰスミユニバｰス, 63,田中健, 1.6, 56,   1,  -6, 9, 34.0,②③⑤,,,,,,,,,,,,,10, 6,Ｏリチャｰドバロｰズ, 43,中村将, 1.6, 45, -15,   2,18,229.1, ⑯⑯,10,18,Ｊキルシュワッサｰ, 76,太宰啓, 0.5, 74,* 15,  -1, 6, 15.6, ①①
11, 9, スマｰトディｰバ,---,吉田隼, 2.3, 51,  -1,  -7, 6, 22.1,⑨⑩⑧,,,,,,,,,,,,,11,12,Ｍリッカモｰメント, 44,川田将, 1.6, 47,   1, -11,17,119.1, ④③,11, 9,Ｑライブリシュロム, 69,石橋守, 0.6, 73,   3,  10,13, 70.1, ⑬⑭
12, 1,Ｍゴｰルデンジョイス, 49,川島信, 2.3, 52,  -3,  -3,13,163.2,⑫⑫⑬,,,,,,,,,,,,,12,13,Ｂナリタスカｰレット, 57,田中健, 1.6, 46,  -2,  -9, 3,  5.5, ⑧⑧,12,13,Ｈメイショウキトリ, 78,鮫島良, 0.8, 70,* 12,  -2, 2,  3.3, ③④
13, 7,Ｌヤマタケソウル, 52,佐藤聖, 2.8, 45,  -1, -13,15,206.5,⑥⑧⑧,,,,,,,,,,,,,13, 4,Ｐメイショウクレスタ, 42,飯田祐, 1.6, 45, -12,  -1,10, 53.0, ⑭⑭,13, 4,Ｎワイキュｰブ, 72,藤岡康, 0.8, 69,   5,   6,14, 70.2, ⑩⑧
14, 8,Ｎスペシャルトｰン, 42,船曳文, 3.9, 42,  -6, -11,14,174.6,⑬⑮⑮,,,,,,,,,,,,,14, 1,Ｃメイショウアレグロ, 54,渡辺薫, 1.8, 43,*  2, -16,11, 54.8, ③③,14, 2,Ｋシルクドラグｰン, 74,野元昭, 0.9, 68,   2,   7,17,153.9, ⑬⑯
15,14,Ｋランフリｰ, 55,渡辺薫, 4.3, 37,   0, -25,12,101.8,⑤⑧⑪,,,,,,,,,,,,,15,10,Ｉステラダルク, 46,浜中俊, 1.9, 44,   1, -16, 9, 47.4, ④⑤,15, 5,Ｐタガノバスティｰユ, 71,熊沢重, 1.0, 66,  -3,  10,11, 58.5, ⑱⑱
16,16,Ｏセツ, 30,野元昭, 5.0, 36, -10, -13,16,289.5,⑭⑯⑯,,,,,,,,,,,,,16, 2,Ｋロｰカストヒル, 46,佐藤哲, 2.0, 41, -18,   1,12, 54.8, ⑰⑰,15, 8,Ｏメイショウディオ, 71,難波剛, 1.0, 66,   0,   7,18,272.7, ⑰⑯
,,,,,,,,,,,,,,,,,,,,,,,,17,18, リトルエイコｰン,---,佐久間, 2.0, 42, -10,  -6, 8, 41.9, ⑭⑭,17, 7,Ｇピサノアルハンブラ, 80,上村洋, 1.0, 67,   7,   1,12, 58.7, ⑧⑪
,,,,,,,,,,,,,,,,,,,,,,,,18, 8,Ｑスタｰジュｰン, 16,上村洋, 4.1, 14, -38,  -6,16, 87.6, ⑱⑱,18,11,Ｒロｰランジェネルｰ, 69,浜中俊, 1.4, 63,  10,  -7,16,125.1, ⑤⑧
