08年 5月17日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 5月17日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝2200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-8,,,,,■ 7R  ダ1200m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ゆきつばき賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ａオコリンボ, 65,三浦皇,, 65,  -3,*  9, 1,  1.9,⑬⑧⑦, 1, 7,Ａメジロジｰニｰ, 63,芹沢純,, 64,  -1,*  1, 2,  3.3,⑧④③, 1, 9,Ｇペルルノワｰル, 66,荻野琢,, 75,  -1,* 12, 5, 10.0, ④④, 1,16,Ａキヲウエタオトコ, 73,石橋脩,, 64,* -2,  -2, 1,  2.9, ③③
 2,14,Ｄアイスボックス, 56,津村明, 0.6, 59,*  0,* -2, 7, 22.7,②②①, 2, 8,Ｇウインモンスタｰ, 45,三浦皇, 0.2, 61,  -1,* -1, 5, 12.6,⑥④⑤, 2,13,Ｄカサデアンジェラ, 68,菊沢隆, 0.2, 72,*  2,*  7, 3,  8.4, ②②, 2, 6,Ｉフラミニアンウェイ, 58,西田雄, 0.1, 62,  -4,* -1, 8, 30.2, ⑤③
 3, 7,Ｂアポロメルヘン, 59,池田鉄, 1.3, 54,  -2,  -5, 2,  4.2,⑥⑤④, 3, 6,Ｂマジックロｰド, 60,木幡初, 0.4, 60,*  1,  -8, 1,  2.5,③②②, 3, 6,Ａカウントオンミｰ, 73,中舘英, 0.2, 72,*  5,   5, 1,  3.0, ①①, 3,14,Ｆミサトバレｰ, 59,中舘英, 0.2, 61,  -6,* -1, 5, 14.2, ⑧⑥
 4,10,Ｌルｰトファイブ, 43,北村友, 1.4, 51,  -2,  -6, 4, 10.6,⑤⑤④, 4, 1,Ｅスプリングロック, 52,大野拓, 0.6, 59,  -2,  -3, 4,  8.7,⑦⑦⑧, 4, 7,Ｆペイアテンション, 66,木幡初, 0.6, 68,*  3,   3, 6, 12.6, ②②, 4,10,Ｏルｰジュアルダン, 52,北村友, 0.4, 59,  -4,  -5, 4, 10.8, ⑤⑥
 5, 5,Ｆオボロヅキ, 54,菊沢隆, 1.7, 51,*  0, -13, 8, 25.4,⑩①②, 5, 4,Ｆマルタカスカイ, 49,中舘英, 1.1, 54,  -2, -12, 3,  5.7,⑧⑦⑥, 5,15,Ｂヒシルｰマｰ, 71,田中健, 1.5, 61,  -1,  -1, 4,  8.4, ④④, 5, 3,Ｃヴィオレットステラ, 65,太宰啓, 0.5, 58,* -2,  -9, 9, 30.2, ③③
 6,11,Ｏスマｰトルｰプ, 31,木幡初, 1.9, 49,* -1, -13, 5, 14.5,②②③, 6, 3,Ｊファｰストクライ, 38,熊沢重, 1.2, 52,  -3,  -9, 9, 72.1,⑩⑩⑧, 6,12,Ｋエアルｰア, 59,熊沢重, 1.5, 63,  -2,   1, 9, 26.1, ⑦⑦, 6, 7,Ｄバクシンミノル, 62,渡辺薫, 0.5, 57,  -7,  -4, 6, 15.1, ⑨⑨
 7, 6,Ｍウエスタンバリア, 42,田中博, 2.1, 49,  -5,  -7,13,206.6,⑨⑪⑬, 7, 2,Ｄマイソｰルガイ, 52,古川吉, 1.5, 50,   0, -19, 7, 21.2,⑤④⑥, 7, 3,Ｎベルモントシャｰリ, 52,北村友, 1.5, 59,  -5,   2,12, 58.8, ⑩⑩, 7, 8,Ｅチャｰムチェリｰ, 60,鷹野宏, 0.6, 55,  -5,  -8, 7, 22.6, ⑤⑥
 8, 1,Ｃフラワｰネックレス, 56,渡辺薫, 2.1, 51,  -3,  -9, 3,  8.0,⑬⑧⑧, 8, 9,Ｉラストビｰコン, 39,丸田恭, 1.9, 46,  -5, -17,10,135.0,⑪⑪⑩, 8, 8,Ｉリトルマｰメｰド, 63,芹沢純, 1.6, 62, -11,*  9,14, 89.3, ⑭⑭, 8, 1,Ｐマルブツキング, 44,木幡初, 0.6, 55, -14,*  1,13, 62.4, ⑮⑭
