08年10月 5日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年10月 5日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝1200m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  芝1600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■10R  芝1600m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ﾎﾟｰﾄｱｲﾗﾝﾄﾞS,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｋスマｰトスパイダｰ, 41,川田将,, 57,* -1,  -7, 2,  5.6,①②②, 1, 6, コルサｰジュ,---,川島信,, 55, -19,*  9,11, 65.0, ⑫⑩, 1, 2,Ｈメイショウルシェロ, 72,飯田祐,, 78,   7,   2,14, 71.4, ④③, 1,17,Ｈマイネルレｰニア, 82,佐藤哲,, 95,*  7,* 17, 7, 14.6, ①①
 2, 3,Ｂウインヴェリタス, 55,鮫島良, 0.1, 57,* -2,* -5, 1,  1.8,⑦③③, 2,12, アイレンベルク,---,田村太, 0.3, 52, -17,*  3, 3,  5.1, ⑨⑩, 2, 9,Ａライトザキャンドル, 74,川田将, 0.0, 77,   3,   7, 5,  9.9, ⑤⑥, 2, 4,Ｃバトルバニヤン, 87,赤木高, 0.6, 88,*  7,  10, 3,  6.2, ②②
 3, 6,Ａナリタテイオｰ, 59,浜中俊, 0.1, 57,*  0,  -7, 5, 11.2,⑪①①, 3,11, マルイチエリザベス,---,田中健, 0.4, 55,*  3, -18, 5,  9.6, ②②, 3, 8,Ｏアグネスミヌエット, 66,四位洋, 0.1, 79,   0,  12, 3,  6.2, ⑧⑧, 3,16,Ｂマルカフェニックス, 88,安藤光, 0.8, 88,   3,  14, 4, 11.9, ⑩⑩
 4,12,Ｃウォｰクラウン, 53,田中勝, 1.4, 49,  -5, -10, 4, 10.6,②⑥⑥, 4, 9, ファディｰラ,---,渡辺薫, 0.6, 50,  -3, -15, 9, 41.8, ⑤⑤, 4, 6,Ｇファイトザパワｰ, 72,上野翔, 0.2, 78,  -3,* 15, 9, 21.3, ⑧⑩, 4,11,Ｆマイネルフォｰグ, 83,川島信, 0.8, 87,   1,* 16, 5, 13.2, ⑩⑪
 5, 7,Ｆユｰセイヤマトオｰ, 44,和田竜, 1.6, 47,  -4, -13, 7, 19.2,⑤⑥④, 5, 5, サンデｰロｰズ,---,田中勝, 0.7, 51,*  3, -22, 1,  3.0, ②②, 5, 7,Ｊウインプレミアム, 69,田中勝, 0.5, 70,* 15, -21, 4,  8.5, ②②, 5, 7,Ｒサトノプログレス, 74,田中勝, 0.9, 85,*  5,   9, 6, 14.6, ④③
 6, 9,Ｄカバｰドブリッジ, 52,田村太, 1.7, 49,  -9,* -4, 8, 22.1,⑨⑬⑬, 6, 8, シュバルツカレラ,---,浜中俊, 1.1, 45,  -1, -23, 6, 12.4, ②④, 6, 3,Ｉランドマッハ, 70,中村将, 0.5, 72,   4,  -1,13, 66.9, ⑤⑤, 6,13,Ｉインセンティブガイ, 81,熊沢重, 1.0, 84,*  6,   8,10, 22.7, ④③
 7, 5,Ｉエｰシンウィゾｰル, 43,赤木高, 2.0, 44,  -6, -11, 9, 72.5,⑬⑪⑧, 7,10, テイエムマッハ,---,和田竜, 1.1, 48,*  8, -32, 2,  5.1, ①①, 7, 5,Ｂケイエスユリ, 74,難波剛, 0.6, 73,  -1,   6,11, 29.0, ⑧⑧, 7, 9,Ｅロｰブデコルテ, 84,四位洋, 1.1, 83,   3,   9, 2,  5.0, ⑥⑥
 8, 1,Ｈメイショウワザアリ, 44,渡辺薫, 2.1, 47,  -6, -12,10,119.9,⑧⑩⑧, 8, 4, ヤンミｰ,---,藤岡康, 1.2, 41,  -5, -21,10, 53.5, ⑤⑥, 8,10,Ｆレゼルブ, 72,角田晃, 0.7, 69,   7,  -8,12, 49.3, ③③, 8,18,Ｑドリｰムガｰドナｰ, 76,太宰啓, 1.1, 84,   3,   9,15, 55.7, ⑥⑥
