08年 9月20日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 9月20日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝1200m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 7R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝2600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,積丹特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａロッソトウショウ, 73,古川吉,, 72,  -2,* 12, 1,  1.5,⑤②②, 1, 3, イナズマアマリリス,---,桑村真,, 67,  -8,*  8,11,154.5, ⑤⑤, 1, 8,Ａグッドバニヤン, 72,藤岡佑,, 63,*  2,   0, 1,  3.7,③①①, 1,10,Ｂヒカルカザブエ, 75,武幸四,, 79,*  6,  14, 5, 10.1,③②③
 2, 7,Ｅジｰトップキセキ, 58,藤田伸, 0.7, 64,*  0,   4, 3,  7.6,①①①, 2, 4,Ａケイアイジンジン, 61,武幸四, 0.0, 67,  -7,*  7, 2,  5.6, ③③, 2, 4,Ｃケｰプタウンシチｰ, 64,丸田恭, 0.2, 61,  -1,  -1, 3,  6.6,④④③, 2,13,Ａダンツホウテイ, 79,長谷川, 0.2, 75,*  6,  10, 1,  2.9,②②①
 3, 4,Ｃアグネスエナジｰ, 61,三浦皇, 1.0, 62,  -2,   4, 2,  5.7,④②④, 3, 6,Ｆサクラインプルｰブ, 54,三浦皇, 0.2, 64,* -3,   0, 3,  6.1, ①①, 3, 3,Ｂシンボリザックス, 66,津村明, 0.3, 60,  -2,  -1, 4,  7.0,⑥⑤⑤, 3, 9,Ｅメルシｰゴｰルド, 71,三浦皇, 0.3, 75,   5,  13, 7, 16.7,⑧④④
 4, 2,Ｄフミノパシフィック, 61,長谷川, 1.3, 63,* -1,   0, 4,  7.9,②②③, 4, 7,Ｅプリンセスパトラ, 56,古川吉, 0.5, 61,  -7,   1, 5,  8.0, ③③, 4, 2,Ｋナナツダチ, 53,五十嵐, 0.3, 62,  -5,*  6,10, 35.9,⑪⑬⑬, 4, 1,Ｃトｰアヘンリｰ, 72,大野拓, 0.7, 77,   2,* 18,10, 28.2,⑧⑪⑩
 5, 5,Ｂプリンチパｰレ, 67,中舘英, 1.8, 57,  -2,  -2, 5,  8.7,⑤⑥⑤, 5,10,Ｄキミニムチュウ, 58,藤田伸, 0.6, 59,* -4,  -3, 4,  7.6, ②②, 5,14, タイキトゥルｰス,---,藤田伸, 0.3, 61,  -3,*  4, 2,  3.9,⑨⑩⑥, 5, 7,Ｊスマｰトファントム, 68,秋山真, 0.9, 70,   3,   7, 8, 17.9,⑪⑧⑤
 6, 1,Ｆルイジアナボｰイ, 53,藤岡佑, 2.7, 50,  -2, -11, 6, 64.3,②②⑤, 6, 5, フェアウインド,---,川島雅, 0.7, 57,  -8,  -1,10, 72.9, ⑤⑤, 6, 6,Ｆロンドンウィング, 60,荻野琢, 0.5, 59,  -5,*  2, 5,  7.2,⑬⑪⑩, 6, 3,Ｇウォｰタｰボｰイズ, 70,藤田伸, 1.1, 65,*  6,  -4, 2,  4.4,①①②
 7, 3,Ｇスズカワイズクイン, 37,芹沢純, 3.2, 48,  -4, -11, 7,118.5,⑤⑦⑦, 7, 2,Ｂラインブラッド, 61,安藤勝, 0.7, 58, -12,   3, 1,  2.5, ⑨⑧, 7, 1,Ｇウルトラペガサス, 58,田中博, 0.5, 58,  -2,  -3, 9, 22.6,④⑤⑧, 7, 4,Ｉスズカゲイル, 68,安藤勝, 1.4, 68,   3,   5, 4,  8.5,⑪⑨⑦
,,,,,,,,,,,, 8, 9,Ｃヤマイチチャチャ, 60,五十嵐, 1.0, 53, -11,  -2, 6, 11.9, ⑦⑦, 8,10,Ｄクロシェレｰス, 61,三浦皇, 0.5, 59,  -1,  -2, 6, 13.7,⑥⑧⑩, 8,11,Ｆフィッツロイ, 71,中舘英, 1.5, 64,   5,  -6, 3,  5.7,⑥④⑤
