08年10月26日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年10月26日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  ダ1150m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 7R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  芝1800m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,西郷特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｋジョウテンキッズ, 40,千葉直,, 61,*  2,*  4, 5, 17.2,①①①, 1,10,Ｂロイヤルタバスコ, 71,青木芳,, 69,* -4,*  9, 4,  6.1, ②②, 1, 7,Ｂカシノリボン, 74,岩部純,, 78,*  1,* 10, 2,  3.9, ①①, 1, 9,Ｄプリンシペデルソル, 75,小島太,, 76,   1,  14, 5,  8.9,⑤⑤⑤
 2, 6,Ｇニュｰパワｰ, 44,江田照, 0.8, 57,  -2,*  2,11, 71.7,③④③, 2, 5,Ａチャｰムウィｰク, 78,丸田恭, 0.1, 67,  -5,*  9, 3,  5.2, ④③, 2, 1,Ｊアルティマトゥｰレ, 63,三浦皇, 0.0, 78,  -1,* 12, 1,  3.5, ④④, 2, 1,Ｍテントゥワン, 67,西田雄, 0.0, 78,   0,* 19,10, 46.0,⑧⑦⑧
 3,14,Ａウォｰクラウン, 56,丸田恭, 1.0, 54,  -3,*  3, 4,  9.0,⑤⑥⑤, 3, 6,Ｈファッシオドンナ, 69,木幡初, 0.1, 68,* -4,   8, 6, 18.2, ①①, 3, 6,Ａディスパｰジョン, 75,宮崎北, 0.5, 71,  -3,   7, 3,  4.9, ⑥⑤, 3, 4,Ｃセラフィックロンプ, 77,中舘英, 0.1, 74,*  4,   9, 1,  3.3,②②②
 4, 3,Ｅトウカイエクセル, 47,熊沢重, 1.2, 55,  -5,*  4, 6, 22.6,⑪⑨⑦, 4,14,Ｆフェミニンワイルド, 69,竹之下, 0.7, 63,  -8,   7,12, 29.3, ⑦⑥, 4, 3,Ｋゼットファｰスト, 62,津村明, 0.6, 70,  -5,   8, 9, 29.3, ⑧⑦, 4, 3,Ｅユキノハリケｰン, 74,木幡初, 0.2, 73,*  4,   8, 3,  4.4,①①①
 5, 4,Ｃマイネルレクシス, 50,三浦皇, 2.0, 47,  -3,  -6, 3,  6.5,⑤⑥⑦, 5,12,Ｌコスモミネルヴァ, 66,三浦皇, 0.7, 62, -11,   8, 7, 18.7, ⑫⑪, 5,14,Ｅコパノシンオｰ, 67,藤岡康, 0.7, 70, -12,* 14, 6, 15.3, ⑯⑯, 5,13,Ａマイネルスカット, 83,津村明, 0.2, 74,   1,  12, 4,  8.3,⑥⑤⑤
 6,15,Ｉカフェアラジン, 42,勝浦正, 2.4, 45,* -1, -13, 1,  2.0,③②②, 6, 3,Ｄサマｰミッドナイト, 71,黛弘人, 0.8, 63,  -8,   6, 1,  4.2, ⑦⑦, 6,13,Ｃホリノティアラ, 73,江田照, 0.8, 67,*  0,   1, 4,  6.8, ②②, 6,16,Ｊダッシュアキチャン, 69,三浦皇, 0.3, 77,  -2,* 18, 2,  4.2,⑬⑪⑩
 7, 1,Ｄスグリワ, 48,長谷川, 3.0, 43,  -2, -17,12, 75.6,⑤④⑤, 7, 8,Ｇヤマタケプリンセス, 69,中舘英, 0.8, 62,  -8,   6, 9, 23.9, ⑦⑦, 7,12,Ｇブルｰアｰス, 66,荻野琢, 1.1, 63,*  0,  -3, 5, 13.7, ②②, 7, 2,Ｇエアフォルツァ, 72,田中博, 0.5, 70,*  3,   6, 9, 32.0,③③③
 8,12,Ｏカシノクリス, 31,荻野琢, 3.2, 43,  -8,  -6,14,141.1,⑫⑬⑬, 8, 7,Ｉグルｰビｰアイズ, 69,津村明, 1.1, 58, -11,   5, 2,  4.5, ⑫⑩, 8, 2,Ｐサチノオリｰブ, 49,安藤光, 1.1, 64,  -8,   5,16,273.5, ⑫⑬, 8, 6,Ｂロｰレルナイト, 77,江田照, 0.5, 71,   0,  11, 6, 17.9,⑪⑦⑦
