08年 2月 3日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 2月 3日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,,,,,,,,,,,,,■ 7R  ダ1400m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝2400m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松籟ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｈケンモンスタｰ, 55,石橋守,, 68,  -9,* 12, 9, 44.2, ⑪⑪,,,,,,,,,,,,, 1, 6,Ｂダンツキッスイ, 73,藤田伸,, 75,*  5,   7, 3,  6.0, ①①, 1, 6,Ｄニュｰビギニング, 82,幸英明,, 91,  15,*  6, 3,  4.6,⑨⑦⑦
 2, 9,Ｄクリスタルドア, 58,幸英明, 0.4, 64,  -3,   2, 5,  9.1, ⑥⑦,,,,,,,,,,,,, 2, 3,Ａオリジナルフェイト, 90,福永祐, 0.4, 73,   1,*  9, 1,  2.9, ④④, 2,10,Ｂグロリアスウィｰク, 83,安藤勝, 0.1, 88,* 16,   0, 2,  4.3,③③②
 3, 3,Ｂアサケボｰイ, 61,秋山真, 0.7, 62,*  2,  -5, 3,  4.4, ①①,,,,,,,,,,,,, 3, 8,Ｉオｰスミスパｰク, 61,幸英明, 0.9, 70,*  4,   2, 6, 14.8, ③③, 3,11,Ｆパｰプルファルコン, 79,小牧太, 0.2, 88,* 16,   0, 9, 39.2,⑤③②
 4, 8,Ｆドモナラズ, 57,ルメｰ, 0.7, 62,   0,  -2, 2,  3.5, ③③,,,,,,,,,,,,, 4,12,Ｆスペシャルブレイド, 64,川田将, 1.0, 70,  -1,   8, 2,  3.8, ⑧⑤, 4, 8,Ａアグネストレジャｰ, 85,福永祐, 0.5, 84,  15,  -3, 1,  3.1,⑪⑦⑤
 5, 4,Ｃオウシュウバラッド, 58,和田竜, 1.0, 59,   0,  -6, 1,  3.4, ③③,,,,,,,,,,,,, 5,14,Ｅウィッシュアウェイ, 70,佐藤哲, 1.1, 68,*  3,  -1, 8, 30.8, ②②, 5, 5,Ｇアキノレッドスタｰ, 78,藤岡佑, 0.8, 82,* 16, -10, 7, 14.6,④③②
 6,11,Ａシンゼンシンノスケ, 63,飯田祐, 1.0, 59,*  2,  -7, 6, 11.8, ②②,,,,,,,,,,,,, 6,11,Ｇホッコｰビクトリｰ, 64,角田晃, 1.4, 67,  -9,* 13,11, 52.6, ⑭⑭, 6, 9,Ｅマルカハンニバル, 82,角田晃, 1.2, 78,* 16, -17, 6, 10.6,②①①
 7, 5,Ｅテイクザロマン, 57,田中学, 1.2, 57,  -1,  -6, 7, 15.8, ⑥③,,,,,,,,,,,,, 7, 4, ホウライコロナ,---,吉田稔, 1.9, 63,  -5,   5,12, 64.8, ⑫⑬, 7, 7,Ｈモチ, 77,川田将, 1.8, 73,  15, -20,10, 58.8,⑩⑦⑦
 8, 6, セフティｰプラチナ,---,小牧太, 1.3, 55,  -7,  -2, 8, 35.3, ⑩⑩,,,,,,,,,,,,, 8, 7,Ｈマリエンベルク, 62,小牧太, 1.9, 62,  -6,   5, 7, 18.6, ⑫⑩, 8, 4,Ｉマイネルダイナモ, 76,四位洋, 2.2, 71,  15, -25, 8, 18.5,⑥③⑦
 9, 7,Ｊカシノボイス, 38,大下智, 1.5, 54,  -3,  -8,10, 93.6, ⑥⑦,,,,,,,,,,,,, 9, 1,Ｄシゲルハスラット, 71,ルメｰ, 2.2, 60,  -2,  -1, 5, 13.5, ⑩⑨, 9, 2,Ｃインテレット, 82,ルメｰ, 2.2, 72,  14, -21, 5, 10.2,⑦⑩⑪
10,10,Ｉキリポラリス, 49,岩崎祐, 1.8, 52,   0, -12,11,121.4, ③③,,,,,,,,,,,,,10,10,Ｋスタｰルｰセント, 47,和田竜, 2.4, 58,  -2,  -5,10, 43.8, ⑥⑥,10, 1,Ｋネヴァキングダム, 68,藤田伸, 2.3, 70,* 16, -29, 4,  8.8,①②⑤
