08年 9月28日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 9月28日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 4R  ダ1000m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 7R  芝1200m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,朝里川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｃメジロスプレンダｰ, 60,三浦皇,, 63,* -4,*  0, 2,  3.3,③③②, 1,12,Ｂヴィヴァｰチェ, 73,的場勇,, 73,*  2,   8, 2,  3.1, ②②, 1, 8,Ｅイｰサンラヴ, 64,藤田伸,, 67,  -2,*  9, 5, 20.4, ⑨⑨, 1, 9,Ａアｰスコマンダｰ, 71,三浦皇,, 71,  -7,   9, 1,  3.2, ⑥⑤
 2, 4,Ａナパ, 73,藤田伸, 0.2, 61,* -3,  -5, 1,  2.6,①①①, 2,10,Ｃフヨウ, 71,津村明, 0.0, 73,*  3,   7, 4, 11.5, ①①, 2, 1,Ａハギノハｰセルフ, 75,三浦皇, 0.0, 67,*  9,  -1, 1,  2.0, ①①, 2, 3,Ｂノボディｰヴォ, 71,大野拓, 0.2, 69,  -7,   7, 8, 22.7, ⑥⑤
 3, 3,Ｂマイネルアヴァル, 70,津村明, 0.8, 55,  -6,  -9, 3,  4.0,⑤⑥⑤, 3,11,Ｇオｰスノムスメ, 65,荻野琢, 0.1, 73,  -2,* 10, 3,  5.2, ④③, 3, 4,Ｇスイングロウ, 61,服部茂, 0.1, 67,  -1,*  8,10, 87.8, ⑨⑨, 3, 2,Ｅクレバｰデュｰク, 68,中舘英, 0.2, 70, -11,* 11, 3,  4.0, ⑧⑧
 4, 2,Ｅキリエ, 50,中舘英, 1.4, 54,  -8,  -7, 5, 16.5,⑪⑩⑧, 4, 6,Ａヒカリマｰガレット, 74,藤田伸, 0.2, 70,  -7,* 12, 1,  2.7, ⑧④, 4, 6,Ｈコパノオｰシャンズ, 58,武幸四, 0.1, 67,   5,   2, 6, 26.0, ⑤④, 4, 6,Ｈロンシャンステｰジ, 61,丸田恭, 0.4, 66,  -4,   2,14, 93.2, ④③
 5, 5,Ｆハｰトオブウインク, 50,武幸四, 1.6, 49,  -7, -16, 7, 31.0,⑧⑨⑦, 5, 9,Ｊカルパントラス, 54,田中博, 0.3, 69,  -8,* 12, 5, 14.4, ⑨⑥, 5,10,Ｆヒシエンジェル, 63,郷原洋, 0.2, 65,   2,   3, 7, 30.5, ⑦⑤, 5,13,Ｄセンザイイチグウ, 69,藤田伸, 0.5, 65,  -9,   5, 2,  3.8, ⑧⑧
 6,11,Ｄメジロデュｰチン, 50,菊沢隆, 1.8, 44,  -7, -20, 4, 13.8,⑧⑦⑥, 6, 7,Ｄメイショウソルテ, 70,丸田恭, 0.5, 67,  -1,   5, 7, 17.4, ④⑥, 6, 3,Ｂメジロアｰスラ, 75,長谷川, 0.3, 63,  -3,*  6, 2,  3.9, ⑫⑨, 6, 7,Ｃフェスティヴマロン, 69,長谷川, 0.5, 65, -11,   7, 6, 17.6, ⑧⑩
 7, 8,Ｈコスモピグマン, 47,丸田恭, 1.9, 43,  -9, -18, 9, 42.8,⑧⑩⑪, 7, 5,Ｅチャｰムキャップ, 70,中舘英, 0.9, 63,  -4,   4, 6, 15.2, ⑥⑧, 7, 2,Ｉユキノサッシュ, 57,荻野琢, 0.4, 62,   0,   3, 9, 84.0, ⑨⑨, 7,14,Ｊヤマカツシリウス, 59,北村友, 0.6, 65, -14,   8, 5, 16.0, ⑪⑩
 8, 7,Ｋジｰシｰベン, 42,千田輝, 1.9, 43,* -5, -26, 8, 41.9,⑥③②, 8, 8,Ｆレディオｰロラ, 65,菊沢隆, 1.1, 61,  -9,   5, 9, 46.5, ⑩⑩, 8, 9,Ｄヘヴンリｰクルｰズ, 67,丸田恭, 0.4, 62,   6,  -4, 3,  4.5, ②②, 8, 5, アヤヒメ,---,服部茂, 0.6, 67, -22,* 17,12, 63.5, ⑭⑭
