08年11月30日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年11月30日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  ダ1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1600m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  芝2400m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,ﾍﾞｺﾞﾆｱ賞,,,,,,,,,,,,ｼﾞｬﾊﾟﾝｶｯﾌﾟ ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｂブルｰセイコｰ, 65,内田博,, 65,  -6,* 11, 2,  4.2, ⑫⑧, 1, 2, グロリアスノア,---,小林慎,, 58, -10,*  6, 3,  5.8, ⑧⑦, 1,11,Ａパｰルシャドウ, 72,蛯名正,, 73,*  8,  -2, 1,  3.2, ①①, 1,16,Ｆスクリｰンヒｰロｰ, 93,デムｰ,, 99,  10,* 25, 9, 41.0,⑥⑤⑤
 2, 1,Ｄフォルミダｰビレ, 60,柴田善, 0.4, 63,  -5,*  6, 3,  5.0, ⑦⑥, 2,12, シルクアンシエル,---,藤田伸, 0.3, 55,  -9,*  1, 6, 17.0, ⑦⑥, 2, 5,Ｄナンヨｰアイドル, 68,ルメｰ, 0.2, 74,  -5,* 15, 2,  3.4, ⑫⑫, 2, 9,Ｂディｰプスカイ, 97,四位洋, 0.1, 99,   8,* 28, 1,  3.4,⑫⑫⑪
 3,16,Ｃシブン, 60,吉田隼, 0.6, 61,* -4,   3, 4,  7.0, ⑤④, 3, 5, カラフルパレット,---,松岡正, 0.4, 55,* -7,  -1, 4,  6.0, ②②, 3, 7,Ｆダノンヒデキ, 63,藤田伸, 0.3, 70,   2,   3, 5,  9.7, ⑧⑦, 3, 4,Ａウオッカ,100,岩田康, 0.2, 96,* 11,  21, 2,  3.7,③③③
 4,12,Ａフェｰズシックス, 65,後藤浩, 0.7, 60,* -3,   1, 1,  2.7, ②②, 4, 6, コスモジュゲム,---,津村明, 0.7, 51,  -9,  -2, 5, 11.3, ④④, 4,10,Ｂマジックシアタｰ, 70,吉田隼, 0.3, 69,   2,   2, 7, 13.9, ⑤⑤, 4,13,Ｃマツリダゴッホ, 97,蛯名正, 0.2, 96,* 11,  20, 5,  8.0,④④④
 5, 7,Ｊスグリワ, 44,村田一, 1.7, 57,  -9,   0,11,107.7, ⑮⑭, 5,15, リンガスアクトレス,---,中舘英, 1.4, 46,* -7, -10, 8, 20.5, ③③, 5, 8,Ｈベルベットロｰド, 58,横山典, 0.3, 70,  -2,   9, 3,  7.0, ⑩⑨, 5, 1,Ｋオウケンブルｰスリ, 89,内田博, 0.3, 96,  10,  23, 4,  7.3,⑦⑦⑦
 6, 5,Ｅコスモフォｰス, 58,松岡正, 1.9, 51,* -4,  -8, 5,  7.8, ③⑤, 6, 3, ラストオレンジ,---,柴田善, 1.6, 48, -12,  -3,12, 72.7, ⑬⑬, 6, 2,Ｋリｰチマイドリｰム, 55,柴山雄, 0.6, 67,  -4,   8, 9, 32.9, ⑪⑩, 6, 2,Ｅメイショウサムソン, 95,石橋守, 0.5, 95,  10,  20, 3,  6.5,⑤⑥⑥
 7,14,Ｈハバナシガｰ, 50,黛弘人, 1.9, 52,  -6,  -6,12,132.4, ⑧⑨, 7, 9, タツフェニックス,---,ペリエ, 2.3, 41, -14,  -7, 7, 19.1, ⑭⑭, 7, 1,Ｉブラストクロノス, 57,岩田康, 0.6, 68,  -5,* 11, 6, 11.2, ⑬⑬, 7, 7,Ｈネヴァブション, 92,横山典, 0.5, 91,* 12,  13,15,112.1,①①①
 8, 6,Ｏシルクライトアップ, 29,柴山雄, 2.1, 53, -10,   0,14,173.2, ⑬⑮, 8, 8, トウカイロｰド,---,柴山雄, 2.6, 41, -12, -12,15,141.0, ⑫⑫, 8, 3,Ｊドリｰムヘリテｰジ, 55,三浦皇, 0.7, 66,   2,  -4,12, 66.7, ④④, 8,15,Ｉアサクサキングス, 91,ルメｰ, 0.6, 95,  10,  20, 6, 12.9,⑩⑧⑧
 9, 8,Ｋレイクルイｰズ, 43,三浦皇, 2.3, 49,  -6,  -7, 7, 23.5, ⑩⑪, 9,10, ストッププレス,---,武士沢, 3.1, 40, -22,   0,10, 42.5, ⑮⑮, 9, 4,Ｃツクバタイヨウ, 69,内田博, 1.0, 62,   2,  -7, 4,  9.2, ⑦⑥, 9, 6, パｰプルムｰン,---,スペン, 0.6, 95,   9,  22,11, 54.8,⑪⑨⑩
