08年 7月27日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 7月27日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝2000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝2200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐渡特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ａトランスワｰプ, 73,後藤浩,, 67,*  2,*  2, 1,  1.5, ②②, 1,10,Ｅステイウィズユｰ, 57,福永祐,, 73, -11,* 17, 1,  2.3,⑭⑪⑧, 1, 7,Ａディオスクロイ, 78,松岡正,, 73,*  7,*  9, 1,  1.5,②②②, 1, 8,Ｄキングオブカルト, 78,中舘英,, 81,*-12,  26, 3,  7.0,②②②
 2,10,Ｌエアセレナｰデ, 39,田中勝, 0.1, 68,*  4,  -1, 7, 25.1, ①①, 2, 5,Ｉホノカチャン, 51,宮崎北, 0.0, 70,* -8,* 11,10, 65.1,③③③, 2, 9,Ｄヴァルドルフ, 73,千葉直, 0.2, 70,   6,   8, 5, 15.2,④⑤⑥, 2,10,Ａシグナリオ, 83,内田博, 0.1, 80, -13,  27, 2,  4.7,③④⑤
 3, 6,Ｂマイティｰクラウン, 67,千葉直, 0.3, 64,  -1,*  3, 4, 14.5, ⑥⑥, 3,15,Ｎケｰプタウンシチｰ, 46,石橋脩, 0.4, 63,* -8,   3, 7, 25.7,②②②, 3, 8,Ｍロックリヴァｰ, 65,吉田豊, 0.3, 71,   7,   7,13,135.5,⑥⑤④, 3, 7,Ｅダイワワイルドボア, 78,松岡正, 0.1, 79, -14,  27, 5,  7.9,③④⑤
 4,12,Ｅボｰマタン, 60,高山太, 0.8, 59,  -4,*  2, 5, 14.8, ⑨⑧, 4, 9,Ｈリワｰドモンシェリ, 52,蛯名正, 0.4, 70, -12,* 15, 9, 35.3,⑰⑮⑫, 4,11,Ｆマイネルアベニｰル, 71,柴山雄, 0.4, 72,   4,* 12, 4, 12.9,⑬⑬⑫, 4,13,Ｆマイネルグラシュｰ, 77,田中勝, 0.2, 79,*-12,  24, 6, 18.4,③③②
 5, 5,Ｃシュンロク, 62,小野次, 0.9, 57,  -2,  -2, 3, 12.3, ⑥⑥, 5, 7,Ｌマイシルバｰスタｰ, 50,田中博, 0.6, 64, -10,   5,13,105.0,⑦⑦⑧, 5,14,Ｃケｰジｰハッピｰ, 73,内田博, 0.6, 66,*  7,   4, 3, 11.5,④②②, 5,12,Ｂダイシンプラン, 81,岩田康, 0.2, 83, -15,* 32, 1,  2.2,⑪⑪⑨
 6, 3,Ｈヨシモンドノスケ, 55,柴山雄, 1.2, 55,  -5,  -1,10, 65.1, ⑫⑪,11, 1,Ｄスペシャルブラッド, 57,内田博, 0.7, 58,* -7,  -3, 3,  5.8,①①①, 6, 3,Ｈステディｰラブ, 69,石橋脩, 0.8, 64,   4,   6,11, 54.2,⑨⑨⑦, 6,11,Ｃテンシノゴｰルド, 81,蛯名正, 0.3, 80, -13,  27, 4,  7.0,⑧⑦⑤
 7, 8,Ｇカオリホｰク, 55,蛯名正, 1.4, 55,   1, -10, 2,  7.2, ②②, 6,13,Ｊロマンシエｰル, 51,黛弘人, 0.7, 61, -10,   3,11, 77.0,⑤③③, 7,13,Ｅベロｰチェ, 72,柴田善, 0.8, 68,   6,   6, 6, 16.9,⑥⑦⑧, 7, 3,Ｉマルモコウテイ, 73,福永祐, 0.5, 77, -13,  24, 9, 38.3,⑧⑦⑤
 8,11,Ｆデルマアンタレス, 59,西田雄, 1.7, 50,  -4,  -8,11,100.3, ⑧⑧, 7,12,Ａコスモスプラッシュ, 61,岩田康, 0.9, 59,  -9,   2, 5, 15.1,⑩⑦⑦, 8, 5,Ｉシルクプレスト, 68,勝浦正, 0.9, 65,*  8,  -2, 9, 46.4,②①①, 8, 5,Ｍドレックセル, 67,吉田豊, 0.5, 77, -15,  25,10, 97.9,⑪⑨⑨
 9, 9,Ｉサニｰプリｰズ, 54,宮崎北, 2.1, 47,   1, -15,14,222.1, ②②, 8,11,Ｍクリノポップコｰン, 48,千葉直, 1.1, 56,* -8,  -4,15,226.4,⑤③⑥, 9, 1,Ｂコスモビｰスト, 75,田中博, 1.3, 65,   5,   3, 2,  7.0,⑮⑨⑩, 9, 6,Ｇハイフェイム, 75,石橋脩, 0.9, 72, -15,  20, 8, 35.7,⑥⑨⑨
