08年 5月17日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 5月17日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝2200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 7R  芝2000m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝1400m 3 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,葵ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10, バイオレントブルｰ,---,小牧太,, 59,*  4,  -3, 7,  9.7, ①①, 1,13,Ｂダンツホウテイ, 64,福永祐,, 61,* -4,   1, 1,  2.3,③③②, 1, 5,Ｅロｰドニュｰスタｰ, 62,武幸四,, 82,   9,*  4, 5,  9.0,⑨⑧④, 1,10,Ｅミリオンウェｰブ, 75,角田晃,, 79,   7,   1,12, 32.3, ⑤④
 2,13,Ａフェイドレスシｰン, 64,吉原寛, 0.1, 58,  -3,*  4, 1,  4.6, ⑨⑧, 2, 3,Ｄオｰトホｰク, 60,川田将, 0.3, 61,  -8,* 11, 4, 10.8,⑬⑩⑫, 2, 1,Ｂスリｰオリオン, 73,秋山真, 0.7, 75,   9,* -4, 1,  3.0,⑩⑨⑧, 2, 2,Ｌアポロラムセス, 68,長谷川, 0.0, 77,   0,* 11,13, 56.1, ⑩⑬
 3, 2,Ｅテイエムノキセキ, 58,和田竜, 0.2, 57,  -1,   0, 3,  6.8, ⑤④, 3,12,Ａハヤテノゴトク, 70,角田晃, 0.3, 57,* -3,  -5, 2,  2.9,②②②, 3, 9,Ｋツルマルストｰム, 52,福永祐, 0.8, 72,* 11, -13, 3,  4.8,⑥⑤②, 3, 8,Ｆメイショウロｰラン, 74,飯田祐, 0.1, 77,   6,   1,10, 25.5, ⑤⑥
 4,12,Ｄスマｰトドレス, 58,四位洋, 0.3, 56,*  1,  -2, 5,  7.4, ③③, 4, 9,Ｍユグドラシル, 43,浜中俊, 0.4, 59,  -6,   4, 6, 32.4,⑧⑨⑦, 4, 3,Ｃマｰムｰドイモン, 73,幸英明, 0.8, 74,   9,  -8, 4,  6.3,⑧⑦④, 4,14,Ｈマヤノベンケイ, 72,福永祐, 0.1, 79,* 10,  -3, 4,  7.8, ②②
 5,16,Ｇシゲルキボウ, 55,角田晃, 0.3, 55,*  2,  -4, 9, 26.7, ②②, 5,11,Ｇマｰベラスブレイド, 51,石橋守, 0.5, 56,* -2,  -7, 5, 22.4,①①①, 5,12,Ｆタガノエルシコ, 62,四位洋, 1.1, 70,* 12, -18, 6,  9.1,⑤④①, 5,13,Ｊフェイムロバリｰ, 71,四位洋, 0.1, 77,   5,   4, 5,  8.0, ⑩⑥
 6, 5,Ｋラフレッシュブルｰ, 42,福永祐, 0.4, 56,  -5,*  5, 8, 14.3, ⑪⑩, 6,14,Ｈロｰドフラッシュ, 50,小牧太, 0.7, 54,  -5,  -5, 8, 60.5,⑥⑥④, 6,11,Ｄブラッシュアップ, 65,岩田康, 1.1, 68,* 11, -19, 7, 18.0,②②④, 6, 6,Ｉメスナｰ, 71,佐藤哲, 0.2, 75,   1,*  8, 3,  6.3, ⑩⑬
 7,14,Ｆアｰラ, 57,浜中俊, 0.4, 55,  -6,*  4, 6,  9.0, ⑪⑩, 7, 2,Ｆタイキマドロス, 55,岩田康, 0.7, 56,  -8,   4, 3,  4.4,⑩⑩⑩, 7, 8,Ａクｰノキセキ, 73,酒井学, 1.7, 63,* 13, -29, 2,  4.1,③②②, 7, 7,Ｋマイネエスポワｰル, 71,川島信, 0.2, 74,   2,   5,11, 27.9, ⑦⑧
 8, 1,Ｂコパノアコチャン, 63,岩田康, 0.6, 53,  -3,  -1, 2,  4.8, ⑦⑥, 8, 4,Ｃメイショウホバｰト, 60,和田竜, 0.8, 55,  -5,  -4, 7, 48.5,⑧⑥⑦, 8, 6,Ｊパラダイスプラム, 53,長谷川, 3.0, 54,  10, -42,12,296.6,③⑤⑧, 8, 1,Ｇレオマイスタｰ, 72,武幸四, 0.3, 74,  -2,* 10, 6, 13.4, ⑱⑰
