08年 6月28日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 6月28日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 7R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,奥尻特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｅメジロレディｰ, 53,津村明,, 64,*  4,   2, 5, 12.5,②②②, 1, 4,Ａビｰボタンダッシュ, 64,木幡初,, 58,   3,* -7, 1,  2.8,③③①, 1, 6,Ａファイナルファイト, 62,池添謙,, 64,  -4,   3, 2,  3.6, ③②, 1, 6,Ｄジャングルテクノ, 72,四位洋,, 70,   4,   5, 2,  4.6,⑤③②
 2, 8,Ｃチャｰムベル, 57,安藤勝, 0.3, 64,   2,*  5, 2,  4.0,⑦⑤③, 2,11,Ｄエスジｰビンゴ, 61,千田輝, 0.1, 60,   3,* -7, 4,  8.4,④③②, 2, 1,Ｋギンザマスタング, 46,的場勇, 0.0, 64,*  3,  -4, 3,  5.8, ①①, 2, 4,Ａライオングラス, 78,横山典, 0.3, 68,   2,   5, 3,  5.7,⑦⑥⑤
 3, 2,Ａロｰマンブリッジ, 61,北村友, 0.3, 60,*  4,  -2, 1,  2.8,①①①, 3, 6,Ｂアップセット, 62,大野拓, 0.3, 58,   2,* -7, 3,  4.2,④⑤⑤, 3, 4,Ｂバイヨン, 62,横山典, 0.0, 65,  -9,*  8, 1,  2.7, ⑧⑦, 3,13,Ｃファイアレッド, 73,池添謙, 0.3, 67,   2,   5, 6,  8.0,⑥⑥⑤
 4, 3,Ｂアクトオンザタｰフ, 61,的場勇, 0.4, 63,   1,   2, 3,  4.3,④④③, 4, 7,Ｆクニサキマサオｰ, 48,梶晃啓, 0.9, 54,   0,  -9,11,117.3,⑧⑦⑥, 4,13,Ｎテイクザスカイ, 40,木幡初, 0.4, 59,* -1,  -5,12, 76.8, ②②, 4,14,Ｂスズカライアン, 76,安藤勝, 0.4, 65,   1,   5, 1,  3.0,⑦⑨⑦
 5, 6,Ｇチキリテンダリｰ, 48,長谷川, 1.7, 56,  -1,  -4, 9, 68.0,⑩⑥⑥, 5, 9,Ｅマイネルメテオｰル, 56,的場勇, 1.1, 53,*  4, -17, 5, 12.4,②②②, 5, 5,Ｆゴｰルデンココ, 49,藤岡佑, 0.7, 55, -11,   0, 8, 38.8, ⑩⑦, 5, 8,Ｆダノンスイショウ, 69,三浦皇, 0.5, 63,*  5,  -5, 4,  7.4,②②②
 6,10,Ｄトウカイデリシャス, 54,横山典, 2.7, 44,*  3, -20, 4,  5.9,②③③, 6, 8,Ｊスｰパｰスタｰ, 36,郷原洋, 1.2, 52,   0, -11,10, 90.8,⑨⑦⑥, 6, 7,Ｈマヤノアンズ, 48,長谷川, 0.7, 56,  -4,  -6, 4,  7.8, ③④, 6,12,Ｅハバネロキャット, 70,菊沢隆, 0.5, 68,  -3,* 14,11, 70.1,⑭⑭⑭
 7,11, アグネステンション,---,三浦皇, 3.2, 43,  -6,  -8, 6, 15.1,⑦⑩⑩, 7,10,Ｇメイショウカンスケ, 46,三浦皇, 2.5, 43,  -1, -20, 7, 23.6,④⑨⑨, 7, 8,Ｃクリノモンブラン, 56,荻野琢, 1.1, 50,  -9,  -7, 6, 22.8, ⑧⑩, 7, 3,Ｉカゼノマイ, 64,藤岡佑, 0.5, 68,  -2,* 11,10, 66.4,⑬⑬⑪
 8, 1,Ｉウインズワｰルド, 36,丸田恭, 3.7, 39,  -2, -19,10, 72.6,⑤⑧⑨, 8, 1,Ｃリリｰザサン, 62,北村友, 2.7, 40,   0, -25, 8, 27.6,④⑥⑧, 8, 9,Ｇベストオブメンバｰ, 49,秋山真, 1.1, 50, -20,*  4,13, 79.8, ⑭⑬, 8,11,Ｈハギノエアロ, 65,津村明, 0.5, 68,   0,   8,13,118.7,⑪⑩⑨
 9, 7, セレスチャルロｰブ,---,四位洋, 4.2, 36,  -7, -14, 7, 20.0,⑪⑪⑪, 9, 5,Ｈサンインデザｰト, 45,丸田恭, 2.8, 41,  -2, -21, 9, 44.3,⑩⑩⑨, 9,11,Ｄニシエイビュレット, 53,丸田恭, 1.1, 49,  -4, -12, 7, 27.3, ③④, 9, 1,Ｎマスタｰカフェ, 55,小島太, 0.6, 63,   4,  -3, 9, 55.8,③③④
10, 9,Ｆムｰンアウェイク, 53,田嶋翔, 4.2, 36,  -2, -23,11,134.4,⑦⑧⑦,10, 2,Ｉカネスラｰナ, 40,藤岡佑, 3.2, 39,*  4, -36, 6, 14.8,①①②,10,10,Ｊネオファロス, 48,三浦皇, 1.3, 47,  -4, -15, 5,  8.5, ③⑥,10, 7,Ｊエリモブラスト, 64,小林徹, 0.7, 64,  -1,   5,12, 90.4,⑦⑩⑪
11, 4,Ｈグランドグラッパ, 47,菊沢隆, 6.0, 25,  -1, -40, 8, 51.8,⑤⑥⑦,11, 3, イノベｰタ,---,安藤勝, 5.4, 26,  -5, -38, 2,  3.6,⑩⑪⑪,11,12,Ｌワイルドパンチ, 46,武幸四, 1.3, 48, -13,  -5,11, 56.1, ⑪⑪,11, 5,Ｌバｰキングウルフ, 58,武幸四, 0.8, 64,  -2,   5, 7, 31.0,⑫⑫⑪
,,,,,,,,,,,,,,,,,,,,,,,,12, 2,Ｉラッキｰサムタイム, 48,津村明, 1.3, 48, -16,  -2,10, 51.7, ⑫⑬,12, 9,Ｇメイショウジダｰン, 66,長谷川, 0.9, 60,*  7, -13, 5,  7.5,①①①
,,,,,,,,,,,,,,,,,,,,,,,,13, 3,Ｅパシコスピリット, 51,柴原央, 1.4, 46, -16,  -4, 9, 43.9, ⑫⑪,13,10,Ｋオオアタリ, 62,北村友, 1.3, 57,   4, -12, 8, 39.5,④③⑨
,,,,,,,,,,,,,,,,,,,,,,,,14,14,Ｍベスト, 45,大野拓, 1.8, 42,  -6, -18,14,260.2, ⑦⑨,14, 2,Ｍマッハクニヒト, 58,秋山真, 1.8, 51,   3, -16,14,146.6,⑩⑥⑦
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-11 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-9),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-9),,,,,,,,,,,
"単勝:1,250円 複勝:05=270円 08=140円 02=130円 枠連:2,510円",,,,,,,,,,,,単勝:280円 複勝:04=120円 11=170円 06=150円 枠連:680円,,,,,,,,,,,,単勝:360円 複勝:06=160円 01=180円 04=160円 枠連:880円,,,,,,,,,,,,"単勝:460円 複勝:06=170円 04=240円 13=260円 枠連:1,130円",,,,,,,,,,,
"馬連:2,620円 ワイド:05-08=740円 02-05=630円 02-08=280円",,,,,,,,,,,,馬連:980円 ワイド:04-11=380円 04-06=270円 06-11=450円,,,,,,,,,,,,"馬連:1,210円 ワイド:01-06=510円 04-06=290円 01-04=460円",,,,,,,,,,,,"馬連:1,360円 ワイド:04-06=630円 06-13=760円 04-13=1,110円",,,,,,,,,,,
"馬単:6,090円 3連複:2,230円",,,,,,,,,,,,"馬単:1,840円 3連複:1,370円",,,,,,,,,,,,"馬単:2,880円 3連複:1,540円",,,,,,,,,,,,"馬単:2,460円 3連複:5,050円 3連単:22,670円",,,,,,,,,,,
■ 2R  ダ1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 5R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■11R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ函館,,,,,,,,,,,,,,,,,,,,,,,,竜飛崎特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
