08年 9月 6日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 9月 6日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 7R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■10R  芝1200m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐世保ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ａエイシンフェアリｰ, 62,吉田隼,, 61,*  4,  -8, 2,  3.0, ①①, 1, 3,Ａグランチャｰム, 66,田村太,, 63,   2,* -1, 3,  5.4,⑪⑧⑥, 1, 6,Ｇトムウィンズ, 62,岩崎祐,, 76,   1,* 16, 1,  5.3,⑦⑤③, 1,18,Ｅコスモベル, 80,佐藤哲,, 92,*  0,* 24, 2,  4.9, ②③
 2, 9,Ｄワンズガｰホッド, 51,鮫島良, 0.3, 54,  -3,  -6, 5, 15.9, ⑥⑨, 2, 2,Ｍワキノキルシェ, 46,橋本美, 0.3, 66,   0,*  4,14, 99.4,⑭⑮⑪, 2,16,Ｊグッドバニヤン, 61,熊沢重, 0.2, 73,*  3,  10,11, 21.4,⑤②②, 2,11,Ａゼットカｰク, 86,小牧太, 0.4, 87,  -6,* 24, 3,  5.4, ⑨⑥
 3, 1,Ｊカンファｰピュア, 35,太宰啓, 0.3, 57,   1,  -9,12,114.2, ③②, 3,10,Ｋロｰズシティ, 49,秋山真, 0.5, 62,   1,* -1, 9, 26.7,⑫⑬⑪, 3,13,Ｂスナｰクマイハｰト, 66,川田将, 0.3, 70,*  2,   8, 4,  7.9,②①①, 2,16,Ｃマッチメイト, 82,武豊  , 0.4, 86,*  2,  16, 4,  8.7, ①①
 4, 3,Ｇマスタｰチアフル, 42,飯田祐, 0.3, 57,*  3, -11, 6, 16.0, ②②, 4,11,Ｄテイエムノキセキ, 60,田中健, 0.7, 60,*  7, -14, 4,  7.3,④②②, 4,15,Ｉハマノオラトリオ, 61,浜中俊, 0.7, 69,   1,   5, 5,  9.5,⑦④⑤, 4, 3,Ｆホｰマンファラオ, 80,角田晃, 0.6, 84,*  1,  15, 9, 21.2, ②②
 5, 7,Ｆケイアイカグラ, 44,赤木高, 0.5, 49, -11,*  0, 7, 42.8, ⑫⑪, 5,12,Ｃコパノアコチャン, 65,藤岡康, 1.0, 57,   6, -15, 1,  3.9,⑤④④, 5, 2,Ｆメイショウデイジｰ, 62,高橋亮, 0.8, 66,   0,   6, 6, 10.5,⑪⑦⑥, 5,12,Ｄエイシンパンサｰ, 82,秋山真, 0.7, 83,  -4,  19, 1,  3.8, ⑤④
 6, 6,Ｃハイフィｰルド, 52,安藤光, 0.6, 51,  -3,  -9, 3,  4.9, ⑥④, 6,14,Ｇベルアミイ, 54,角田晃, 1.6, 53,   2, -13,13, 77.9,⑭⑩⑨, 6,11,Ｄファンキｰドラゴン, 63,田中克, 0.8, 65,*  2,   0, 8, 12.0,①②③, 6,13,Ｋマンテンハット, 76,菊地昇, 0.8, 81,  -3,  17,12, 32.8, ⑤⑥
 7,10,Ｅコスモノンノン, 45,浜中俊, 0.9, 46,  -6, -11, 4,  8.3, ⑨④, 7, 6,Ｂマルノリｰサ, 66,佐藤哲, 1.8, 50,*  7, -24, 2,  4.8,①①①, 7, 7,Ｈマルイチシンゲキ, 62,幸英明, 0.9, 66,   1,   3, 2,  5.7,②⑤⑥, 7, 4,Ｉコウユｰキズナ, 78,吉田隼, 0.8, 80,  -4,  18, 5, 12.6, ⑤⑨
 8,11,Ｉオリオンザレッド, 35,幸英明, 0.9, 47,  -4, -12, 9,101.3, ⑧⑨, 8,15,Ｆグランドツインクル, 55,小牧太, 1.8, 49,   4, -19, 6, 11.9,⑧⑥⑥, 8, 9,Ｐマキオキセキ, 48,藤岡康, 1.0, 63,  -2,   6,15, 78.2,⑤⑩⑨, 8, 9,Ｍキルシュワッサｰ, 75,太宰啓, 0.9, 80,*  0,  12, 6, 15.5, ②④
