08年 2月23日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 2月23日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ2100m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝3000m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1600m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■10R  ダ1600m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,白嶺ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｏヒｰリングステｰジ, 31,佐藤聖,, 62,*  2,  -2,10, 50.4,①①①, 1, 6, ウォｰライクトニｰ,,山本康,,,,, 1,  2.3,②③③, 1, 4,Ｂリｰズレセプション, 75,勝浦正,, 74,*  3,  12, 3,  6.4, ②②, 1, 9,Ａパレスショットガン, 87,田嶋翔,, 82,   5,* 14, 1,  2.4, ⑭⑫
 2,14,Ｉヴァルナ, 50,加藤士, 0.1, 63,*  2,  -1, 4,  8.4,③③②, 2,13, テンジンムサシ,,浜野谷,201.4,,,, 4, 11.3,⑥③③, 2, 2,Ａニシノテンカ, 78,後藤浩, 0.1, 74,  -2,* 20, 1,  2.0, ⑫⑫, 2,11,Ｊタマモグレアｰ, 79,中舘英, 0.0, 79,* 12,   1, 5, 10.7, ④④
 3, 3,Ｈレオフロンティア, 51,大野拓, 0.3, 61,   1,  -1, 6, 18.1,③④④, 3, 8, スガｰペンタイア,,平沢健,202.2,,,, 8, 29.6,①①①, 3, 9,Ｆトｰセンマンボ, 71,小野次, 0.2, 71,  -2,* 17, 2,  4.9, ⑩⑩, 3, 8,Ｄサンワｰドラン, 83,後藤浩, 0.2, 78,   5,* 10, 3,  9.7, ⑧⑩
 4, 4,Ｄオンワｰドメモリア, 56,的場勇, 0.3, 63,   1,*  0, 8, 35.7,⑥④④, 4,11, トウカイハッスル,,横山義,202.7,,,, 3,  5.9,②②②, 4, 5,Ｄシルクスタｰシップ, 73,二本柳, 0.5, 68,   0,  12, 4,  9.3, ⑥④, 4,14,Ｃリオサンバシチｰ, 83,木幡初, 0.3, 79,   7,   6, 8, 19.5, ⑦⑥
 5,11,Ａエリザベススイｰト, 61,千葉直, 0.6, 60,  -1,*  1, 1,  2.2,⑬⑬⑪, 5, 7, フジヤマホｰク,,西谷誠,203.9,,,, 5, 14.1,⑩⑨⑦, 5, 6,Ｅエバンジェリスト, 73,横山典, 0.5, 71,   0,  14, 5, 12.2, ⑨⑧, 5, 4,Ｎフサイチギガダイヤ, 73,村田一, 0.5, 77,* 14,  -5,16,120.4, ②②
 6, 5,Ｃマイネルレッチｰノ, 57,田中博, 0.8, 59,   0,  -2, 2,  3.9,⑪⑧⑨, 6, 3, アラメダキング,,柴田大,205.0,,,,13,151.3,②⑥⑥, 6,14,Ｃグリンガレット, 73,津村明, 0.7, 68,   0,  11, 6, 15.9, ⑦⑦, 6,12,Ｆホｰマンオブジェ, 82,勝浦正, 0.8, 76,   5,   6, 6, 11.4, ⑬⑫
 7, 9,Ｂプッシュハｰト, 57,田辺裕, 0.9, 56,  -1,  -2, 3,  7.9,⑬⑬⑨, 7, 9, ダイワバンディット,,穂苅寿,205.7,,,, 6, 16.9,⑤⑤③, 7, 8,Ｋエアルｰア, 59,加藤士, 0.8, 68,*  4,   5, 9, 59.2, ①①, 7,16,Ｇタケデンイｰグル, 82,石神深, 1.1, 72,* 13, -11,13, 59.1, ②②
 8, 8,Ｊナッシュビル, 50,五十嵐, 1.3, 55,*  2, -12, 9, 38.8,②②②, 8, 2, トｰヨｰコジｰン,,宗像徹,208.3,,,, 9, 45.8,⑧⑦⑦, 8, 7,Ｎタツエンペラｰ, 57,江田照, 1.1, 64,*  2,   4,10, 81.3, ③③, 8, 3,Ｈスプリングヘッド, 80,津村明, 2.0, 66,   7,  -6, 4, 10.4, ⑩⑦
