08年 3月 8日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 3月 8日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝2880m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1200m 3 歳500万 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■10R  芝1800m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,両国特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ｂミラクルロンド, 63,北村宏,, 64,   0,*  3, 4,  6.0, ⑤⑥, 1, 8, ヒシバトル,,山本康,,,,, 2,  3.9,③②②, 1,15,Ａサマｰエタニティ, 67,柴山雄,, 63,  -1,  -4, 2,  3.7, ④②, 1, 6,Ｂレゴラス, 81,藤田伸,, 86,  14,* 15, 1,  3.1,⑭⑭⑧
 2, 4,Ｅブルｰミンバｰ, 57,藤田伸, 0.1, 63,*  7,  -5, 1,  2.9, ②②, 2, 2, ロｰドフラッグ,,横山義,195.5,,,, 8, 27.3,②①①, 2, 4,Ｂマイネアルデュｰル, 65,松岡正, 0.0, 64,  -1,  -4, 1,  2.6, ④④, 2,16,Ｃコスモオｰスティン, 78,柴田善, 0.7, 78,  18,  -3, 3,  7.7,⑨⑧⑥
 3,16,Ｃケイアイガルチ, 63,吉田豊, 0.3, 60,  -1,   0, 5,  7.2, ⑤④, 3, 6, スガｰペンタイア,,平沢健,195.8,,,, 6, 16.2,①②②, 3, 1,Ｋエフティアクトレス, 47,田中勝, 0.1, 63,  -3,* -3,10, 38.8, ⑧⑦, 3,12,Ｅマイネルシュピｰル, 78,蛯名正, 0.7, 75,* 22, -12, 8, 18.7,②②①
 4,10,Ａサラノコジｰン, 70,田中博, 0.7, 55,  -6,*  2, 6,  9.7, ⑨⑨, 4, 1, ジュリアスアロｰ,,水出大,196.3,,,,10, 61.4,⑤⑤⑤, 4,12,Ｌロｰレルエルヴェル, 44,後藤浩, 0.2, 60,  -6,* -1, 7, 26.8, ⑫⑩, 4, 3,Ａユウタｰジャック, 82,武士沢, 0.8, 77,  15,   1, 7, 13.4,⑫⑫⑫
 5,12,Ｈコパカバｰナ, 48,戸崎圭, 0.7, 57,  -2,  -1,11,174.7, ⑧⑧, 5,14, マイネルデネブ,,金子光,196.3,,,, 3,  4.1,⑧⑧⑧, 5, 5,Ｇジョイフルハｰバｰ, 61,勝浦正, 0.3, 59,  -3,  -6, 5, 10.5, ⑧⑩, 5, 1,Ｍダブルヒｰロｰ, 70,柴山雄, 0.9, 74,  16,  -3, 9, 21.5,⑪⑩⑫
 6,15,Ｄシチリアｰナ, 61,内田博, 0.9, 56,*  7, -12, 3,  4.7, ②③, 6, 9, ブラックレディ,,五十嵐,196.3,,,, 7, 26.4,⑥⑦⑦, 6, 3,Ｉウイングフット, 53,北村宏, 0.6, 54,  -9,  -4, 8, 32.3, ⑬⑫, 6, 2,Ｌユキノハリケｰン, 70,後藤浩, 0.9, 73,* 21, -12,10, 25.1,③③③
 7, 5,Ｇアメリカンヒロイン, 49,左海誠, 0.9, 55,   1,  -6, 8, 80.9, ⑤⑥, 7, 4, エプソムフォルテ,,浜野谷,196.8,,,, 4,  5.5,⑥⑥⑥, 7, 2,Ｄジョウショｰアロｰ, 63,内田博, 0.6, 56,*  1, -13, 3,  6.4, ②④, 7,11,Ｆナンヨｰイｰスト, 77,内田博, 1.0, 74,  15,  -2, 6, 12.2,⑫⑫⑭
 8, 2,Ｆマイミカプリンセス, 56,後藤浩, 1.2, 53,*  7, -15, 2,  4.6, ①①, 8, 5, オｰプンガｰデン,,江田勇,196.8,,,, 1,  3.4,③②④, 8,14,Ｅマルタカラッキｰ, 62,吉田隼, 0.7, 54,  -3, -10, 4, 10.2, ⑧④, 8, 7,Ｎスｰパｰキャノン, 66,田中勝, 1.3, 71,* 22, -20,13, 31.3,①①②
 9, 9,Ｋケンブリッジマｰチ, 41,村田一, 1.4, 49, -14,*  3,15,345.5, ⑫⑫, 9,10, マイネルハｰバｰド,,蓑島靖,198.1,,,, 9, 38.9,⑬⑪⑩, 9,10,Ｊダイナマイトシコク, 53,石神深, 1.0, 51,  -2, -16,13, 50.1, ⑦⑦, 9, 5,Ｊキングオブロマネ, 71,勝浦正, 1.5, 71,  12,  -3,14, 87.3,⑮⑮⑭
