08年 5月24日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 5月24日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝3300m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  芝2000m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  ダ2100m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,伊勢佐木特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｍタイキサハラ, 43,田中勝,, 61,*  6,  -6, 8, 70.7, ①①, 1, 2, クルワザｰド,,田中剛,,,,, 2,  5.2,②①①, 1, 8,Ｄプジュリ, 71,横山典,, 81,  -5,* 17, 1,  2.5,⑤⑥⑦, 1, 6,Ａソニックルｰラｰ, 87,内田博,, 76,   7,  11, 4,  6.8,④③③
 2,14,Ｂアポロフラメンコ, 62,勝浦正, 0.3, 59,   3,  -4, 2,  5.9, ⑤⑤, 2,10, ミヤビペルセウス,,穂苅寿,218.8,,,, 3,  6.8,⑦④②, 2,12,Ａサンアイブライト, 74,藤田伸, 0.8, 68,* -4,   1, 3,  4.2,③③③, 2, 1,Ｂマルブツセンタｰ, 82,後藤浩, 0.3, 76,   7,  11, 1,  4.5,⑨⑥⑤
 3,12,Ｆサウスアミュｰズ, 52,小林淳, 0.3, 60,  -5,*  6,10,129.6, ⑪⑨, 3, 4, テンジンムサシ,,浜野谷,219.0,,,, 1,  2.2,⑨⑦⑦, 3, 1,Ｃシャドウストリｰム, 71,内田博, 0.8, 67,* -4,   0, 2,  4.2,①②②, 3, 8,Ｃアルファオリオン, 81,田中勝, 0.4, 75,   7,  10, 3,  5.4,⑤⑥⑤
 4,16,Ａバイヨン, 63,横山典, 0.4, 58,   4,  -5, 1,  1.6, ③③, 4, 3, ブラックファルコン,,五十嵐,219.1,,,, 7, 18.7,⑨⑨⑧, 4, 7,Ｂサクラスウィｰプ, 72,蛯名正, 0.8, 68,  -5,   3, 4,  5.5,③⑤⑤, 4, 9,Ｄゼンノジュウシン, 81,藤田伸, 0.5, 75,   5,* 14, 6, 11.0,⑭⑪⑫
 5, 2,Ｊコスモプレッジ, 46,柴山雄, 0.5, 58,  -3,*  1, 7, 53.2, ⑦⑦, 5,14, トｰセンエタニティ,,宗像徹,220.2,,,,11,101.5,⑦⑥⑥, 5, 9,Ｊトｰセンアイリス, 58,吉田豊, 0.9, 72,  -8,* 10, 5, 13.7,⑪⑩⑩, 5, 4,Ｊロｰランウェルズ, 78,武士沢, 0.6, 74,   6,  10,16,151.1,⑦⑥⑦
 6, 1,Ｄジョッキｰポルカ, 55,武士沢, 0.6, 56,  -4,*  1, 5, 27.2, ⑨⑧, 6, 8, オｰプンガｰデン,,江田勇,220.6,,,, 6, 13.3,⑤④⑤, 6,11,Ｅスペシャルウィッチ, 60,後藤浩, 0.9, 70,  -4,   4, 6, 18.8,⑧⑧⑤, 6,10,Ｅノワｰルシチｰ, 81,吉田豊, 0.6, 76,   4,* 15,10, 31.3,⑪⑬⑬
 7, 3,Ｋクリノラブタイプ, 45,大庭和, 1.3, 53,  -9,*  2,15,258.3, ⑬⑬, 7,13, ヒシバトル,,山本康,221.0,,,, 9, 46.2,③⑦⑨, 7, 2,Ｌキャサリンダイヤ, 56,田中博, 1.4, 65, -10,   4,12,222.0,⑨⑩⑪, 7, 7,Ｇシュウザンアイ, 80,増沢由, 0.7, 76,   2,* 18, 7, 15.8,⑯⑯⑮
 8,15,Ｃムｰンライトミスト, 56,内田博, 1.3, 49,   3, -14, 4,  7.1, ③③, 8, 7, エプソムフォルテ,,石神深,221.3,,,,13,125.5,⑬⑪⑩, 8, 3,Ｇユノブラッキｰ, 59,武士沢, 1.5, 62,  -6,  -1, 9, 88.8,⑨⑨⑨, 8, 3,Ｈメインバンク, 79,柴田善, 0.7, 72,*  8,   4,13, 53.4,②②②
