08年 9月13日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 9月13日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 4R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝2000m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾗｲﾗｯｸ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｂヒカルジョディｰ, 61,秋山真,, 59,   1,*  0, 3,  8.8, ③④, 1, 3,Ａハギノハｰセルフ, 65,安藤勝,, 73,* 10,  -1, 1,  1.6, ①①, 1, 8,Ｄギンギラギン, 75,北村友,, 73,   3,* 10, 3,  8.7,⑥⑥⑧, 1,11,Ｋアメジストリング, 75,武幸四,, 76,   1,* 11, 1,  3.9,⑭⑬⑪
 2, 2,Ａメジロマリアン, 61,横山典, 0.1, 58,*  3,  -4, 1,  1.3, ①①, 2, 8,Ｂアイラシンガｰ, 63,岩田康, 0.3, 66,*  6,  -1, 3,  7.6, ③②, 2, 3,Ｃウォｰタｰマｰク, 75,中舘英, 0.0, 74,   5,   8, 2,  3.1,④④④, 2,15,Ｄサクセスガｰウィン, 80,大野拓, 0.0, 76,   2,*  8, 6, 12.9,⑬⑩⑨
 3, 5,Ｃコリコパット, 57,藤田伸, 0.6, 50,  -2,  -5, 5, 17.1, ⑥②, 3, 2,Ｃリオ, 60,的場勇, 0.5, 61,   2,*  0, 4,  9.2, ⑤⑥, 3, 4,Ｆマｰベラスアロｰ, 72,藤岡佑, 0.0, 75,   4,* 11, 6, 18.0,⑩⑧⑧, 3, 4,Ｃマチカネゲンジ, 80,横山典, 0.1, 72,*  5,  -1, 3,  5.5,②④③
 4, 7,Ｅフレアリングロｰズ, 49,郷原洋, 0.6, 51,   0,  -6, 6, 27.0, ⑤⑥, 4, 6,Ｇインディゴライト, 52,三浦皇, 0.5, 60,  -3,*  5, 7, 37.7, ⑨⑦, 4,11,Ｇインサイダｰ, 71,的場勇, 0.2, 72,   4,   7, 4, 10.8,⑦⑥④, 4, 1,Ｐダｰクフラッシュ, 70,岩田康, 0.1, 73,   1,*  8,10, 30.0,⑪⑬⑪
 5, 4,Ｄケｰジｰカンザクラ, 53,岩田康, 0.7, 51,*  2, -10, 2,  6.6, ②②, 5, 9,Ｈコスモドリｰミン, 51,大野拓, 1.0, 59,   4,  -7, 6, 27.2, ⑤④, 5,10,Ｈシルクストライカｰ, 69,柴原央, 0.3, 74,   2,* 12, 7, 18.5,⑬⑪⑥, 5, 6,Ｆステイトリｰデイズ, 78,三浦皇, 0.2, 71,   3,  -1, 4,  8.8,⑤④③
 6, 6,Ｇプロウスト, 39,田中博, 1.5, 38,  -6, -13, 7, 93.5, ⑧⑦, 6,15,Ｍペプチドラヴ, 39,丸田恭, 1.1, 52,  -4,  -1, 8, 38.1, ⑪⑪, 6,12,Ｋリフレックス, 61,津村明, 0.5, 71,   3,   7, 9, 22.1,⑦⑧⑩, 6, 3,Ｊエプソムアルテマ, 75,津村明, 0.3, 72,   2,   3,14, 48.2,⑪⑩⑪
 7, 3,Ｈマッキｰアイアン, 29,梶晃啓, 1.8, 35,  -3, -19, 8,138.6, ⑥⑦, 7, 1,Ｅスズカビｰナス, 54,宮崎光, 1.1, 55,  -2,  -1,11,151.5, ⑨⑩, 7, 5,Ｂシャンパンファイト, 76,池添謙, 1.1, 65,*  6,  -4, 1,  2.7,②②①, 7, 2,Ｌスズカダｰク, 73,中舘英, 0.3, 72,   3,   1, 8, 16.2,⑦⑧⑥
 8, 8,Ｆキタサンオリュウ, 49,福永祐, 2.2, 30,   1, -28, 4, 15.4, ③④, 8,13,Ｉセイウンベルテンポ, 51,和田竜, 1.2, 55,   5, -11, 9, 41.2, ④④, 8, 9,Ａラガｰチトセオｰ, 76,安藤勝, 1.1, 66,*  6,  -3, 5, 13.0,③②②, 8,14,Ｍダンシングボｰイ, 73,的場勇, 0.6, 66,   3,  -5, 9, 19.9,⑦⑦⑥
,,,,,,,,,,,, 9, 7,Ｆコスモコンテンダｰ, 53,津村明, 1.5, 47,  -6,  -5, 5, 10.4, ⑫⑫, 9, 7,Ｉシュヴァｰベン, 69,丸田恭, 1.1, 68,   2,   5,10, 27.5,⑪⑪⑫, 9, 5,Ｇセイウンビバｰチェ, 76,長谷川, 0.7, 65,*  6, -13,13, 42.2,①①①
,,,,,,,,,,,,10,12,Ｄトップザビｰル, 56,福永祐, 1.5, 53,*  9, -19, 2,  7.1, ②②,10, 1,Ｊロイバｰエクセル, 68,田中博, 1.4, 66,   3,   1,13,148.4,⑦⑩⑩,10,13,Ｂユメロマン, 81,丸田恭, 0.8, 68,  -1,   4,11, 33.7,⑮⑮⑮
,,,,,,,,,,,,11, 4,Ｊホワイトカラｰ, 45,田中博, 1.5, 49,  -1,  -8,10,136.7, ⑧⑧,11, 2,Ｅファイナルジャッジ, 74,松田大, 2.1, 59,*  6, -12,11, 29.6,①①②,11, 8,Ｏアイアイスピｰチ, 72,鈴来直, 0.9, 67,  -1,   2,16,137.7,⑮⑮⑮
,,,,,,,,,,,,12,14,Ｋスｰパｰセイバｰ, 45,荻野琢, 1.6, 47,  -1, -11,14,294.3, ⑦⑧,12,13,Ｍケイアイテイオｰ, 34,武豊  , 2.2, 58,   4, -11, 8, 21.7,④④⑥,12, 9,Ｉマスラタケヲ, 76,芹沢純, 1.0, 63,   3,  -9,15,102.3,⑦⑧⑨
,,,,,,,,,,,,13,11,Ｏテイクシックス, 34,大江原, 2.0, 41,  -7, -10,12,152.7, ⑭⑭,13, 6,Ｌワンダｰタイガｰ, 58,岩田康, 3.5, 51,   1, -14,12, 92.9,⑫⑬⑬,13,10,Ａディアプリンシパル, 83,池添謙, 1.0, 62,*  5, -15, 7, 14.6,②②②
,,,,,,,,,,,,14, 5,Ｎソソノ, 37,桑村真, 2.0, 41,  -7, -10,15,303.2, ⑭⑭,,,,,,,,,,,,,14,12,Ｈサダムアカイカゼ, 76,北村友, 1.1, 65,   2,  -7,12, 37.9,⑩⑩⑭
,,,,,,,,,,,,15,10,Ｌファイナルヘヴン, 40,池添謙, 2.2, 39,  -5, -13,13,160.8, ⑫⑬,,,,,,,,,,,,,15, 7,Ｅビｰビｰファルコン, 79,古川吉, 1.3, 61,*  6, -20, 2,  5.3,②②③
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,Ｎトップジャイアンツ, 72,藤田伸, 1.5, 57,*  4, -20, 5,  8.9,⑤④⑥
