08年 7月26日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 7月26日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 7R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■10R  芝1200m 2 歳ｵｰﾌﾟﾝ(混) 馬齢,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾗﾍﾞﾝﾀﾞｰ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｅワンダｰキラメキ, 48,安藤勝,, 60,  -3,*  4, 1,  1.7, ④④, 1, 8,Ｅファイアナカヤマ, 63,的場勇,, 71,   3,*  6, 5, 10.1,⑨⑥⑤, 1, 8,Ａオｰプンザゲｰト, 79,藤田伸,, 70,   6,   4, 1,  1.5, ④④, 1,11,Ｅナムラミｰティア, 61,四位洋,, 73,  -3,*  7, 4, 11.5, ⑤④
 2, 5,Ａパギ, 63,北村友, 0.2, 63,*  8,  -5, 3,  4.9, ①①, 2, 7,Ｊバｰチャルウォｰズ, 53,丸田恭, 0.1, 69,*  6,  -2, 4,  9.5,②①①, 2,10,Ｅケルティックハｰプ, 69,津村明, 0.1, 68,   0,*  6, 5, 16.1, ⑦⑥, 2, 8,Ｃベルシャルル, 65,武幸四, 0.6, 66,*  5,  -8, 2,  3.4, ①①
 3, 3,Ｉディアテクノバトル,  9,丸田恭, 0.8, 50,  -6,  -2, 9,115.0, ⑥⑥, 3,10,Ｂトキメキボストン, 67,横山典, 0.4, 67,   5,   0, 1,  2.6,④④②, 3, 7,Ｆサクラモサ, 66,藤岡佑, 0.1, 68,  -2,*  7, 8, 29.7, ⑧⑦, 3, 1, イグゼキュティヴ,---,斉藤正, 0.6, 65,  -9,*  4, 7, 24.5, ⑧⑦
 4, 6,Ｂノボジュピタｰ, 59,藤田伸, 0.9, 54,   4,  -9, 2,  4.8, ③②, 4, 1,Ｈホクセツマウンテン, 56,北村友, 0.5, 66,   2,*  3, 9, 23.8,⑥⑧⑧, 4,12,Ｃリンリンリン, 73,三浦皇, 0.2, 69,*  9,  -1, 2,  5.6, ③②, 4,10,Ｄサダムテンジン, 61,藤田伸, 0.6, 65,   2,  -6, 5, 12.1, ③③
 5, 4,Ｆワンダｰプリマ, 46,藤岡佑, 1.0, 49,  -5,  -4, 5, 13.5, ④④, 5,12,Ａシャインスタｰオｰ, 67,安藤勝, 0.6, 66,   4,   0, 2,  4.1,⑥⑥⑤, 5, 5,Ｂエプソムアイリス, 74,池添謙, 0.3, 68,   6,   1, 3, 10.3, ④④, 5, 7,Ａケイアイジンジン, 69,池添謙, 0.8, 63,*  4,  -9, 3,  4.9, ②②
 6, 9,Ｃアクセルボｰイ, 54,三浦皇, 1.2, 52,*  6, -14, 4, 11.1, ②②, 6, 9,Ｆホッカイドゥムカ, 61,木幡初, 1.5, 58,*  5, -11, 6, 14.5,③③③, 6, 3,Ｋアクアブルｰマｰチ, 53,長谷川, 0.6, 66,* 12,  -6, 7, 27.0, ①①,11, 6, ヤマイチチャチャ,---,五十嵐, 1.0, 60,  -1,  -8, 9, 46.8, ④④
 7, 7,Ｄミスアサｰト, 49,松田大, 1.3, 47, -10,  -3, 6, 23.9, ⑦⑦, 7, 2,Ｃアップセット, 64,大野拓, 1.8, 58,   5, -12, 7, 14.6,④④⑤, 7, 9,Ｉカシノウェｰブ, 62,大江原, 0.7, 62,  -6,   5,12,227.8, ⑩⑩, 6, 9, マサノシャルナ,---,宮崎光, 1.2, 57, -13,   1,10, 53.7, ⑪⑩
 8, 1,Ｇマイネルヘリオス, 29,津村明, 2.1, 37, -10, -10, 7, 64.3, ⑦⑦, 8, 5,Ｇセイントプラチナ, 58,津村明, 2.2, 55,*  7, -18, 8, 21.9,①②③, 8, 1,Ｇセレナダンス, 66,横山典, 0.9, 58, -10,*  5, 6, 21.5, ⑪⑪, 7, 5, アンペア,---,山口竜, 1.5, 53, -11,  -5, 8, 27.3, ⑩⑦
 9, 2,Ｈセフティファントム, 20,小林徹, 2.2, 37, -16,  -8, 8, 77.0, ⑨⑨, 9, 4,Ｄキョウタロウ, 64,三浦皇, 2.6, 52,   0, -11, 3,  6.8,⑩⑩⑩, 9, 4,Ｊアツキオモイ, 56,大野拓, 1.5, 55,  -2,  -5,11,147.3, ⑧⑦, 8, 2, ネフェルメモリｰ,---,井上俊, 1.7, 51,  -3, -15, 6, 23.7, ⑤⑥
