08年11月23日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年11月23日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝3000m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1400m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-8,,,,,■10R  芝1400m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,奥多摩ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ａブレｰヴゴｰルド, 66,吉田隼,, 61,  -6,*  6, 1,  2.0, ⑧⑧, 1,12, マイネルジュネス,,浜野谷,,,,, 4, 11.7,③②②, 1, 4,Ｃプットリｰ, 59,丸田恭,, 72,   6,* -2, 5,  8.4, ③⑤, 1,11,Ｂソルジャｰズソング, 83,松岡正,, 91,   1,* 18, 4,  9.2, ⑩⑩
 2, 6,Ｋブルｰハｰト, 39,松岡正, 0.4, 58,* -4,  -1, 4,  8.2, ①①, 2,13, グリュｰエント,,西谷誠,201.9,,,, 1,  2.0,①①①, 2, 2, リバｰインバウンド,---,宮崎北, 0.4, 67,   0,*  2,11,152.8, ⑪⑪, 2,15,Ｈメガトレンド, 81,勝浦正, 0.0, 95,  -7,* 28, 7, 18.9, ⑯⑯
 3, 4,Ｇケイズゴｰルド, 49,戸崎圭, 0.7, 57,  -5,   0, 3,  7.0, ③③, 3, 5, ドクタｰグリム,,横山義,202.0,,,, 2,  3.1,⑨⑦⑧, 3, 9,Ｆドリｰムゲイル, 55,石橋脩, 0.6, 67,   6, -10, 3,  6.4, ⑧⑥, 3, 4,Ａモルトグランデ, 84,吉田隼, 0.1, 87,   5,  11, 3,  5.0, ⑥④
 4,15,Ｃストロングロビン, 55,北村宏, 0.8, 54,  -6,  -2, 2,  2.9, ⑤⑤, 4, 6, シンモン,,高野和,202.1,,,,14,232.6,⑫⑨⑤, 4, 7,Ｄサザンスタｰディ, 58,伊藤工, 0.6, 65,   4,  -7, 9, 43.8, ⑦⑦, 4, 5,Ｄウエスタンヒｰト, 82,石橋脩, 0.4, 82,*  8,   3, 6, 16.0, ②②
 5, 3,Ｆトレッドウェｰヴ, 51,大野拓, 0.9, 55,  -6,   0,10,113.4, ⑥⑥, 5, 4, サｰチエネミｰ,,穂苅寿,202.5,,,, 9, 60.9,⑦⑥⑦, 5,11,Ａコリコパット, 61,中舘英, 0.8, 65,   8, -15, 2,  4.5, ④④, 5, 3,Ｒマルブツライト, 73,戸崎圭, 0.4, 86,   0,  15,14,125.9, ⑪⑪
 6,10,Ｂワスラフ, 57,浜中俊, 1.3, 50,* -4,  -8, 5, 24.6, ②②, 6,11, トｰセンコックス,,水出大,202.5,,,, 5, 20.6,⑧⑧⑨, 6, 1,Ｈアラマサロｰズ, 51,勝浦正, 1.1, 65,* 12, -22, 6,  9.4, ①①, 6,13,Ｆスｰパｰワシントン, 81,松田大, 0.7, 85,  -5,* 18,10, 31.0, ⑮⑮
 7, 7,Ｌミュウジックボｰイ, 39,柄崎将, 1.7, 47,* -5, -11, 9,110.2, ④④, 7,14, メジロラスタバン,,五十嵐,202.8,,,, 6, 31.7,⑤④④, 7,10,Ｇヒシソロモン, 55,柴田善, 1.4, 58,*  9, -24, 7, 12.4, ②②, 7,10,Ｃレッドビｰムシチｰ, 83,大庭和, 0.8, 78,   1,   7,11, 51.8, ⑨⑨
 8, 5,Ｎハンドクラッピング, 29,石橋脩, 1.8, 47, -11,  -3,13,200.6, ⑬⑭, 8, 1, スリｰキセキ,,北沢伸,203.4,,,, 3,  6.6,②③③, 8, 6,Ｅプレジャｰラン, 58,松岡正, 1.5, 56,   7, -25, 1,  2.9, ⑤③, 8, 6,Ｍケイアイプラウド, 78,三浦皇, 0.8, 80,   4,   5, 2,  4.9, ⑦⑧
 9, 9,Ｄクリノシｰグリｰン, 53,武士沢, 1.8, 47,  -6,  -9, 6, 46.9, ⑦⑦, 9, 9, アンブレイカブル,,小坂忠,203.5,,,,10, 96.8,⑥⑩⑩, 9,14,Ｂアグネスクイック, 59,三浦皇, 1.6, 55,   4, -19, 4,  7.1, ⑩⑩, 9,18,Ｅアｰバニティ, 82,北村宏, 0.8, 76,*  7,  -1, 1,  3.0, ⑤③
