08年 7月 5日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 7月 5日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-11,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｼﾞｭﾗｲｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 9,11, マンテンフラワｰ,,宇田登,207.7,,,,13,116.9,②③④, 9,14,Ｈハッピｰセブン, 53,角田晃, 0.9, 52,  -4,* -2,12, 81.8, ⑬⑫, 9,13,Ｊスエズ, 64,幸英明, 1.2, 68,  22, -26, 6, 11.7, ⑥④, 9,13,Ｌトウショウクエスト, 61,芹沢純, 1.6, 60,   2,  -5, 3,  7.2, ⑨⑨
10,12, ウォｰタｰトリトン,,佐久間,208.2,,,, 9, 61.5,⑬⑩⑩,10, 5,Ｄカイシュウペガサス, 57,幸英明, 1.0, 54,   5, -13,14,109.9, ④④,10,17,Ｃゴｰルデンガッツ, 73,福永祐, 1.4, 66,  16, -20, 4,  6.5, ⑨⑨,10,15,Ｅスキマチェリｰ, 72,太宰啓, 1.7, 58,   0,  -3, 9, 25.8, ⑬⑪
11,10, カネトシパワフル,,熊沢重,210.6,,,, 3,  6.5,⑥⑩⑪,11,16,Ｍカリュウド, 45,太宰啓, 1.3, 49,  -7,*  0,11, 51.2, ⑭⑭,11,12,Ｅキョウエイタキオン, 73,上村洋, 1.4, 66,  20, -27, 5, 10.0, ④⑥,11, 5,Ｇプルｰヴドメリト, 71,佐藤哲, 1.8, 58,  -3,  -1,14,118.1, ⑮⑭
12, 6, フサイチシャナオｰ,,高田潤,211.8,,,,12,109.0,⑨⑫⑫,12, 7,Ｃハギノハｰセルフ, 57,浜中俊, 1.7, 47,   4, -20, 5, 13.5, ④⑦,12, 2,Ｉスカイリュウホｰ, 66,藤岡康, 1.5, 64,  22, -30, 9, 61.8, ④④,12,12,Ｍオンワｰドカルマ, 61,川田将, 1.8, 58,  -2,  -2,13, 99.2, ⑬⑭
13, 5, ウォｰライクトニｰ,,山本康,214.1,,,, 5, 21.8,⑨⑬⑬,13,11,Ｆスタｰベツレヘム, 54,渡辺薫, 2.4, 42,  -2, -15,15,175.0, ⑫⑫,13,15,Ｐマｰブルラトゥｰル, 56,赤木高, 1.6, 64,  18, -24,17,251.0, ⑨⑧,13, 3,Ｐセレｰノカント, 35,小牧太, 2.2, 54,  -4,  -4,12, 82.2, ⑮⑯
,,,,,,,,,,,,14, 3,Ｎアニキ, 45,川田将, 2.5, 42,   2, -21, 9, 36.4, ⑧⑩,14, 9,Ｋメイショウカｰタｰ, 63,石橋守, 1.7, 64,  11, -14,11,119.2, ⑯⑰,14,14,Ｎミルルｰテウス, 59,藤岡康, 2.6, 52,   3, -15,10, 49.7, ⑧⑦
,,,,,,,,,,,,15, 4, スペシャルトｰン,---,藤岡康, 2.8, 39, -18,*  0,16,225.9, ⑯⑯,15, 1,Ｑアンティルラスト, 55,松平幸, 3.4, 46,  17, -47,14,161.0, ⑧⑪,15,10,Ｉキシュウラパン, 64,福永祐, 2.7, 52,   6, -18,11, 68.8, ③④
,,,,,,,,,,,,16,15, エイシンコマンド,---,和田竜, 2.8, 38,  -8, -14,10, 42.0, ⑭⑮,16, 6,Ｍタｰニングリｰフ, 61,角田晃, 3.7, 43,* 25, -67,15,201.5, ②①,16,16,Ｋリバｰトｰマス, 61,田中剛, 3.4, 45,   5, -23,16,223.1, ⑤⑦
,,,,,,,,,,,,,,,,,,,,,,,,17, 7,Ｒスプリングプラハ, 25,熊沢重, 5.5, 11,* 23, -91,16,245.1, ①②,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:+10 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-6),,,,,,,,,,,
単勝:220円 複勝:07=120円 09=140円 08=500円 枠連:340円,,,,,,,,,,,,"単勝:230円 複勝:01=140円 02=180円 13=1,120円 枠連:950円",,,,,,,,,,,,単勝:360円 複勝:03=130円 18=150円 10=150円 枠連:420円,,,,,,,,,,,,"単勝:1,720円 複勝:02=350円 08=240円 09=190円 枠連:3,200円",,,,,,,,,,,
馬連:310円 ワイド:07-09=160円 07-08=920円 08-09=930円,,,,,,,,,,,,"馬連:850円 ワイド:01-02=350円 01-13=3,710円 02-13=7,720円",,,,,,,,,,,,馬連:740円 ワイド:03-18=300円 03-10=320円 10-18=440円,,,,,,,,,,,,"馬連:4,770円 ワイド:02-08=1,350円 02-09=1,280円 08-09=550円",,,,,,,,,,,
"馬単:570円 3連複:2,590円",,,,,,,,,,,,"馬単:1,310円 3連複:26,750円",,,,,,,,,,,,"馬単:1,570円 3連複:1,020円 3連単:5,800円",,,,,,,,,,,,"馬単:10,570円 3連複:6,990円 3連単:54,460円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
