08年 6月 1日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 6月 1日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝2800m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1800m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1700m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,名古屋城ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｉホクテンミラｰ, 51,佐藤哲,, 60,  -1,* -5, 6, 11.8, ⑧⑦, 1, 5, スリｰエリシオ,,南井大,,,,, 2,  3.8,⑥②②, 1, 2,Ａゲバルトステイヤｰ, 75,上村洋,, 71,* -3,  11, 1,  2.2,⑤⑤⑤, 1,11,Ａビッグカポネ, 89,芹沢純,, 85,*  8,* 20, 2,  3.7,③③③
 2,11,Ｃビジュアルクイｰン, 59,中舘英, 0.1, 62,   6, -13, 1,  3.8, ④④, 2, 4, エリモマキシム,,西谷誠,182.4,,,, 1,  1.7,②①①, 2, 5,Ｂマッキｰエルメス, 73,古川吉, 0.2, 71,  -6,  13, 3,  4.9,⑪⑥⑤, 2, 7,Ｄシルクウィザｰド, 83,鮫島良, 0.0, 86,*  8,  19, 1,  2.7,②②②
 3,12,Ｇホッカイシｰラ, 54,鮫島良, 0.2, 57,  -3,* -5, 9, 18.9, ⑩⑨, 3, 1, マルタカテンビｰ,,高野容,183.9,,,, 8, 37.1,⑪⑥⑤, 3,13,Ｋマイネルヴルメリオ, 63,佐藤哲, 0.2, 71,  -7,* 15, 6, 23.3,⑬⑫⑫, 3, 3,Ｃドリｰミｰペガサス, 85,吉田稔, 0.3, 84,   6,* 20, 3,  6.1,⑤④④
 4, 2,Ａサンライトマリｰ, 61,田村太, 0.4, 56,   3, -14, 2,  4.8, ⑤⑦, 4,11, マンノレｰシング,,金折知,184.1,,,, 7, 24.5,⑩⑧⑦, 4,10,Ｆメイショウジダｰン, 66,芹沢純, 0.2, 67,*  0,   3, 2,  4.7,①①①, 4,15,Ｐダノンビクトリｰ, 75,安藤光, 0.5, 81,*  8,  14,15,142.4,①①①
 5, 9,Ｅマッキｰエヴァ, 56,野元昭, 0.4, 56,   3, -14, 7, 12.8, ⑤⑤, 5, 6, トｰアセンヒメ,,北沢伸,184.7,,,,10, 78.5,⑤③③, 4, 7,Ｅカシノマイケル, 66,田中克, 0.2, 70,  -5,  11,10, 48.1,⑩⑥⑦, 5, 6,Ｉヤマタケゴｰルデン, 82,浜中俊, 0.7, 81,   4,* 21, 7, 18.7,⑨⑨⑥
 6, 8,Ｄヴェｰダバイオ, 56,船曳文, 0.4, 53,  -6,* -5, 4,  7.7, ⑫⑫, 6,13, メモリｰセレソン,,林満明,185.4,,,,12,101.2,②④④, 6,11,Ｃクリｰルバレット, 67,川島信, 0.3, 65,* -3,   5, 9, 28.5,③②②, 6,10,Ｋトップオブザロック, 79,生野賢, 0.8, 80,   6,  16, 6, 15.3,⑥④④
 7, 6, ブルｰミングガｰル,---,浜中俊, 0.5, 54,   3, -16, 5,  9.6, ⑤⑤, 7, 9, ベルベットジャガｰ,,今村康,186.4,,,, 5, 19.5,④④⑥, 7, 8,Ｈカシノオウジャ, 65,花本正, 0.3, 72,  -9,* 18,14,108.4,⑭⑭⑬, 7, 5,Ｈフォグキャスケｰド, 82,渡辺薫, 0.9, 81,   5,  17, 8, 49.9,⑧⑦⑥
 8, 3,Ｊアグネスルビｰ, 50,北村友, 0.7, 50,  -9,* -6,11, 66.8, ⑯⑮, 8, 7, ハｰベストタｰフ,,出津孝,186.8,,,,13,128.8,⑪⑩⑨, 8, 9,Ｍミスズトップロｰド, 60,角田晃, 0.3, 70,  -6,  11,12, 61.9,⑪⑥⑪, 8, 8,Ｇフルブラッサム, 82,佐藤哲, 1.2, 79,   1,* 21,14,135.3,⑫⑬⑮
 9,18,Ｆナナヨｰハッピｰ, 55,渡辺薫, 0.8, 50,  -6, -10,13, 92.6, ⑫⑪, 9, 3, マイネルスパｰクル,,横山義,186.9,,,, 4, 16.1,⑥⑦⑦, 9, 6,Ｉスマｰトブレｰド, 65,田中健, 0.5, 65,  -5,   6,13, 82.1,⑧⑥⑦, 9, 4,Ｂアグネスネクタル, 87,津村明, 1.3, 78,   1,* 20, 4,  6.8,⑭⑬⑩
10, 4,Ｌマリエングロｰリｰ, 36,大江原, 0.9, 47,  -5, -13,18,273.5, ⑫⑫,10, 8, ニケダイヤモンド,,菊地昇,188.2,,,, 6, 24.2,⑬⑬⑫,10,12,Ｌクロオビ, 60,北村友, 0.5, 65,* -3,   2,11, 50.6,④②②,10,12,Ｌサンライズボンバｰ, 79,秋山真, 1.8, 75,   2,  14, 5, 14.1,⑮⑪⑫
11, 5,Ｋユウズツ, 47,小林徹, 0.9, 48,  -3, -14,10, 62.8, ⑩⑫,11,14, ダンスグランドゥ,,佐久間,188.5,,,,14,193.1,⑨⑪⑪,11, 4,Ｄクレバｰデュｰク, 67,中村将, 0.9, 61,  -5,   1, 8, 28.2,②⑥⑦,11, 9,Ｎエイシンボストン, 77,松田大, 1.8, 77,   1,  16,13, 97.4,⑬⑬⑬
12, 1,Ｎワンダｰアチｰブ, 20,千田輝, 1.1, 44,  -7, -15,15,102.7, ⑫⑮,12,10, ヒシカツリｰダｰ,,白浜雄,190.7,,,, 3,  9.5,⑥⑪⑬,12, 3,Ｇエイトサンデｰ, 65,後藤浩, 0.9, 60,  -6,   2, 7, 25.6,⑤⑥⑦,12,16,Ｊサｰチエネミｰ, 80,難波剛, 1.9, 72,   5,   9,16,240.5,⑥⑦⑨
13,14,Ｍアルアンナ, 30,津村明, 1.2, 50,* 10, -31,12, 87.4, ②②,13,12, フサイチオｰパス,,仲田雅,190.9,,,,11, 79.3,①⑨⑩,13,14,Ｊニシノオノコ, 64,金折知, 1.1, 56,* -3,  -6, 4, 11.1,⑦②②,13,13,Ｆアクセルホッパｰ, 82,熊沢重, 1.9, 75,   3,  12, 9, 50.5,⑪⑩⑩
14,17,Ｈダンツシュｰト, 52,秋山真, 1.3, 47,*  8, -31, 8, 14.8, ②②,,,,,,,,,,,,,14, 1,Ｎシルククリムゾン, 59,渡辺薫, 1.4, 58,  -8,   1, 5, 16.6,⑧⑬⑬,14, 1,Ｍヘラクレスバイオ, 78,高橋亮, 2.2, 72,  -2,  16,11, 75.3,⑯⑯⑯
15, 7, マルノリｰサ,---,太宰啓, 1.4, 43,  -2, -22,17,144.6, ⑨⑨,,,,,,,,,,,,,,,,,,,,,,,,,15, 2,Ｏクｰフｰリン, 77,飯田祐, 2.5, 69,   2,   8,12, 87.7,⑨⑪⑬
16,10,Ｂラケナリア, 59,後藤浩, 1.5, 46,* 11, -36, 3,  5.7, ①①,,,,,,,,,,,,,,,,,,,,,,,,,16,14,Ｅゴッドヘイロｰ, 83,太宰啓, 2.6, 66,   5,   1,10, 53.7,④④⑥
17,15, ロｰゼットシチｰ,---,吉田稔, 1.8, 41, -23,* -6,14, 98.4, ⑱⑰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
