08年 9月 6日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 9月 6日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-8,,,,,■10R  芝2600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ札幌,,,,,,,,,,,,,,,,,,,,,,,,富良野特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14, 1,Ｎブルｰゲッタウェイ, 41,丸田恭, 2.1, 60,  -1,  -7,14,180.1,⑬⑬⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-2),,,,,,,,,,,
単勝:340円 複勝:08=160円 05=330円 01=220円 枠連:880円,,,,,,,,,,,,"単勝:1,130円 複勝:01=250円 05=110円 枠連:0円",,,,,,,,,,,,単勝:270円 複勝:08=110円 11=120円 05=130円 枠連:320円,,,,,,,,,,,,"単勝:970円 複勝:07=270円 03=300円 14=710円 枠連:1,510円",,,,,,,,,,,
"馬連:2,170円 ワイド:05-08=760円 01-08=630円 01-05=870円",,,,,,,,,,,,馬連:880円 ワイド:01-05=250円 01-03=390円 03-05=150円,,,,,,,,,,,,馬連:360円 ワイド:08-11=180円 05-08=260円 05-11=290円,,,,,,,,,,,,"馬連:2,680円 ワイド:03-07=960円 07-14=4,420円 03-14=3,140円",,,,,,,,,,,
"馬単:2,720円 3連複:4,460円 3連単:22,060円",,,,,,,,,,,,"馬単:2,660円 3連複:560円 3連単:7,170円",,,,,,,,,,,,"馬単:730円 3連複:510円 3連単:2,040円",,,,,,,,,,,,"馬単:6,380円 3連複:28,750円 3連単:163,600円",,,,,,,,,,,
■ 2R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 5R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 8R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■11R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,層雲峡特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｇトｰホウロサｰド, 58,横山典,, 60,  -5,* 11, 4,  6.4,③③③, 1,13,Ｄシリコンフォレスト, 62,藤田伸,, 64,* 11, -13, 1,  2.3,①①①, 1,13,Ｆバルバロ, 70,横山典,, 71,*  7,   3, 3,  6.4,③③②, 1,12,Ｌザシｰクレット, 67,北村友,, 71,* 11,   3, 5, 14.4,②②②
 2,12,Ｃクインマキシマム, 64,梶晃啓, 0.1, 61,  -4,* 10, 2,  5.6,⑤③③, 2, 3,Ｉカラｰチャｰジ, 56,横山典, 0.1, 63,   7,* -7, 3,  9.5,④③②, 2, 5,Ｌシャンパンファイト, 62,池添謙, 0.1, 71,*  8,   0, 4,  8.8,②②①, 2,11,Ｉスズカフェロｰ, 75,丸田恭, 0.2, 72,   9,   4, 8, 24.5,③④④
 3, 4,Ｅサラノコジｰン, 61,三浦皇, 0.3, 57,* -3,   5, 5,  9.3,①①①, 3, 5,Ａツｰピｰス, 66,北村友, 0.6, 59,*  8, -13, 6, 14.4,②②②, 3, 9,Ａメジロオマリｰ, 78,三浦皇, 0.1, 72,   1,* 12, 2,  5.5,⑫⑪⑧, 3,13,Ｄスマｰトカイザｰ, 78,岩田康, 0.2, 73,   8,*  7, 3,  5.2,⑨⑧⑦
 4,10,Ｉスティングマリｰ, 52,津村明, 0.4, 57,* -4,   5, 8, 30.2,⑦②②, 4, 1,Ｅトムトム, 60,津村明, 0.7, 61,   4,* -7,10, 31.7,⑨⑧⑥, 4,10,Ｂタニノロッキｰ, 76,藤田伸, 0.1, 74,   3,* 10, 1,  2.3,⑪⑧⑥, 4, 8,Ａアｰトオブウォｰ, 82,小原義, 0.2, 72,  10,   3, 2,  4.0,⑤②②
 5, 9,Ｆアドマイヤサクラ, 59,岩田康, 0.4, 59,  -6,* 11, 7, 19.0,⑤⑥⑤, 5,11,Ｂハクサンレジェンド, 64,芹沢純, 0.9, 61,   7, -12, 5, 14.3,⑥⑤④, 5, 8,Ｇスプリングサンテ, 70,長谷川, 0.1, 76,   3,* 10, 9, 36.9,⑩⑧⑩, 5, 1,Ｃジェントルフォｰク, 79,安藤勝, 0.5, 69,   8,   3, 1,  2.8,⑥⑦⑦
 6, 6,Ａメイショウダイアナ, 67,武幸四, 0.8, 58,  -7,   9, 3,  5.9,⑩⑧⑦, 6, 9,Ｊファｰマウォラト, 56,郷原洋, 1.3, 57,   3, -10, 9, 25.5,⑪⑨⑦, 6, 4,Ｃニュｰロザリオ, 74,北村友, 0.3, 70,   3,   8,10, 38.0,⑦⑧⑩, 6, 7,Ｅマチカネゲンジ, 76,青木芳, 0.7, 69,   7,   4, 4,  5.9,⑪⑩⑩
 7,13,Ｂグリッタｰカｰラ, 64,安藤勝, 1.0, 53,  -7,   4, 1,  2.3,③⑥⑤, 7,10,Ｆケイエムチャンス, 59,大野拓, 1.4, 57,   8, -18, 8, 20.9,③③④, 7, 3,Ｉタｰニングスワロｰ, 68,藤岡佑, 0.3, 71,   6,   3, 7, 15.1,⑥⑥④, 7, 9,Ｊニットウサラン, 72,梶晃啓, 0.8, 68,   8,   1,10, 59.7,⑧⑧④
 8, 3,Ｄショウナンマライア, 61,藤田伸, 1.4, 53,  -9,   7, 6, 18.9,⑫⑫⑨, 8, 8,Ｃモルエラン, 63,安藤勝, 2.2, 50,   6, -22, 2,  3.4,⑨⑥⑨, 8, 6,Ｅメイショウタメトモ, 71,古川吉, 0.4, 74,   4,   6, 8, 23.2,⑦⑦⑥, 8, 5,Ｇランキング, 75,鈴来直, 1.0, 66,   9,  -3, 6, 14.5,③④④
 9, 2,Ｍメルシｰパッション, 41,芹沢純, 1.4, 52,  -7,   4,13,196.4,⑦⑧⑩, 9,12,Ｇリアルパラダイス, 58,小林久, 2.3, 50,   1, -15,12,133.2,⑫⑪⑩, 9, 1,Ｄアルスボヘミアン, 72,武英智, 0.6, 68,*  8,  -5, 6, 12.7,①①②, 9,10,Ｆマイネルトラヴェル, 76,津村明, 1.2, 65,   9,  -4, 7, 24.1,⑥⑥⑦
10,11,Ｌウォルトンブッチ, 46,丸田恭, 1.7, 50,  -7,   1, 9, 44.3,⑩⑧⑦,10, 4,Ｈルイジアナボｰイ, 58,藤岡佑, 2.5, 48,   6, -25, 7, 18.6,⑥⑥⑦,10, 2,Ｈグロッケンライン, 69,岩田康, 0.7, 68,*  8,  -3, 5, 12.2,③③④,10, 6,Ｈグリンガレット, 75,横山典, 1.9, 58,* 13, -16, 9, 26.4,①①①
11, 1,Ｋノｰザンジュン, 46,長谷川, 1.9, 51,  -9,   3,11, 80.8,⑫⑫⑩,11, 7,Ｌダノンマｰチャン, 43,三浦皇, 4.0, 38,   1, -30,11, 73.6,⑧⑪⑪,11,11,Ｊドンブレイカｰ, 66,武幸四, 1.6, 65,   3,   0,11, 39.5,⑨⑪⑫,11, 2,Ｍグロｰリｰソング, 66,武英智, 2.2, 59,   7,  -8,11,115.1,⑩⑪⑪
12, 8,Ｈホシノクレオパトラ, 57,松田大, 2.0, 48,  -8,  -1,10, 77.5,⑦⑧⑫,12, 6,Ｋカネスダンク, 52,菊沢隆, 5.0, 34,   2, -40, 4, 13.0,⑤⑩⑪,12,12,Ｋキｰバイブル, 64,松田大, 1.7, 62,   6, -11,13,214.3,⑤⑤⑧,,,,,,,,,,,,
13, 7,Ｊコムハニｰ, 50,池添謙, 4.1, 32,  -5, -22,12,105.7,②⑤⑫,,,,,,,,,,,,,13, 7,Ｍトｰホウシデンカイ, 53,芹沢純, 5.2, 40,  -4, -21,12, 93.6,⑫⑬⑬,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-13 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:-3),,,,,,,,,,,
単勝:640円 複勝:05=200円 12=170円 04=260円 枠連:340円,,,,,,,,,,,,"単勝:230円 複勝:13=140円 03=310円 05=300円 枠連:1,310円",,,,,,,,,,,,"単勝:640円 複勝:13=240円 05=330円 09=200円 枠連:2,490円",,,,,,,,,,,,"単勝:1,440円 複勝:12=530円 11=550円 13=190円 枠連:1,900円",,,,,,,,,,,
"馬連:1,700円 ワイド:05-12=600円 04-05=690円 04-12=820円",,,,,,,,,,,,"馬連:1,300円 ワイド:03-13=620円 05-13=650円 03-05=2,420円",,,,,,,,,,,,"馬連:3,710円 ワイド:05-13=850円 09-13=830円 05-09=1,030円",,,,,,,,,,,,"馬連:13,450円 ワイド:11-12=3,500円 12-13=1,140円 11-13=1,510円",,,,,,,,,,,
"馬単:3,630円 3連複:3,550円 3連単:20,530円",,,,,,,,,,,,"馬単:1,880円 3連複:5,750円 3連単:24,330円",,,,,,,,,,,,"馬単:7,130円 3連複:7,320円 3連単:49,350円",,,,,,,,,,,,"馬単:29,190円 3連複:15,560円 3連単:115,540円",,,,,,,,,,,
■ 3R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 6R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 9R  芝1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■12R  芝1500m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,HBC賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｅアドリｰム, 56,松田大,, 69,*  0,*  6, 6, 34.6,②②②, 1, 5,Ｃラヴォランテ, 67,横山典,, 71,  -6,* 16, 2,  4.9,⑮⑫④, 1, 3,Ｅクラウンプリンセス, 74,藤岡佑,, 78,   6,  16, 3,  5.0,④⑤④, 1, 1,Ｂトシザユカ, 71,長谷川,, 69,*  9, -11, 1,  2.1,①①①
 2, 3,Ｆインユアアｰムス, 55,藤田伸, 0.3, 65,* -1,*  5, 2,  4.2,③③③, 2, 4,Ｂブルｰアンビシャス, 69,長谷川, 0.0, 68,  -4,*  7, 5, 12.7,④④④, 2, 6,Ａパッションレッド, 86,安藤勝, 0.3, 77,   0,* 22, 1,  2.1,⑧⑧⑦, 2, 8,Ｈマイネベクルックス, 67,津村明, 0.2, 66,   4,  -5, 4, 11.2,⑩⑨⑧
