08年11月 8日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年11月 8日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝3000m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1300m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝1400m 3歳上1600万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ｶﾀｰﾙ賞,,,,,,,,,,,,韓国賞,,,,,,,,,,,,ﾏﾚｰｼｱｶｯﾌﾟ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,14,11, ナンヨｰサンライズ,,浜野谷,215.3,,,,10, 36.8,⑭⑭⑭,,,,,,,,,,,,,14, 3,Ｍバトルサクヤビメ, 78,藤岡佑, 1.0, 81, -13,  21,14, 52.3, ⑯⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15, 5,Ｋエｰルスタンス, 79,柴山雄, 1.2, 79, -14,  20,18,320.9, ⑰⑰
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,15,Ｂビｰチアイドル, 85,北村宏, 1.4, 75, -12,  15,10, 26.5, ⑩⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,16,Ｑワイキュｰブ, 75,佐藤哲, 2.0, 68, -13,   8,16, 87.6, ⑬⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,17,Ｊクリノビスケット, 80,柄崎将, 2.1, 65, -10,   3,13, 40.3, ⑩⑪
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-14 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-1),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:87 ﾚｰｽﾍﾟｰｽ指数:-14 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:1),,,,,,,,,,,
"単勝:840円 複勝:10=200円 11=240円 08=110円 枠連:1,570円",,,,,,,,,,,,"単勝:430円 複勝:03=190円 05=700円 02=780円 枠連:3,300円",,,,,,,,,,,,"単勝:180円 複勝:01=110円 03=230円 04=3,150円 枠連:730円",,,,,,,,,,,,"単勝:1,000円 複勝:02=330円 06=130円 08=310円 枠連:740円",,,,,,,,,,,
"馬連:3,370円 ワイド:10-11=810円 08-10=270円 08-11=360円",,,,,,,,,,,,"馬連:7,360円 ワイド:03-05=1,980円 02-03=1,360円 02-05=4,880円",,,,,,,,,,,,"馬連:690円 ワイド:01-03=280円 01-04=6,760円 03-04=11,630円",,,,,,,,,,,,"馬連:1,430円 ワイド:02-06=640円 02-08=1,810円 06-08=650円",,,,,,,,,,,
"馬単:7,760円 3連複:1,630円 3連単:17,560円",,,,,,,,,,,,"馬単:11,750円 3連複:34,380円 3連単:189,680円",,,,,,,,,,,,"馬単:880円 3連複:25,000円 3連単:79,960円",,,,,,,,,,,,"馬単:3,830円 3連複:4,550円 3連単:26,110円",,,,,,,,,,,
■ 2R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 5R  芝1600m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 8R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■11R  ダ1600m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,ｵﾏｰﾝ賞,,,,,,,,,,,,ﾓｰﾘｼｬｽ賞,,,,,,,,,,,,ｻｳｼﾞｱﾗﾋﾞｱ賞,,,,,,,,,,,,東京中日S杯武蔵野S ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｃベルベットロｰド, 48,安藤勝,, 56,  -4,*  2, 1,  1.5, ⑤⑤, 1, 8, パｰルシャドウ,---,蛯名正,, 72,* -4,*  9, 1,  3.2, ③③, 1, 2,Ａスピｰドアタック, 77,武豊  ,, 75,*  4,   8, 1,  1.4, ④③, 1, 7,Ｋキクノサリｰレ, 82,後藤浩,, 89,  12,  15, 5, 13.1, ③③
