08年10月11日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年10月11日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝3170m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■10R  芝1800m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,清滝特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｃエルチョコレｰト, 51,幸英明,, 57,   2,  -1, 3,  4.0, ③②, 1, 1, ワンダｰシンゲキ,,植野貴,,,,, 5,  8.3,③②①, 1, 7,Ｉキャラメルチャン, 63,藤岡佑,, 80,*  9,*  5, 8, 44.4, ①①, 1, 6,Ｇアペリティフ, 74,岩田康,, 80,   8,*  6, 4,  9.2, ⑪⑩
 2, 7,Ａシゲルダイセン, 60,中村将, 0.1, 52,  -7,*  9, 1,  2.9, ⑨⑧, 2, 6, ライトニングボｰル,,北沢伸,210.9,,,, 7, 20.3,⑥④③, 2,15,Ｃパナマックス, 71,秋山真, 0.7, 74,   7,*  1, 4,  7.2, ④②, 2, 3,Ｄハンタｰキリシマ, 77,野元昭, 0.0, 82,   8,*  7, 8, 28.2, ⑭⑬
 3,10,Ｂケンブリッジエル, 59,小牧太, 0.9, 48,*  3, -11, 2,  3.1, ②②, 3, 8, インカム,,菊地昇,211.8,,,, 3,  6.4,⑧⑨⑧, 3, 8,Ｄテイエムヨカドｰ, 70,酒井学, 1.4, 67,   2,*  2, 3,  6.3, ⑪⑨, 3, 9,Ｊロｰズプレステｰジ, 73,藤岡佑, 0.0, 81,   9,*  4, 5, 17.6, ⑪⑩
 4, 6,Ｈトウカイエクセル, 42,酒井学, 1.3, 45,  -1, -10, 5, 12.1, ⑤④, 4, 9, マルブツシルヴァｰ,,西谷誠,212.3,,,, 1,  3.0,①①②, 4, 9,Ｅフェスティヴマロン, 69,小牧太, 1.7, 66,   7,  -7, 6, 11.5, ④⑥, 4, 2,Ｃマストビｰトゥルｰ, 78,小牧太, 0.0, 81,  12,  -2, 3,  7.4, ④④
 5, 3,Ｅシゲルアソサン, 44,角田晃, 1.4, 45,*  3, -17, 4,  7.7, ①①, 5,11, ビコｰフェザｰ,,岩崎祐,212.5,,,, 2,  3.9,⑨⑧⑧, 5, 6,Ａアルコイリス, 72,岩田康, 1.7, 66,   7,  -7, 5,  7.3, ④⑥, 5,13,Ａタマモナイスプレイ, 80,武豊  , 0.1, 78,* 13,  -8, 1,  1.8, ①①
 6, 4,Ｊエテルノグロリア, 39,北村友, 1.4, 43,  -5,  -5,10,155.5, ⑧⑥, 6, 2, メイケイグリｰン,,白浜雄,213.3,,,, 8, 20.7,⑥⑥⑤, 6, 2,Ｎシルクイシュタｰル, 50,浜中俊, 2.0, 63,   5,  -7,12, 74.6, ⑧⑧, 6, 1,Ｋクロユリジョウ, 72,幸英明, 0.1, 80,  10,   0,12, 86.8, ⑧⑦
 7, 8,Ｉヒルノカンクン, 40,荻野琢, 1.7, 41,  -9,  -3, 9,126.5, ⑩⑨, 7,14, マｰベラスチｰフ,,熊沢重,213.4,,,, 4,  7.2,④⑤⑤, 7, 5,Ｆハングインゼア, 68,太宰啓, 2.0, 63,   4,  -4, 9, 64.4, ⑩⑨, 7, 5,Ｅシングライクバｰド, 77,川田将, 0.4, 76,   8,   1, 2,  6.1, ⑬⑬
 8, 5,Ｄプティロｰズ, 46,藤岡康, 2.4, 36,   0, -21, 6, 24.5, ④④, 8,10, ホットビスティｰ,,五十嵐,213.8,,,,10, 73.1,⑪⑩⑩, 8,14,Ｈナムラウィッシュ, 63,熊沢重, 2.1, 63,   7, -10, 7, 43.3, ④③, 8,14,Ｈトムウィンズ, 74,岩崎祐, 0.4, 75,  12,  -8, 6, 17.8, ④⑤
