08年 8月17日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 8月17日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(九) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-12,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1200m 3歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,TV西日本北九州記念 ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,,13, 9,Ｇメルシｰモンサン, 58,小坂忠, 2.5, 49,  -1, -21,11, 62.8,⑧⑥⑧,13,12,Ｎエイムアットビップ, 75,藤岡康, 1.5, 74,   9,   0,10, 23.4, ④④
,,,,,,,,,,,,,,,,,,,,,,,,14,14,Ｑカシノジュリア, 40,大下智, 2.6, 51,  -8,  -7,17,241.5,⑯⑭⑮,13,16,Ｄマンテンハット, 85,生野賢, 1.5, 74,   2,   6,13, 33.4, ⑩⑪
,,,,,,,,,,,,,,,,,,,,,,,,15,10,Ｐスペシャルトｰン, 41,船曳文, 2.7, 53, -10,  -1,16,167.5,⑪⑯⑮,15,13,Ｏマルブツイｰスタｰ, 75,浜中俊, 1.5, 76,   4,   5, 5, 13.4, ⑦⑨
,,,,,,,,,,,,,,,,,,,,,,,,16, 1,Ｋクリスライムライト, 51,田中克, 3.0, 45,*  7, -46,15,146.2,①①③,16, 9,Ｑニホンピロブリュレ, 70,酒井学, 1.7, 71,  -6,  12,16,105.8, ⑰⑰
,,,,,,,,,,,,,,,,,,,,,,,,17, 3,Ｎエｰシンタｰムエイ, 49,川島信, 3.3, 46, -13,  -4, 9, 41.8,⑱⑰⑰,17,10,Ｐセトノゼディタブ, 73,和田竜, 2.1, 67,  -6,   6,15, 81.0, ⑰⑱
,,,,,,,,,,,,,,,,,,,,,,,,18,13,Ｏトウカイボルテｰジ, 44,石橋守, 6.7, 20, -13, -51,18,252.6,⑮⑰⑱,18, 5,Ｌテイエムノブシオｰ, 80,鮫島良, 3.7, 46,  -2, -18,17,106.2, ⑭⑭
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:稍重(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:89 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:稍重(指数:1),,,,,,,,,,,
単勝:160円 複勝:05=110円 07=210円 09=110円 枠連:780円,,,,,,,,,,,,単勝:400円 複勝:05=190円 08=180円 07=240円 枠連:870円,,,,,,,,,,,,"単勝:5,030円 複勝:18=1,130円 06=370円 04=140円 枠連:4,920円",,,,,,,,,,,,"単勝:250円 複勝:04=140円 06=240円 11=320円 枠連:1,120円",,,,,,,,,,,
"馬連:1,000円 ワイド:05-07=280円 05-09=130円 07-09=370円",,,,,,,,,,,,"馬連:1,160円 ワイド:05-08=340円 05-07=460円 07-08=440円",,,,,,,,,,,,"馬連:42,820円 ワイド:06-18=9,300円 04-18=2,590円 04-06=660円",,,,,,,,,,,,"馬連:1,520円 ワイド:04-06=760円 04-11=920円 06-11=2,120円",,,,,,,,,,,
"馬単:1,120円 3連複:540円 3連単:2,560円",,,,,,,,,,,,"馬単:2,210円 3連複:2,060円 3連単:10,420円",,,,,,,,,,,,"馬単:153,160円 3連複:35,640円 3連単:413,440円",,,,,,,,,,,,"馬単:2,230円 3連複:8,080円 3連単:31,510円",,,,,,,,,,,
■ 2R  ダ1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 5R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 8R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■11R  芝1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鹿屋特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｄシｰポラリス, 41,田中健,, 61,* -6,*  3, 4,  7.7, ②②, 1, 6,Ａカネトシヴィゴｰレ, 70,佐藤哲,, 69,*  9,* -2, 1,  1.5,①①①, 1, 8,Ｄインプレスゴｰルド, 75,浜中俊,, 71,   5,* 11, 2,  4.0,⑥⑥⑥, 1, 1,Ａキクカラヴリイ, 76,角田晃,, 80,  -2,* 15, 2,  4.3,⑦⑥⑤
 2, 5,Ｆマコトバンクウ, 34,上村洋, 0.6, 55,  -7,  -1, 7, 25.0, ③③, 2, 7,Ｄヴェンダバｰル, 63,芹沢純, 1.2, 61,   3,* -3, 3,  8.6,④⑤⑤, 2,12,Ａミコノス, 79,田中健, 0.1, 72,   5,  10, 3,  4.0,⑥⑥③, 2,14,Ｆラフィナｰル, 67,渡辺薫, 0.0, 81,  -3,* 17, 6, 12.6,⑦⑧⑦
 3, 7,Ｂハイロｰラｰ, 50,幸英明, 0.6, 53, -10,*  0, 2,  5.2, ⑥⑥, 3,13,Ｃカシノマルス, 65,高野容, 1.4, 59,   4,  -7, 2,  6.0,②③②, 3, 2,Ｇウインフェイム, 70,和田竜, 0.2, 72,   2,* 16, 8, 31.8,⑭⑭⑭, 3,13,Ｂマルティンスタｰク, 71,吉田隼, 0.2, 76,  -1,  11, 1,  3.9,⑤⑥②
 4, 1,Ａウインザモチ, 64,小坂忠, 0.8, 52,  -7,  -3, 1,  2.0, ③③, 4, 5,Ｎランフリｰ, 41,和田竜, 1.7, 58,   1,* -3,11,100.1,⑨⑨⑩, 4, 1,Ｂトップコマチ, 76,田村太, 0.3, 69,   6,   7, 4,  7.4,④③③, 4,12,Ｌライブコンサｰト, 63,上村洋, 0.9, 70,  -5,   8, 5,  8.2,⑨⑨⑨
 5, 8,Ｉウォｰクラウン, 32,鮫島良, 1.0, 49, -13,  -2, 5,  9.9, ⑧⑦, 5,10,Ｅツルマルカフェ, 61,酒井学, 1.7, 59,   3,  -6, 5, 16.2,⑥⑦⑦, 5, 9,Ｃレゾリュｰション, 75,渡辺薫, 0.7, 67,   4,   7, 1,  3.6,⑨⑧⑦, 5, 7,Ｇマリエンベルク, 67,福永祐, 1.0, 70,  -8,  12, 3,  4.5,⑩⑪⑪
 6, 9,Ｃワイドヒリュウ, 47,田中克, 1.4, 47,* -4, -11, 3,  6.3, ①①, 6,11,Ｉロケットガｰル, 52,田村太, 2.2, 55,   1,  -7,14,176.1,⑨⑪⑬, 6,15,Ｆポｰトムテキ, 73,幸英明, 0.7, 66,   3,   8, 5,  8.8,⑪⑪⑨, 6,10,Ｄアコニットライアン, 69,酒井学, 1.3, 69, -11,* 14,12, 41.0,⑬⑭⑪
