08年 9月 7日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 9月 7日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 4R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■10R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ札幌,,,,,,,,,,,,,,,,,,,,,,,,ﾆｾｺ特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
13,11,Ｇテンシノザｰル, 49,北村友, 2.5, 33,  -2, -27, 6, 25.2,⑫⑩⑫,,,,,,,,,,,,,13, 2,Ｏパロｰレ, 24,北村友, 2.2, 46,  -1, -20,12, 96.8, ⑥⑥,13, 4,Ｋカクテルウィッシュ, 63,菊沢隆, 1.0, 61,   4,  -6,14,177.8, ③④
,,,,,,,,,,,,,,,,,,,,,,,,14,10,Ｍロｰズブｰケ, 39,荻野琢, 2.4, 42,  -5, -20,15,149.9, ⑪⑬,14, 8,Ｌエアファｰギｰ, 62,松田大, 1.0, 61,  -6,   3,13, 73.3, ⑬⑬
,,,,,,,,,,,,,,,,,,,,,,,,15,13,Ｈゴｰルデンドｰタｰ, 54,宮崎光, 2.7, 39,  -2, -26,11, 58.3, ⑥⑥,15,14,Ｉアスタｰトリッピｰ, 65,長谷川, 1.4, 56,  -7,  -1,10, 31.1, ⑬⑮
,,,,,,,,,,,,,,,,,,,,,,,,16, 3,Ｊパシコスピリット, 51,柴原央, 3.1, 34, -15, -19,16,229.5, ⑯⑯,16,15, フジノイチバンボシ,---,桑村真, 1.9, 49,  -8,  -6,16,260.2, ⑯⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-14 馬場:稍重(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:稍重(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:0),,,,,,,,,,,
単勝:220円 複勝:09=110円 06=170円 03=120円 枠連:340円,,,,,,,,,,,,単勝:230円 複勝:04=120円 05=150円 03=310円 枠連:490円,,,,,,,,,,,,"単勝:1,970円 複勝:06=440円 04=1,840円 01=140円 枠連:11,740円",,,,,,,,,,,,"単勝:830円 複勝:06=290円 02=240円 13=140円 枠連:3,360円",,,,,,,,,,,
馬連:980円 ワイド:06-09=350円 03-09=200円 03-06=400円,,,,,,,,,,,,馬連:520円 ワイド:04-05=240円 03-04=470円 03-05=720円,,,,,,,,,,,,"馬連:39,810円 ワイド:04-06=14,950円 01-06=880円 01-04=3,760円",,,,,,,,,,,,"馬連:3,520円 ワイド:02-06=1,410円 06-13=640円 02-13=600円",,,,,,,,,,,
"馬単:1,480円 3連複:900円 3連単:4,100円",,,,,,,,,,,,"馬単:930円 3連複:1,840円 3連単:7,330円",,,,,,,,,,,,"馬単:105,810円 3連複:44,780円 3連単:621,690円",,,,,,,,,,,,"馬単:6,030円 3連複:4,640円 3連単:35,040円",,,,,,,,,,,
■ 2R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 5R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 8R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■11R  芝1500m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,摩周湖特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｅナイトスズラン, 42,津村明,, 63,*  5,* -3, 5, 11.7, ①①, 1,11,Ｃシンデレラロマンス, 65,秋山真,, 70,   1,*  7, 3,  6.1,⑨⑧③, 1,11,Ｃタガノクリスエス, 72,北村友,, 68,*  4,  15, 1,  2.2,③②②, 1, 3,Ａスピリタス, 80,安藤勝,, 77,   0,* 16, 1,  2.3,⑪⑪⑨
 2, 5,Ｄメジロライダｰ, 46,長谷川, 0.8, 51,   2, -11, 2,  2.4, ②②, 2, 8,Ａロッソトウショウ, 67,古川吉, 0.0, 71,   3,*  5, 1,  2.2,⑥⑥②, 2, 4,Ｂイノチノアカリ, 73,武幸四, 0.0, 72,   3,* 18, 4,  6.9,⑦⑥⑦, 2, 2,Ｅミゼリコルデ, 77,三浦皇, 0.1, 76,   4,   8, 4,  6.7,⑧⑧⑧
 3, 9,Ｂヨイチラブソング, 50,横山典, 0.9, 47,  -2,  -9, 3,  7.7, ④④, 3, 3,Ｂスプリッツァｰ, 65,藤田伸, 0.2, 67,   0,*  6, 2,  5.5,⑫⑪③, 3, 8,Ｄフロｰルデセレッソ, 71,安藤勝, 0.5, 66,*  5,  10, 3,  5.5,②②②, 3, 1,Ｆアドマイヤダｰリン, 75,横山典, 0.1, 75,   2,* 12, 3,  5.8,⑩⑨⑨
 4, 2,Ｉコウギョウサクラ, 28,小島太, 1.0, 45,  -7,  -4, 8, 87.0, ⑥⑥, 4, 2,Ｇアルコプラｰタ, 55,丸田恭, 0.6, 65,   2,   1, 5, 12.2,⑩⑧⑩, 4,13,Ａオコリンボ, 78,藤田伸, 0.6, 68,   2,  14, 2,  3.8,⑦⑧④, 4, 7,Ｃユキノハリケｰン, 78,藤田伸, 0.3, 75,* 11,  -4, 2,  4.1,①①①
 5,11,Ｈヒトメボレムスメ, 38,大野拓, 1.2, 42, -12,* -2, 9,117.8, ⑩⑧, 5,12,Ｈサクラシンフォニｰ, 52,北村友, 1.6, 56,   0,  -5,10, 35.9,⑩⑪⑫, 5, 3,Ｆコアレスキャスト, 68,佐々木, 0.8, 67,   0,* 17,11, 95.0,⑪⑪⑧, 5, 6,Ｇコスモチｰキｰ, 74,津村明, 0.3, 75,   8,  -1, 6, 19.4,⑤③③
 6, 7,Ｆコンゴウテンリュオ, 41,武英智, 1.4, 39,  -8,  -9, 6, 37.4, ⑧⑥, 6, 1,Ｄランウェイスナップ, 59,安藤勝, 2.1, 53,*  5, -16, 4, 10.2,①①①, 6, 1,Ｅエプソムアイリス, 69,三浦皇, 0.8, 64,*  5,   7, 5, 11.5,①①①, 6, 5,Ｄクレバｰジェフリｰ, 77,的場勇, 0.3, 74,   6,   3, 7, 29.6,⑦⑥⑥
 7, 1,Ｃレティセラ, 50,安藤勝, 1.6, 40,  -1, -17, 4, 11.0, ④⑤, 7, 9,Ｅナツミホｰプ, 58,郷原洋, 2.2, 54,   3, -14, 6, 15.2,⑧⑥⑦, 7, 5,Ｌセイリングシップ, 53,的場勇, 0.9, 64,*  4,   8, 7, 39.1,③④④, 7,11,Ｉアサクサブラボｰ, 73,荻野琢, 0.5, 72,   7,  -1, 9, 52.4,⑤⑥⑥
 8, 3,Ａオｰシャンロｰド, 59,藤田伸, 2.0, 36,*  4, -28, 1,  2.2, ②②, 8, 4,Ｊブルｰセレネ, 50,松田大, 2.3, 53,*  4, -18, 8, 20.3,②②③, 8,12,Ｇマルサンサイレンス, 68,丸田恭, 1.1, 64,  -1,  14, 8, 55.6,⑪⑪⑩, 8, 8,Ｂスパニッシュソウル, 80,秋山真, 0.5, 71,  -1,   9, 5,  9.7,⑫⑪⑪
