08年 2月10日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 2月10日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 4R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 7R  芝1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1800m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,北山ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｋレディマハロ, 49,武豊  ,, 59,  -7,*  2, 1,  3.2, ⑨⑦, 1, 2,Ｄニケダイヤモンド, 57,ルメｰ,, 65,  -5,*  9, 6, 24.2,⑥⑨⑧, 1, 7,Ｆアドマイヤムサシ, 68,藤岡佑,, 76,   6,*  0, 4, 15.8, ⑪⑤, 1, 6,Ｃナナヨｰヒマワリ, 88,小原義,, 86,   8,* 18, 3,  5.3,⑭⑪⑦
 2, 9,Ａエリモリリパット, 66,福永祐, 0.1, 62,*  1,  -7, 2,  4.0, ①①, 2, 7,Ｊピエナミッチｰ, 48,藤岡佑, 0.0, 65,  -3,*  6,10, 67.6,⑪⑥⑥, 2, 8,Ｇハンドレッドスコア, 67,長谷川, 0.0, 77,   6,*  0, 3,  5.3, ⑥⑤, 2, 7,Ｆプログレスエバｰ, 82,菊地昇, 0.1, 83,* 12,   9,10, 28.4,②②②
 3,12,Ｄインタｰレｰス, 58,田中克, 0.1, 63,* -1,  -5, 4,  9.3, ②②, 3,12,Ｂフジノアリオン, 63,川田将, 0.3, 60,* -2,   0, 3,  5.9,②①①, 3,13,Ｂタイカｰリアン, 77,幸英明, 0.0, 78,*  8,* -1, 2,  4.6, ⑥②, 3, 2,Ｄフィｰルドオアシス, 85,四位洋, 0.3, 85,   9,  15, 5,  7.7,⑪⑨⑦
 4,16,Ｉタニノブロンクス, 50,松岡正, 0.2, 60,  -1,  -5, 6, 12.0, ②②, 4, 4,Ｆナムラフュｰチャｰ, 54,幸英明, 0.4, 62,  -3,   2, 5, 11.6,④⑥④, 4, 3,Ａシゲルタック, 81,岩田康, 0.3, 72,   5,* -1, 1,  1.7, ⑧⑨, 4,15,Ｅカリオンツリｰ, 84,ルメｰ, 0.3, 83,   9,  14, 2,  4.7,⑫⑥⑤
 5, 4,Ｃエシャペ, 61,小原義, 0.7, 54,  -3,  -9, 5,  9.9, ⑤⑤, 5,10,Ｃゴｰフォアブロｰク, 61,長谷川, 0.5, 60,* -2,  -1, 4,  5.9,②②②, 5,12,Ｌゼンノベリル, 58,武幸四, 0.4, 73,*  8,  -8,10, 78.3, ③②, 5, 3,Ｇキングトップガン, 82,松岡正, 0.3, 83,* 13,   6, 4,  5.9,①①①
 6, 5,Ｍパイナップルスノｰ, 37,ルメｰ, 0.9, 51,  -6,  -7, 7, 16.9, ⑧⑨, 6, 9,Ａケイアイマクラレン, 63,福永祐, 0.6, 60,  -4,   2, 1,  2.0,⑥⑧⑦, 6,11,Ｃスナｰクトモクン, 70,川田将, 0.5, 69,*  9, -13, 5, 20.7, ①①, 6,11,Ｈシルククルセイダｰ, 82,藤岡佑, 0.4, 83,  10,  11, 9, 24.1,⑦⑥⑤
 7,15,Ｈトｰホウドレス, 51,小林徹, 0.9, 52,  -7,  -5, 9, 33.2, ⑨⑩, 7,16,Ｌエスジｰビンゴ, 44,千田輝, 1.3, 54,* -2,  -8,13,202.3,④②②, 7, 2,Ｄデルマアン, 70,武豊  , 0.9, 67,   6, -11, 6, 22.2, ⑧⑨, 7, 8,Ａタガノサイクロン, 90,池添謙, 0.4, 82,  11,  10, 1,  4.0,⑤③③
 8, 6,Ｅマイネアクトナイン, 57,岩田康, 1.0, 52,  -1, -12, 3,  5.0, ⑤⑤, 8,15,Ｇメジロジｰニｰ, 49,小林徹, 1.3, 53,  -3,  -7, 9, 60.3,⑥②④, 8, 4,Ｋフロントダッシュ, 58,田嶋翔, 0.9, 67,   2,  -4,13,176.2, ⑬⑬, 8,16,Ｍクリｰン, 79,武豊  , 0.5, 84,   5,* 19, 7, 20.2,⑯⑮⑪
