08年11月29日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年11月29日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝3000m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1600m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■10R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｵﾘｴﾝﾀﾙ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｊコスモブリｰズ, 45,丹内祐,, 60,* -4,  -7, 3,  7.8, ②②, 1, 5, カズノダンシング,,穂苅寿,,,,, 3,  6.9,③①①, 1, 3,Ｅリスペクトキャット, 66,三浦皇,, 71,*  6,   3, 4, 12.0, ④⑤, 1,14,Ａトウショウウェイヴ, 86,吉田豊,, 90,   3,* 24, 1,  1.7,⑫⑫⑪
 2, 4,Ｆシセイカグヤ, 47,丸田恭, 0.2, 57,  -7,  -6, 1,  2.3, ③④, 2, 3, ハルノドトウｰ,,柴田大,203.7,,,, 8, 53.8,④②②, 2, 9,Ｄアドバンスウェイ, 66,吉田隼, 0.0, 73,   2,* 10, 2,  5.2, ⑪⑩, 2, 9,Ｊブｰケフレグランス, 76,三浦皇, 0.3, 85,*  6,  10, 4, 14.0,③②②
 3,15,Ｂハツノボリ, 56,三浦皇, 0.4, 56,  -8,  -7, 2,  3.0, ⑥⑤, 3, 4, トウカイエｰル,,蓑島靖,203.7,,,, 1,  2.1,②④④, 3, 1,Ｆフェイマステイル, 65,柴田善, 0.1, 72,*  6,   1, 3,  8.8, ③②, 3, 6,Ｃスｰパｰプライド, 80,内田博, 0.9, 79,   4,   8, 2,  5.0,⑦⑧⑧
 4,16,Ｃレイクパペット, 53,宮崎北, 0.4, 56, -10,* -5,10, 55.8, ⑨⑧, 4, 2, マイネルプログレス,,平沢健,203.8,,,, 4, 14.4,⑥⑤③, 4, 6,Ｋゴｰルドモｰル, 54,木幡初, 0.8, 66,   3,   0, 7, 22.8, ⑥⑦, 4, 4,Ｅフライングメリッサ, 79,ルメｰ, 1.1, 78,   4,   4, 7, 19.1,⑥⑤⑥
 5,10,Ｌシンボリカｰジナル, 43,伊藤工, 0.5, 56, -13,* -2, 7, 23.2, ⑫⑭, 5, 6, ハワイアンボｰイ,,山本康,205.2,,,, 9, 63.0,⑤③⑤, 5, 2,Ａパｰフェクトケン, 70,内田博, 1.1, 63,*  7,  -9, 1,  1.7, ①①, 5, 5,Ｇニシノコンドコソ, 78,村田一, 1.1, 79,   0,* 13, 6, 17.9,⑮⑮⑮
 6, 5,Ｈカモンベイビｰ, 46,田中博, 0.5, 57, -11,* -3, 6, 21.2, ⑬⑫, 6,12, キラｰパンサｰ,,浜野谷,205.8,,,, 5, 16.7,⑨⑥⑥, 6,14,Ｍフォｰシｰズンゴｰ, 43,丸田恭, 1.2, 63,*  6,  -9,13,142.1, ②③, 6,15,Ｉエアキリヤン, 77,田中勝, 1.1, 78,   4,   5, 8, 22.6,⑩⑩⑨
 7,12,Ｍトゥｰルザンレｰル, 40,草野太, 0.5, 54,  -9,  -7,14,203.5, ⑧⑦, 7, 8, サンツェッペリン,,横山義,206.8,,,, 2,  2.9,⑧⑧⑦, 7,10,Ｂケイアイマッシブ, 67,後藤浩, 1.8, 59,*  6, -14, 5, 12.8, ⑤④, 7, 8,Ｄトｰセンクラウン, 79,吉田隼, 1.2, 75,*  5,   1, 5, 15.2,⑧⑥⑤
 8,13,Ａカイシュウキセキ, 57,大野拓, 0.6, 54, -10,  -6, 4, 10.1, ⑩⑩, 8, 7, カヤドｰノアｰル,,鈴木慶,212.9,,,,12,117.5,①⑦⑧, 8,15,Ｈザグ, 61,幸英明, 1.9, 60,   4,  -9,10, 77.7, ⑨⑧, 8,13,Ｍアイリッシュホｰク, 71,石橋脩, 1.2, 77,   1,   9,12,140.7,⑭⑭⑬
 9,14,Ｅダンサｰズブロンド, 50,佐藤聖, 0.9, 49,  -6, -16, 8, 29.1, ④③, 9,10, コスモラブシック,,矢原洋,222.4,,,,13,160.6,⑩⑨⑨, 9,12,Ｉノアプレミアム, 55,田中勝, 2.0, 62, -11,* 13, 9, 55.9, ⑮⑮, 9,10,Ｆシャドｰクロス, 79,柴田善, 1.3, 74,*  5,  -2, 9, 29.0,④④④
10, 7,Ｄエフケｰアスコット, 51,小島太, 1.0, 48, -10, -13,13,110.5, ⑤⑥,10,13, リネンミサイル,,柴田未,225.1,,,,14,195.8,⑪⑩⑩,10,13,Ｃスｰパｰマｰクン, 67,ルメｰ, 2.0, 57,   4, -11, 6, 16.1, ⑦⑥,10, 3,Ｂコマノハイ, 81,蛯名正, 1.3, 72,*  7,  -7,10, 33.8,①①①
11, 6,Ｎアステｰル, 40,鈴木慶, 1.1, 50, -11, -10,16,291.9, ⑦⑪,,,,,,,,,,,,,11, 7,Ｊキタノオハナ, 55,柴山雄, 2.2, 59,  -2,  -4,11, 92.7, ⑫⑫,11, 7,Ｋドレックセル, 73,安藤光, 1.3, 75,   1,   8,14,319.1,⑨⑪⑫
12, 1,Ｋウインパランセ, 43,加藤士, 1.4, 48, -16,  -8, 9, 43.7, ⑰⑰,,,,,,,,,,,,,12,11, ブラックシルヴァｰ,---,小国博, 2.7, 54,  -7,  -2,14,142.6, ⑬⑬,12,12,Ｏアミュレット, 69,高橋智, 1.5, 75,   2,   7,15,372.9,⑬⑬⑭
13, 3,Ｏハワイアンシェｰナ, 38,黛弘人, 1.5, 45, -15, -11,15,260.6, ⑮⑮,,,,,,,,,,,,,13, 8, ワイルドアスリｰト,---,五十嵐, 2.9, 53,  -9,   2,12, 94.5, ⑭⑭,13, 2,Ｈコンベンション, 77,後藤浩, 1.6, 71,   4,  -2, 3, 12.5,⑤⑦⑦
14,17,Ｉジョテイ, 46,水出大, 1.5, 42, -10, -19,12,103.6, ⑪⑨,,,,,,,,,,,,,14, 5,Ｌセティア, 51,黛弘人, 3.5, 48,   1, -20,15,303.5, ⑩⑪,14,11,Ｎニシノフリｰダム, 71,津村明, 1.8, 69,   2,  -4,11,137.1,⑪⑨⑩
15, 2,Ｑラデエス, 29,池崎祐, 1.9, 40, -16, -15,17,346.3, ⑯⑯,,,,,,,,,,,,,15, 4,Ｇウィナｰズダンス, 64,勝浦正, 3.8, 46,   2, -25, 8, 29.8, ⑧⑨,15, 1,Ｌシルクデュエリスト, 72,木幡初, 1.8, 69,*  5,  -8,13,218.8,②③③
16, 9,Ｐトップワンダｰ, 37,南田雅, 2.1, 36, -11, -24, 5, 19.5, ⑭⑬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,11,Ｇプリティオｰドリｰ, 46,的場勇, 2.4, 30,* -3, -41,11, 89.5, ①①,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:稍重(指数:1),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:重(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:81 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:1),,,,,,,,,,,
単勝:780円 複勝:08=170円 04=110円 15=110円 枠連:760円,,,,,,,,,,,,単勝:690円 複勝:05=200円 03=710円 04=110円 枠連:520円,,,,,,,,,,,,"単勝:1,200円 複勝:03=310円 09=210円 01=240円 枠連:430円",,,,,,,,,,,,単勝:170円 複勝:14=110円 09=320円 06=130円 枠連:580円,,,,,,,,,,,
馬連:840円 ワイド:04-08=260円 08-15=330円 04-15=160円,,,,,,,,,,,,"馬連:12,450円 ワイド:03-05=2,380円 04-05=290円 03-04=1,150円",,,,,,,,,,,,"馬連:2,490円 ワイド:03-09=790円 01-03=970円 01-09=560円",,,,,,,,,,,,"馬連:1,490円 ワイド:09-14=580円 06-14=160円 06-09=820円",,,,,,,,,,,
"馬単:2,470円 3連複:700円 3連単:6,010円",,,,,,,,,,,,"馬単:21,750円 3連複:4,970円 3連単:66,470円",,,,,,,,,,,,"馬単:5,610円 3連複:5,500円 3連単:36,960円",,,,,,,,,,,,"馬単:2,060円 3連複:1,440円 3連単:7,400円",,,,,,,,,,,
■ 2R  ダ1300m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 5R  芝1400m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  ダ1600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■11R  芝1600m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,ｷｬﾋﾟﾀﾙｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｅカネスラディカｰル, 54,内田博,, 61,*  5,   0, 4,  7.6, ①①, 1, 6, ショウナンアルディ,---,内田博,, 66, -14,*  8, 1,  1.6, ④④, 1, 3,Ｂツバサドリｰム, 76,蛯名正,, 80,*  3,* 14, 1,  1.7, ④③, 1, 4,Ｅタマモサポｰト, 86,津村明,, 96,  13,* 15, 8, 19.8, ⑤⑥
 2, 8,Ｃスマｰトダズル, 63,江田照, 0.2, 60,*  3,   0, 8, 34.0, ②②, 2, 1, ビｰビｰボルト,---,田中博, 0.1, 62,* -7,  -2, 4, 10.6, ①①, 2, 8,Ｌアイアムジュエル, 65,ルメｰ, 0.1, 77,*  3,  12, 7, 31.6, ②②, 2, 3,Ａゲイルスパｰキｰ, 89,北村宏, 0.4, 89,  10,* 14, 2,  6.1, ⑦⑧
 3, 2,Ｊジェットスパｰクル, 39,ルメｰ, 0.3, 58,   0,   2, 7, 31.6, ⑤③, 3,10, コスモミッチャン,---,丸田恭, 1.4, 50, -21,   1, 6, 22.6, ⑨⑨, 3,14,Ｉギルティストライク, 72,カステ, 0.2, 78,*  3,  13,10, 34.7, ⑤④, 3, 2,Ｈマイネルハｰティｰ, 83,木幡初, 0.7, 88,   8,* 15,15, 92.0, ⑭⑬
 4, 7,Ａムｰンストｰン, 66,三浦皇, 0.3, 58,  -3,*  5, 1,  2.6, ⑨⑥, 4, 2, ブルｰムインハｰト,---,小林淳, 1.4, 51, -20,  -1, 7, 37.3, ⑦⑥, 4,10,Ｋペチカ, 69,吉田豊, 0.8, 74,*  4,   6,11, 46.2, ①①, 4, 6,Ｃレッツゴｰキリシマ, 86,幸英明, 0.8, 86,  15,   1, 1,  2.8, ③③
 5, 6,Ｈエドノゴｰルド, 50,吉田豊, 0.7, 56,  -1,  -1,11, 94.2, ④⑤, 5, 5, ロマンチックキブン,---,吉田隼, 1.4, 45, -10, -15, 2,  5.3, ②②, 5,12,Ｅディアｰウィッシュ, 74,吉田隼, 0.9, 73,   1,   9, 5, 15.7, ⑦⑥, 5,11,Ｄナスノストロｰク, 86,ルメｰ, 0.9, 85,  10,   6, 5,  9.7, ⑩⑨
 6,13,Ｂレンソイス, 64,吉田隼, 1.0, 52,   1,  -5, 2,  3.5, ③④, 6, 9, マイネルコルン,---,大野拓, 1.5, 45, -10, -15, 9, 53.3, ③③, 6, 5,Ｈグラスゴッド, 73,伊藤工, 0.9, 74,  -1,  12,12, 75.2, ⑧⑨, 6,15,Ｊドリｰムシグナル, 81,丸田恭, 1.0, 82,   9,   8,11, 31.7, ⑪⑪
 7,11,Ｐケイアイスザク, 23,後藤浩, 1.2, 52, -13,* 10, 9, 42.3, ⑯⑯, 7, 3, コスモベリッシマ,---,柴山雄, 1.5, 51, -21,   1, 8, 48.1, ⑧⑧, 7, 9,Ａゴｰルディｰロック, 78,横山典, 1.0, 74,  -4,* 16, 3,  7.2, ⑯⑯, 7,10,Ｌマイネルポライト, 79,後藤浩, 1.0, 84,  10,   6, 7, 11.8, ⑨⑩
 8, 3,Ｄミラクルシｰカｰ, 58,勝浦正, 1.4, 50,  -6,  -1, 5, 12.9, ⑬⑩, 8, 7, フクフク,---,江田照, 1.8, 45, -20,  -6,10, 88.9, ⑥⑦, 8, 6,Ｄコスモビｰスト, 75,柴山雄, 1.2, 74,  -2,  11, 4,  9.4, ⑫⑪, 8,12,Ｎメイショウトッパｰ, 76,中舘英, 1.1, 82,  15,  -4,17,128.5, ⑥④
 9, 9,Ｋレッドリップス, 39,横山典, 1.4, 49,  -3,  -5, 3,  6.2, ⑥⑦, 9, 4, ヘヴンリｰスパｰク,---,横山典, 1.9, 42, -18, -10, 3,  6.6, ⑤⑤, 9,15,Ｆトウショウアラジン, 74,伊藤直, 1.3, 71,  -3,  12, 8, 32.5, ⑮⑮, 9, 5,Ｆフサイチアウステル, 85,赤木高, 1.3, 79,* 16,  -8, 3,  8.3, ②②
10, 5,Ｆセイカドルチェ, 54,柴山雄, 1.7, 48,  -9,   0,14,166.6, ⑭⑭,10, 8, ジャックエイコウ,---,武士沢,12.0,-59, -94, -39, 5, 20.5, ⑩⑩,10, 1,Ｃリｰズレセプション, 76,木幡初, 1.3, 69,   2,   5, 6, 24.5, ③⑤,10, 9,Ｉジｰンハンタｰ, 81,吉田豊, 1.4, 79,   5,   9,13, 73.2, ⑯⑯
11, 1,Ｇスイｰトデビル, 51,丸田恭, 2.0, 44,  -3, -10,12,116.6, ⑧⑧,,,,,,,,,,,,,11,16,Ｊトウショウツアラｰ, 71,柴田善, 1.9, 67,  -2,   5,13, 76.4, ⑪⑬,11, 1,Ｏバトルハｰトオｰ, 75,田中博, 1.5, 78,  13,  -7,18,267.1, ④⑤
12,15,Ｍスプリンググレン, 37,幸英明, 2.1, 44, -11,  -1,10, 91.6, ⑮⑮,,,,,,,,,,,,,12,11,Ｇニコニコママ, 73,田中勝, 2.0, 66,   0,   1, 2,  7.1, ⑨⑧,12, 7,Ｐアップドラフト, 74,柴山雄, 1.7, 78,  -4,* 21,14, 81.8, ⑱⑱
13, 4,Ｏサチノモンテカルロ, 31,加藤士, 2.2, 43,  -6,  -8,15,211.5, ⑩⑪,,,,,,,,,,,,,13, 7, スプリングアｰム,---,三浦皇, 2.5, 61,  -2,   0, 9, 33.8, ⑬⑭,13,17,Ｇトウショウヴォイス, 84,柴田善, 1.8, 76,   6,   2, 9, 26.7, ⑮⑮
14,14,Ｎテオｰリア, 37,宮崎北, 2.3, 41,  -6,  -9,16,265.3, ⑪⑫,,,,,,,,,,,,,14, 2,Ｍアグネスゼッセイ, 64,幸英明, 2.8, 59,  -2,  -3,14,133.1, ⑩⑩,14,14,Ｋミリオンウェｰブ, 79,吉田隼, 1.8, 74,  13,  -9,12, 61.5, ⑧⑦
15,12,Ｉチャペルゴｰルド, 49,村田一, 2.6, 42,  -7, -10, 6, 13.2, ⑫⑬,,,,,,,,,,,,,15, 4,Ｎコメンテｰタｰ, 59,勝浦正, 3.2, 57,   0, -10,15,203.1, ⑥⑦,15,13,Ｍアロマキャンドル, 76,横山典, 2.1, 71,   2,   5, 6, 10.4, ⑰⑰
16,16,Ｌリュウポｰト, 38,伊藤直, 3.5, 32,  -5, -21,13,136.0, ⑦⑨,,,,,,,,,,,,,16,13,Ｏスパイオブラヴ, 55,石橋脩, 3.8, 51,  -2, -12,16,220.6, ⑭⑫,16, 8,Ｒダンスインザモア, 62,三浦皇, 2.1, 72,   9,  -7,10, 29.5, ⑬⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,16,Ｂリキッドノｰツ, 87,田中勝, 2.4, 68,  10, -14, 4,  9.4, ⑫⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,18,Ｑエムオｰウイナｰ, 69,蛯名正, 4.9, 42,* 22, -69,16,113.8, ①①
