08年 1月27日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 1月27日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-13,,,,,■ 7R  芝1600m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1200m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｻﾝﾗｲｽﾞｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｇライムライトシチｰ, 50,柴山雄,, 57,  -1,* -2, 8, 50.9, ⑩⑩, 1, 5,Ａリノｰンリｰズン, 63,横山典,, 61,*  6,  -9, 1,  1.6,⑥②②, 1, 2,Ｇナイキアプロｰド, 66,横山典,, 76,   8,*  1, 2,  4.0,⑯⑬⑩, 1, 4,Ｃリキサンファイタｰ, 81,蛯名正,, 80,   8,   7, 2,  5.1, ⑩⑦
 2,12,Ａハイデフィニション, 75,大野拓, 0.1, 59,*  6, -10, 1,  2.0, ②②, 2,13,Ｇスガノゴｰルド, 48,田中博, 1.2, 56,   2, -11,11,143.0,⑦⑦⑤, 2, 8,Ｅカツヨカムトゥルｰ, 68,武士沢, 0.0, 75,  15, -11, 6, 11.7,⑧⑦④, 2, 5,Ｈメジロシリング, 78,四位洋, 0.1, 76,  -1,* 15, 9, 19.8, ⑯⑭
 3, 9,Ｈコｰヒｰタイム, 48,北村宏, 0.2, 57,   3,  -7, 7, 25.8, ⑦⑥, 3, 8,Ｄセイウンタナビク, 54,松岡正, 1.4, 55,   2, -12, 3, 14.0,⑧⑦⑤, 2,10,Ｎライフブリｰズ, 53,勝浦正, 0.0, 77,   8,*  0,13, 85.4,⑬⑪⑦, 3, 3,Ｄウエスタンビｰナス, 80,郷原洋, 0.1, 83,* 15,  -1, 8, 19.5, ①①
 4, 3,Ｂマコトガンベロ, 69,小野次, 0.5, 53,   3, -11, 2,  3.3, ⑥⑥, 4, 1,Ｂトｰセンキンボシ, 60,今野忠, 1.5, 53,   4, -18, 2,  3.5,③④④, 4, 5,Ｃジョウノパンジｰ, 69,北村宏, 0.4, 70,   6,* -3, 4,  9.0,⑬⑭⑭, 4, 8,Ｂピサノグラフ, 82,横山典, 0.3, 74,   1,* 10, 1,  4.7, ⑮⑭
 5, 5,Ｆガットストロング, 51,田中博, 0.6, 53,  -2,* -6,11,121.1, ⑩⑫, 5, 4,Ｅウイントリビュｰト, 51,四位洋, 1.7, 51,   0, -12, 4, 14.7,⑩⑨⑤, 5, 3,Ｂダノンスイショウ, 72,今野忠, 0.5, 68,* 22, -30, 5, 10.1,④②②, 5, 2,Ｎエフテｰストライク, 73,武士沢, 0.3, 76,   4,   7,10, 19.8, ⑬⑭
 6, 4,Ｉアメリカンヒロイン, 47,小林淳, 0.7, 53,  -1,  -8, 9, 64.8, ⑩⑩, 6, 2,Ｌストロングジャック, 22,北村宏, 2.0, 48,*  6, -27, 8, 45.2,①①①, 6, 4,Ｊコアレスレｰサｰ, 63,小林淳, 0.7, 66,   7, -11, 9, 22.0,⑧⑪⑩, 6, 1,Ａエネルマオｰ, 87,ペリエ, 0.4, 76,  12,  -2, 5,  7.7, ⑤②
 7,11,Ｋタカミツベガ, 39,池田鉄, 0.7, 54,   5, -14,12,328.6, ②②, 7,12,Ｈタツタイコウ, 43,小野次, 2.4, 44,   2, -22, 7, 41.5,③⑥⑨, 7,16,Ｋラビットジｰズニ, 63,木幡初, 0.8, 66,  16, -26,14,114.6,④⑥④, 7,10,Ｉオｰヴェｰル, 76,柴山雄, 0.5, 72,   7,   2,13, 53.1, ⑩⑪
 8, 8, エアワルツ,---,蛯名正, 1.0, 50,   2, -14, 3,  6.2, ⑦⑥, 8, 7,Ｍトウショウトラウト, 13,柴山雄, 2.5, 47,  -4, -12, 9, 56.5,⑪⑪⑪, 8,14,Ａマイネルスカット, 73,田中博, 0.8, 64,* 22, -35, 1,  3.9,②②③, 8,15,Ｇテイエムポイント, 79,勝浦正, 0.5, 76,  12,  -3, 7, 16.7, ⑤②
 9, 7,Ｄクリプトゾｰン, 58,武士沢, 1.4, 47,   2, -17, 6, 21.3, ⑦⑨, 9, 6,Ｉベットオンミｰ, 32,大野拓, 3.0, 46, -12,*  1,12,192.6,⑫⑫⑫, 9,15,Ｉミスタｰショウ, 63,ペリエ, 0.9, 63,  11, -17,12, 75.0,⑧⑨⑦, 9,16,Ｋブランシュネｰジュ, 75,柄崎将, 0.6, 71,   4,   3,14, 59.9, ⑬⑪
10, 6,Ｃケイエムチャンス, 59,江田照, 1.9, 43,*  6, -25, 5, 16.0, ②②,10,11,Ｃカワキタライジン, 59,津村明, 3.3, 42,   4, -32, 5, 16.3,③④⑧,10,13,Ｆショウナンタイトル, 67,吉田豊, 1.3, 60,* 27, -51, 7, 11.7,①①①,10,14,Ｌナチュラルメイク, 75,今野忠, 0.7, 71,   6,   1, 6, 15.8, ⑫⑦
11, 1,Ｊアドリｰム, 42,村田一, 2.4, 40,*  6, -30,10, 79.0, ①①,11, 9,Ｋバチェラｰ, 23,吉田豊, 3.4, 41,*  5, -37,10, 76.7,②②③,11,11,Ｄカピタｰノ, 68,吉田隼, 1.5, 57,  18, -37, 3,  5.1,②④⑥,11, 9,Ｆコンゴウリュウオｰ, 79,吉田隼, 0.9, 70,  11,  -7, 3,  5.2, ⑧⑦
