08年10月25日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年10月25日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 4R  芝2910m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝2200m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,古都ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｌホクトスワン, 21,藤岡佑,, 57,  -2,*  2,10, 54.3, ⑦③, 1, 9, スズカクリエｰト,,北沢伸,,,,, 3,  7.5,④②②, 1, 5,Ａキングブレｰヴ, 81,安藤勝,, 78,   6,* 13, 1,  2.2,④④④, 1, 5,Ｂキングアｰサｰ, 88,安藤勝,, 94,  -2,* 26, 1,  3.9,⑪⑩⑩
 2, 4,Ｃサンデｰロｰズ, 52,浜中俊, 0.1, 56,   1,* -3, 1,  2.8, ③③, 2, 1, グリュｰエント,,西谷誠,195.2,,,, 1,  1.7,①①①, 2,12,Ｃマルカマックス, 73,秋山真, 0.7, 74,   4,* 10, 3,  8.4,⑨⑧⑥, 2,13,Ｇハリｰアップ, 82,秋山真, 0.2, 86,*  2,  12,10, 22.4,①①①
 3, 3,Ｆラストダンス, 41,田村太, 0.2, 57,*  3,  -5,11, 57.2, ①①, 3,12, タガノデンジャラス,,高田潤,195.3,,,, 2,  5.2,③④④, 3, 3,Ｈトップオブハワイキ, 67,川田将, 0.7, 73,*  8,   4, 2,  4.3,①①①, 3,10,Ａメトロシュタイン, 89,四位洋, 0.3, 89,  -1,  19, 7, 14.9,⑨⑦⑦
 4, 6,Ｅマイネスタｰライト, 47,池添謙, 0.3, 55,*  2,  -5, 5, 12.0, ②②, 4, 6, チョウラブラブ,,黒岩悠,196.0,,,, 5, 18.1,②②③, 4, 1,Ｄリアルヴィクトリｰ, 72,四位洋, 0.9, 71,*  7,   3, 4,  8.4,⑬②②, 4, 6,Ｃシゲルタック, 88,角田晃, 0.4, 90,  -2,  21, 4,  6.0,⑨⑩⑩
 5,13,Ｄデンタルマロン, 48,和田竜, 0.6, 53,  -1,  -3, 6, 13.6, ⑦③, 5,13, エイシングラスゴｰ,,白浜雄,197.5,,,, 8, 43.8,⑦⑥⑥, 5, 2,Ｇニシノハドウホウ, 68,酒井学, 1.4, 70,   4,   5, 5, 14.5,⑩⑩⑦, 5,12,Ｊアラタマサモンズ, 80,小牧太, 0.5, 83,*  2,   9,11, 25.5,②②②
 6,12,Ｉラッキｰパズル, 39,佐藤哲, 1.3, 48,  -4,  -5,12, 79.2, ⑩⑨, 6, 2, ダイゴフウジン,,岩崎祐,197.9,,,,13,101.2,⑦⑦⑦, 6,11,Ｂファンドリリュウ, 73,石橋守, 1.5, 70,   3,   6, 6, 15.7,⑪⑩⑦, 6, 2,Ｋキングスエンブレム, 79,和田竜, 0.5, 85,*  1,  12, 2,  5.1,③④④
 7, 7,Ｂチャｰムピｰス, 53,秋山真, 1.4, 46,  -1, -11, 2,  3.5, ⑤⑦, 7, 8, ダンツイッドン,,林満明,198.0,,,, 6, 19.2,⑤⑤⑤, 7, 9,Ｉチャｰミングシチｰ, 65,池添謙, 1.6, 67,   6,   1, 9, 32.6,⑥⑥⑤, 7, 3,Ｉソリッドスライダｰ, 81,鮫島良, 0.5, 86,  -1,  14,12, 40.0,⑤④④
 8,11,Ａアプレンデｰル, 60,渡辺薫, 1.7, 45,   1, -16, 3,  4.5, ③③, 8, 5, ブルｰラピス,,金折知,199.4,,,, 7, 30.4,⑨⑨⑨, 8,16,Ｆヒットトップガン, 68,田中克, 2.0, 68,   2,   4,14,159.1,⑯⑮⑫, 8, 4,Ｆアインラクス, 83,川田将, 0.6, 85,  -1,  15, 3,  5.2,⑥⑦⑦
 9, 1,Ｊメイショウランマン, 39,武幸四, 1.7, 43,  -6,  -7, 9, 53.9, ⑫⑪, 9,11, ナンゴクコンバット,,小坂忠,199.7,,,,11, 78.0,⑨⑧⑧, 9,13,Ｎアグネスフォｰカス, 61,浜中俊, 2.0, 65,   3,   2,13,153.3,⑥⑫⑩, 9, 1,Ｌニュｰビギニング, 79,藤岡佑, 0.6, 86,   0,  15, 8, 16.6,⑥⑦⑦
10, 2,Ｋモダンバレエ, 33,石橋守, 1.8, 43,  -6,  -9, 8, 48.0, ⑪⑪,10, 7, マッキｰケインズ,,佐久間,202.8,,,,12, 85.1,⑫⑪⑪,10, 4,Ｏティンバｰルｰカン, 54,小坂忠, 2.0, 63,*  7,  -7,12,105.2,②②②,10, 7,Ｈアメジストリング, 81,武幸四, 0.7, 89,  -3,  21, 5, 14.3,⑬⑬⑫
11, 5,Ｇタガノタンドゥｰル, 41,小牧太, 2.0, 40,  -2, -16, 4,  9.1, ⑤⑦,11, 3, ショウナンタクミ,,高野容,203.2,,,,10, 66.3,⑫⑪⑪,11,10,Ｍファｰトゥム, 61,佐藤哲, 2.8, 62,   3,  -4,10, 47.9,⑫⑫⑫,11, 9,Ｅパｰプルファルコン, 84,佐藤哲, 0.9, 85,  -3,  18,14,141.9,⑪⑫⑫
12, 8,Ｈヤンミｰ, 40,田中克, 2.7, 35,  -7, -14, 7, 41.0, ⑬⑬,12,14, ウォｰタｰゲイザｰ,,出津孝,203.9,,,, 9, 57.3,⑪⑩⑩,12, 6,Ｊハｰベストタｰフ, 63,船曳文, 3.6, 59,   2, -10,16,262.6,⑭⑫⑭,12, 8,Ｄハギノプリンセス, 85,浜中俊, 1.0, 80,  -1,   6, 9, 18.5,⑧④④
13, 9,Ｍクイｰンヘッド,  1,船曳文, 2.8, 37,  -5, -19,13,287.8, ⑨⑩,,,,,,,,,,,,,13,14,Ｐハリｰダンカン, 48,和田竜, 3.9, 52,   4, -16,11,101.7,⑥⑧⑩,13,14,Ｍフサイチジャンク, 78,池添謙, 1.1, 75,*  1,   2, 6, 14.5,③③②
,,,,,,,,,,,,,,,,,,,,,,,,14, 8,Ｅレｰザｰウイング, 71,小牧太, 4.3, 50,   5, -20, 8, 20.5,④⑥⑭,14,11,Ｎエイシンニｰザン, 77,石橋守, 1.5, 81,  -5,  13,13, 91.8,⑭⑭⑭
,,,,,,,,,,,,,,,,,,,,,,,,15,15,Ｌリトルエイコｰン, 62,佐久間, 4.4, 51,   3, -16,15,228.0,⑮⑮⑭,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16, 7,Ｋロｰランクリムゾン, 62,田村太, 4.7, 47,   5, -26, 7, 17.7,③④⑨,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:重(指数:-4),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-2),,,,,,,,,,,
"単勝:5,430円 複勝:10=1,210円 04=160円 03=1,330円 枠連:520円",,,,,,,,,,,,単勝:750円 複勝:09=150円 01=110円 12=150円 枠連:490円,,,,,,,,,,,,単勝:220円 複勝:05=130円 12=180円 03=160円 枠連:490円,,,,,,,,,,,,"単勝:390円 複勝:05=170円 13=650円 10=510円 枠連:1,230円",,,,,,,,,,,
"馬連:6,320円 ワイド:04-10=2,000円 03-10=13,200円 03-04=2,010円",,,,,,,,,,,,馬連:510円 ワイド:01-09=210円 09-12=420円 01-12=160円,,,,,,,,,,,,馬連:910円 ワイド:05-12=370円 03-05=280円 03-12=630円,,,,,,,,,,,,"馬連:4,670円 ワイド:05-13=1,530円 05-10=1,040円 10-13=4,070円",,,,,,,,,,,
"馬単:20,430円 3連複:77,160円 3連単:498,300円",,,,,,,,,,,,"馬単:1,940円 3連複:680円 3連単:5,890円",,,,,,,,,,,,"馬単:1,310円 3連複:1,300円 3連単:5,320円",,,,,,,,,,,,"馬単:7,360円 3連複:17,840円 3連単:110,880円",,,,,,,,,,,
