08年10月11日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年10月11日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-13,,,,,■ 4R  ダ1600m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■10R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,本栖湖特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
13,16,Ａオメガドルチェ, 55,北村宏, 1.1, 28,*-16, -28, 6, 18.6, ⑦④,13,12, レオミラクル,---,北村宏, 3.1, 37,  -9, -17, 8, 35.5, ⑫⑫,13,14,Ｊカリスマブラック, 61,加藤士, 2.8, 51,  -6,  -7,10, 74.1, ⑭⑭,,,,,,,,,,,,
14,12,Ｐタイムサイクル, 31,郷原洋, 1.2, 31, -23, -20,17,279.0, ⑯⑮,14, 3, クレバｰチｰコ,---,加藤士, 3.4, 36,  -9, -20,14,125.9, ⑫⑫,14,15,Ｍリバｰトｰマス, 59,南田雅, 2.9, 51,  -6,  -8,16,377.9, ⑭⑭,,,,,,,,,,,,
15, 4,Ｎアドバンスベイブ, 33,宮崎北, 1.2, 29, -17, -28,18,289.3, ③④,15, 7, ギャングバスタｰズ,---,村田一, 7.1,  9, -11, -49,12,116.5, ⑮⑮,15,10,Ｏスタｰダム, 48,高野和, 3.1, 48,  -4, -12,15,336.0, ⑨⑪,,,,,,,,,,,,
16, 5,Ｋジェｰンオｰスチン, 34,高山太, 1.2, 30, -19, -25,14, 96.9, ⑦⑨,,,,,,,,,,,,,16,11,Ｎシュウザンゴｰルド, 53,水出大, 4.0, 42,  -4, -20,14,263.4, ⑫⑪,,,,,,,,,,,,
17,10,Ｏマイネカノン, 31,石橋脩, 1.4, 26,*-16, -33,12, 52.1, ②②,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18, 7,Ｒラブモｰニング, -9,菊沢隆, 2.3, 18, -25, -31,16,224.8, ⑪⑯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-13 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:81 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-4),,,,,,,,,,,
"単勝:1,130円 複勝:09=380円 14=1,430円 15=180円 枠連:2,000円",,,,,,,,,,,,"単勝:480円 複勝:09=190円 08=1,170円 06=350円 枠連:7,360円",,,,,,,,,,,,"単勝:140円 複勝:05=110円 07=310円 12=1,750円 枠連:790円",,,,,,,,,,,,単勝:210円 複勝:04=130円 01=180円 02=350円 枠連:730円,,,,,,,,,,,
"馬連:44,690円 ワイド:09-14=8,590円 09-15=1,230円 14-15=2,610円",,,,,,,,,,,,"馬連:9,310円 ワイド:08-09=1,640円 06-09=930円 06-08=5,520円",,,,,,,,,,,,"馬連:840円 ワイド:05-07=380円 05-12=2,810円 07-12=15,460円",,,,,,,,,,,,"馬連:790円 ワイド:01-04=360円 02-04=730円 01-02=1,330円",,,,,,,,,,,
"馬単:67,770円 3連複:60,540円 3連単:676,820円",,,,,,,,,,,,"馬単:12,540円 3連複:32,420円 3連単:199,400円",,,,,,,,,,,,"馬単:990円 3連複:22,240円 3連単:57,110円",,,,,,,,,,,,"馬単:1,240円 3連複:3,470円 3連単:10,790円",,,,,,,,,,,
■ 2R  芝1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-15,,,,,■ 5R  芝1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■11R  ダ1400m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,ﾍﾟﾙｾｳｽｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ａリｰチマイドリｰム, 51,柴山雄,, 56,  -6,* -6, 1,  2.4, ⑤⑦, 1, 6, ドリｰムゲイル,---,柴山雄,, 43,*-32,   2, 2,  4.4, ②②, 1, 2,Ｍスノｰクラッシャｰ, 66,三浦皇,, 88,  13,* 11, 8, 23.1,⑥⑧⑦, 1, 6,Ａバンブｰエｰル, 93,三浦皇,, 82,   9,* 17, 2,  6.1, ⑤⑤
 2, 1,Ｆグリッドマトリクス, 39,丸田恭, 0.2, 53,  -6,* -9, 2,  4.1, ⑤⑦, 2,11, カフェアラジン,---,勝浦正, 0.2, 42, -33,   2, 1,  2.4, ⑤④, 2, 1,Ｆトウショウウェイヴ, 74,吉田豊, 0.1, 88,  10,* 17, 5, 14.3,⑭⑭⑬, 2,13,Ｂユビキタス, 90,安藤勝, 0.4, 79,* 10,  12, 1,  1.4, ④③
 3, 8,Ｃフォｰジドスチｰル, 45,中舘英, 0.8, 47,* -1, -25, 4,  7.1, ②②, 3, 1, アドマイヤインディ,---,安藤勝, 0.3, 42, -35,*  5, 3,  5.2, ⑧⑧, 3,12,Ｈムｰビｰハウス, 72,後藤浩, 1.0, 75,  14,  -8, 1,  2.6,④③④, 3,16,Ｌダンディズム, 84,内田博, 0.5, 80,   3,* 20,11, 78.0, ⑮⑮
 4,13,Ｉマンダリンシルバｰ, 37,横山典, 1.0, 45,  -9,*-13, 5, 10.9, ⑪⑪, 4, 5, ファインプレイ,---,中舘英, 0.6, 35,*-30,  -7, 5, 10.9, ①①, 4, 4,Ｇポケッタブルゲｰム, 72,丸田恭, 1.4, 72,  14, -13, 9, 26.9,⑥⑤⑥, 4, 3,Ｏダンツキッスイ, 73,藤田伸, 0.6, 77,* 11,   8, 4, 19.9, ①①
 5, 5,Ｋスノｰレｰザｰ, 28,郷原洋, 1.1, 42,  -4, -25, 8, 56.8, ⑤⑤, 5, 7, アクアヴィｰテ,---,北村宏, 0.6, 35, -34,  -2, 4,  7.7, ⑤⑦, 5,11,Ｅコスモスパロウ, 74,吉田隼, 1.4, 71,  14, -14, 7, 21.6,④⑤④, 5, 2,Ｉタイキエニグマ, 85,丹内祐, 0.8, 76,   7,  12,15,138.3, ⑦⑦
 6, 3,Ｅセイカドルチェ, 42,和田竜, 1.3, 41,* -1, -34,11,107.4, ①①, 5, 4, セティア,---,黛弘人, 0.6, 35, -33,  -3, 7, 18.6, ③④, 6, 8,Ｉエクスプレスワン, 71,安藤勝, 1.4, 72,  11,  -7, 3,  6.2,⑩⑧⑨, 6, 1,Ｃメイショウサライ, 89,横山典, 0.9, 75,* 10,   8, 6, 24.4, ③③
 7, 7,Ｈマイネルクロッシュ, 38,三浦皇, 1.3, 41,  -4, -28, 6, 15.3, ⑤⑤, 7, 8, オンワｰドアコｰル,---,郷原洋, 1.3, 26, -33, -12,10,110.1, ⑤④, 7,17,Ｄダイワオｰジｰ, 74,木幡初, 1.7, 71,  10,  -8,14, 78.0,⑩⑫⑬, 7, 8,Ｍゼンノコｰラル, 82,北村宏, 1.0, 75,   3,  15,12, 95.0, ⑮⑫
 8, 6,Ｄシンボリカｰジナル, 44,柴田善, 1.4, 40,  -4, -31, 7, 15.3, ③③, 8, 9, コスモアムｰル,---,蛯名正, 1.6, 22,*-32, -17, 6, 12.1, ③③, 8, 6,Ｐオイワケウコン, 64,丹内祐, 1.7, 71,   9,  -5,17,264.8,⑮⑮⑮, 8,10,Ｅウォｰタｰオｰレ, 87,丸田恭, 1.0, 74,* 10,   6,16,167.8, ②②
 9,11,Ｇブレｰヴクン, 38,津村明, 1.5, 39,  -8, -24, 9, 70.4, ⑨⑩, 9, 3, スプリングモロｰ,---,吉田隼, 1.6, 25, -36, -10, 9, 74.0, ⑩⑨, 9,15,Ｌソングバｰド, 68,和田竜, 1.7, 71,  12, -10,13, 75.4,⑩⑧⑪, 9, 5,Ｋサンライズレクサス, 84,吉田隼, 1.2, 74,   5,  12,14,134.8, ⑨⑩
10, 2,Ｊカシマモナｰク, 30,高山太, 2.8, 26, -12, -37,12,167.5, ⑫⑫,10,10, レンゲ,---,千葉直, 2.4, 14, -37, -21, 8, 42.9, ⑨⑨,10,14,Ｏシングンリタｰンズ, 65,柴山雄, 1.8, 71,   8,  -2,10, 45.2,⑰⑰⑰,10,14,Ｆベストオブミｰ, 85,吉田豊, 1.5, 72,   6,   8, 5, 21.7, ⑨⑧
11,10,Ｌサラサラ, 23,石橋脩, 3.1, 25,  -8, -49,10, 88.0, ⑨⑨,11, 2, ハンドクラッピング,---,石橋脩, 2.7, 10, -38, -24,11,123.7, ⑩⑨,11,18,Ｒヒシドンネル, 54,蛯名正, 1.8, 70,   9,  -5,15, 86.6,⑮⑯⑮,11,11,Ｎラピッドオレンジ, 79,田中博, 1.5, 72,   2,  13,13,127.9, ⑭⑯
12, 9,Ｍサキノキングオｰ,-10,大野拓, 4.2,  3,  -4, -72,13,221.4, ③③,,,,,,,,,,,,,12, 9,Ｃヴェルトマイスタｰ, 74,横山典, 1.8, 68,  13, -15, 6, 17.6,⑧⑦⑦,12, 9,Ｄオフィサｰ, 89,柴田善, 1.5, 72,   4,  10, 7, 37.5, ⑨⑩
,,,,,,,,,,,,,,,,,,,,,,,,13, 3,Ｑマイネルジュレップ, 64,津村明, 2.1, 67,  12, -15,11, 46.1,⑩⑫⑪,13, 7,Ｐハｰトオブクィｰン, 72,大野拓, 1.8, 69,   6,   5, 8, 63.2, ⑦⑧
,,,,,,,,,,,,,,,,,,,,,,,,14,13,Ａニキティス, 75,中舘英, 2.1, 65,* 17, -30, 2,  4.2,①①①,14,12,Ｈジｰンハンタｰ, 85,柴山雄, 1.9, 69,   3,   7, 9, 69.1, ⑫⑫
,,,,,,,,,,,,,,,,,,,,,,,,15,10,Ｎステラフィランテ, 65,石橋脩, 2.2, 69,   8,  -6,18,265.9,⑱⑰⑰,15, 4,Ｊベルｰガ, 84,蛯名正, 2.0, 68,   3,   6,10, 69.3, ⑫⑫
,,,,,,,,,,,,,,,,,,,,,,,,16, 7,Ｂリミットブレｰカｰ, 74,内田博, 2.2, 64,* 16, -27, 4,  8.9,③③③,16,15,Ｇスプリングソング, 85,中舘英, 2.6, 61,   9,  -5, 3, 12.5, ⑤⑤
,,,,,,,,,,,,,,,,,,,,,,,,17,16,Ｋオウシュウヘイロｰ, 70,小林久, 2.7, 61,  12, -25,12, 62.5,⑧⑧⑨,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18, 5,Ｊマイネルハイアップ, 70,二本柳, 2.8, 57,* 17, -39,16,223.9,②②②,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-11 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-22 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:88 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-5),,,,,,,,,,,
単勝:240円 複勝:04=110円 01=140円 08=170円 枠連:510円,,,,,,,,,,,,単勝:440円 複勝:06=140円 11=120円 01=140円 枠連:310円,,,,,,,,,,,,"単勝:2,310円 複勝:02=470円 01=380円 12=130円 枠連:9,650円",,,,,,,,,,,,単勝:610円 複勝:06=150円 13=110円 16=960円 枠連:340円,,,,,,,,,,,
馬連:530円 ワイド:01-04=220円 04-08=280円 01-08=530円,,,,,,,,,,,,馬連:620円 ワイド:06-11=240円 01-06=400円 01-11=260円,,,,,,,,,,,,"馬連:9,900円 ワイド:01-02=2,630円 02-12=1,380円 01-12=790円",,,,,,,,,,,,"馬連:360円 ワイド:06-13=180円 06-16=3,960円 13-16=1,440円",,,,,,,,,,,
"馬単:960円 3連複:1,000円 3連単:3,640円",,,,,,,,,,,,"馬単:1,550円 3連複:850円 3連単:4,980円",,,,,,,,,,,,"馬単:21,370円 3連複:10,720円 3連単:114,230円",,,,,,,,,,,,"馬単:1,250円 3連複:7,170円 3連単:39,090円",,,,,,,,,,,
■ 3R  芝2000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 6R  ダ1600m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 9R  ダ1400m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■12R  ダ2100m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾌﾟﾗﾀﾅｽ賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
