08年11月15日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年11月15日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 4R  ダ1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  ダ1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,円山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａロｰレルレガリス, 68,池添謙,, 63,* -3,   4, 1,  2.7,⑥④⑤, 1, 6, サラノロクサボｰド,---,角田晃,, 63,* -1,  -1, 4,  6.7, ①①, 1, 3,Ｊタｰトルベイ, 73,福永祐,, 80,   8,   7, 5, 13.9,⑦⑥⑥, 1,10,Ｅマハｰバリプラム, 80,武豊  ,, 81,   4,* 14, 5,  8.0, ⑧⑧
 2, 6,Ｋウインペンタゴン, 47,浜中俊, 0.1, 62,  -5,*  6, 9, 49.9,④⑦⑥, 2, 8, マルカフリｰト,---,福永祐, 0.2, 61,  -6,*  2, 6, 16.5, ⑥⑥, 2, 6,Ｄシャインモｰメント, 77,安藤勝, 0.0, 80,   6,* 14, 2,  3.0,⑫⑫⑩, 2, 9,Ａミリオンディスク, 86,武幸四, 0.0, 82,   5,  13, 3,  4.9, ⑤⑤
 3,12,Ｅシゲルダイセン, 55,角田晃, 0.4, 61,  -4,   2, 3,  4.3,⑨⑥⑦, 3,11, フレｰバｰティｰ,---,岩田康, 1.2, 52,* -3, -10, 2,  3.3, ④③, 3, 7,Ａトｰセンスタｰン, 81,岩田康, 0.0, 81,   7,* 11, 1,  2.8,⑪⑩⑦, 3,11,Ｂヒシオフェンス, 84,岩田康, 0.3, 79,   4,  11, 1,  3.8, ⑦⑦
 4, 5,Ｈハギノリベラ, 51,武幸四, 0.5, 61,  -7,*  7,10, 64.5,⑫⑫⑫, 4, 7, ピサノプレミアム,---,浜中俊, 1.3, 51,  -4, -10, 1,  3.3, ⑤⑤, 4, 9,Ｂゴｰルドスミス, 81,武豊  , 0.0, 79,   8,   8, 3,  5.0,⑨⑧⑧, 4,14,Ｃリバｰタウン, 82,ペリエ, 0.6, 76,   6,   6, 7, 17.4, ⑥⑥
 5, 2,Ｂシルクフォｰチュン, 62,田島裕, 0.6, 59,  -4,   1, 8, 26.6,③⑤④, 5, 1, キクノセンヒメ,---,川島信, 1.3, 50, -19,*  5,11,108.9, ⑬⑫, 5,13,Ｇホッコｰキングオｰ, 74,秋山真, 0.6, 75,* 13,  -6, 7, 21.6,②①①, 5, 8,Ｋワンダｰグラス, 76,田村太, 0.7, 76,   1,  11,11, 51.9, ⑪⑪
 6,10,Ｆピュアシルヴァｰ, 54,川島信, 0.7, 56,* -3,  -3, 5, 10.4,②②②, 6, 5, ラヴソｰスウィｰト,---,大下智, 1.4, 51,  -9,  -6, 7, 24.0, ⑧⑦, 6, 8,Ｉワンダｰポテンシア, 73,田中克, 1.6, 72,   6,   0,12, 84.2,⑬⑬⑪, 6, 4,Ｇランブルジャンヌ, 79,ルメｰ, 0.7, 75,* 12,   0, 6, 10.9, ①①
 7, 7,Ｄマイネルカルツェ, 56,ルメｰ, 0.8, 57,  -5,   0, 4,  6.3,⑦⑧⑧, 7,13, パラダイスデイ,---,上村洋, 1.5, 51,* -2, -13, 9, 41.4, ②②, 7,12,Ｈバンブｰアズｰリ, 73,幸英明, 1.7, 67,* 12, -14, 9, 44.3,①②②, 7,16,Ｈエリモハルカ, 78,渡辺薫, 0.8, 75,   8,   3, 9, 33.6, ③③
 8,11,Ｃティアップワイルド, 60,幸英明, 1.1, 54,* -3,  -7, 6, 24.0,⑤③③, 8, 4, クンチャン,---,渡辺薫, 1.7, 48,  -4, -13, 5, 13.5, ③④, 8, 4,Ｆエｰシンエヴァン, 74,野元昭, 2.1, 65,  10, -13,11, 66.5,④⑤⑤, 8, 5,Ｄリｰガルスキｰム, 82,安藤勝, 0.8, 74,   7,   4, 2,  4.1, ④④
